iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss
0,100,-5.87221,7.04673,1.10108,-5.65856,6.64816,1.10136
1,200,-6.73031,1.08326,1.11569,-6.72606,1.22717,1.11870
2,300,-6.70873,0.80974,0.99253,-6.70723,0.67339,0.99805
3,400,-7.26522,0.58291,0.92459,-7.14940,0.54789,0.92057
4,500,-7.77532,0.55273,0.88064,-7.65053,0.61598,0.88452
5,600,-8.38053,0.62705,0.86863,-8.29428,0.55846,0.86815
6,700,-9.05967,0.64065,0.86759,-9.01832,0.67121,0.87270
7,800,-9.76232,0.57464,0.85522,-9.59954,0.50779,0.85563
8,900,-10.30339,0.52080,0.84347,-10.13161,0.52794,0.84385
9,1000,-10.91362,0.56523,0.82231,-10.67431,0.55062,0.81904
10,1100,-11.45402,0.56531,0.80165,-11.20119,0.56086,0.79769
11,1200,-11.98931,0.62695,0.77391,-11.69884,0.64888,0.77371
12,1300,-12.48040,0.66844,0.74682,-12.20919,0.64407,0.74679
13,1400,-12.85992,0.62663,0.72610,-12.67386,0.58762,0.72679
14,1500,-13.32383,0.60250,0.70885,-13.12414,0.56656,0.70643
15,1600,-13.77905,0.56609,0.68708,-13.55893,0.76475,0.68200
16,1700,-14.16788,0.57243,0.66252,-13.87134,0.61003,0.66214
17,1800,-14.55214,0.71146,0.64088,-14.20892,0.60758,0.63893
18,1900,-14.89923,0.59341,0.62071,-14.63491,0.67421,0.62247
19,2000,-15.15601,0.51137,0.60139,-14.90410,0.70965,0.59872
20,2100,-15.46216,0.45479,0.57947,-15.17516,0.72693,0.57843
21,2200,-15.64482,0.51633,0.55567,-15.46466,0.81314,0.55926
22,2300,-15.90280,0.57620,0.53870,-15.65547,0.65964,0.54045
23,2400,-16.06249,0.53662,0.52119,-15.88328,0.65775,0.52196
24,2500,-16.21201,0.50591,0.50399,-16.13928,0.63861,0.50445
25,2600,-16.39401,0.51884,0.48583,-16.28085,0.62538,0.48785
26,2700,-16.56992,0.51336,0.47016,-16.37789,0.65952,0.47007
27,2800,-16.61662,0.53802,0.45706,-16.62125,0.68300,0.45558
28,2900,-16.81827,0.55504,0.44290,-16.81626,0.66570,0.44040
29,3000,-16.90186,0.56297,0.42620,-16.91377,0.65124,0.42628
30,3100,-16.92483,0.57851,0.41305,-16.94175,0.67753,0.41241
31,3200,-16.93697,0.55359,0.39861,-16.97212,0.60240,0.39800
32,3300,-17.02637,0.57409,0.38506,-17.02640,0.68339,0.38543
33,3400,-17.03671,0.58191,0.37263,-17.14868,0.62963,0.37187
34,3500,-16.93370,0.58916,0.36050,-17.15654,0.63651,0.35936
35,3600,-16.99891,0.61070,0.34728,-17.18426,0.64588,0.34787
36,3700,-16.91074,0.60621,0.33563,-17.11878,0.63412,0.33539
37,3800,-16.75353,0.61598,0.32364,-17.08235,0.68615,0.32551
38,3900,-16.80267,0.63509,0.31337,-17.02501,0.72809,0.31412
39,4000,-16.76791,0.66235,0.30266,-17.04578,0.76934,0.30286
40,4100,-16.69763,0.59089,0.29318,-16.90661,0.58693,0.29284
41,4200,-16.52949,0.63155,0.28372,-16.79933,0.46834,0.28378
42,4300,-16.50448,0.48822,0.27307,-16.74359,0.41241,0.27384
43,4400,-16.49262,0.46170,0.26521,-16.74422,0.44775,0.26561
44,4500,-16.38993,0.42902,0.25577,-16.65800,0.35622,0.25564
45,4600,-16.29318,0.65134,0.24642,-16.59305,0.27929,0.24695
46,4700,-16.23031,0.58552,0.23902,-16.45061,0.28075,0.23901
47,4800,-16.11915,0.55305,0.23090,-16.36196,0.33103,0.23161
48,4900,-15.92895,0.66459,0.22485,-16.26249,0.29639,0.22379
49,5000,-15.85005,0.64985,0.21961,-16.15481,0.54118,0.21735
50,5100,-15.69992,0.58113,0.21140,-15.80423,0.47364,0.21000
51,5200,-15.31458,0.45911,0.20462,-15.37301,0.65697,0.20569
52,5300,-15.31853,0.62792,0.19882,-15.31630,0.46425,0.19784
53,5400,-15.32813,0.63682,0.19226,-15.41285,0.71059,0.19355
54,5500,-15.21403,0.42109,0.18786,-15.15218,0.60474,0.18740
55,5600,-15.07031,0.60621,0.18107,-15.11537,0.46398,0.18178
56,5700,-14.95860,0.47258,0.17527,-14.91230,0.37847,0.17750
57,5800,-14.88308,0.51923,0.17104,-14.82681,0.41204,0.17225
58,5900,-14.54950,0.38818,0.16720,-14.37340,0.35186,0.16823
59,6000,-14.44368,0.40413,0.16313,-14.53051,0.34741,0.16392
60,6100,-14.08060,0.43465,0.16101,-14.25474,0.41713,0.16061
61,6200,-14.16327,0.57441,0.15767,-14.30842,0.55737,0.15878
62,6300,-14.07948,0.48926,0.15468,-14.06631,0.49940,0.15473
63,6400,-13.79722,0.50585,0.15151,-13.93227,0.40520,0.15168
64,6500,-13.79533,0.58331,0.14876,-13.78869,0.34613,0.14786
65,6600,-13.61922,0.34636,0.14632,-13.58759,0.48684,0.14637
66,6700,-13.55024,0.40881,0.14406,-13.48976,0.41972,0.14430
67,6800,-13.33677,0.37748,0.14261,-13.50398,0.41316,0.14134
68,6900,-13.40007,0.31331,0.13983,-13.39084,0.37078,0.14010
69,7000,-13.24887,0.35275,0.13751,-13.34182,0.40346,0.13836
70,7100,-13.11849,0.29763,0.13584,-13.21286,0.37480,0.13572
71,7200,-13.05087,0.36235,0.13385,-13.16981,0.37343,0.13318
72,7300,-12.94871,0.28917,0.13172,-13.08015,0.36666,0.13141
73,7400,-12.85487,0.27392,0.13025,-12.97430,0.34113,0.13054
74,7500,-12.74698,0.29549,0.12830,-12.89689,0.30787,0.12737
75,7600,-12.75091,0.26720,0.12601,-12.79510,0.28157,0.12636
76,7700,-12.56462,0.26363,0.12485,-12.72598,0.31847,0.12468
77,7800,-12.56494,0.28011,0.12273,-12.65758,0.31561,0.12291
78,7900,-12.47913,0.27875,0.12141,-12.55337,0.28411,0.12137
79,8000,-12.39651,0.28946,0.11930,-12.47487,0.31782,0.11992
80,8100,-12.24801,0.26912,0.11823,-12.36898,0.30353,0.11864
81,8200,-12.21118,0.47169,0.11735,-12.31201,0.27757,0.11678
82,8300,-12.13258,0.30625,0.11533,-12.22134,0.27056,0.11564
83,8400,-11.95931,0.23582,0.11389,-12.11183,0.28970,0.11419
84,8500,-11.93444,0.21697,0.11241,-12.08169,0.28340,0.11213
85,8600,-11.81985,0.20077,0.11073,-12.01093,0.26198,0.11057
86,8700,-11.73434,0.19422,0.10949,-11.91913,0.30363,0.11012
87,8800,-11.62176,0.19839,0.10842,-11.82388,0.22798,0.10824
88,8900,-11.56206,0.18081,0.10600,-11.70241,0.19986,0.10653
89,9000,-11.44750,0.18822,0.10532,-11.69104,0.27811,0.10568
90,9100,-11.39620,0.21107,0.10410,-11.49245,0.30304,0.10318
91,9200,-11.29893,0.21963,0.10332,-11.49395,0.22331,0.10314
92,9300,-11.15774,0.22253,0.10162,-11.40337,0.34450,0.10164
