iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
0,100,-4.97951,4.89697,0.91053,-5.41209,5.43085,1.01953,-6.39487,5.20193,1.22823
1,200,-5.76373,0.98368,0.93400,-6.53824,1.56450,1.07610,-7.55773,1.66459,1.29773
2,300,-6.44540,0.97585,0.94799,-6.82528,1.23324,1.00483,-8.35877,1.18694,1.22501
3,400,-6.82980,0.91592,0.90389,-7.17125,0.84837,0.92618,-8.69638,1.06685,1.13791
4,500,-7.47806,1.00129,0.91593,-8.31576,0.82283,1.02876,-9.34454,1.57713,1.11447
5,600,-8.09795,1.17488,0.91802,-9.27454,1.12175,1.07616,-9.68091,1.35682,1.06812
6,700,-8.87515,1.10627,0.90111,-10.32154,1.66043,1.10627,-10.34001,1.79977,1.02850
7,800,-9.52778,1.23847,0.88877,-11.00291,1.44643,1.08316,-11.21782,1.62088,1.00613
8,900,-10.22733,1.40211,0.87871,-11.64107,1.71500,1.06168,-11.92304,1.79949,1.00394
9,1000,-10.66480,1.57045,0.85068,-12.67491,2.40175,1.04823,-12.57154,2.18199,0.97151
10,1100,-11.37898,1.54351,0.84582,-13.43156,1.98068,1.04408,-13.29958,2.11467,0.98531
11,1200,-11.73698,1.79718,0.83031,-14.19199,2.09067,1.05908,-13.89095,2.05221,0.97115
12,1300,-12.45265,1.35091,0.82653,-15.01073,1.73710,1.07387,-14.40195,2.12173,0.95827
13,1400,-13.14220,1.52620,0.83129,-16.01986,1.68375,1.09724,-15.45385,1.71083,0.98475
14,1500,-13.87035,1.39678,0.82601,-16.73065,2.32859,1.08132,-16.23277,2.62862,0.98745
15,1600,-14.31545,1.22969,0.80305,-17.35643,1.78674,1.04948,-17.13755,2.50859,0.99471
16,1700,-14.73816,2.34998,0.79165,-18.21373,1.32357,1.02384,-17.65691,1.95108,0.96559
17,1800,-15.27457,2.22549,0.77242,-18.69487,2.01606,0.98939,-18.39773,1.57477,0.94140
18,1900,-15.74089,1.06738,0.75780,-19.43264,1.46145,0.96826,-19.01825,2.38112,0.92334
19,2000,-16.22682,1.01291,0.74826,-19.93175,1.50246,0.94090,-19.61918,2.12737,0.90034
20,2100,-16.63235,1.16048,0.73098,-20.52133,2.36465,0.92143,-20.02277,1.70467,0.86992
21,2200,-17.32934,1.87686,0.72378,-21.10244,1.50625,0.88803,-20.53492,1.98324,0.86114
22,2300,-17.79877,1.47202,0.70931,-21.49216,2.45945,0.88779,-20.80589,1.25958,0.84323
23,2400,-18.30495,1.21648,0.70345,-22.07984,3.91964,0.85851,-21.40142,1.31574,0.81996
24,2500,-18.57375,1.31529,0.68999,-22.38641,2.05220,0.84646,-21.78939,1.11990,0.80562
25,2600,-19.18071,1.46082,0.67857,-22.92974,1.27532,0.82468,-22.24223,1.00219,0.78116
26,2700,-19.50903,2.25106,0.66919,-23.28649,1.70238,0.79981,-22.53273,1.26983,0.76805
27,2800,-19.85300,2.19253,0.65875,-23.77221,1.80836,0.79275,-23.06856,1.99829,0.75875
28,2900,-20.17773,1.84062,0.64707,-24.14167,1.51185,0.78166,-23.45184,1.95430,0.74784
29,3000,-20.65031,2.92459,0.63946,-24.93931,2.69486,0.76881,-23.72607,4.14629,0.73749
30,3100,-20.79986,1.59775,0.62355,-24.88762,1.44357,0.75669,-23.97368,1.42864,0.72113
31,3200,-21.24879,1.62821,0.62135,-25.56141,2.30874,0.75222,-24.42287,1.38418,0.70919
32,3300,-21.38344,1.67287,0.60905,-25.87569,3.02297,0.73210,-24.45423,1.31107,0.68795
33,3400,-21.72619,1.46754,0.59512,-25.70969,2.95320,0.72665,-24.91423,1.51804,0.68275
34,3500,-22.01660,2.21299,0.58989,-25.90840,2.53776,0.70587,-25.21824,3.32276,0.66590
35,3600,-22.31232,2.70478,0.57548,-26.72342,2.50189,0.69606,-25.64133,1.89960,0.66026
36,3700,-22.77158,3.22594,0.56610,-26.56972,2.26054,0.67935,-25.70328,1.89876,0.64451
37,3800,-22.52845,2.39220,0.55719,-26.77517,2.61211,0.66966,-25.79225,1.48858,0.63226
38,3900,-23.13666,2.05807,0.54635,-27.23976,2.87536,0.64973,-26.26870,1.35390,0.62363
39,4000,-22.79835,1.95950,0.54150,-27.32670,1.56050,0.64168,-26.38958,1.27477,0.61457
40,4100,-23.32253,0.86238,0.52889,-27.55595,1.39618,0.62556,-26.35222,1.22872,0.59550
41,4200,-23.42618,0.92449,0.51953,-27.46813,3.15472,0.62160,-26.62435,1.39600,0.58889
42,4300,-23.60805,1.73633,0.51013,-27.95048,1.90257,0.60034,-27.19319,2.55650,0.57366
43,4400,-23.91581,1.09342,0.50125,-27.72260,2.18622,0.58590,-26.96837,1.88901,0.56195
44,4500,-24.03362,1.11355,0.49107,-27.75832,1.55541,0.57270,-26.97467,1.97406,0.55297
45,4600,-24.09429,1.90297,0.48697,-27.94497,1.37579,0.56549,-27.02359,2.02280,0.53989
46,4700,-24.08365,1.75624,0.47388,-27.93290,1.76008,0.55587,-27.11955,1.56853,0.53872
47,4800,-24.35592,3.05757,0.46699,-28.27097,1.73762,0.54221,-27.43010,2.02696,0.52711
48,4900,-24.31369,3.51326,0.45764,-28.46091,1.77061,0.53328,-27.57317,1.57211,0.51273
49,5000,-24.46983,1.21016,0.45025,-28.42546,1.56374,0.52465,-27.32727,1.40951,0.50987
50,5100,-24.57446,3.69397,0.44154,-28.41622,1.86801,0.51131,-27.60055,1.86401,0.49238
51,5200,-24.68043,1.99212,0.43359,-28.59386,2.32557,0.50477,-27.63194,2.41547,0.48906
52,5300,-25.12610,3.67742,0.42723,-28.16580,1.89767,0.49416,-27.80298,1.54492,0.48150
53,5400,-24.73368,1.28309,0.41921,-28.53670,2.00734,0.49156,-27.84545,1.67835,0.47463
54,5500,-24.68556,1.14494,0.41281,-28.15229,1.94787,0.47647,-27.72084,1.36565,0.46473
55,5600,-24.81438,1.36693,0.40662,-28.33703,1.29786,0.47494,-27.81118,1.88905,0.45559
56,5700,-25.01484,1.73340,0.39796,-28.18386,1.24881,0.45799,-27.85605,1.68325,0.44526
57,5800,-25.00198,1.25080,0.38997,-28.30024,1.92659,0.45305,-27.71576,1.25029,0.43650
58,5900,-24.99557,2.39032,0.38571,-28.47734,2.21784,0.44296,-28.08829,2.30405,0.42880
59,6000,-24.88892,0.91119,0.37995,-28.38763,1.62728,0.44111,-27.72434,1.78768,0.42543
60,6100,-24.75771,0.81027,0.37100,-28.28608,1.73738,0.42982,-27.54713,1.79386,0.41671
61,6200,-24.72071,1.53704,0.36565,-28.06843,1.59692,0.42219,-27.72638,2.14678,0.41167
62,6300,-24.72702,1.58540,0.36066,-28.04673,1.70662,0.41336,-27.41292,1.26941,0.40442
63,6400,-24.73613,1.57963,0.35494,-27.92946,2.07660,0.41124,-27.62864,2.69897,0.39824
64,6500,-24.54502,1.33536,0.34894,-27.60776,1.51535,0.40264,-27.40209,1.16297,0.38857
65,6600,-24.56465,2.31261,0.34325,-27.81421,1.43425,0.39014,-26.94350,2.08888,0.38164
66,6700,-24.56540,1.41647,0.33776,-27.49893,1.23781,0.38935,-26.94229,1.28697,0.37942
67,6800,-24.27072,1.88912,0.33081,-27.27331,1.20733,0.37989,-26.78838,1.48214,0.37369
68,6900,-24.54521,1.11405,0.32807,-27.18223,1.80279,0.37565,-26.58966,2.28422,0.36246
69,7000,-24.40596,1.15572,0.32124,-27.34146,2.50427,0.37262,-26.72414,1.90650,0.36150
70,7100,-24.08545,1.47382,0.31844,-27.06458,2.04911,0.36562,-26.27515,1.88167,0.35413
71,7200,-24.05925,1.70178,0.31293,-27.16301,3.30168,0.35620,-26.23110,1.30669,0.34335
72,7300,-24.30656,1.31160,0.31041,-26.44551,1.87755,0.35128,-26.10471,0.97264,0.34085
73,7400,-23.91208,1.05414,0.30487,-26.73229,1.32772,0.34546,-26.02045,1.53579,0.33391
74,7500,-23.71023,1.10018,0.29987,-26.44661,1.49246,0.34484,-25.86014,1.20240,0.32977
75,7600,-23.75704,1.31589,0.29257,-25.85243,2.04750,0.33950,-25.51995,1.87020,0.32419
76,7700,-23.57203,1.52633,0.29195,-26.06455,0.88887,0.33327,-25.60565,1.54433,0.32139
77,7800,-23.31515,1.09524,0.28481,-25.98967,0.85444,0.32309,-25.45859,2.43242,0.31419
78,7900,-23.28580,0.98663,0.27887,-25.64222,1.55267,0.32023,-25.35362,1.28113,0.31324
79,8000,-23.21305,1.47032,0.27901,-25.67490,1.35820,0.31914,-25.04262,1.09948,0.30644
