iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
0,100,-5.82475,5.89953,1.12838,-5.82472,6.13475,1.13703,-5.95015,5.80768,1.13741
1,200,-6.74476,1.36333,1.11211,-6.72622,1.45610,1.11866,-6.65976,1.34548,1.11263
2,300,-7.11388,0.90457,1.02822,-7.12677,1.09995,1.02391,-7.08631,0.95740,1.01926
3,400,-7.42505,0.82551,0.95981,-7.49509,0.88940,0.95289,-7.48320,0.91602,0.95379
4,500,-7.90421,0.80100,0.92784,-7.98590,1.03786,0.92651,-7.88119,0.93592,0.92110
5,600,-8.37191,1.18391,0.89192,-8.39756,0.91353,0.89079,-8.42391,0.73319,0.89439
6,700,-8.90994,1.11621,0.87514,-9.12174,0.86888,0.87783,-9.04268,0.90939,0.87586
7,800,-9.64988,0.93433,0.86204,-9.62213,1.22155,0.85697,-9.51605,1.19620,0.85946
8,900,-10.15954,1.05782,0.84019,-10.20736,1.33064,0.84006,-10.12223,1.19826,0.83393
9,1000,-10.62774,1.11358,0.81372,-10.72704,1.15332,0.81273,-10.70178,1.33029,0.81614
10,1100,-11.37451,1.10673,0.81481,-11.36605,1.16365,0.81980,-11.32273,1.68367,0.81605
11,1200,-12.17169,1.23665,0.83896,-12.02602,1.59489,0.84505,-11.98947,1.79987,0.84259
12,1300,-12.56807,1.20901,0.81084,-12.52451,1.42956,0.81711,-12.44411,1.32807,0.81625
13,1400,-13.05330,1.35331,0.79424,-13.02757,1.34069,0.80094,-12.93119,1.35097,0.79144
14,1500,-13.29364,1.61706,0.77162,-13.27080,1.49756,0.76743,-13.06185,1.71894,0.76843
15,1600,-13.73250,2.04348,0.73395,-13.68894,2.57492,0.74038,-13.42585,2.20016,0.74198
16,1700,-14.03304,2.24178,0.71085,-14.04494,3.19219,0.71014,-13.67345,2.18197,0.70857
17,1800,-14.20215,3.22800,0.67488,-14.25646,3.01460,0.68139,-14.08207,2.60894,0.67642
18,1900,-14.40603,2.45664,0.64924,-14.75177,3.05160,0.64348,-14.33145,2.93868,0.64162
