number,rewards,variances,exploration_value
0,[-11.45682 -11.45682 -11.45682],[5.10608 5.10608 5.10608],0.3
100,[-12.41380 -12.41380 -12.41380],[4.84789 4.84789 4.84789],0.2988
200,[-8.68958 -8.68958 -8.68958],[0.51884 0.51884 0.51884],0.2976
300,[-10.86022 -10.86022 -10.86022],[4.52566 4.52566 4.52566],0.2964
400,[-8.56071 -8.56071 -8.56071],[0.12454 0.12454 0.12454],0.29519999999999996
500,[-9.73761 -9.73761 -9.73761],[2.14944 2.14944 2.14944],0.294
600,[-9.42965 -9.42965 -9.42965],[0.95564 0.95564 0.95564],0.2928
700,[-10.21195 -10.21195 -10.21195],[6.38595 6.38595 6.38595],0.29159999999999997
800,[-10.19208 -10.19208 -10.19208],[9.72454 9.72454 9.72454],0.2904
900,[-8.31976 -8.31976 -8.31976],[1.95330 1.95330 1.95330],0.28919999999999996
1000,[-9.32524 -9.32524 -9.32524],[4.30927 4.30927 4.30927],0.288
1100,[-8.13414 -8.13414 -8.13414],[1.37022 1.37022 1.37022],0.2868
1200,[-8.34687 -8.34687 -8.34687],[0.66749 0.66749 0.66749],0.28559999999999997
1300,[-8.10833 -8.10833 -8.10833],[1.06446 1.06446 1.06446],0.2844
1400,[-8.79775 -8.79775 -8.79775],[1.29901 1.29901 1.29901],0.28319999999999995
1500,[-8.25744 -8.25744 -8.25744],[1.11716 1.11716 1.11716],0.282
1600,[-8.11920 -8.11920 -8.11920],[2.26659 2.26659 2.26659],0.2808
1700,[-8.69053 -8.69053 -8.69053],[1.57206 1.57206 1.57206],0.2796
1800,[-7.43723 -7.43723 -7.43723],[1.70551 1.70551 1.70551],0.2784
1900,[-6.86100 -6.86100 -6.86100],[1.17842 1.17842 1.17842],0.2772
2000,[-7.73976 -7.73976 -7.73976],[1.48828 1.48828 1.48828],0.276
2100,[-7.28854 -7.28854 -7.28854],[1.48316 1.48316 1.48316],0.2748
2200,[-7.78783 -7.78783 -7.78783],[2.85864 2.85864 2.85864],0.2736
2300,[-7.64938 -7.64938 -7.64938],[1.21174 1.21174 1.21174],0.2724
2400,[-7.00560 -7.00560 -7.00560],[1.66763 1.66763 1.66763],0.2712
2500,[-9.20072 -9.20072 -9.20072],[1.71830 1.71830 1.71830],0.27
2600,[-7.15613 -7.15613 -7.15613],[0.88804 0.88804 0.88804],0.2688
2700,[-7.68878 -7.68878 -7.68878],[0.35757 0.35757 0.35757],0.2676
2800,[-7.80718 -7.80718 -7.80718],[0.52648 0.52648 0.52648],0.26639999999999997
2900,[-6.45922 -6.45922 -6.45922],[0.34455 0.34455 0.34455],0.2652
3000,[-7.05476 -7.05476 -7.05476],[1.43124 1.43124 1.43124],0.264
3100,[-7.35597 -7.35597 -7.35597],[0.74122 0.74122 0.74122],0.2628
3200,[-7.62668 -7.62668 -7.62668],[0.25621 0.25621 0.25621],0.2616
3300,[-7.21896 -7.21896 -7.21896],[1.66718 1.66718 1.66718],0.26039999999999996
3400,[-7.21143 -7.21143 -7.21143],[1.16954 1.16954 1.16954],0.2592
3500,[-7.70986 -7.70986 -7.70986],[1.19499 1.19499 1.19499],0.258
3600,[-7.80120 -7.80120 -7.80120],[1.74492 1.74492 1.74492],0.2568
3700,[-7.64887 -7.64887 -7.64887],[0.45402 0.45402 0.45402],0.2556
3800,[-7.72815 -7.72815 -7.72815],[0.75396 0.75396 0.75396],0.25439999999999996
3900,[-8.39883 -8.39883 -8.39883],[1.53504 1.53504 1.53504],0.2532
4000,[-7.64689 -7.64689 -7.64689],[1.10132 1.10132 1.10132],0.252
4100,[-7.24762 -7.24762 -7.24762],[1.23061 1.23061 1.23061],0.25079999999999997
4200,[-7.56820 -7.56820 -7.56820],[1.03867 1.03867 1.03867],0.2496
4300,[-7.29063 -7.29063 -7.29063],[0.52556 0.52556 0.52556],0.24839999999999998
4400,[-8.21028 -8.21028 -8.21028],[0.89392 0.89392 0.89392],0.24719999999999998
4500,[-6.34472 -6.34472 -6.34472],[0.21211 0.21211 0.21211],0.24599999999999997
4600,[-7.85220 -7.85220 -7.85220],[0.60103 0.60103 0.60103],0.24479999999999996
4700,[-7.60148 -7.60148 -7.60148],[0.67728 0.67728 0.67728],0.2436
4800,[-6.86427 -6.86427 -6.86427],[3.51217 3.51217 3.51217],0.2424
4900,[-6.53109 -6.53109 -6.53109],[0.37828 0.37828 0.37828],0.2412
5000,[-8.25340 -8.25340 -8.25340],[2.32330 2.32330 2.32330],0.24
5100,[-6.28393 -6.28393 -6.28393],[0.21040 0.21040 0.21040],0.2388
5200,[-6.67400 -6.67400 -6.67400],[0.07150 0.07150 0.07150],0.2376
5300,[-7.14188 -7.14188 -7.14188],[0.35340 0.35340 0.35340],0.2364
5400,[-8.18839 -8.18839 -8.18839],[3.29161 3.29161 3.29161],0.2352
5500,[-8.14655 -8.14655 -8.14655],[4.64960 4.64960 4.64960],0.23399999999999999
5600,[-6.87898 -6.87898 -6.87898],[1.14292 1.14292 1.14292],0.2328
5700,[-7.16309 -7.16309 -7.16309],[1.44637 1.44637 1.44637],0.2316
5800,[-6.73336 -6.73336 -6.73336],[0.83169 0.83169 0.83169],0.2304
5900,[-7.63372 -7.63372 -7.63372],[1.41749 1.41749 1.41749],0.2292
6000,[-7.41760 -7.41760 -7.41760],[1.37765 1.37765 1.37765],0.22799999999999998
6100,[-7.29918 -7.29918 -7.29918],[1.18557 1.18557 1.18557],0.2268
6200,[-6.38158 -6.38158 -6.38158],[1.30607 1.30607 1.30607],0.2256
6300,[-7.16286 -7.16286 -7.16286],[0.97365 0.97365 0.97365],0.2244
6400,[-7.42298 -7.42298 -7.42298],[1.96127 1.96127 1.96127],0.22319999999999998
6500,[-6.46411 -6.46411 -6.46411],[0.40305 0.40305 0.40305],0.222
6600,[-7.47041 -7.47041 -7.47041],[2.30556 2.30556 2.30556],0.2208
6700,[-6.58568 -6.58568 -6.58568],[1.54320 1.54320 1.54320],0.2196
6800,[-6.83289 -6.83289 -6.83289],[0.12453 0.12453 0.12453],0.21839999999999998
6900,[-7.23016 -7.23016 -7.23016],[0.37711 0.37711 0.37711],0.21719999999999998
7000,[-7.67868 -7.67868 -7.67868],[1.08352 1.08352 1.08352],0.216
