number,rewards,variances,exploration_value
0,[-11.45682 -11.45682 -11.45682],[5.10608 5.10608 5.10608],0.3
100,[-10.96994 -10.96994 -10.96994],[4.31700 4.31700 4.31700],0.2988
200,[-8.99356 -8.99356 -8.99356],[1.74458 1.74458 1.74458],0.2976
300,[-9.22320 -9.22320 -9.22320],[5.27180 5.27180 5.27180],0.2964
400,[-9.32155 -9.32155 -9.32155],[4.63555 4.63555 4.63555],0.29519999999999996
500,[-10.35150 -10.35150 -10.35150],[2.83948 2.83948 2.83948],0.294
600,[-9.69016 -9.69016 -9.69016],[3.65537 3.65537 3.65537],0.2928
700,[-10.24041 -10.24041 -10.24041],[1.32486 1.32486 1.32486],0.29159999999999997
800,[-9.27083 -9.27083 -9.27083],[1.42704 1.42704 1.42704],0.2904
900,[-10.15432 -10.15432 -10.15432],[1.40629 1.40629 1.40629],0.28919999999999996
1000,[-8.63143 -8.63143 -8.63143],[3.92820 3.92820 3.92820],0.288
1100,[-11.53718 -11.53718 -11.53718],[11.16278 11.16278 11.16278],0.2868
1200,[-9.92910 -9.92910 -9.92910],[2.37934 2.37934 2.37934],0.28559999999999997
1300,[-8.63945 -8.63945 -8.63945],[4.67915 4.67915 4.67915],0.2844
1400,[-8.80966 -8.80966 -8.80966],[1.42783 1.42783 1.42783],0.28319999999999995
1500,[-8.54476 -8.54476 -8.54476],[3.43554 3.43554 3.43554],0.282
1600,[-8.17352 -8.17352 -8.17352],[1.40779 1.40779 1.40779],0.2808
1700,[-8.12167 -8.12167 -8.12167],[0.26696 0.26696 0.26696],0.2796
1800,[-7.49920 -7.49920 -7.49920],[0.77688 0.77688 0.77688],0.2784
1900,[-7.35099 -7.35099 -7.35099],[0.45169 0.45169 0.45169],0.2772
2000,[-8.23600 -8.23600 -8.23600],[2.03727 2.03727 2.03727],0.276
2100,[-8.69419 -8.69419 -8.69419],[1.29465 1.29465 1.29465],0.2748
2200,[-7.37233 -7.37233 -7.37233],[1.33405 1.33405 1.33405],0.2736
2300,[-8.40174 -8.40174 -8.40174],[1.36527 1.36527 1.36527],0.2724
2400,[-7.08444 -7.08444 -7.08444],[1.16465 1.16465 1.16465],0.2712
2500,[-7.61972 -7.61972 -7.61972],[0.06484 0.06484 0.06484],0.27
2600,[-7.45712 -7.45712 -7.45712],[1.51747 1.51747 1.51747],0.2688
2700,[-7.16402 -7.16402 -7.16402],[1.46060 1.46060 1.46060],0.2676
2800,[-8.44714 -8.44714 -8.44714],[1.86741 1.86741 1.86741],0.26639999999999997
2900,[-6.90248 -6.90248 -6.90248],[0.34277 0.34277 0.34277],0.2652
3000,[-6.83630 -6.83630 -6.83630],[2.26355 2.26355 2.26355],0.264
3100,[-7.83239 -7.83239 -7.83239],[0.32888 0.32888 0.32888],0.2628
3200,[-7.15602 -7.15602 -7.15602],[0.52177 0.52177 0.52177],0.2616
3300,[-7.61085 -7.61085 -7.61085],[1.82870 1.82870 1.82870],0.26039999999999996
3400,[-6.81357 -6.81357 -6.81357],[0.67688 0.67688 0.67688],0.2592
3500,[-7.37491 -7.37491 -7.37491],[1.06848 1.06848 1.06848],0.258
3600,[-7.84967 -7.84967 -7.84967],[0.92550 0.92550 0.92550],0.2568
3700,[-8.71400 -8.71400 -8.71400],[3.11562 3.11562 3.11562],0.2556
3800,[-8.11480 -8.11480 -8.11480],[0.52187 0.52187 0.52187],0.25439999999999996
3900,[-8.44131 -8.44131 -8.44131],[2.59685 2.59685 2.59685],0.2532
4000,[-7.45040 -7.45040 -7.45040],[1.89446 1.89446 1.89446],0.252
4100,[-7.78734 -7.78734 -7.78734],[0.49284 0.49284 0.49284],0.25079999999999997
4200,[-7.34416 -7.34416 -7.34416],[0.97281 0.97281 0.97281],0.2496
4300,[-7.09055 -7.09055 -7.09055],[0.34560 0.34560 0.34560],0.24839999999999998
4400,[-7.75329 -7.75329 -7.75329],[0.81277 0.81277 0.81277],0.24719999999999998
4500,[-6.91002 -6.91002 -6.91002],[0.94941 0.94941 0.94941],0.24599999999999997
4600,[-6.96784 -6.96784 -6.96784],[1.56159 1.56159 1.56159],0.24479999999999996
4700,[-7.00831 -7.00831 -7.00831],[0.58315 0.58315 0.58315],0.2436
4800,[-6.58475 -6.58475 -6.58475],[1.54527 1.54527 1.54527],0.2424
4900,[-7.07130 -7.07130 -7.07130],[0.95092 0.95092 0.95092],0.2412
5000,[-7.98109 -7.98109 -7.98109],[1.35991 1.35991 1.35991],0.24
5100,[-6.30420 -6.30420 -6.30420],[0.79816 0.79816 0.79816],0.2388
5200,[-6.83192 -6.83192 -6.83192],[0.59356 0.59356 0.59356],0.2376
5300,[-7.41737 -7.41737 -7.41737],[0.77375 0.77375 0.77375],0.2364
5400,[-8.54335 -8.54335 -8.54335],[2.07622 2.07622 2.07622],0.2352
5500,[-7.60030 -7.60030 -7.60030],[1.85117 1.85117 1.85117],0.23399999999999999
5600,[-6.63758 -6.63758 -6.63758],[0.87804 0.87804 0.87804],0.2328
5700,[-7.48499 -7.48499 -7.48499],[1.03846 1.03846 1.03846],0.2316
5800,[-6.63506 -6.63506 -6.63506],[0.20244 0.20244 0.20244],0.2304
5900,[-7.76897 -7.76897 -7.76897],[0.38013 0.38013 0.38013],0.2292
6000,[-8.19775 -8.19775 -8.19775],[1.60948 1.60948 1.60948],0.22799999999999998
6100,[-7.13217 -7.13217 -7.13217],[0.76134 0.76134 0.76134],0.2268
6200,[-7.17819 -7.17819 -7.17819],[0.09670 0.09670 0.09670],0.2256
6300,[-7.48722 -7.48722 -7.48722],[1.25745 1.25745 1.25745],0.2244
6400,[-7.10112 -7.10112 -7.10112],[0.56180 0.56180 0.56180],0.22319999999999998
6500,[-6.79841 -6.79841 -6.79841],[1.54902 1.54902 1.54902],0.222
6600,[-8.16101 -8.16101 -8.16101],[2.09840 2.09840 2.09840],0.2208
6700,[-6.44833 -6.44833 -6.44833],[0.66551 0.66551 0.66551],0.2196
6800,[-6.79817 -6.79817 -6.79817],[0.40521 0.40521 0.40521],0.21839999999999998
6900,[-7.56282 -7.56282 -7.56282],[1.69267 1.69267 1.69267],0.21719999999999998
7000,[-7.91858 -7.91858 -7.91858],[1.27597 1.27597 1.27597],0.216
7100,[-6.41751 -6.41751 -6.41751],[0.51748 0.51748 0.51748],0.2148
7200,[-7.45027 -7.45027 -7.45027],[0.66160 0.66160 0.66160],0.21359999999999998
7300,[-7.24321 -7.24321 -7.24321],[1.51836 1.51836 1.51836],0.21239999999999998
7400,[-6.96783 -6.96783 -6.96783],[0.56515 0.56515 0.56515],0.21119999999999997
7500,[-6.85928 -6.85928 -6.85928],[1.33370 1.33370 1.33370],0.21
7600,[-8.19777 -8.19777 -8.19777],[0.70777 0.70777 0.70777],0.20879999999999999
7700,[-6.81235 -6.81235 -6.81235],[0.01789 0.01789 0.01789],0.20759999999999998
7800,[-6.96382 -6.96382 -6.96382],[1.98169 1.98169 1.98169],0.20639999999999997
7900,[-7.55943 -7.55943 -7.55943],[2.11621 2.11621 2.11621],0.20520000000000002
8000,[-7.37578 -7.37578 -7.37578],[0.68922 0.68922 0.68922],0.20400000000000001
8100,[-7.34041 -7.34041 -7.34041],[0.87613 0.87613 0.87613],0.2028
8200,[-7.59769 -7.59769 -7.59769],[1.09457 1.09457 1.09457],0.2016
8300,[-7.17596 -7.17596 -7.17596],[0.64431 0.64431 0.64431],0.2004
8400,[-6.55584 -6.55584 -6.55584],[1.21770 1.21770 1.21770],0.19920000000000002
8500,[-7.57642 -7.57642 -7.57642],[1.13269 1.13269 1.13269],0.198
8600,[-6.88465 -6.88465 -6.88465],[0.22754 0.22754 0.22754],0.1968
8700,[-7.32685 -7.32685 -7.32685],[2.00355 2.00355 2.00355],0.1956
8800,[-7.68329 -7.68329 -7.68329],[1.59305 1.59305 1.59305],0.1944
8900,[-6.71742 -6.71742 -6.71742],[1.47800 1.47800 1.47800],0.1932
9000,[-7.72865 -7.72865 -7.72865],[1.95036 1.95036 1.95036],0.192
9100,[-7.22221 -7.22221 -7.22221],[1.40220 1.40220 1.40220],0.1908
9200,[-7.48778 -7.48778 -7.48778],[2.11229 2.11229 2.11229],0.1896
9300,[-7.64536 -7.64536 -7.64536],[0.97556 0.97556 0.97556],0.18839999999999998
9400,[-7.34959 -7.34959 -7.34959],[1.15818 1.15818 1.15818],0.1872
9500,[-7.21753 -7.21753 -7.21753],[1.48268 1.48268 1.48268],0.186
9600,[-7.07007 -7.07007 -7.07007],[0.99169 0.99169 0.99169],0.1848
9700,[-7.28270 -7.28270 -7.28270],[1.81622 1.81622 1.81622],0.18359999999999999
9800,[-6.88579 -6.88579 -6.88579],[0.52786 0.52786 0.52786],0.18239999999999998
9900,[-7.95316 -7.95316 -7.95316],[1.66635 1.66635 1.66635],0.1812
10000,[-6.27320 -6.27320 -6.27320],[0.61178 0.61178 0.61178],0.18
10100,[-7.28914 -7.28914 -7.28914],[3.49198 3.49198 3.49198],0.1788
10200,[-7.08298 -7.08298 -7.08298],[0.75167 0.75167 0.75167],0.17759999999999998
10300,[-7.59255 -7.59255 -7.59255],[1.31812 1.31812 1.31812],0.17639999999999997
10400,[-7.01296 -7.01296 -7.01296],[1.09131 1.09131 1.09131],0.1752
10500,[-6.74867 -6.74867 -6.74867],[0.91674 0.91674 0.91674],0.174
10600,[-6.50324 -6.50324 -6.50324],[1.06814 1.06814 1.06814],0.17279999999999998
10700,[-7.31022 -7.31022 -7.31022],[0.79992 0.79992 0.79992],0.17159999999999997
10800,[-7.34052 -7.34052 -7.34052],[2.57528 2.57528 2.57528],0.17039999999999997
10900,[-7.33524 -7.33524 -7.33524],[1.24881 1.24881 1.24881],0.1692
11000,[-6.26278 -6.26278 -6.26278],[0.76208 0.76208 0.76208],0.168
11100,[-6.72497 -6.72497 -6.72497],[2.86522 2.86522 2.86522],0.1668
11200,[-7.12023 -7.12023 -7.12023],[2.48712 2.48712 2.48712],0.1656
11300,[-7.75489 -7.75489 -7.75489],[1.15763 1.15763 1.15763],0.16440000000000002
11400,[-7.22952 -7.22952 -7.22952],[0.27807 0.27807 0.27807],0.1632
11500,[-6.72966 -6.72966 -6.72966],[0.48449 0.48449 0.48449],0.162
11600,[-6.06157 -6.06157 -6.06157],[0.11835 0.11835 0.11835],0.1608
11700,[-7.28537 -7.28537 -7.28537],[0.71924 0.71924 0.71924],0.1596
11800,[-7.05985 -7.05985 -7.05985],[2.36526 2.36526 2.36526],0.1584
11900,[-7.13420 -7.13420 -7.13420],[2.45504 2.45504 2.45504],0.1572
12000,[-6.84287 -6.84287 -6.84287],[1.46386 1.46386 1.46386],0.156
12100,[-7.97360 -7.97360 -7.97360],[0.83884 0.83884 0.83884],0.1548
12200,[-6.42383 -6.42383 -6.42383],[0.70454 0.70454 0.70454],0.1536
12300,[-7.59233 -7.59233 -7.59233],[1.06668 1.06668 1.06668],0.1524
12400,[-7.01732 -7.01732 -7.01732],[1.43065 1.43065 1.43065],0.1512
12500,[-6.98475 -6.98475 -6.98475],[0.94278 0.94278 0.94278],0.15
12600,[-7.23454 -7.23454 -7.23454],[0.98042 0.98042 0.98042],0.1488
12700,[-8.22683 -8.22683 -8.22683],[1.96359 1.96359 1.96359],0.14759999999999998
12800,[-7.44861 -7.44861 -7.44861],[0.95087 0.95087 0.95087],0.1464
12900,[-7.06928 -7.06928 -7.06928],[1.24910 1.24910 1.24910],0.1452
13000,[-7.29347 -7.29347 -7.29347],[0.93592 0.93592 0.93592],0.144
