number,rewards,variances,exploration_value
0,[-11.45682 -11.45682 -11.45682],[5.10608 5.10608 5.10608],0.3
100,[-8.25246 -8.25246 -8.25246],[1.68321 1.68321 1.68321],0.2988
200,[-9.72818 -9.72818 -9.72818],[14.89220 14.89220 14.89220],0.2976
300,[-7.99792 -7.99792 -7.99792],[1.83930 1.83930 1.83930],0.2964
400,[-9.12215 -9.12215 -9.12215],[0.77159 0.77159 0.77159],0.29519999999999996
500,[-8.64385 -8.64385 -8.64385],[0.72447 0.72447 0.72447],0.294
600,[-8.65725 -8.65725 -8.65725],[0.69711 0.69711 0.69711],0.2928
700,[-9.50850 -9.50850 -9.50850],[8.14229 8.14229 8.14229],0.29159999999999997
800,[-11.53772 -11.53772 -11.53772],[7.43057 7.43057 7.43057],0.2904
900,[-9.20869 -9.20869 -9.20869],[4.35210 4.35210 4.35210],0.28919999999999996
1000,[-9.44241 -9.44241 -9.44241],[1.84236 1.84236 1.84236],0.288
1100,[-10.47249 -10.47249 -10.47249],[8.23011 8.23011 8.23011],0.2868
1200,[-10.14761 -10.14761 -10.14761],[1.50965 1.50965 1.50965],0.28559999999999997
1300,[-8.88178 -8.88178 -8.88178],[4.28519 4.28519 4.28519],0.2844
1400,[-10.53938 -10.53938 -10.53938],[6.33134 6.33134 6.33134],0.28319999999999995
1500,[-9.71170 -9.71170 -9.71170],[2.70249 2.70249 2.70249],0.282
1600,[-10.33699 -10.33699 -10.33699],[1.14396 1.14396 1.14396],0.2808
1700,[-10.11353 -10.11353 -10.11353],[4.48057 4.48057 4.48057],0.2796
1800,[-9.27115 -9.27115 -9.27115],[1.49383 1.49383 1.49383],0.2784
1900,[-10.43629 -10.43629 -10.43629],[2.83600 2.83600 2.83600],0.2772
2000,[-9.01142 -9.01142 -9.01142],[1.91157 1.91157 1.91157],0.276
2100,[-9.49410 -9.49410 -9.49410],[5.71012 5.71012 5.71012],0.2748
2200,[-9.56248 -9.56248 -9.56248],[0.40062 0.40062 0.40062],0.2736
2300,[-9.25466 -9.25466 -9.25466],[2.19597 2.19597 2.19597],0.2724
2400,[-8.62514 -8.62514 -8.62514],[4.17707 4.17707 4.17707],0.2712
2500,[-9.81629 -9.81629 -9.81629],[1.60875 1.60875 1.60875],0.27
2600,[-10.09686 -10.09686 -10.09686],[1.43425 1.43425 1.43425],0.2688
2700,[-8.81689 -8.81689 -8.81689],[0.46108 0.46108 0.46108],0.2676
2800,[-9.30798 -9.30798 -9.30798],[0.69533 0.69533 0.69533],0.26639999999999997
2900,[-8.90289 -8.90289 -8.90289],[1.25630 1.25630 1.25630],0.2652
3000,[-9.33376 -9.33376 -9.33376],[4.32194 4.32194 4.32194],0.264
3100,[-8.33463 -8.33463 -8.33463],[0.78007 0.78007 0.78007],0.2628
3200,[-8.20173 -8.20173 -8.20173],[1.97761 1.97761 1.97761],0.2616
3300,[-9.37750 -9.37750 -9.37750],[1.19198 1.19198 1.19198],0.26039999999999996
