number,rewards,variances,exploration_value
0,[-11.45682 -11.45682 -11.45682],[5.10608 5.10608 5.10608],0.3
100,[-8.88231 -8.88231 -8.88231],[1.78571 1.78571 1.78571],0.2988
200,[-7.63206 -7.63206 -7.63206],[0.30560 0.30560 0.30560],0.2976
300,[-8.61666 -8.61666 -8.61666],[0.76288 0.76288 0.76288],0.2964
400,[-8.83831 -8.83831 -8.83831],[0.80035 0.80035 0.80035],0.29519999999999996
500,[-9.28867 -9.28867 -9.28867],[2.53326 2.53326 2.53326],0.294
600,[-8.61293 -8.61293 -8.61293],[1.39813 1.39813 1.39813],0.2928
700,[-9.30479 -9.30479 -9.30479],[1.04678 1.04678 1.04678],0.29159999999999997
800,[-8.42819 -8.42819 -8.42819],[1.60449 1.60449 1.60449],0.2904
900,[-9.35760 -9.35760 -9.35760],[7.58987 7.58987 7.58987],0.28919999999999996
1000,[-9.17911 -9.17911 -9.17911],[1.75690 1.75690 1.75690],0.288
1100,[-10.45681 -10.45681 -10.45681],[3.37888 3.37888 3.37888],0.2868
1200,[-8.76560 -8.76560 -8.76560],[0.27124 0.27124 0.27124],0.28559999999999997
1300,[-9.71913 -9.71913 -9.71913],[2.13103 2.13103 2.13103],0.2844
1400,[-9.68492 -9.68492 -9.68492],[1.76629 1.76629 1.76629],0.28319999999999995
1500,[-8.40403 -8.40403 -8.40403],[2.40166 2.40166 2.40166],0.282
1600,[-8.48534 -8.48534 -8.48534],[0.57707 0.57707 0.57707],0.2808
1700,[-8.33037 -8.33037 -8.33037],[1.78179 1.78179 1.78179],0.2796
1800,[-7.75498 -7.75498 -7.75498],[1.75586 1.75586 1.75586],0.2784
1900,[-8.21993 -8.21993 -8.21993],[0.15606 0.15606 0.15606],0.2772
2000,[-9.91879 -9.91879 -9.91879],[1.10942 1.10942 1.10942],0.276
2100,[-7.66888 -7.66888 -7.66888],[1.59228 1.59228 1.59228],0.2748
2200,[-9.65288 -9.65288 -9.65288],[2.31603 2.31603 2.31603],0.2736
2300,[-9.28432 -9.28432 -9.28432],[2.03028 2.03028 2.03028],0.2724
2400,[-7.55380 -7.55380 -7.55380],[1.70948 1.70948 1.70948],0.2712
2500,[-8.65755 -8.65755 -8.65755],[3.55572 3.55572 3.55572],0.27
2600,[-11.96048 -11.96048 -11.96048],[15.71363 15.71363 15.71363],0.2688
2700,[-8.15642 -8.15642 -8.15642],[0.38151 0.38151 0.38151],0.2676
2800,[-8.34238 -8.34238 -8.34238],[0.47337 0.47337 0.47337],0.26639999999999997
2900,[-7.73441 -7.73441 -7.73441],[0.39340 0.39340 0.39340],0.2652
3000,[-8.48700 -8.48700 -8.48700],[3.17882 3.17882 3.17882],0.264
3100,[-8.09623 -8.09623 -8.09623],[2.56720 2.56720 2.56720],0.2628
3200,[-8.03674 -8.03674 -8.03674],[0.38421 0.38421 0.38421],0.2616
3300,[-10.54508 -10.54508 -10.54508],[6.63797 6.63797 6.63797],0.26039999999999996
3400,[-8.39977 -8.39977 -8.39977],[1.54900 1.54900 1.54900],0.2592
3500,[-9.40745 -9.40745 -9.40745],[4.30166 4.30166 4.30166],0.258
3600,[-9.45207 -9.45207 -9.45207],[1.57383 1.57383 1.57383],0.2568
3700,[-8.52633 -8.52633 -8.52633],[1.53898 1.53898 1.53898],0.2556
3800,[-8.61695 -8.61695 -8.61695],[0.26118 0.26118 0.26118],0.25439999999999996
3900,[-8.66444 -8.66444 -8.66444],[0.79175 0.79175 0.79175],0.2532
4000,[-7.69907 -7.69907 -7.69907],[1.21197 1.21197 1.21197],0.252
4100,[-7.80921 -7.80921 -7.80921],[1.47225 1.47225 1.47225],0.25079999999999997
4200,[-8.16179 -8.16179 -8.16179],[5.76249 5.76249 5.76249],0.2496
4300,[-7.88357 -7.88357 -7.88357],[0.72155 0.72155 0.72155],0.24839999999999998
4400,[-8.09101 -8.09101 -8.09101],[2.99595 2.99595 2.99595],0.24719999999999998
4500,[-6.95192 -6.95192 -6.95192],[0.21640 0.21640 0.21640],0.24599999999999997
4600,[-7.71537 -7.71537 -7.71537],[1.07373 1.07373 1.07373],0.24479999999999996
4700,[-7.68893 -7.68893 -7.68893],[2.76996 2.76996 2.76996],0.2436
4800,[-7.47579 -7.47579 -7.47579],[1.47915 1.47915 1.47915],0.2424
4900,[-7.23929 -7.23929 -7.23929],[0.76202 0.76202 0.76202],0.2412
5000,[-8.64044 -8.64044 -8.64044],[1.57407 1.57407 1.57407],0.24
5100,[-7.04187 -7.04187 -7.04187],[0.56361 0.56361 0.56361],0.2388
5200,[-7.49794 -7.49794 -7.49794],[0.25076 0.25076 0.25076],0.2376
