number,rewards,variances,exploration_value
0,[-17.26485 -17.26485 -17.26485],[29.28729 29.28729 29.28729],0.3
100,[-13.45905 -13.45905 -13.45905],[2.54798 2.54798 2.54798],0.2988
200,[-9.49099 -9.49099 -9.49099],[1.33931 1.33931 1.33931],0.2976
300,[-9.30543 -9.30543 -9.30543],[3.91269 3.91269 3.91269],0.2964
400,[-9.36269 -9.36269 -9.36269],[0.53862 0.53862 0.53862],0.29519999999999996
500,[-8.24471 -8.24471 -8.24471],[0.74214 0.74214 0.74214],0.294
600,[-9.13978 -9.13978 -9.13978],[2.35211 2.35211 2.35211],0.2928
700,[-8.70657 -8.70657 -8.70657],[1.10254 1.10254 1.10254],0.29159999999999997
800,[-9.00507 -9.00507 -9.00507],[1.80832 1.80832 1.80832],0.2904
900,[-9.74008 -9.74008 -9.74008],[3.67887 3.67887 3.67887],0.28919999999999996
1000,[-7.15067 -7.15067 -7.15067],[1.54355 1.54355 1.54355],0.288
1100,[-8.31622 -8.31622 -8.31622],[1.52160 1.52160 1.52160],0.2868
1200,[-8.65002 -8.65002 -8.65002],[2.97457 2.97457 2.97457],0.28559999999999997
1300,[-7.03684 -7.03684 -7.03684],[1.35350 1.35350 1.35350],0.2844
1400,[-8.72179 -8.72179 -8.72179],[2.32270 2.32270 2.32270],0.28319999999999995
1500,[-7.83605 -7.83605 -7.83605],[0.25348 0.25348 0.25348],0.282
1600,[-7.53469 -7.53469 -7.53469],[0.77610 0.77610 0.77610],0.2808
1700,[-7.46460 -7.46460 -7.46460],[0.50498 0.50498 0.50498],0.2796
1800,[-7.38101 -7.38101 -7.38101],[0.47844 0.47844 0.47844],0.2784
1900,[-8.40371 -8.40371 -8.40371],[0.31377 0.31377 0.31377],0.2772
2000,[-7.50734 -7.50734 -7.50734],[0.20450 0.20450 0.20450],0.276
2100,[-7.27380 -7.27380 -7.27380],[1.80336 1.80336 1.80336],0.2748
2200,[-7.33701 -7.33701 -7.33701],[1.35875 1.35875 1.35875],0.2736
2300,[-8.40201 -8.40201 -8.40201],[0.55577 0.55577 0.55577],0.2724
2400,[-7.92619 -7.92619 -7.92619],[1.80471 1.80471 1.80471],0.2712
2500,[-7.95897 -7.95897 -7.95897],[5.33118 5.33118 5.33118],0.27
2600,[-7.19958 -7.19958 -7.19958],[0.48347 0.48347 0.48347],0.2688
