iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
0,100,-2.22084,3.59410,0.43827,-2.48460,4.00571,0.46012,-2.66491,4.37263,0.45324
1,200,-2.35405,1.83497,0.34713,-2.57535,1.76380,0.37060,-2.45128,1.63643,0.34846
2,300,-2.87014,1.42320,0.33917,-2.97585,1.43752,0.36016,-2.82218,1.36266,0.33615
3,400,-3.27238,1.28252,0.34248,-3.43764,1.27960,0.35842,-3.16728,1.29368,0.33446
4,500,-3.73332,1.29598,0.35196,-3.89963,1.26769,0.36375,-3.64641,1.25103,0.34145
5,600,-4.04979,1.17736,0.34918,-4.11018,1.32755,0.36416,-3.93174,1.19944,0.33799
6,700,-4.32003,1.19527,0.34850,-4.39579,1.30719,0.36109,-4.15353,1.16962,0.33420
7,800,-4.63075,1.16789,0.34275,-4.78853,1.21658,0.36014,-4.55921,1.25142,0.33412
8,900,-4.94239,1.20429,0.33497,-5.10848,1.18542,0.35890,-4.88962,1.37132,0.33574
9,1000,-5.27999,1.17445,0.33084,-5.45939,1.27014,0.35803,-5.27775,1.34761,0.33751
10,1100,-5.71958,1.29111,0.32931,-5.80471,1.32270,0.35277,-5.66555,1.56960,0.33695
11,1200,-5.92748,1.26281,0.32604,-6.16849,1.23889,0.34909,-5.93776,1.32070,0.33616
12,1300,-6.34231,1.37458,0.32166,-6.58342,1.40981,0.35118,-6.37045,1.37697,0.33035
13,1400,-6.62761,1.28306,0.31974,-6.93012,1.43902,0.34481,-6.71649,1.34506,0.32885
14,1500,-6.83815,1.53918,0.31218,-7.26731,1.30812,0.34160,-7.08329,1.28271,0.32803
15,1600,-7.30547,1.44640,0.31317,-7.66857,1.42155,0.33879,-7.55512,2.05276,0.32304
16,1700,-7.58454,1.56563,0.30923,-8.05690,1.71639,0.34132,-7.90419,1.53576,0.32368
17,1800,-8.01974,1.64951,0.31085,-8.36658,1.50572,0.33714,-8.25452,1.45237,0.32098
18,1900,-8.47868,1.35182,0.31429,-8.86755,1.43989,0.33950,-8.58502,1.60469,0.32210
19,2000,-8.76136,1.40259,0.31610,-9.14781,1.47337,0.34062,-8.90279,1.43692,0.32092
20,2100,-9.17354,1.28646,0.31687,-9.39740,1.49572,0.34166,-9.22394,1.35502,0.31999
21,2200,-9.47347,1.23249,0.31589,-9.68845,1.51436,0.34051,-9.56959,1.75225,0.31917
22,2300,-9.91064,1.24786,0.31629,-10.19879,1.49227,0.34054,-9.88313,1.34617,0.31753
23,2400,-10.27299,1.36297,0.31770,-10.63370,1.46490,0.33960,-10.25521,1.43798,0.32405
24,2500,-10.71917,1.45017,0.32145,-11.01251,1.31301,0.34176,-10.62096,1.65459,0.32161
25,2600,-10.95727,1.58123,0.32235,-11.37490,1.26360,0.34401,-10.90340,2.01636,0.32226
26,2700,-11.39330,1.53966,0.32417,-11.77572,1.28806,0.34548,-11.14776,1.58183,0.32305
27,2800,-11.90025,2.38958,0.32484,-12.22509,1.38522,0.34702,-11.66019,1.54071,0.32398
28,2900,-12.00125,1.82372,0.32347,-12.61450,1.68832,0.34353,-11.89717,1.75475,0.32445
29,3000,-12.35138,2.33647,0.32525,-12.64352,1.90955,0.34215,-12.20412,1.53136,0.32265
30,3100,-12.65970,1.87221,0.32356,-13.32500,2.02852,0.34399,-12.66552,1.58212,0.32697
31,3200,-13.11398,1.55158,0.32789,-13.61135,1.80781,0.34559,-12.98757,1.51122,0.32842
32,3300,-13.39881,1.78450,0.32568,-13.80002,1.69791,0.34459,-13.21044,1.82631,0.32599
33,3400,-13.63365,1.61535,0.32650,-14.23990,1.91514,0.34446,-13.53519,1.98162,0.32843
34,3500,-14.00601,1.85434,0.32610,-14.51954,1.87427,0.34345,-13.77023,1.75491,0.32957
35,3600,-14.40077,1.85637,0.32753,-14.72637,2.07720,0.34219,-14.21416,1.82709,0.32989
36,3700,-14.60961,2.34404,0.32675,-15.06216,1.80519,0.34278,-14.43975,1.68596,0.33101
37,3800,-14.87370,2.22944,0.32717,-15.44264,1.61974,0.34128,-14.81455,1.84027,0.33047
38,3900,-15.01833,1.88420,0.32519,-15.71715,2.06539,0.34214,-15.04280,1.92702,0.32808
39,4000,-15.39656,2.01164,0.32712,-15.80860,3.12163,0.34302,-15.40533,1.87461,0.32940
40,4100,-15.94262,2.33442,0.32246,-16.29064,1.89867,0.34081,-15.49601,1.72312,0.32889
41,4200,-16.00315,2.57868,0.32497,-16.47857,2.14353,0.34363,-15.82179,1.68135,0.33192
42,4300,-15.91334,2.25786,0.32638,-16.59567,1.83900,0.33759,-15.97991,1.73627,0.32652
43,4400,-16.40693,2.21958,0.32435,-16.78339,1.75156,0.33903,-16.17407,1.75576,0.32741
