number,rewards,variances,exploration_value
0,[-17.26485 -17.26485 -17.26485],[29.28729 29.28729 29.28729],0.3
100,[-9.73387 -9.73387 -9.73387],[2.76648 2.76648 2.76648],0.2988
200,[-10.02338 -10.02338 -10.02338],[0.70998 0.70998 0.70998],0.2976
300,[-8.34600 -8.34600 -8.34600],[1.23125 1.23125 1.23125],0.2964
400,[-8.78466 -8.78466 -8.78466],[0.23860 0.23860 0.23860],0.29519999999999996
500,[-9.87161 -9.87161 -9.87161],[1.75047 1.75047 1.75047],0.294
600,[-9.02584 -9.02584 -9.02584],[3.16467 3.16467 3.16467],0.2928
700,[-8.61528 -8.61528 -8.61528],[1.87756 1.87756 1.87756],0.29159999999999997
800,[-9.03418 -9.03418 -9.03418],[0.73608 0.73608 0.73608],0.2904
900,[-9.00444 -9.00444 -9.00444],[2.14436 2.14436 2.14436],0.28919999999999996
1000,[-8.14427 -8.14427 -8.14427],[4.96152 4.96152 4.96152],0.288
1100,[-7.96670 -7.96670 -7.96670],[0.60858 0.60858 0.60858],0.2868
1200,[-8.54792 -8.54792 -8.54792],[2.86504 2.86504 2.86504],0.28559999999999997
1300,[-7.40639 -7.40639 -7.40639],[1.88897 1.88897 1.88897],0.2844
1400,[-8.97553 -8.97553 -8.97553],[2.11342 2.11342 2.11342],0.28319999999999995
1500,[-8.83710 -8.83710 -8.83710],[3.02163 3.02163 3.02163],0.282
1600,[-8.64426 -8.64426 -8.64426],[1.55795 1.55795 1.55795],0.2808
1700,[-8.15752 -8.15752 -8.15752],[1.63743 1.63743 1.63743],0.2796
1800,[-7.62339 -7.62339 -7.62339],[1.04106 1.04106 1.04106],0.2784
1900,[-8.60434 -8.60434 -8.60434],[0.55006 0.55006 0.55006],0.2772
2000,[-8.00113 -8.00113 -8.00113],[0.06175 0.06175 0.06175],0.276
2100,[-8.13875 -8.13875 -8.13875],[2.19346 2.19346 2.19346],0.2748
2200,[-7.61711 -7.61711 -7.61711],[0.24827 0.24827 0.24827],0.2736
2300,[-8.48886 -8.48886 -8.48886],[1.41584 1.41584 1.41584],0.2724
2400,[-7.98503 -7.98503 -7.98503],[1.03326 1.03326 1.03326],0.2712
2500,[-7.34280 -7.34280 -7.34280],[3.71776 3.71776 3.71776],0.27
2600,[-7.12117 -7.12117 -7.12117],[2.81924 2.81924 2.81924],0.2688
2700,[-7.56975 -7.56975 -7.56975],[1.04148 1.04148 1.04148],0.2676
2800,[-7.67762 -7.67762 -7.67762],[1.45156 1.45156 1.45156],0.26639999999999997
2900,[-8.23466 -8.23466 -8.23466],[2.47686 2.47686 2.47686],0.2652
3000,[-7.33789 -7.33789 -7.33789],[0.68498 0.68498 0.68498],0.264
3100,[-8.82721 -8.82721 -8.82721],[2.74328 2.74328 2.74328],0.2628
3200,[-7.39166 -7.39166 -7.39166],[1.88997 1.88997 1.88997],0.2616
