iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,-2.89189,1.57551,0.53319,1.61360,-2.62114,1.56181,0.48374,1.60873,-2.83527,1.68800,0.51765,1.61115
1,200,-3.37243,0.75094,0.53431,1.62163,-3.09522,0.79293,0.47290,1.61143,-3.32960,0.80262,0.51379,1.61481
2,300,-3.75598,0.53877,0.52638,1.62422,-3.47754,0.57741,0.46551,1.61033,-3.71021,0.58577,0.51248,1.61056
3,400,-3.89794,0.52944,0.49830,1.62263,-3.74186,0.54043,0.45881,1.61047,-3.90003,0.56951,0.48881,1.61052
4,500,-4.17583,0.57704,0.47985,1.62079,-4.08743,0.67907,0.45617,1.60782,-4.13068,0.54306,0.47084,1.61081
5,600,-4.42036,0.57066,0.46543,1.61919,-4.33104,0.87923,0.46290,1.60582,-4.43302,0.52076,0.46546,1.61241
6,700,-4.78646,0.59387,0.45104,1.61883,-4.75151,0.76209,0.45613,1.60458,-4.66805,0.57256,0.45539,1.61356
7,800,-5.04475,0.57487,0.44055,1.61799,-5.04330,0.55126,0.44350,1.60433,-5.06222,0.66683,0.44555,1.61312
8,900,-5.39315,0.58384,0.42753,1.61696,-5.29682,0.60335,0.42682,1.60399,-5.42354,0.60836,0.43495,1.61234
9,1000,-5.60159,0.71139,0.41658,1.61603,-5.58543,0.64440,0.41563,1.60346,-5.61606,0.76261,0.42293,1.61186
10,1100,-5.91584,0.69571,0.40388,1.61536,-5.87502,0.57132,0.40338,1.60307,-5.84778,0.79492,0.40972,1.61166
11,1200,-6.15346,0.93113,0.39520,1.61407,-6.16571,0.56446,0.39162,1.60194,-6.25347,0.72193,0.40014,1.61214
12,1300,-6.42577,1.01580,0.38466,1.61315,-6.53136,0.62404,0.38187,1.60229,-6.63444,0.67116,0.39129,1.61207
13,1400,-6.72718,0.83943,0.37882,1.61204,-6.81133,0.74366,0.37440,1.60279,-6.82432,0.58315,0.38031,1.61118
14,1500,-7.06098,0.81482,0.36821,1.61236,-7.07012,0.57114,0.36627,1.60033,-7.07734,0.57336,0.37327,1.61150
15,1600,-7.22538,0.77644,0.36174,1.61138,-7.32177,0.68701,0.35742,1.60062,-7.40742,0.64988,0.36265,1.61152
16,1700,-7.41890,0.91878,0.35263,1.61107,-7.58498,0.82363,0.34845,1.60104,-7.59992,0.65193,0.35528,1.61127
17,1800,-7.79143,1.02183,0.34382,1.60964,-7.84430,0.69777,0.33974,1.60085,-7.88579,0.73484,0.34761,1.61097
18,1900,-7.95469,0.86913,0.33657,1.60908,-8.04569,0.91186,0.33295,1.60077,-8.15982,0.82419,0.33819,1.61096
