iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,-2.76492,1.71822,0.51883,2.72241,-2.76943,1.59383,0.51869,2.72201,-2.77595,1.66282,0.51924,2.72199
1,200,-3.27769,0.90845,0.50875,2.71958,-3.26325,0.76411,0.50805,2.71960,-3.24641,0.88528,0.50841,2.71944
2,300,-3.56410,0.60692,0.48010,2.71975,-3.45894,0.59214,0.47453,2.72013,-3.55451,0.72964,0.47734,2.71953
3,400,-3.78354,0.50955,0.46768,2.72040,-3.78463,0.62088,0.47122,2.72045,-3.79724,0.49553,0.46769,2.72049
4,500,-3.99070,0.53578,0.43946,2.72175,-3.90128,0.56308,0.44105,2.72161,-3.99020,0.64022,0.43952,2.72182
5,600,-4.14867,0.53550,0.40796,2.72071,-4.12441,0.49060,0.40710,2.72143,-4.12585,0.58104,0.40583,2.72078
6,700,-4.31863,0.46794,0.37216,2.71852,-4.31401,0.51016,0.37127,2.71808,-4.26929,0.50671,0.36989,2.71854
7,800,-4.41002,0.55529,0.34206,2.71603,-4.40705,0.53472,0.34377,2.71577,-4.45140,0.45073,0.34083,2.71599
8,900,-4.68815,0.51999,0.32162,2.71399,-4.69087,0.63407,0.32113,2.71366,-4.78440,0.56736,0.32037,2.71379
9,1000,-4.89672,0.47959,0.30227,2.71163,-4.86717,0.64263,0.30062,2.71169,-4.88777,0.48458,0.30122,2.71133
10,1100,-5.07248,0.47924,0.28260,2.70937,-5.01626,0.52995,0.28227,2.70914,-5.07269,0.50665,0.28198,2.70946
11,1200,-5.19255,0.51430,0.26289,2.70697,-5.13911,0.52203,0.26182,2.70705,-5.20674,0.52620,0.26212,2.70689
12,1300,-5.28700,0.51443,0.24371,2.70477,-5.34961,0.56255,0.24460,2.70452,-5.34208,0.74490,0.24585,2.70452
13,1400,-5.38416,0.54347,0.22686,2.70261,-5.48144,0.50106,0.22647,2.70231,-5.43391,0.85899,0.22513,2.70287
14,1500,-5.52615,0.56045,0.21073,2.70026,-5.59230,0.63543,0.21041,2.70063,-5.48807,0.80760,0.20967,2.70074
15,1600,-5.56580,0.69017,0.19530,2.69837,-5.72091,0.64563,0.19455,2.69841,-5.59851,0.78669,0.19558,2.69892
16,1700,-5.81567,0.54328,0.18260,2.69647,-5.76809,0.72475,0.18265,2.69669,-5.69634,0.55745,0.18176,2.69635
17,1800,-5.81226,0.51601,0.17013,2.69453,-5.89138,0.54887,0.16968,2.69472,-5.75759,0.56140,0.16983,2.69452
18,1900,-5.82439,1.01289,0.15885,2.69240,-5.94871,0.52501,0.15867,2.69208,-5.80242,0.53703,0.15816,2.69233
19,2000,-5.95919,0.64535,0.14886,2.69024,-6.04729,0.63807,0.14908,2.69024,-5.91659,0.57104,0.14855,2.68991
20,2100,-6.05140,0.55449,0.13956,2.68791,-6.09861,0.57408,0.13851,2.68824,-5.87884,0.60182,0.13906,2.68840
21,2200,-6.08231,0.60267,0.13049,2.68536,-6.17008,0.65605,0.13038,2.68596,-6.02780,0.55829,0.13054,2.68636
22,2300,-6.12674,0.62896,0.12251,2.68347,-6.18538,0.55367,0.12240,2.68303,-6.00192,0.54053,0.12254,2.68305
23,2400,-6.09470,0.55371,0.11577,2.68139,-6.22661,0.55952,0.11620,2.68120,-6.08870,0.56873,0.11591,2.68110
24,2500,-6.16926,0.59136,0.10959,2.67794,-6.25864,0.60100,0.10928,2.67838,-6.29545,0.84734,0.10955,2.67842
25,2600,-6.17779,0.64148,0.10411,2.67548,-6.25971,0.61645,0.10411,2.67565,-6.28005,1.01437,0.10371,2.67589
26,2700,-6.19547,0.61376,0.09867,2.67268,-6.26701,0.61510,0.09882,2.67351,-6.23266,0.70020,0.09893,2.67249
27,2800,-6.24314,0.73888,0.09409,2.67049,-6.34536,0.82040,0.09401,2.67010,-6.27964,0.61248,0.09427,2.66979
