number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.3
100,[0.48000 0.48000 0.48000 -0.75637],[0.92160 0.92160 0.92160 1.43797],0.2988
200,[0.08000 0.08000 0.08000 -0.97069],[0.02560 0.02560 0.02560 1.46295],0.2976
300,[0.40000 0.40000 0.40000 -1.34388],[0.25600 0.25600 0.25600 0.11612],0.2964
400,[0.00000 0.00000 0.00000 -0.49962],[0.00000 0.00000 0.00000 0.48513],0.29519999999999996
500,[0.24000 0.24000 0.24000 -2.52812],[0.23040 0.23040 0.23040 3.12155],0.294
600,[0.00000 0.00000 0.00000 -0.37982],[0.00000 0.00000 0.00000 0.22150],0.2928
700,[0.08000 0.08000 0.08000 -0.22577],[0.02560 0.02560 0.02560 0.04442],0.29159999999999997
800,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.2904
900,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.28919999999999996
1000,[0.24000 0.24000 0.24000 -0.39038],[0.10240 0.10240 0.10240 0.06646],0.288
1100,[0.24000 0.24000 0.24000 -0.29710],[0.10240 0.10240 0.10240 0.09306],0.2868
1200,[0.08000 0.08000 0.08000 -0.14643],[0.02560 0.02560 0.02560 0.02617],0.28559999999999997
1300,[0.32000 0.32000 0.32000 -0.32011],[0.15360 0.15360 0.15360 0.15353],0.2844
1400,[0.24000 0.24000 0.24000 -0.26763],[0.03840 0.03840 0.03840 0.04939],0.28319999999999995
1500,[0.00000 0.00000 0.00000 -0.00252],[0.00000 0.00000 0.00000 0.00002],0.282
1600,[0.08000 0.08000 0.08000 -0.08443],[0.02560 0.02560 0.02560 0.02497],0.2808
1700,[0.40000 0.40000 0.40000 -0.40349],[0.25600 0.25600 0.25600 0.25326],0.2796
1800,[0.08000 0.08000 0.08000 -0.08667],[0.02560 0.02560 0.02560 0.02460],0.2784
1900,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.2772
2000,[0.64000 0.64000 0.64000 -0.64000],[0.29440 0.29440 0.29440 0.29440],0.276
2100,[0.40000 0.40000 0.40000 -0.40000],[0.12800 0.12800 0.12800 0.12800],0.2748
2200,[0.16000 0.16000 0.16000 -0.16021],[0.03840 0.03840 0.03840 0.03833],0.2736
2300,[1.04000 1.04000 1.04000 -1.08151],[0.93440 0.93440 0.93440 1.02184],0.2724
2400,[0.48000 0.48000 0.48000 -0.48052],[0.08960 0.08960 0.08960 0.08952],0.2712
2500,[0.32000 0.32000 0.32000 -0.32000],[0.15360 0.15360 0.15360 0.15360],0.27
2600,[0.40000 0.40000 0.40000 -0.40176],[0.38400 0.38400 0.38400 0.38261],0.2688
2700,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.2676
2800,[0.32000 0.32000 0.32000 -0.35083],[0.08960 0.08960 0.08960 0.09833],0.26639999999999997
2900,[0.24000 0.24000 0.24000 -0.25036],[0.10240 0.10240 0.10240 0.09825],0.2652
3000,[0.32000 0.32000 0.32000 -0.32000],[0.15360 0.15360 0.15360 0.15360],0.264
3100,[0.32000 0.32000 0.32000 -0.32598],[0.21760 0.21760 0.21760 0.21383],0.2628
3200,[0.40000 0.40000 0.40000 -0.40000],[0.38400 0.38400 0.38400 0.38400],0.2616
3300,[1.12000 1.12000 1.12000 -1.12000],[0.47360 0.47360 0.47360 0.47360],0.26039999999999996
3400,[0.64000 0.64000 0.64000 -0.64041],[0.42240 0.42240 0.42240 0.42319],0.2592
3500,[0.56000 0.56000 0.56000 -0.62502],[0.29440 0.29440 0.29440 0.39453],0.258
3600,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.2568
3700,[0.72000 0.72000 0.72000 -0.72032],[0.47360 0.47360 0.47360 0.47339],0.2556
3800,[1.20000 1.20000 1.20000 -1.21593],[0.83200 0.83200 0.83200 0.82025],0.25439999999999996
3900,[0.40000 0.40000 0.40000 -0.40000],[0.12800 0.12800 0.12800 0.12800],0.2532
4000,[1.28000 1.28000 1.28000 -1.42334],[1.94560 1.94560 1.94560 2.80757],0.252
4100,[0.72000 0.72000 0.72000 -0.72000],[1.56160 1.56160 1.56160 1.56160],0.25079999999999997
4200,[0.64000 0.64000 0.64000 -0.66082],[0.61440 0.61440 0.61440 0.65537],0.2496
4300,[0.48000 0.48000 0.48000 -0.48121],[0.08960 0.08960 0.08960 0.09038],0.24839999999999998
4400,[1.04000 1.04000 1.04000 -1.12728],[0.29440 0.29440 0.29440 0.19580],0.24719999999999998
4500,[1.12000 1.12000 1.12000 -1.20894],[1.17760 1.17760 1.17760 1.07385],0.24599999999999997
4600,[0.64000 0.64000 0.64000 -0.74550],[0.87040 0.87040 0.87040 0.76399],0.24479999999999996
4700,[0.88000 0.88000 0.88000 -1.11163],[0.60160 0.60160 0.60160 0.57848],0.2436
4800,[1.12000 1.12000 1.12000 -1.19365],[1.49760 1.49760 1.49760 1.34866],0.2424
4900,[0.24000 0.24000 0.24000 -0.28522],[0.10240 0.10240 0.10240 0.10296],0.2412
5000,[0.64000 0.64000 0.64000 -0.64016],[0.48640 0.48640 0.48640 0.48632],0.24
5100,[1.36000 1.36000 1.36000 -1.40104],[0.99840 0.99840 0.99840 1.01562],0.2388
5200,[0.96000 0.96000 0.96000 -1.08176],[0.67840 0.67840 0.67840 0.53132],0.2376
5300,[0.72000 0.72000 0.72000 -0.98247],[0.92160 0.92160 0.92160 0.86770],0.2364
5400,[0.48000 0.48000 0.48000 -0.91237],[0.60160 0.60160 0.60160 0.66361],0.2352
5500,[0.24000 0.24000 0.24000 -0.47855],[0.03840 0.03840 0.03840 0.06187],0.23399999999999999
5600,[0.32000 0.32000 0.32000 -0.54262],[0.40960 0.40960 0.40960 0.45798],0.2328
5700,[0.64000 0.64000 0.64000 -0.74125],[0.35840 0.35840 0.35840 0.33166],0.2316
5800,[1.12000 1.12000 1.12000 -1.30009],[1.11360 1.11360 1.11360 0.92973],0.2304
5900,[0.40000 0.40000 0.40000 -0.58245],[0.38400 0.38400 0.38400 0.29440],0.2292
6000,[1.28000 1.28000 1.28000 -1.37201],[1.68960 1.68960 1.68960 1.48791],0.22799999999999998
6100,[0.00000 0.00000 0.00000 -0.76206],[0.00000 0.00000 0.00000 0.70521],0.2268
6200,[0.16000 0.16000 0.16000 -1.01548],[0.10240 0.10240 0.10240 0.11217],0.2256
6300,[0.40000 0.40000 0.40000 -2.21846],[0.25600 0.25600 0.25600 2.01060],0.2244
6400,[0.08000 0.08000 0.08000 -1.79827],[0.02560 0.02560 0.02560 3.66123],0.22319999999999998
6500,[0.24000 0.24000 0.24000 -0.75385],[0.10240 0.10240 0.10240 0.32821],0.222
6600,[0.40000 0.40000 0.40000 -0.85911],[0.64000 0.64000 0.64000 0.52564],0.2208
6700,[0.00000 0.00000 0.00000 -0.28712],[0.00000 0.00000 0.00000 0.05948],0.2196
6800,[0.56000 0.56000 0.56000 -0.84783],[0.35840 0.35840 0.35840 0.15464],0.21839999999999998
6900,[0.08000 0.08000 0.08000 -0.40732],[0.02560 0.02560 0.02560 0.16839],0.21719999999999998
7000,[0.40000 0.40000 0.40000 -0.76355],[0.12800 0.12800 0.12800 0.40011],0.216
7100,[0.56000 0.56000 0.56000 -0.81028],[0.23040 0.23040 0.23040 0.20065],0.2148
7200,[0.72000 0.72000 0.72000 -0.96090],[1.56160 1.56160 1.56160 1.38343],0.21359999999999998
7300,[0.08000 0.08000 0.08000 -0.14145],[0.02560 0.02560 0.02560 0.03453],0.21239999999999998
7400,[0.48000 0.48000 0.48000 -0.52658],[0.92160 0.92160 0.92160 1.00438],0.21119999999999997
7500,[0.72000 0.72000 0.72000 -0.97945],[2.07360 2.07360 2.07360 1.80390],0.21
7600,[0.24000 0.24000 0.24000 -0.57290],[0.23040 0.23040 0.23040 0.44561],0.20879999999999999
7700,[0.00000 0.00000 0.00000 -0.43805],[0.00000 0.00000 0.00000 0.28059],0.20759999999999998
7800,[0.32000 0.32000 0.32000 -1.14111],[0.08960 0.08960 0.08960 0.28149],0.20639999999999997
7900,[0.72000 0.72000 0.72000 -0.72805],[0.15360 0.15360 0.15360 0.15515],0.20520000000000002
8000,[0.24000 0.24000 0.24000 -0.47051],[0.23040 0.23040 0.23040 0.19482],0.20400000000000001
8100,[0.56000 0.56000 0.56000 -0.61789],[0.23040 0.23040 0.23040 0.17897],0.2028
8200,[0.48000 0.48000 0.48000 -0.56544],[0.92160 0.92160 0.92160 1.06512],0.2016
8300,[0.08000 0.08000 0.08000 -0.10054],[0.02560 0.02560 0.02560 0.02510],0.2004
8400,[0.40000 0.40000 0.40000 -0.49207],[0.25600 0.25600 0.25600 0.20936],0.19920000000000002
8500,[0.00000 0.00000 0.00000 -0.35106],[0.00000 0.00000 0.00000 0.10831],0.198
8600,[1.36000 1.36000 1.36000 -1.37177],[5.47840 5.47840 5.47840 5.44694],0.1968
8700,[0.16000 0.16000 0.16000 -0.49589],[0.03840 0.03840 0.03840 0.23540],0.1956
8800,[0.16000 0.16000 0.16000 -0.16465],[0.10240 0.10240 0.10240 0.10100],0.1944
8900,[0.00000 0.00000 0.00000 -0.08584],[0.00000 0.00000 0.00000 0.02947],0.1932
9000,[0.16000 0.16000 0.16000 -0.21755],[0.10240 0.10240 0.10240 0.09190],0.192
9100,[0.72000 0.72000 0.72000 -0.82389],[0.40960 0.40960 0.40960 0.30317],0.1908
9200,[0.08000 0.08000 0.08000 -0.09966],[0.02560 0.02560 0.02560 0.03809],0.1896
9300,[0.48000 0.48000 0.48000 -0.63233],[0.92160 0.92160 0.92160 0.85131],0.18839999999999998
9400,[1.04000 1.04000 1.04000 -1.04000],[0.93440 0.93440 0.93440 0.93440],0.1872
9500,[1.04000 1.04000 1.04000 -1.04000],[1.63840 1.63840 1.63840 1.63840],0.186
9600,[0.32000 0.32000 0.32000 -0.84737],[0.08960 0.08960 0.08960 0.46939],0.1848
9700,[0.80000 0.80000 0.80000 -1.16992],[0.51200 0.51200 0.51200 0.46749],0.18359999999999999
9800,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.18239999999999998
9900,[0.64000 0.64000 0.64000 -0.64553],[0.16640 0.16640 0.16640 0.16912],0.1812
10000,[0.88000 0.88000 0.88000 -0.97686],[0.60160 0.60160 0.60160 0.46849],0.18
10100,[0.64000 0.64000 0.64000 -0.66554],[0.55040 0.55040 0.55040 0.54073],0.1788
10200,[0.08000 0.08000 0.08000 -0.08201],[0.02560 0.02560 0.02560 0.02691],0.17759999999999998
10300,[2.56000 2.56000 2.56000 -2.56000],[4.51840 4.51840 4.51840 4.51840],0.17639999999999997
10400,[0.24000 0.24000 0.24000 -0.24439],[0.03840 0.03840 0.03840 0.03637],0.1752
10500,[0.48000 0.48000 0.48000 -0.48000],[0.34560 0.34560 0.34560 0.34560],0.174
10600,[0.56000 0.56000 0.56000 -0.73502],[0.61440 0.61440 0.61440 0.54091],0.17279999999999998
10700,[2.32000 2.32000 2.32000 -2.39371],[6.55360 6.55360 6.55360 6.25064],0.17159999999999997
10800,[2.16000 2.16000 2.16000 -2.40415],[4.26240 4.26240 4.26240 3.44237],0.17039999999999997
10900,[0.24000 0.24000 0.24000 -0.34624],[0.23040 0.23040 0.23040 0.22455],0.1692
11000,[0.56000 0.56000 0.56000 -0.65891],[0.87040 0.87040 0.87040 0.87788],0.168
11100,[1.92000 1.92000 1.92000 -1.92000],[2.52160 2.52160 2.52160 2.52160],0.1668
11200,[1.20000 1.20000 1.20000 -1.21779],[1.02400 1.02400 1.02400 0.98257],0.1656
11300,[0.72000 0.72000 0.72000 -0.77051],[0.92160 0.92160 0.92160 0.86143],0.16440000000000002
11400,[0.32000 0.32000 0.32000 -0.53629],[0.15360 0.15360 0.15360 0.15935],0.1632
11500,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.162
11600,[2.32000 2.32000 2.32000 -2.33032],[4.63360 4.63360 4.63360 4.60305],0.1608
11700,[1.28000 1.28000 1.28000 -1.28433],[1.04960 1.04960 1.04960 1.05591],0.1596
11800,[1.60000 1.60000 1.60000 -1.60000],[2.11200 2.11200 2.11200 2.11200],0.1584
11900,[1.52000 1.52000 1.52000 -1.53382],[0.34560 0.34560 0.34560 0.37069],0.1572
12000,[3.04000 3.04000 3.04000 -3.04000],[1.63840 1.63840 1.63840 1.63840],0.156
12100,[2.48000 2.48000 2.48000 -2.51605],[3.28960 3.28960 3.28960 3.11598],0.1548
12200,[2.80000 2.80000 2.80000 -3.06742],[1.53600 1.53600 1.53600 1.60812],0.1536
12300,[1.04000 1.04000 1.04000 -1.04000],[1.25440 1.25440 1.25440 1.25440],0.1524
12400,[1.68000 1.68000 1.68000 -1.68367],[4.12160 4.12160 4.12160 4.11520],0.1512
12500,[1.44000 1.44000 1.44000 -1.44301],[1.57440 1.57440 1.57440 1.57747],0.15
12600,[0.80000 0.80000 0.80000 -0.80566],[0.76800 0.76800 0.76800 0.76213],0.1488
12700,[2.64000 2.64000 2.64000 -2.66498],[2.21440 2.21440 2.21440 2.22489],0.14759999999999998
12800,[0.24000 0.24000 0.24000 -0.24487],[0.10240 0.10240 0.10240 0.10011],0.1464
12900,[1.28000 1.28000 1.28000 -1.29076],[1.36960 1.36960 1.36960 1.34253],0.1452
13000,[1.04000 1.04000 1.04000 -1.04362],[0.42240 0.42240 0.42240 0.41492],0.144
13100,[0.72000 0.72000 0.72000 -0.72000],[0.15360 0.15360 0.15360 0.15360],0.14279999999999998
13200,[1.60000 1.60000 1.60000 -1.60000],[2.30400 2.30400 2.30400 2.30400],0.14159999999999998
13300,[1.52000 1.52000 1.52000 -1.60974],[1.68960 1.68960 1.68960 1.62346],0.1404
13400,[2.08000 2.08000 2.08000 -2.08069],[2.00960 2.00960 2.00960 2.00894],0.1392
13500,[2.00000 2.00000 2.00000 -2.00452],[2.04800 2.04800 2.04800 2.03724],0.138
13600,[1.04000 1.04000 1.04000 -1.04084],[0.55040 0.55040 0.55040 0.55202],0.1368
13700,[1.68000 1.68000 1.68000 -1.68642],[1.62560 1.62560 1.62560 1.64527],0.1356
13800,[1.20000 1.20000 1.20000 -1.23896],[1.60000 1.60000 1.60000 1.56470],0.1344
13900,[2.24000 2.24000 2.24000 -2.24226],[7.20640 7.20640 7.20640 7.19630],0.13319999999999999
14000,[1.60000 1.60000 1.60000 -1.61963],[0.70400 0.70400 0.70400 0.68984],0.132
14100,[0.48000 0.48000 0.48000 -0.48000],[0.21760 0.21760 0.21760 0.21760],0.1308
14200,[2.72000 2.72000 2.72000 -2.72395],[1.62560 1.62560 1.62560 1.61683],0.1296
14300,[1.04000 1.04000 1.04000 -1.04475],[1.06240 1.06240 1.06240 1.05641],0.1284
14400,[2.48000 2.48000 2.48000 -2.49145],[5.91360 5.91360 5.91360 5.88557],0.12719999999999998
