number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.3
100,[0.40000 0.40000 0.40000 -1.04171],[0.25600 0.25600 0.25600 0.33938],0.2988
200,[0.00000 0.00000 0.00000 -0.22469],[0.00000 0.00000 0.00000 0.10161],0.2976
300,[0.08000 0.08000 0.08000 -0.08239],[0.02560 0.02560 0.02560 0.02524],0.2964
400,[0.72000 0.72000 0.72000 -0.73672],[0.28160 0.28160 0.28160 0.31215],0.29519999999999996
500,[0.32000 0.32000 0.32000 -0.78343],[0.15360 0.15360 0.15360 0.01877],0.294
600,[0.80000 0.80000 0.80000 -0.80000],[1.47200 1.47200 1.47200 1.47200],0.2928
700,[0.00000 0.00000 0.00000 -0.05019],[0.00000 0.00000 0.00000 0.00894],0.29159999999999997
800,[0.00000 0.00000 0.00000 -0.08599],[0.00000 0.00000 0.00000 0.01202],0.2904
900,[0.16000 0.16000 0.16000 -0.36217],[0.10240 0.10240 0.10240 0.23516],0.28919999999999996
1000,[0.56000 0.56000 0.56000 -0.58820],[0.35840 0.35840 0.35840 0.41635],0.288
1100,[0.32000 0.32000 0.32000 -0.48634],[0.21760 0.21760 0.21760 0.22182],0.2868
1200,[0.16000 0.16000 0.16000 -0.17821],[0.10240 0.10240 0.10240 0.09790],0.28559999999999997
1300,[0.64000 0.64000 0.64000 -0.64011],[0.55040 0.55040 0.55040 0.55025],0.2844
1400,[0.32000 0.32000 0.32000 -0.32230],[0.15360 0.15360 0.15360 0.15583],0.28319999999999995
1500,[0.08000 0.08000 0.08000 -0.29973],[0.02560 0.02560 0.02560 0.06083],0.282
1600,[0.16000 0.16000 0.16000 -0.94452],[0.10240 0.10240 0.10240 2.13085],0.2808
1700,[0.08000 0.08000 0.08000 -0.32731],[0.02560 0.02560 0.02560 0.11177],0.2796
1800,[0.00000 0.00000 0.00000 -0.13935],[0.00000 0.00000 0.00000 0.02693],0.2784
1900,[1.04000 1.04000 1.04000 -1.04000],[0.74240 0.74240 0.74240 0.74240],0.2772
2000,[0.40000 0.40000 0.40000 -0.74243],[0.25600 0.25600 0.25600 0.45997],0.276
2100,[0.56000 0.56000 0.56000 -0.74227],[0.35840 0.35840 0.35840 0.57878],0.2748
2200,[0.16000 0.16000 0.16000 -0.29794],[0.10240 0.10240 0.10240 0.07592],0.2736
2300,[0.24000 0.24000 0.24000 -0.24489],[0.10240 0.10240 0.10240 0.10009],0.2724
2400,[0.00000 0.00000 0.00000 -0.00052],[0.00000 0.00000 0.00000 0.00000],0.2712
2500,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.27
2600,[0.00000 0.00000 0.00000 -0.02158],[0.00000 0.00000 0.00000 0.00186],0.2688
2700,[0.32000 0.32000 0.32000 -0.32000],[0.40960 0.40960 0.40960 0.40960],0.2676
2800,[0.24000 0.24000 0.24000 -0.24361],[0.10240 0.10240 0.10240 0.10361],0.26639999999999997
2900,[0.08000 0.08000 0.08000 -0.13584],[0.02560 0.02560 0.02560 0.03057],0.2652
3000,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.264
3100,[0.08000 0.08000 0.08000 -0.08717],[0.02560 0.02560 0.02560 0.02545],0.2628
3200,[0.16000 0.16000 0.16000 -0.16670],[0.03840 0.03840 0.03840 0.03644],0.2616
3300,[0.00000 0.00000 0.00000 -0.00094],[0.00000 0.00000 0.00000 0.00000],0.26039999999999996
3400,[0.56000 0.56000 0.56000 -0.56763],[0.16640 0.16640 0.16640 0.16419],0.2592
3500,[0.00000 0.00000 0.00000 -0.18793],[0.00000 0.00000 0.00000 0.14128],0.258
3600,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.2568
3700,[0.48000 0.48000 0.48000 -0.48032],[0.92160 0.92160 0.92160 0.92129],0.2556
3800,[0.08000 0.08000 0.08000 -0.09738],[0.02560 0.02560 0.02560 0.03794],0.25439999999999996
3900,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2532
4000,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.252
4100,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.25079999999999997
4200,[0.40000 0.40000 0.40000 -0.40452],[0.25600 0.25600 0.25600 0.25970],0.2496
4300,[0.16000 0.16000 0.16000 -0.28764],[0.10240 0.10240 0.10240 0.08683],0.24839999999999998
4400,[0.16000 0.16000 0.16000 -0.21519],[0.10240 0.10240 0.10240 0.10688],0.24719999999999998
4500,[0.00000 0.00000 0.00000 -0.03881],[0.00000 0.00000 0.00000 0.00572],0.24599999999999997
4600,[0.16000 0.16000 0.16000 -0.22519],[0.10240 0.10240 0.10240 0.09635],0.24479999999999996
4700,[0.64000 0.64000 0.64000 -0.64537],[0.67840 0.67840 0.67840 0.67164],0.2436
4800,[0.48000 0.48000 0.48000 -0.48000],[0.15360 0.15360 0.15360 0.15360],0.2424
4900,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.2412
5000,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.24
5100,[0.24000 0.24000 0.24000 -0.24000],[0.03840 0.03840 0.03840 0.03840],0.2388
5200,[0.16000 0.16000 0.16000 -0.27365],[0.03840 0.03840 0.03840 0.05370],0.2376
5300,[0.40000 0.40000 0.40000 -0.65185],[0.64000 0.64000 0.64000 0.69223],0.2364
5400,[0.40000 0.40000 0.40000 -0.40000],[0.64000 0.64000 0.64000 0.64000],0.2352
5500,[0.24000 0.24000 0.24000 -0.24216],[0.10240 0.10240 0.10240 0.10138],0.23399999999999999
5600,[0.00000 0.00000 0.00000 -0.06465],[0.00000 0.00000 0.00000 0.01301],0.2328
5700,[0.00000 0.00000 0.00000 -0.03638],[0.00000 0.00000 0.00000 0.00275],0.2316
5800,[0.08000 0.08000 0.08000 -0.11795],[0.02560 0.02560 0.02560 0.02403],0.2304
5900,[0.40000 0.40000 0.40000 -0.40000],[0.12800 0.12800 0.12800 0.12800],0.2292
6000,[0.48000 0.48000 0.48000 -0.48000],[0.21760 0.21760 0.21760 0.21760],0.22799999999999998
6100,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.2268
6200,[0.24000 0.24000 0.24000 -0.24800],[0.10240 0.10240 0.10240 0.09882],0.2256
6300,[0.48000 0.48000 0.48000 -0.48000],[0.21760 0.21760 0.21760 0.21760],0.2244
6400,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.22319999999999998
6500,[0.00000 0.00000 0.00000 -0.06679],[0.00000 0.00000 0.00000 0.01784],0.222
6600,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.2208
6700,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.2196
6800,[0.40000 0.40000 0.40000 -0.40704],[0.25600 0.25600 0.25600 0.25057],0.21839999999999998
6900,[0.00000 0.00000 0.00000 -0.00276],[0.00000 0.00000 0.00000 0.00003],0.21719999999999998
7000,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.216
7100,[0.00000 0.00000 0.00000 -0.01359],[0.00000 0.00000 0.00000 0.00074],0.2148
7200,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.21359999999999998
7300,[0.00000 0.00000 0.00000 -0.05159],[0.00000 0.00000 0.00000 0.01065],0.21239999999999998
7400,[0.08000 0.08000 0.08000 -0.08771],[0.02560 0.02560 0.02560 0.03077],0.21119999999999997
7500,[1.12000 1.12000 1.12000 -1.12306],[5.01760 5.01760 5.01760 5.01079],0.21
7600,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.20879999999999999
7700,[0.00000 0.00000 0.00000 -0.01031],[0.00000 0.00000 0.00000 0.00018],0.20759999999999998
7800,[0.00000 0.00000 0.00000 -0.00816],[0.00000 0.00000 0.00000 0.00027],0.20639999999999997
7900,[0.24000 0.24000 0.24000 -0.25679],[0.10240 0.10240 0.10240 0.09547],0.20520000000000002
8000,[0.48000 0.48000 0.48000 -0.48233],[0.40960 0.40960 0.40960 0.41485],0.20400000000000001
8100,[0.08000 0.08000 0.08000 -0.09035],[0.02560 0.02560 0.02560 0.02437],0.2028
8200,[0.48000 0.48000 0.48000 -0.53450],[0.60160 0.60160 0.60160 0.59641],0.2016
8300,[0.08000 0.08000 0.08000 -0.21561],[0.02560 0.02560 0.02560 0.06314],0.2004
8400,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.19920000000000002
8500,[0.24000 0.24000 0.24000 -0.25481],[0.10240 0.10240 0.10240 0.11986],0.198
8600,[0.24000 0.24000 0.24000 -0.34317],[0.23040 0.23040 0.23040 0.19781],0.1968
8700,[0.00000 0.00000 0.00000 -0.00531],[0.00000 0.00000 0.00000 0.00003],0.1956
8800,[0.08000 0.08000 0.08000 -0.10663],[0.02560 0.02560 0.02560 0.02415],0.1944
8900,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.1932
9000,[0.32000 0.32000 0.32000 -0.37985],[0.15360 0.15360 0.15360 0.22539],0.192
9100,[0.00000 0.00000 0.00000 -0.00167],[0.00000 0.00000 0.00000 0.00001],0.1908
9200,[0.08000 0.08000 0.08000 -0.25812],[0.02560 0.02560 0.02560 0.06655],0.1896
9300,[0.08000 0.08000 0.08000 -0.65719],[0.02560 0.02560 0.02560 0.23612],0.18839999999999998
9400,[0.00000 0.00000 0.00000 -0.00007],[0.00000 0.00000 0.00000 0.00000],0.1872
9500,[0.16000 0.16000 0.16000 -0.16588],[0.10240 0.10240 0.10240 0.10066],0.186
9600,[0.00000 0.00000 0.00000 -0.01114],[0.00000 0.00000 0.00000 0.00020],0.1848
9700,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.18359999999999999
9800,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.18239999999999998
9900,[0.00000 0.00000 0.00000 -0.00553],[0.00000 0.00000 0.00000 0.00005],0.1812
10000,[0.32000 0.32000 0.32000 -0.39540],[0.21760 0.21760 0.21760 0.37305],0.18
10100,[0.16000 0.16000 0.16000 -0.17192],[0.10240 0.10240 0.10240 0.09915],0.1788
