iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,-2.92596,1.88524,0.51414,1.60707,-3.02145,1.91609,0.52122,1.61043,-2.68476,2.06305,0.49263,1.60559,-2.67120,1.94942,0.47922,1.61687
1,200,-3.33626,0.99077,0.50471,1.60073,-3.33015,1.05276,0.50409,1.61255,-3.23864,0.97136,0.50349,1.60562,-2.95635,0.78510,0.46844,1.62216
2,300,-3.69461,1.03552,0.50536,1.60745,-3.62284,1.03745,0.49896,1.61594,-3.55148,0.97298,0.49017,1.60683,-3.14247,0.71589,0.44504,1.62467
3,400,-4.07753,1.02061,0.49467,1.60967,-4.04929,1.07537,0.49720,1.61664,-3.88792,1.03638,0.47806,1.60334,-3.43257,0.75526,0.42131,1.62374
4,500,-4.44744,0.99388,0.47969,1.61103,-4.32104,1.21645,0.48207,1.61719,-4.19470,0.98211,0.46288,1.60257,-3.68636,0.72656,0.40095,1.62435
5,600,-4.88555,0.97103,0.47653,1.61461,-4.73522,1.06011,0.47101,1.61843,-4.51978,1.05827,0.44815,1.60114,-3.93309,0.85290,0.38646,1.62421
6,700,-5.25483,1.03181,0.46703,1.61491,-4.99928,1.06337,0.46018,1.61855,-4.79375,1.15425,0.43725,1.59957,-4.24701,0.78628,0.37407,1.62354
7,800,-5.56556,1.18567,0.45706,1.61442,-5.25151,1.14100,0.44642,1.61792,-5.07184,1.16417,0.42729,1.59919,-4.52231,0.83559,0.36301,1.62300
8,900,-5.90279,1.04802,0.44779,1.61333,-5.64408,1.11263,0.43571,1.61596,-5.39302,1.15677,0.41740,1.59851,-4.77003,0.97709,0.35285,1.62230
9,1000,-6.28128,1.02477,0.44401,1.61367,-5.92599,1.06784,0.42722,1.61501,-5.65634,1.18118,0.41121,1.59663,-5.04378,0.81822,0.34584,1.62195
10,1100,-6.61953,1.08895,0.43725,1.61348,-6.24847,1.09739,0.42042,1.61428,-6.06066,1.17238,0.40831,1.59643,-5.21209,0.93316,0.33841,1.62203
11,1200,-6.91842,1.10864,0.42713,1.61465,-6.50942,1.11149,0.41285,1.61283,-6.29613,1.27692,0.40023,1.59493,-5.43957,0.86395,0.33103,1.62221
12,1300,-7.18305,1.11044,0.42203,1.61406,-6.82155,0.96951,0.40500,1.61173,-6.53341,1.20091,0.39386,1.59426,-5.69387,0.97751,0.32368,1.62183
13,1400,-7.47746,1.13069,0.41145,1.61478,-7.06010,1.03669,0.39428,1.61045,-6.84432,1.17764,0.38677,1.59276,-5.85132,1.05059,0.31644,1.62156
14,1500,-7.69963,1.30429,0.40127,1.61484,-7.31099,1.07771,0.38488,1.61059,-7.09230,1.29597,0.37701,1.59270,-6.06884,1.09040,0.30876,1.62123
15,1600,-7.89511,1.13160,0.39445,1.61497,-7.52936,1.04436,0.37874,1.60975,-7.26029,1.10932,0.37498,1.59029,-6.12309,1.03226,0.30408,1.62107
16,1700,-8.20394,1.18432,0.38496,1.61553,-7.77175,1.09385,0.37103,1.60978,-7.55435,1.31921,0.37099,1.58916,-6.38026,1.03228,0.29865,1.62002
17,1800,-8.37189,1.04987,0.37708,1.61526,-7.97843,1.22318,0.36499,1.60914,-7.63746,1.38071,0.36321,1.58994,-6.47691,1.01981,0.29148,1.62008
