number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.3
100,[0.24000 0.24000 0.24000 -0.51675],[0.10240 0.10240 0.10240 0.24609],0.2988
200,[0.64000 0.64000 0.64000 -0.78318],[0.55040 0.55040 0.55040 0.60256],0.2976
300,[0.16000 0.16000 0.16000 -0.99166],[0.03840 0.03840 0.03840 1.35977],0.2964
400,[0.00000 0.00000 0.00000 -0.05221],[0.00000 0.00000 0.00000 0.01090],0.29519999999999996
500,[0.16000 0.16000 0.16000 -2.74194],[0.10240 0.10240 0.10240 2.53814],0.294
600,[0.24000 0.24000 0.24000 -1.49648],[0.10240 0.10240 0.10240 0.99319],0.2928
700,[0.08000 0.08000 0.08000 -1.26486],[0.02560 0.02560 0.02560 0.53928],0.29159999999999997
800,[0.00000 0.00000 0.00000 -0.61046],[0.00000 0.00000 0.00000 0.07695],0.2904
900,[0.16000 0.16000 0.16000 -1.05618],[0.10240 0.10240 0.10240 0.18974],0.28919999999999996
1000,[0.00000 0.00000 0.00000 -0.26708],[0.00000 0.00000 0.00000 0.05087],0.288
1100,[0.16000 0.16000 0.16000 -0.56384],[0.10240 0.10240 0.10240 0.10665],0.2868
1200,[0.16000 0.16000 0.16000 -0.62721],[0.10240 0.10240 0.10240 0.41051],0.28559999999999997
1300,[0.08000 0.08000 0.08000 -0.26602],[0.02560 0.02560 0.02560 0.13404],0.2844
1400,[0.00000 0.00000 0.00000 -0.48469],[0.00000 0.00000 0.00000 0.04998],0.28319999999999995
1500,[0.00000 0.00000 0.00000 -0.69842],[0.00000 0.00000 0.00000 0.16535],0.282
1600,[0.32000 0.32000 0.32000 -0.83395],[0.08960 0.08960 0.08960 0.23503],0.2808
1700,[0.16000 0.16000 0.16000 -0.52929],[0.03840 0.03840 0.03840 0.05355],0.2796
1800,[0.16000 0.16000 0.16000 -0.69376],[0.10240 0.10240 0.10240 0.15990],0.2784
1900,[0.00000 0.00000 0.00000 -0.51980],[0.00000 0.00000 0.00000 0.14026],0.2772
2000,[0.16000 0.16000 0.16000 -0.32354],[0.10240 0.10240 0.10240 0.14512],0.276
2100,[0.32000 0.32000 0.32000 -0.90084],[0.40960 0.40960 0.40960 0.16164],0.2748
2200,[0.08000 0.08000 0.08000 -0.57342],[0.02560 0.02560 0.02560 0.28515],0.2736
2300,[0.08000 0.08000 0.08000 -0.59277],[0.02560 0.02560 0.02560 0.08928],0.2724
2400,[0.16000 0.16000 0.16000 -0.25934],[0.10240 0.10240 0.10240 0.08856],0.2712
2500,[0.00000 0.00000 0.00000 -0.06445],[0.00000 0.00000 0.00000 0.01596],0.27
2600,[0.00000 0.00000 0.00000 -0.34371],[0.00000 0.00000 0.00000 0.07755],0.2688
2700,[0.40000 0.40000 0.40000 -0.72970],[0.38400 0.38400 0.38400 0.36657],0.2676
2800,[0.16000 0.16000 0.16000 -0.21122],[0.03840 0.03840 0.03840 0.04312],0.26639999999999997
2900,[0.08000 0.08000 0.08000 -0.43199],[0.02560 0.02560 0.02560 0.02809],0.2652
3000,[0.00000 0.00000 0.00000 -0.37937],[0.00000 0.00000 0.00000 0.02802],0.264
3100,[0.08000 0.08000 0.08000 -0.29873],[0.02560 0.02560 0.02560 0.01978],0.2628
3200,[0.08000 0.08000 0.08000 -0.31208],[0.02560 0.02560 0.02560 0.03309],0.2616
3300,[0.08000 0.08000 0.08000 -0.23853],[0.02560 0.02560 0.02560 0.05508],0.26039999999999996
3400,[0.00000 0.00000 0.00000 -0.24763],[0.00000 0.00000 0.00000 0.03777],0.2592
