number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.3
100,[0.88000 0.88000 0.88000 -1.29358],[0.66560 0.66560 0.66560 0.55979],0.2988
200,[0.16000 0.16000 0.16000 -0.59519],[0.03840 0.03840 0.03840 0.28766],0.2976
300,[0.72000 0.72000 0.72000 -1.18336],[0.15360 0.15360 0.15360 0.38887],0.2964
400,[0.00000 0.00000 0.00000 -0.20690],[0.00000 0.00000 0.00000 0.06681],0.29519999999999996
500,[0.40000 0.40000 0.40000 -0.42300],[0.12800 0.12800 0.12800 0.14852],0.294
600,[0.08000 0.08000 0.08000 -0.33143],[0.02560 0.02560 0.02560 0.08162],0.2928
700,[0.08000 0.08000 0.08000 -0.75612],[0.02560 0.02560 0.02560 1.01890],0.29159999999999997
800,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2904
900,[0.96000 0.96000 0.96000 -0.96000],[1.38240 1.38240 1.38240 1.38240],0.28919999999999996
1000,[0.08000 0.08000 0.08000 -0.35340],[0.02560 0.02560 0.02560 0.02181],0.288
1100,[0.08000 0.08000 0.08000 -0.73284],[0.02560 0.02560 0.02560 0.47337],0.2868
1200,[0.24000 0.24000 0.24000 -0.60028],[0.23040 0.23040 0.23040 0.25701],0.28559999999999997
1300,[0.16000 0.16000 0.16000 -0.24386],[0.10240 0.10240 0.10240 0.10360],0.2844
1400,[0.00000 0.00000 0.00000 -0.49437],[0.00000 0.00000 0.00000 0.65335],0.28319999999999995
1500,[0.00000 0.00000 0.00000 -0.06984],[0.00000 0.00000 0.00000 0.01784],0.282
1600,[0.08000 0.08000 0.08000 -0.15309],[0.02560 0.02560 0.02560 0.09374],0.2808
1700,[0.00000 0.00000 0.00000 -0.07328],[0.00000 0.00000 0.00000 0.01630],0.2796
1800,[0.56000 0.56000 0.56000 -0.76289],[0.87040 0.87040 0.87040 0.78272],0.2784
1900,[0.56000 0.56000 0.56000 -0.63979],[0.10240 0.10240 0.10240 0.15689],0.2772
2000,[0.16000 0.16000 0.16000 -0.46910],[0.10240 0.10240 0.10240 0.18647],0.276
2100,[0.24000 0.24000 0.24000 -0.24413],[0.10240 0.10240 0.10240 0.10709],0.2748
2200,[0.00000 0.00000 0.00000 -0.04449],[0.00000 0.00000 0.00000 0.00792],0.2736
2300,[0.08000 0.08000 0.08000 -0.16843],[0.02560 0.02560 0.02560 0.04494],0.2724
2400,[0.16000 0.16000 0.16000 -0.17752],[0.10240 0.10240 0.10240 0.12038],0.2712
2500,[0.32000 0.32000 0.32000 -0.32193],[0.40960 0.40960 0.40960 0.41457],0.27
2600,[0.08000 0.08000 0.08000 -0.30192],[0.02560 0.02560 0.02560 0.06369],0.2688
2700,[0.00000 0.00000 0.00000 -0.13141],[0.00000 0.00000 0.00000 0.04457],0.2676
2800,[0.56000 0.56000 0.56000 -0.62188],[0.35840 0.35840 0.35840 0.32551],0.26639999999999997
2900,[0.00000 0.00000 0.00000 -0.14676],[0.00000 0.00000 0.00000 0.01283],0.2652
3000,[0.32000 0.32000 0.32000 -0.53317],[0.21760 0.21760 0.21760 0.23068],0.264
3100,[0.16000 0.16000 0.16000 -0.40499],[0.10240 0.10240 0.10240 0.17144],0.2628
3200,[0.00000 0.00000 0.00000 -0.01527],[0.00000 0.00000 0.00000 0.00031],0.2616
