iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
0,100,-0.13716,0.95265,-0.09337,0.79190,-0.19628,0.95257,-0.00671,0.73064
1,200,-0.12356,0.73299,-0.08182,0.70935,-0.15821,0.76104,-0.02592,0.57309
2,300,-0.10565,0.72212,-0.10151,0.68061,-0.13064,0.74305,-0.06679,0.51050
3,400,-0.07233,0.70512,-0.04677,0.72001,-0.11817,0.76016,-0.12029,0.50246
4,500,-0.10453,0.79352,-0.07059,0.76385,-0.10135,0.71513,-0.15168,0.51255
5,600,-0.10106,0.78770,-0.09567,0.72161,-0.14769,0.82245,-0.19180,0.52177
6,700,-0.13073,0.77862,-0.03117,0.71129,-0.11974,0.80280,-0.24496,0.51020
7,800,-0.12556,0.86656,-0.03882,0.79732,-0.13355,0.86309,-0.27151,0.53544
8,900,-0.15660,0.83751,-0.06978,0.77392,-0.15539,0.83941,-0.30899,0.59928
9,1000,-0.14048,0.74543,-0.09348,0.82920,-0.14526,0.84152,-0.33337,0.59449
10,1100,-0.17677,0.91330,-0.09948,0.86582,-0.15913,0.87544,-0.36812,0.55539
11,1200,-0.20980,0.91675,-0.12173,0.84779,-0.14945,0.82126,-0.36838,0.62445
12,1300,-0.23603,0.97371,-0.11791,0.95950,-0.16359,0.88366,-0.40144,0.58926
13,1400,-0.26774,0.90206,-0.16167,0.93310,-0.21600,0.89990,-0.42785,0.65706
14,1500,-0.28723,0.92687,-0.23081,1.03479,-0.22449,0.93119,-0.45574,0.61915
15,1600,-0.26614,0.95055,-0.26431,0.98582,-0.19326,0.89327,-0.48359,0.59489
16,1700,-0.28769,1.01414,-0.22409,0.97431,-0.21560,0.89967,-0.51466,0.64944
17,1800,-0.29079,0.98537,-0.24721,1.02347,-0.23278,0.87416,-0.54255,0.66625
18,1900,-0.30287,0.96765,-0.32360,0.98669,-0.29468,1.01929,-0.58483,0.66756
19,2000,-0.31277,1.01694,-0.35253,0.95846,-0.28803,0.90935,-0.59162,0.69967
20,2100,-0.34156,0.94274,-0.38780,1.02393,-0.30080,0.88512,-0.62074,0.67476
21,2200,-0.37224,1.00779,-0.40623,0.94138,-0.32254,0.93232,-0.63627,0.69137
22,2300,-0.40646,1.00388,-0.40788,0.99111,-0.32065,0.94824,-0.64486,0.74379
23,2400,-0.41603,0.92556,-0.46720,0.95833,-0.33362,0.91054,-0.65276,0.76729
24,2500,-0.43679,0.97513,-0.47252,1.04373,-0.38547,1.03614,-0.68900,0.71848
25,2600,-0.45681,0.99013,-0.54867,1.08438,-0.40037,1.02876,-0.69886,0.76017
26,2700,-0.50984,0.95305,-0.58340,1.03916,-0.43540,0.99125,-0.69548,0.81352
27,2800,-0.54790,1.04661,-0.60993,1.02770,-0.44750,0.92532,-0.71399,0.82942
28,2900,-0.55880,0.96185,-0.63394,1.03412,-0.48651,0.93544,-0.74103,0.80330
29,3000,-0.55648,1.02010,-0.68576,1.05191,-0.50595,1.01123,-0.75473,0.80120
30,3100,-0.59299,1.05037,-0.72599,1.06346,-0.55140,1.03625,-0.75459,0.87479
31,3200,-0.61584,1.06804,-0.76271,1.03453,-0.55775,0.98426,-0.78546,0.81746
32,3300,-0.57443,0.95060,-0.77216,1.08077,-0.54416,0.96049,-0.76826,0.83339
33,3400,-0.63529,1.04585,-0.78547,1.07652,-0.57694,0.98468,-0.79628,0.77682
34,3500,-0.63937,1.00185,-0.84702,1.04093,-0.60477,0.98256,-0.77981,0.83060
35,3600,-0.64044,0.95433,-0.85997,1.11809,-0.63548,0.96220,-0.81793,0.81509
36,3700,-0.65973,1.04287,-0.92666,1.06559,-0.64877,0.95696,-0.79503,0.88570
37,3800,-0.69993,1.05259,-0.95271,1.07189,-0.70313,1.06698,-0.81375,0.82482
38,3900,-0.74472,1.02909,-1.03574,1.00301,-0.74683,1.02116,-0.84655,0.85384
39,4000,-0.75246,1.00984,-1.04707,1.02558,-0.76283,1.05222,-0.85364,0.88199
40,4100,-0.82413,1.11127,-1.12629,0.99331,-0.77599,1.01033,-0.86532,0.85049
41,4200,-0.79867,0.98258,-1.13935,0.99856,-0.80651,1.00782,-0.84925,0.88876
42,4300,-0.81351,1.03493,-1.21909,1.05589,-0.82641,1.00597,-0.86879,0.85398
43,4400,-0.82860,0.96427,-1.26320,1.11607,-0.86984,0.97053,-0.90615,0.85506
44,4500,-0.88143,0.99226,-1.31655,1.06732,-0.90673,1.03654,-0.92155,0.84090
45,4600,-0.91876,0.94362,-1.35818,1.01375,-0.90164,0.93327,-0.92865,0.81541
46,4700,-0.92628,1.02268,-1.37822,1.09555,-0.92810,0.99287,-0.91665,0.92016
47,4800,-0.93062,0.96094,-1.43716,1.01082,-0.95657,1.01227,-0.92882,0.88427
48,4900,-0.97735,1.03315,-1.44794,0.97962,-0.99023,1.03692,-0.94027,0.86491
49,5000,-0.96660,1.00478,-1.48485,1.10481,-0.99666,0.99170,-0.94236,0.87631
50,5100,-1.00444,1.03523,-1.52531,1.07228,-1.03193,1.04056,-0.96172,0.85199
51,5200,-0.99413,0.97424,-1.55300,1.00121,-1.04010,0.99114,-0.96364,0.85283
52,5300,-1.01396,1.01708,-1.59057,1.03955,-1.07765,1.04253,-0.96525,0.89522
53,5400,-1.02297,0.98865,-1.60291,1.05631,-1.09034,1.02482,-0.97096,0.89071
54,5500,-1.06551,1.03850,-1.60723,1.06968,-1.11481,1.05012,-0.97537,0.88621
55,5600,-1.07889,1.03562,-1.62461,1.11743,-1.14013,1.01599,-0.98786,0.82492
56,5700,-1.09883,1.06106,-1.63641,1.04680,-1.14948,1.03858,-1.00715,0.82955
57,5800,-1.08560,1.04833,-1.64999,1.13987,-1.14998,1.09967,-0.99802,0.87858
58,5900,-1.13700,1.02079,-1.67427,1.07782,-1.16872,1.03895,-1.02508,0.85907
59,6000,-1.13631,1.06377,-1.68785,1.02823,-1.20122,1.04053,-1.02188,0.91735
60,6100,-1.15223,1.03978,-1.69243,1.10845,-1.18668,1.04107,-1.01951,0.84332
61,6200,-1.15303,1.01090,-1.70546,1.09250,-1.23414,1.06502,-1.02216,0.88327
62,6300,-1.15847,0.98787,-1.68302,1.06254,-1.20806,1.03430,-1.01948,0.89397
63,6400,-1.14981,1.05944,-1.71114,1.00692,-1.25915,1.06218,-1.02254,0.83454
