iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
0,100,-6.46721,7.32355,1.14342,-6.71545,7.33297,1.17257,-6.64807,7.70421,1.23486,-6.85090,7.84420,1.26118
1,200,-7.84770,1.61892,1.30954,-8.16285,1.95941,1.37286,-8.02833,1.89140,1.33779,-7.72277,1.56505,1.32024
2,300,-8.31760,1.58386,1.24397,-9.12813,1.29092,1.36537,-8.20690,1.35178,1.21883,-8.15669,0.81762,1.22057
3,400,-8.97225,1.72327,1.22605,-10.01907,1.53307,1.36552,-8.86062,1.42387,1.18485,-8.75043,0.92332,1.18609
4,500,-9.64906,1.40303,1.18880,-11.22029,1.65385,1.43637,-9.66256,1.16266,1.17085,-9.66121,0.85617,1.18425
5,600,-10.36395,1.25447,1.15197,-12.39874,1.60642,1.45155,-10.63714,1.65465,1.16626,-10.75486,1.02846,1.18548
6,700,-11.19712,1.32195,1.12660,-13.38321,2.07695,1.43752,-11.35249,1.74422,1.15135,-11.32651,1.11950,1.17655
7,800,-11.94380,1.63021,1.10858,-14.48974,2.07683,1.42526,-12.15241,2.20855,1.14630,-12.16916,1.29758,1.14595
8,900,-12.91545,2.25400,1.09640,-15.54092,1.94900,1.42497,-13.17445,2.10677,1.16332,-12.94798,1.30013,1.12592
9,1000,-13.63912,1.65643,1.07613,-16.81927,2.63447,1.40342,-14.25647,1.93847,1.17050,-13.67238,2.22971,1.10731
10,1100,-14.58442,1.76745,1.06577,-17.79340,2.49060,1.39896,-15.30022,2.29884,1.17079,-14.49556,1.56775,1.08777
11,1200,-15.33290,1.98257,1.05830,-18.76440,2.60124,1.36423,-15.91589,2.75548,1.14687,-15.32313,1.43571,1.06985
12,1300,-16.25139,2.49739,1.05012,-19.74789,2.28374,1.35594,-16.85592,2.67336,1.12938,-15.99552,2.02177,1.05923
13,1400,-16.83226,1.80261,1.02808,-20.43789,3.89058,1.33055,-17.36930,2.89754,1.10671,-16.72073,1.63105,1.04247
14,1500,-17.56481,2.13363,1.01894,-21.68195,2.81309,1.32045,-18.39697,2.04626,1.10136,-17.77624,1.63148,1.03423
15,1600,-18.47435,1.60733,1.00909,-22.62641,5.89806,1.30070,-19.05515,2.52137,1.09144,-18.26221,1.62466,1.02245
16,1700,-19.04730,3.42572,1.00648,-23.33182,2.08376,1.28719,-19.79711,1.86785,1.07991,-18.64991,1.53255,1.00122
17,1800,-19.63040,3.81735,0.99035,-23.98795,2.28365,1.26125,-20.49934,2.20905,1.06653,-19.33972,1.60777,0.97934
18,1900,-20.52974,1.97242,0.97927,-25.05418,2.51872,1.25096,-21.21366,2.17548,1.06328,-20.10572,1.92800,0.96519
19,2000,-20.95627,2.16221,0.97059,-25.72900,2.42680,1.23387,-22.03936,2.77101,1.04693,-20.63783,1.98703,0.94701
20,2100,-21.56659,2.69538,0.95894,-26.62445,1.84643,1.22215,-22.70588,1.97917,1.03020,-21.23512,1.88095,0.93109
21,2200,-22.16966,2.60311,0.94886,-27.43285,3.12371,1.21098,-23.13699,2.10010,1.01299,-21.80127,1.50147,0.91451
22,2300,-22.95587,1.90151,0.93117,-27.98330,2.01082,1.18335,-24.00238,3.43127,1.00396,-22.40358,2.01095,0.89601
23,2400,-23.26485,1.50526,0.92687,-28.68224,1.59169,1.17970,-24.09488,2.36979,0.98313,-22.81334,2.05295,0.88557
24,2500,-23.76426,1.39528,0.91940,-29.17055,1.60354,1.16012,-25.03486,2.11332,0.97066,-23.27015,1.85069,0.87085
25,2600,-24.35051,1.54294,0.91060,-29.91572,2.89261,1.15169,-25.50416,2.62630,0.95881,-23.68410,3.14962,0.85812
