iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
0,100,-2.65581,3.53632,0.45558,-2.65572,3.52586,0.44928,-2.59676,3.58550,0.45206,-2.47690,3.48337,0.41695
1,200,-2.58150,1.86132,0.35611,-2.57197,1.89860,0.35706,-2.57600,1.86078,0.34493,-2.38670,1.67942,0.32907
2,300,-3.04000,1.97881,0.35581,-3.02805,2.25252,0.36264,-3.03751,1.83717,0.34392,-2.87480,1.53314,0.33135
3,400,-3.55101,1.90196,0.35746,-3.56475,2.00171,0.36842,-3.46880,1.78408,0.33931,-3.31430,1.48214,0.33820
4,500,-3.95835,1.84460,0.35602,-3.98400,1.93422,0.36602,-3.82374,1.77159,0.33879,-3.74108,1.49083,0.33926
5,600,-4.33666,1.84440,0.35048,-4.41317,1.79066,0.36137,-4.20859,1.87056,0.33698,-4.12648,1.56260,0.33611
6,700,-4.72965,1.94966,0.34796,-4.85619,1.87221,0.35712,-4.62129,1.90366,0.33939,-4.52600,1.61550,0.33757
7,800,-5.12864,1.91674,0.34857,-5.21997,1.90122,0.35214,-4.99108,1.89234,0.34305,-4.93687,1.68251,0.33690
8,900,-5.61447,1.94893,0.35373,-5.64597,1.90644,0.34865,-5.37413,1.90312,0.34039,-5.28809,1.63650,0.33937
9,1000,-5.92473,1.91468,0.34940,-5.99422,1.97386,0.34502,-5.70218,1.88311,0.34182,-5.74641,1.56121,0.33755
10,1100,-6.33451,1.81727,0.35081,-6.35185,1.88884,0.34055,-6.13669,1.88323,0.33801,-6.14182,1.69787,0.33649
11,1200,-6.74557,1.92218,0.35084,-6.65099,1.86788,0.33388,-6.52872,1.84253,0.34188,-6.62208,1.73482,0.33848
12,1300,-7.08737,1.90792,0.34872,-7.00938,1.80511,0.33136,-6.91024,1.78957,0.33989,-6.94023,1.76712,0.33890
13,1400,-7.49705,2.11297,0.34633,-7.36260,1.97295,0.32996,-7.22150,1.95128,0.34217,-7.37730,1.69414,0.33944
14,1500,-7.73177,2.13434,0.34290,-7.70633,2.06390,0.32750,-7.70897,2.05032,0.34147,-7.70551,1.75769,0.34188
15,1600,-8.05703,1.93256,0.33900,-7.93220,2.00048,0.32736,-7.94997,1.95215,0.33986,-8.11764,1.84929,0.34271
16,1700,-8.41766,2.14934,0.34146,-8.24923,2.15145,0.32669,-8.32559,2.04065,0.33586,-8.50766,1.88178,0.34666
17,1800,-8.69671,1.93323,0.33789,-8.46009,1.97717,0.32245,-8.53155,2.01059,0.33417,-8.82870,1.86776,0.34132
18,1900,-9.05267,1.93690,0.33572,-8.99086,2.15994,0.32396,-8.97020,1.94022,0.33563,-9.16084,1.90073,0.34549
19,2000,-9.31067,1.95898,0.33612,-9.07067,2.24800,0.32433,-9.23374,1.99626,0.33536,-9.47661,2.17911,0.34684
20,2100,-9.64890,2.13362,0.33420,-9.41561,2.17104,0.32540,-9.57670,1.97782,0.33481,-9.88943,1.91871,0.34520
21,2200,-9.81406,2.05803,0.33339,-9.70822,2.09695,0.32673,-9.80839,1.91943,0.33447,-10.18701,1.86766,0.34390
22,2300,-10.19706,1.95614,0.33252,-10.01407,1.97760,0.32730,-10.09669,1.93274,0.33400,-10.55158,1.97980,0.34482
23,2400,-10.36473,2.14478,0.33134,-10.28830,1.98469,0.32646,-10.50837,2.31047,0.33803,-10.76519,1.92964,0.34527
24,2500,-10.76673,2.15062,0.33486,-10.54242,1.92322,0.32448,-10.90187,2.18082,0.33770,-10.98994,2.35013,0.34372
25,2600,-11.02076,2.26768,0.33094,-10.79885,2.03450,0.32528,-11.15996,2.14711,0.33721,-11.42206,2.07342,0.34370
26,2700,-11.29195,2.05731,0.33062,-11.13073,1.95692,0.32656,-11.30869,2.03378,0.34114,-11.62707,1.90883,0.34527
27,2800,-11.42654,1.98376,0.32752,-11.38719,1.89713,0.32517,-11.67763,2.03164,0.33676,-11.82357,1.95217,0.34340
28,2900,-11.75765,1.93381,0.32501,-11.76905,2.55973,0.32628,-12.05017,2.26790,0.34123,-12.13599,1.94196,0.34323
29,3000,-12.04279,2.00641,0.32467,-11.81928,2.36937,0.32776,-12.32654,2.34575,0.33918,-12.51436,2.15715,0.34458
30,3100,-12.33985,2.04397,0.32607,-12.23953,2.07390,0.32900,-12.58226,2.02012,0.34118,-12.66716,2.32108,0.34371
31,3200,-12.62836,2.02114,0.32318,-12.54841,1.97175,0.32801,-12.97922,2.12969,0.34066,-13.02296,2.04264,0.34489
32,3300,-12.86170,1.98109,0.32524,-12.94232,2.54760,0.33052,-13.26525,2.28790,0.34379,-13.40265,2.03213,0.34411
33,3400,-13.32149,2.21190,0.32271,-13.42131,2.62341,0.32923,-13.61967,2.37843,0.34245,-13.60200,2.00164,0.34339
34,3500,-13.56975,2.80737,0.32428,-13.51610,2.21247,0.33172,-13.73761,2.50046,0.34406,-13.74317,2.09773,0.34175
35,3600,-13.77535,2.33832,0.32244,-13.93930,2.17800,0.33670,-14.24415,2.26937,0.34394,-14.05475,2.18590,0.34021
36,3700,-14.02800,2.15524,0.32722,-14.08770,2.09633,0.33450,-14.53266,2.15613,0.34425,-14.29910,1.80561,0.34070
37,3800,-14.32502,3.66682,0.32590,-14.29733,2.21422,0.33518,-14.89535,2.08305,0.34363,-14.57690,1.82948,0.34094
38,3900,-14.62952,3.36011,0.32563,-14.58874,2.08125,0.33930,-15.11506,2.02287,0.34472,-14.79949,2.29798,0.33998
39,4000,-14.67411,2.30886,0.32854,-14.91803,2.27725,0.33651,-15.35752,1.95506,0.34287,-15.22101,2.14272,0.34019
40,4100,-15.08457,2.00344,0.32992,-15.22461,2.06308,0.33857,-15.62329,2.35025,0.34559,-15.23359,2.23601,0.34028
41,4200,-15.42951,2.01959,0.33013,-15.46669,2.03567,0.33978,-15.92518,2.33858,0.34393,-15.47414,1.79183,0.33799
42,4300,-15.68131,1.89374,0.33175,-15.95303,2.36053,0.33907,-16.20148,2.33018,0.34611,-15.76134,1.77398,0.33898
43,4400,-15.92028,2.49325,0.33025,-16.12575,3.13224,0.34072,-16.48378,2.19173,0.34603,-15.93257,2.04796,0.33831
44,4500,-16.30100,2.12521,0.33265,-16.33895,2.81158,0.33773,-16.83406,2.28843,0.34677,-16.16111,2.03752,0.33695
45,4600,-16.56627,2.18051,0.33200,-16.59873,2.88744,0.34190,-17.05750,2.25019,0.34573,-16.17358,1.94106,0.33487
46,4700,-16.68895,2.17338,0.33275,-16.97457,2.58748,0.34446,-17.40152,2.15260,0.34771,-16.45679,2.29510,0.33346
47,4800,-17.12776,2.43322,0.33654,-17.17865,2.29129,0.34200,-17.53163,2.47058,0.34627,-16.65952,2.43496,0.33365
48,4900,-17.15034,2.28856,0.33706,-17.44119,2.59887,0.34360,-17.85166,2.33693,0.34702,-16.88888,1.80619,0.33325
49,5000,-17.50041,2.09284,0.33716,-17.88599,2.72362,0.34395,-18.09594,2.82033,0.34716,-17.13958,1.88693,0.33422
50,5100,-17.60437,2.10552,0.33942,-17.77348,2.50067,0.34536,-18.31779,3.70299,0.34803,-17.07659,2.17794,0.33339
51,5200,-18.05204,2.56972,0.34176,-18.05929,2.13493,0.34462,-18.62542,3.02392,0.34778,-17.30932,1.79079,0.33091
52,5300,-18.29972,3.10950,0.33693,-18.42794,2.21434,0.34447,-18.83798,2.54841,0.34704,-17.41450,2.13660,0.32928
53,5400,-18.52484,2.16764,0.33974,-18.57992,2.19802,0.34495,-19.19087,2.50813,0.34991,-17.46025,2.60025,0.32846
54,5500,-18.56497,2.27029,0.33858,-18.92158,2.14163,0.34936,-19.38146,2.50247,0.34668,-17.53660,2.14140,0.33071
55,5600,-18.73065,3.08217,0.34043,-19.12003,2.48501,0.34672,-19.59653,2.58080,0.34699,-17.84076,1.98974,0.32857
56,5700,-19.15852,2.69900,0.34086,-19.30440,3.17692,0.34492,-19.83602,2.17328,0.34832,-17.85183,2.29375,0.32876
57,5800,-19.14389,2.54076,0.34278,-19.76128,2.24028,0.34644,-20.14575,2.31022,0.34790,-17.94792,2.33040,0.32691
58,5900,-19.51325,2.56476,0.34274,-19.81297,2.84435,0.34433,-20.42571,2.26440,0.34880,-18.34018,2.27847,0.32909
59,6000,-19.58358,2.53251,0.33994,-20.18674,2.40091,0.34878,-20.33189,2.35499,0.34972,-18.32113,1.96346,0.32587
60,6100,-19.91044,2.55395,0.33908,-20.21105,2.50199,0.34729,-20.68072,2.23915,0.34949,-18.26928,2.68014,0.32745
61,6200,-20.05105,2.33945,0.34001,-20.50421,3.82063,0.34884,-20.78287,2.37078,0.34753,-18.34285,2.63140,0.32354
62,6300,-20.21048,2.31550,0.34175,-20.74825,2.45411,0.34237,-20.96346,2.39678,0.34864,-18.36620,2.31286,0.32388
63,6400,-20.46566,2.33082,0.33971,-20.85397,2.16555,0.34570,-21.12126,2.34597,0.34988,-18.52733,2.09940,0.32150
64,6500,-20.58370,2.19190,0.34084,-21.14392,2.37029,0.34601,-21.21342,2.38671,0.34486,-18.62035,1.90177,0.32449
65,6600,-20.61993,2.24584,0.34110,-21.11295,2.31672,0.34666,-21.63207,2.40775,0.34742,-18.71903,2.72031,0.32291
66,6700,-20.90891,2.41912,0.33971,-21.37819,2.22514,0.34392,-21.60405,2.53210,0.34702,-18.75843,2.05455,0.31946
67,6800,-20.96506,2.30019,0.34080,-21.44721,2.34878,0.34450,-21.98168,2.61056,0.34460,-18.98230,2.05136,0.32182
68,6900,-21.22007,2.25367,0.34173,-21.61389,2.26869,0.34506,-21.89567,2.45838,0.34721,-18.94363,1.99543,0.32186
69,7000,-21.09623,2.28011,0.34298,-21.73689,2.25846,0.34502,-21.99246,2.51722,0.34541,-19.16691,2.09809,0.32075
70,7100,-21.56614,2.31214,0.34253,-22.10246,2.26833,0.34452,-22.31884,2.73635,0.34491,-19.16672,1.92729,0.31822
71,7200,-21.63362,2.24323,0.34014,-21.95663,2.21981,0.34423,-22.16689,2.48122,0.34546,-19.34609,2.14214,0.31777
72,7300,-21.61860,2.31497,0.34202,-22.14777,2.51804,0.34311,-22.33477,2.54752,0.34459,-19.37265,2.55834,0.31621
73,7400,-21.97290,2.23182,0.34160,-22.20985,2.55092,0.34526,-22.47566,2.68813,0.34349,-19.44192,2.51275,0.31581
74,7500,-21.91815,2.22227,0.33845,-22.36493,2.25181,0.34340,-22.66811,2.49332,0.34462,-19.47136,2.27413,0.31454
