number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.97722],[0.00000 0.00000 0.00000 1.31437],0.3
100,[0.00000 0.00000 0.00000 -2.03912],[0.00000 0.00000 0.00000 6.20927],0.2988
200,[0.08000 0.08000 0.08000 -0.36956],[0.02560 0.02560 0.02560 0.13845],0.2976
300,[0.24000 0.24000 0.24000 -0.25960],[0.10240 0.10240 0.10240 0.09453],0.2964
400,[0.16000 0.16000 0.16000 -0.67852],[0.10240 0.10240 0.10240 0.95179],0.29519999999999996
500,[0.24000 0.24000 0.24000 -0.44160],[0.10240 0.10240 0.10240 0.16113],0.294
600,[0.24000 0.24000 0.24000 -0.56374],[0.10240 0.10240 0.10240 0.10447],0.2928
700,[0.16000 0.16000 0.16000 -0.25223],[0.03840 0.03840 0.03840 0.03733],0.29159999999999997
800,[0.08000 0.08000 0.08000 -0.13645],[0.02560 0.02560 0.02560 0.02931],0.2904
900,[0.08000 0.08000 0.08000 -0.35765],[0.02560 0.02560 0.02560 0.13918],0.28919999999999996
1000,[0.16000 0.16000 0.16000 -0.26500],[0.03840 0.03840 0.03840 0.08247],0.288
1100,[0.96000 0.96000 0.96000 -1.07095],[0.61440 0.61440 0.61440 0.62314],0.2868
1200,[0.08000 0.08000 0.08000 -0.09192],[0.02560 0.02560 0.02560 0.02401],0.28559999999999997
1300,[0.00000 0.00000 0.00000 -0.07485],[0.00000 0.00000 0.00000 0.02241],0.2844
1400,[0.00000 0.00000 0.00000 -0.10377],[0.00000 0.00000 0.00000 0.04256],0.28319999999999995
1500,[0.08000 0.08000 0.08000 -0.29820],[0.02560 0.02560 0.02560 0.17195],0.282
1600,[0.32000 0.32000 0.32000 -0.56133],[0.15360 0.15360 0.15360 0.14454],0.2808
1700,[0.24000 0.24000 0.24000 -0.53051],[0.10240 0.10240 0.10240 0.30054],0.2796
1800,[0.08000 0.08000 0.08000 -0.08585],[0.02560 0.02560 0.02560 0.02685],0.2784
1900,[0.16000 0.16000 0.16000 -0.49440],[0.03840 0.03840 0.03840 0.04206],0.2772
2000,[0.16000 0.16000 0.16000 -0.18255],[0.03840 0.03840 0.03840 0.05125],0.276
2100,[0.00000 0.00000 0.00000 -0.35675],[0.00000 0.00000 0.00000 0.13895],0.2748
2200,[0.16000 0.16000 0.16000 -0.44288],[0.03840 0.03840 0.03840 0.27342],0.2736
2300,[0.32000 0.32000 0.32000 -0.34993],[0.21760 0.21760 0.21760 0.22597],0.2724
2400,[0.08000 0.08000 0.08000 -0.11300],[0.02560 0.02560 0.02560 0.02468],0.2712
2500,[0.08000 0.08000 0.08000 -0.30414],[0.02560 0.02560 0.02560 0.13355],0.27
2600,[0.16000 0.16000 0.16000 -0.57393],[0.10240 0.10240 0.10240 0.17467],0.2688
2700,[0.00000 0.00000 0.00000 -0.28162],[0.00000 0.00000 0.00000 0.08815],0.2676
2800,[0.64000 0.64000 0.64000 -1.17514],[0.87040 0.87040 0.87040 0.78854],0.26639999999999997
2900,[0.08000 0.08000 0.08000 -0.83564],[0.02560 0.02560 0.02560 0.64072],0.2652
3000,[0.08000 0.08000 0.08000 -0.71256],[0.02560 0.02560 0.02560 0.13343],0.264
3100,[0.24000 0.24000 0.24000 -0.25950],[0.10240 0.10240 0.10240 0.09986],0.2628
3200,[0.40000 0.40000 0.40000 -0.51339],[0.12800 0.12800 0.12800 0.17943],0.2616
3300,[0.32000 0.32000 0.32000 -0.48670],[0.08960 0.08960 0.08960 0.36080],0.26039999999999996
3400,[0.48000 0.48000 0.48000 -0.53600],[0.60160 0.60160 0.60160 0.56038],0.2592
3500,[0.32000 0.32000 0.32000 -0.37307],[0.40960 0.40960 0.40960 0.54771],0.258
3600,[1.20000 1.20000 1.20000 -1.21855],[5.76000 5.76000 5.76000 5.71618],0.2568
3700,[0.64000 0.64000 0.64000 -0.64679],[0.55040 0.55040 0.55040 0.54323],0.2556
3800,[0.32000 0.32000 0.32000 -0.32394],[0.15360 0.15360 0.15360 0.15745],0.25439999999999996
3900,[0.48000 0.48000 0.48000 -0.48357],[0.60160 0.60160 0.60160 0.60108],0.2532
4000,[2.16000 2.16000 2.16000 -2.55642],[3.36640 3.36640 3.36640 4.01691],0.252
4100,[1.20000 1.20000 1.20000 -1.26745],[1.79200 1.79200 1.79200 1.64832],0.25079999999999997
4200,[2.08000 2.08000 2.08000 -2.21020],[3.67360 3.67360 3.67360 3.67998],0.2496
4300,[0.72000 0.72000 0.72000 -0.77873],[1.56160 1.56160 1.56160 1.49084],0.24839999999999998
4400,[0.48000 0.48000 0.48000 -0.54596],[0.60160 0.60160 0.60160 0.58568],0.24719999999999998
4500,[1.04000 1.04000 1.04000 -1.28665],[0.87040 0.87040 0.87040 1.20065],0.24599999999999997
4600,[1.20000 1.20000 1.20000 -1.24630],[1.40800 1.40800 1.40800 1.49785],0.24479999999999996
4700,[0.80000 0.80000 0.80000 -0.80000],[1.08800 1.08800 1.08800 1.08800],0.2436
4800,[1.36000 1.36000 1.36000 -1.43402],[1.89440 1.89440 1.89440 2.12951],0.2424
4900,[0.88000 0.88000 0.88000 -0.89447],[1.88160 1.88160 1.88160 1.86855],0.2412
5000,[1.04000 1.04000 1.04000 -1.26753],[1.63840 1.63840 1.63840 1.39337],0.24
5100,[1.12000 1.12000 1.12000 -1.23216],[1.94560 1.94560 1.94560 1.74132],0.2388
5200,[0.72000 0.72000 0.72000 -1.24952],[2.07360 2.07360 2.07360 2.10530],0.2376
5300,[0.32000 0.32000 0.32000 -0.49088],[0.40960 0.40960 0.40960 0.36484],0.2364
5400,[0.72000 0.72000 0.72000 -1.23704],[0.53760 0.53760 0.53760 0.57515],0.2352
5500,[0.08000 0.08000 0.08000 -0.97620],[0.02560 0.02560 0.02560 1.02732],0.23399999999999999
5600,[1.20000 1.20000 1.20000 -1.72528],[3.45600 3.45600 3.45600 3.26874],0.2328
5700,[0.88000 0.88000 0.88000 -1.68311],[0.60160 0.60160 0.60160 1.55143],0.2316
5800,[1.04000 1.04000 1.04000 -1.96785],[4.32640 4.32640 4.32640 3.24800],0.2304
5900,[0.80000 0.80000 0.80000 -1.17001],[0.51200 0.51200 0.51200 0.26832],0.2292
6000,[0.64000 0.64000 0.64000 -1.28353],[0.61440 0.61440 0.61440 1.17622],0.22799999999999998
6100,[1.68000 1.68000 1.68000 -2.20731],[1.17760 1.17760 1.17760 0.63057],0.2268
6200,[1.84000 1.84000 1.84000 -2.23287],[8.48640 8.48640 8.48640 8.62253],0.2256
6300,[1.52000 1.52000 1.52000 -1.74517],[2.13760 2.13760 2.13760 2.63884],0.2244
6400,[1.68000 1.68000 1.68000 -2.01248],[5.65760 5.65760 5.65760 4.89313],0.22319999999999998
6500,[1.20000 1.20000 1.20000 -1.20070],[1.53600 1.53600 1.53600 1.53649],0.222
6600,[2.48000 2.48000 2.48000 -2.81997],[3.48160 3.48160 3.48160 3.68462],0.2208
6700,[0.00000 0.00000 0.00000 -0.20240],[0.00000 0.00000 0.00000 0.04552],0.2196
6800,[0.48000 0.48000 0.48000 -0.87228],[0.21760 0.21760 0.21760 0.37436],0.21839999999999998
