iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
0,100,-2.01429,3.92619,0.29763,-1.96639,3.12435,0.26555,-1.87598,2.74895,0.24661,-1.63236,2.12231,0.23376
1,200,-1.64054,1.62261,0.20383,-1.62707,1.60806,0.19752,-1.63906,1.43169,0.19444,-1.49341,1.07078,0.18962
2,300,-1.99581,1.56164,0.20479,-1.90754,1.61759,0.19981,-1.93908,1.48482,0.19512,-1.84298,0.96691,0.19400
3,400,-2.29032,1.64982,0.20594,-2.24430,1.48321,0.20119,-2.23672,1.41438,0.19706,-2.11584,1.02711,0.19737
4,500,-2.53663,1.55926,0.20392,-2.49520,1.48512,0.20130,-2.49079,1.47811,0.19917,-2.37691,1.07648,0.19914
5,600,-2.80360,1.57886,0.20286,-2.74706,1.48929,0.20186,-2.80763,1.44699,0.20027,-2.66703,1.15623,0.19935
6,700,-3.02597,1.47386,0.20314,-3.13793,1.49564,0.20441,-3.11222,1.45214,0.20231,-2.93657,1.20764,0.20197
7,800,-3.34006,1.42462,0.20519,-3.32888,1.43213,0.20429,-3.34549,1.42341,0.20423,-3.15344,1.21184,0.20176
8,900,-3.55830,1.39797,0.20705,-3.58257,1.38144,0.20489,-3.53374,1.53925,0.20406,-3.38338,1.18393,0.20332
9,1000,-3.77332,1.40356,0.20284,-3.73947,1.39725,0.20370,-3.85624,1.53003,0.20463,-3.62779,1.21747,0.20246
10,1100,-4.00484,1.44367,0.20323,-4.00088,1.44975,0.20479,-3.94995,1.39023,0.20257,-3.91578,1.14475,0.20073
11,1200,-4.27548,1.48428,0.20545,-4.24123,1.43389,0.20385,-4.33779,1.51780,0.20399,-4.19478,1.25939,0.20333
12,1300,-4.36559,1.49778,0.20313,-4.49271,1.50897,0.20337,-4.46694,1.44901,0.20374,-4.47465,1.16990,0.20171
