number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.97722],[0.00000 0.00000 0.00000 1.31437],0.3
100,[0.00000 0.00000 0.00000 -2.29288],[0.00000 0.00000 0.00000 7.85775],0.2988
200,[0.16000 0.16000 0.16000 -0.49132],[0.10240 0.10240 0.10240 0.31918],0.2976
300,[0.16000 0.16000 0.16000 -0.25599],[0.10240 0.10240 0.10240 0.15111],0.2964
400,[0.00000 0.00000 0.00000 -2.03128],[0.00000 0.00000 0.00000 4.32726],0.29519999999999996
500,[0.00000 0.00000 0.00000 -0.26938],[0.00000 0.00000 0.00000 0.10595],0.294
600,[0.00000 0.00000 0.00000 -0.17621],[0.00000 0.00000 0.00000 0.02892],0.2928
700,[0.00000 0.00000 0.00000 -0.07191],[0.00000 0.00000 0.00000 0.01118],0.29159999999999997
800,[0.16000 0.16000 0.16000 -0.16076],[0.10240 0.10240 0.10240 0.10216],0.2904
900,[0.24000 0.24000 0.24000 -0.25228],[0.10240 0.10240 0.10240 0.11675],0.28919999999999996
1000,[0.40000 0.40000 0.40000 -0.47808],[0.64000 0.64000 0.64000 0.60192],0.288
1100,[0.08000 0.08000 0.08000 -0.08186],[0.02560 0.02560 0.02560 0.02680],0.2868
1200,[0.00000 0.00000 0.00000 -0.03701],[0.00000 0.00000 0.00000 0.00443],0.28559999999999997
1300,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.2844
1400,[0.24000 0.24000 0.24000 -0.25316],[0.23040 0.23040 0.23040 0.22478],0.28319999999999995
1500,[0.24000 0.24000 0.24000 -0.27426],[0.23040 0.23040 0.23040 0.21865],0.282
1600,[0.16000 0.16000 0.16000 -0.25443],[0.10240 0.10240 0.10240 0.25535],0.2808
1700,[0.16000 0.16000 0.16000 -0.20527],[0.10240 0.10240 0.10240 0.09453],0.2796
1800,[0.00000 0.00000 0.00000 -0.00441],[0.00000 0.00000 0.00000 0.00003],0.2784
1900,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.2772
2000,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.276
2100,[0.24000 0.24000 0.24000 -0.24473],[0.23040 0.23040 0.23040 0.23957],0.2748
2200,[0.32000 0.32000 0.32000 -0.32104],[0.08960 0.08960 0.08960 0.08894],0.2736
2300,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2724
2400,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.2712
2500,[0.56000 0.56000 0.56000 -0.56000],[0.87040 0.87040 0.87040 0.87040],0.27
2600,[0.00000 0.00000 0.00000 -0.17628],[0.00000 0.00000 0.00000 0.11692],0.2688
2700,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2676
2800,[1.28000 1.28000 1.28000 -1.28308],[1.11360 1.11360 1.11360 1.11315],0.26639999999999997
2900,[0.40000 0.40000 0.40000 -0.41525],[0.25600 0.25600 0.25600 0.24473],0.2652
3000,[0.24000 0.24000 0.24000 -0.24446],[0.10240 0.10240 0.10240 0.10034],0.264
3100,[0.40000 0.40000 0.40000 -0.40000],[0.12800 0.12800 0.12800 0.12800],0.2628
3200,[0.32000 0.32000 0.32000 -0.32000],[0.15360 0.15360 0.15360 0.15360],0.2616
3300,[0.24000 0.24000 0.24000 -0.24000],[0.03840 0.03840 0.03840 0.03840],0.26039999999999996
3400,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.2592
3500,[0.88000 0.88000 0.88000 -0.91875],[2.45760 2.45760 2.45760 2.39540],0.258
3600,[0.48000 0.48000 0.48000 -0.48218],[0.40960 0.40960 0.40960 0.41102],0.2568
3700,[0.32000 0.32000 0.32000 -0.32025],[0.21760 0.21760 0.21760 0.21764],0.2556
3800,[0.40000 0.40000 0.40000 -0.49737],[0.64000 0.64000 0.64000 0.59029],0.25439999999999996
3900,[0.48000 0.48000 0.48000 -0.48357],[0.15360 0.15360 0.15360 0.15594],0.2532
4000,[0.32000 0.32000 0.32000 -0.47991],[0.15360 0.15360 0.15360 0.37517],0.252
4100,[0.00000 0.00000 0.00000 -0.42210],[0.00000 0.00000 0.00000 0.54375],0.25079999999999997
4200,[1.04000 1.04000 1.04000 -1.04270],[0.93440 0.93440 0.93440 0.92882],0.2496
4300,[0.16000 0.16000 0.16000 -0.50582],[0.10240 0.10240 0.10240 0.19374],0.24839999999999998
4400,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.24719999999999998
4500,[0.40000 0.40000 0.40000 -0.40925],[0.25600 0.25600 0.25600 0.24895],0.24599999999999997
4600,[1.92000 1.92000 1.92000 -1.96313],[2.07360 2.07360 2.07360 1.98516],0.24479999999999996
4700,[0.64000 0.64000 0.64000 -0.64000],[0.35840 0.35840 0.35840 0.35840],0.2436
4800,[0.96000 0.96000 0.96000 -0.96000],[0.48640 0.48640 0.48640 0.48640],0.2424
4900,[0.40000 0.40000 0.40000 -0.44946],[0.12800 0.12800 0.12800 0.11017],0.2412
5000,[0.80000 0.80000 0.80000 -0.92284],[1.53600 1.53600 1.53600 1.40011],0.24
5100,[0.72000 0.72000 0.72000 -0.90968],[0.60160 0.60160 0.60160 0.62542],0.2388
5200,[0.08000 0.08000 0.08000 -0.21906],[0.02560 0.02560 0.02560 0.02738],0.2376
5300,[0.56000 0.56000 0.56000 -0.56663],[0.61440 0.61440 0.61440 0.61165],0.2364
5400,[0.32000 0.32000 0.32000 -0.42196],[0.40960 0.40960 0.40960 0.38593],0.2352
5500,[0.32000 0.32000 0.32000 -0.46562],[0.15360 0.15360 0.15360 0.32523],0.23399999999999999
5600,[0.64000 0.64000 0.64000 -0.89113],[0.80640 0.80640 0.80640 0.84386],0.2328
5700,[0.56000 0.56000 0.56000 -0.97593],[0.35840 0.35840 0.35840 0.36026],0.2316
5800,[0.32000 0.32000 0.32000 -0.41413],[0.21760 0.21760 0.21760 0.37509],0.2304
5900,[0.56000 0.56000 0.56000 -0.85064],[0.35840 0.35840 0.35840 0.39738],0.2292
6000,[0.00000 0.00000 0.00000 -0.79108],[0.00000 0.00000 0.00000 1.66154],0.22799999999999998
6100,[0.08000 0.08000 0.08000 -0.18813],[0.02560 0.02560 0.02560 0.06345],0.2268
6200,[1.60000 1.60000 1.60000 -2.05536],[4.09600 4.09600 4.09600 2.95018],0.2256
6300,[0.40000 0.40000 0.40000 -0.58076],[0.64000 0.64000 0.64000 0.76159],0.2244
6400,[0.40000 0.40000 0.40000 -0.59365],[0.64000 0.64000 0.64000 0.61768],0.22319999999999998
6500,[0.16000 0.16000 0.16000 -0.32487],[0.10240 0.10240 0.10240 0.09651],0.222
6600,[0.56000 0.56000 0.56000 -2.06252],[0.48640 0.48640 0.48640 3.51579],0.2208
6700,[0.64000 0.64000 0.64000 -0.69623],[0.87040 0.87040 0.87040 0.81107],0.2196
6800,[0.56000 0.56000 0.56000 -0.86731],[0.23040 0.23040 0.23040 0.36667],0.21839999999999998
6900,[0.08000 0.08000 0.08000 -0.35203],[0.02560 0.02560 0.02560 0.08006],0.21719999999999998
7000,[0.32000 0.32000 0.32000 -0.53298],[0.08960 0.08960 0.08960 0.19760],0.216
