iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,-2.82219,2.04852,0.48529,2.99166,-2.80375,2.06912,0.48550,2.99256,-2.82729,2.04051,0.48613,2.99213,-2.77917,2.00864,0.48598,2.99216
1,200,-3.10380,0.99367,0.45951,2.98723,-3.08286,1.00655,0.46033,2.98697,-3.10379,0.99710,0.45757,2.98727,-2.87585,0.82682,0.45507,2.98734
2,300,-3.20404,1.01877,0.40203,2.98469,-3.15450,0.92237,0.40198,2.98446,-3.16398,1.00456,0.40161,2.98428,-3.08720,0.76972,0.40347,2.98417
3,400,-3.25737,0.98388,0.36144,2.98429,-3.24966,1.00977,0.35990,2.98363,-3.26220,0.99529,0.36053,2.98376,-3.03168,0.85203,0.35913,2.98352
4,500,-3.39313,0.91433,0.32698,2.98377,-3.38840,0.92716,0.32724,2.98335,-3.34485,0.97936,0.32691,2.98331,-3.19467,0.68810,0.32695,2.98384
5,600,-3.54788,1.00476,0.29827,2.98085,-3.60121,1.02418,0.29892,2.98122,-3.56141,1.00388,0.29771,2.98103,-3.32526,0.60679,0.29769,2.98030
6,700,-3.70353,1.05773,0.27214,2.97851,-3.66861,1.05047,0.27091,2.97895,-3.67746,0.95758,0.27107,2.97859,-3.46391,0.69306,0.27063,2.97877
7,800,-3.80070,1.03764,0.24625,2.97636,-3.77140,1.05676,0.24512,2.97646,-3.84099,0.97804,0.24576,2.97655,-3.53403,0.70025,0.24536,2.97618
8,900,-3.90626,1.04134,0.22594,2.97429,-3.82835,1.02062,0.22491,2.97437,-3.86439,1.07307,0.22527,2.97387,-3.61073,0.72326,0.22519,2.97401
9,1000,-4.01940,1.02549,0.20745,2.97111,-3.89552,1.02593,0.20634,2.97118,-3.95339,1.04288,0.20671,2.97074,-3.74852,0.77641,0.20627,2.97135
10,1100,-4.06944,1.02615,0.18883,2.96816,-3.98132,0.96530,0.18845,2.96802,-4.03017,0.96995,0.18775,2.96808,-3.79751,0.81390,0.18785,2.96810
11,1200,-4.13191,0.98289,0.17219,2.96503,-4.10173,1.06938,0.17189,2.96451,-4.05267,0.94229,0.17145,2.96496,-3.81542,0.84053,0.17047,2.96465
12,1300,-4.19914,1.02555,0.15741,2.96161,-4.02416,0.99260,0.15636,2.96171,-4.10217,0.96692,0.15684,2.96176,-3.86857,0.84409,0.15632,2.96194
13,1400,-4.16462,1.08024,0.14408,2.95825,-4.07811,1.09158,0.14323,2.95863,-4.13910,1.00235,0.14348,2.95878,-3.93102,0.82379,0.14366,2.95763
14,1500,-4.18311,1.02826,0.13258,2.95418,-4.11161,1.05466,0.13313,2.95404,-4.13500,0.96773,0.13276,2.95417,-3.96388,0.87685,0.13235,2.95486
15,1600,-4.20905,1.02263,0.12247,2.95084,-4.16730,1.08408,0.12226,2.95064,-4.17622,1.15021,0.12221,2.95081,-3.92643,0.87341,0.12163,2.95048
16,1700,-4.20216,1.09516,0.11342,2.94648,-4.20009,1.07675,0.11345,2.94684,-4.12882,1.00734,0.11343,2.94643,-3.91943,0.89703,0.11315,2.94657
17,1800,-4.21897,1.15593,0.10588,2.94373,-4.17422,1.02877,0.10584,2.94367,-4.14392,1.07649,0.10584,2.94286,-3.96110,0.82904,0.10554,2.94326
18,1900,-4.17677,1.06826,0.09921,2.93888,-4.12233,1.09332,0.09879,2.93940,-4.18784,1.05663,0.09899,2.93938,-3.99878,0.84921,0.09875,2.93903
19,2000,-4.14858,1.04771,0.09388,2.93518,-4.19439,1.03895,0.09372,2.93500,-4.11500,1.04829,0.09360,2.93527,-3.97305,0.85502,0.09357,2.93561
20,2100,-4.21346,1.10183,0.08903,2.93077,-4.15314,1.02675,0.08912,2.93172,-4.20964,1.00215,0.08933,2.93120,-3.96705,0.96068,0.08869,2.93122
21,2200,-4.18259,1.03579,0.08482,2.92734,-4.10580,0.99324,0.08487,2.92689,-4.14164,1.08453,0.08504,2.92711,-3.95204,0.92900,0.08477,2.92664
22,2300,-4.15735,0.99756,0.08156,2.92223,-4.16191,1.01182,0.08140,2.92258,-4.17160,0.98615,0.08115,2.92189,-3.93678,0.98866,0.08111,2.92248
23,2400,-4.16957,1.09665,0.07844,2.91813,-4.16622,1.03318,0.07849,2.91777,-4.12382,1.06153,0.07847,2.91803,-3.92626,0.87805,0.07873,2.91787
24,2500,-4.19307,1.00703,0.07568,2.91415,-4.15241,0.97126,0.07588,2.91362,-4.13890,1.04688,0.07592,2.91357,-3.91100,0.96970,0.07577,2.91374
25,2600,-4.14076,1.10405,0.07354,2.90972,-4.15628,1.11579,0.07343,2.90970,-4.11803,1.05058,0.07325,2.91002,-3.92846,0.92699,0.07327,2.90970
26,2700,-4.10870,1.05876,0.07167,2.90480,-4.08783,1.06678,0.07151,2.90490,-4.09805,1.02874,0.07138,2.90466,-3.87016,0.97258,0.07134,2.90461
27,2800,-4.12065,1.08965,0.06969,2.89897,-4.08125,1.02812,0.06956,2.89888,-4.09451,1.03083,0.06955,2.89840,-3.86661,0.90416,0.06935,2.89921
28,2900,-4.06722,1.03965,0.06810,2.89342,-4.04484,1.00449,0.06799,2.89295,-4.05524,1.07655,0.06815,2.89273,-3.85996,0.94555,0.06782,2.89304
29,3000,-4.03011,0.99159,0.06672,2.88732,-4.01736,1.00173,0.06681,2.88717,-3.99855,1.00802,0.06701,2.88690,-3.83338,0.97015,0.06689,2.88712
30,3100,-4.02491,1.00339,0.06562,2.87973,-4.01403,1.03597,0.06562,2.88035,-4.08538,1.11458,0.06539,2.87895,-3.81246,0.94414,0.06546,2.87978
31,3200,-4.06146,1.09345,0.06437,2.87364,-3.99441,0.97470,0.06449,2.87359,-3.99661,0.99870,0.06437,2.87299,-3.79552,0.94481,0.06439,2.87316
32,3300,-3.99729,1.09686,0.06378,2.86622,-3.99983,0.97066,0.06356,2.86561,-4.00274,1.03926,0.06372,2.86702,-3.78550,0.91345,0.06346,2.86548
33,3400,-4.09413,1.04360,0.06258,2.85856,-4.00665,0.96277,0.06309,2.85822,-3.97188,0.99699,0.06306,2.85813,-3.78970,0.89830,0.06282,2.85811
34,3500,-3.92940,1.07704,0.06226,2.85113,-3.96375,0.98273,0.06243,2.85094,-3.98723,1.05422,0.06257,2.84953,-3.75030,1.04186,0.06221,2.85082
35,3600,-3.95438,1.07634,0.06210,2.84186,-4.01727,1.04120,0.06201,2.84310,-3.96311,0.96288,0.06203,2.84288,-3.74114,1.00164,0.06188,2.84252
36,3700,-3.96808,1.02598,0.06186,2.83260,-3.95743,1.09199,0.06173,2.83308,-3.98729,0.98630,0.06174,2.83203,-3.72258,0.96198,0.06184,2.83269
37,3800,-3.94909,0.95708,0.06164,2.82299,-3.99442,0.97550,0.06154,2.82362,-3.94923,1.06036,0.06120,2.82215,-3.71454,0.94382,0.06150,2.82406
38,3900,-3.99496,1.08250,0.06143,2.81270,-3.94874,1.03980,0.06129,2.81350,-3.92765,1.00171,0.06131,2.81293,-3.70565,1.01028,0.06128,2.81398
39,4000,-3.91180,1.04026,0.06163,2.80239,-3.92655,1.00734,0.06184,2.80076,-3.93742,1.02611,0.06154,2.80124,-3.68811,0.90331,0.06146,2.80114
40,4100,-3.95604,1.08121,0.06174,2.78958,-3.97303,1.10257,0.06176,2.78937,-3.97302,0.96151,0.06168,2.78911,-3.68510,1.05295,0.06185,2.78703
41,4200,-3.97780,1.07298,0.06210,2.77555,-3.91176,1.00366,0.06244,2.77456,-3.87404,1.07026,0.06201,2.77620,-3.67907,0.96999,0.06250,2.77708
42,4300,-3.97441,1.03024,0.06272,2.76278,-3.98570,1.02702,0.06244,2.76433,-3.94201,0.98152,0.06271,2.76294,-3.60411,1.01323,0.06248,2.76248
43,4400,-4.00460,1.05679,0.06298,2.75019,-3.92073,1.03628,0.06303,2.74837,-3.97327,1.05947,0.06286,2.75083,-3.59457,0.97837,0.06286,2.75237
44,4500,-4.05019,1.14612,0.06343,2.73837,-4.01254,1.05570,0.06338,2.73701,-3.92395,0.95235,0.06320,2.73506,-3.59749,0.96499,0.06313,2.73653
45,4600,-4.08541,0.96985,0.06369,2.72310,-3.97560,1.04966,0.06374,2.72328,-3.90355,1.10130,0.06419,2.72000,-3.62341,0.93096,0.06365,2.72178
46,4700,-4.04947,1.09466,0.06456,2.70717,-4.01380,1.06798,0.06423,2.70377,-3.96703,1.05827,0.06444,2.70900,-3.59717,0.97772,0.06430,2.70837
