number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.97722],[0.00000 0.00000 0.00000 1.31437],0.3
100,[0.00000 0.00000 0.00000 -3.08238],[0.00000 0.00000 0.00000 5.17569],0.2988
200,[0.00000 0.00000 0.00000 -0.42603],[0.00000 0.00000 0.00000 0.22841],0.2976
300,[0.00000 0.00000 0.00000 -1.37747],[0.00000 0.00000 0.00000 1.27293],0.2964
400,[0.24000 0.24000 0.24000 -0.78386],[0.10240 0.10240 0.10240 1.45958],0.29519999999999996
500,[0.64000 0.64000 0.64000 -0.76640],[0.87040 0.87040 0.87040 0.95320],0.294
600,[0.40000 0.40000 0.40000 -0.70186],[0.64000 0.64000 0.64000 0.66325],0.2928
700,[0.00000 0.00000 0.00000 -0.12261],[0.00000 0.00000 0.00000 0.03048],0.29159999999999997
800,[0.08000 0.08000 0.08000 -0.17356],[0.02560 0.02560 0.02560 0.04183],0.2904
900,[0.56000 0.56000 0.56000 -0.56383],[0.87040 0.87040 0.87040 0.88454],0.28919999999999996
1000,[0.64000 0.64000 0.64000 -0.79694],[0.35840 0.35840 0.35840 0.48195],0.288
1100,[0.40000 0.40000 0.40000 -0.57118],[0.19200 0.19200 0.19200 0.30098],0.2868
1200,[0.00000 0.00000 0.00000 -0.49632],[0.00000 0.00000 0.00000 0.24038],0.28559999999999997
1300,[0.48000 0.48000 0.48000 -0.63443],[0.92160 0.92160 0.92160 0.82391],0.2844
1400,[0.08000 0.08000 0.08000 -0.09540],[0.02560 0.02560 0.02560 0.02408],0.28319999999999995
1500,[0.72000 0.72000 0.72000 -0.72429],[2.07360 2.07360 2.07360 2.06749],0.282
1600,[0.32000 0.32000 0.32000 -0.46916],[0.15360 0.15360 0.15360 0.18573],0.2808
1700,[0.08000 0.08000 0.08000 -0.09045],[0.02560 0.02560 0.02560 0.02942],0.2796
1800,[0.32000 0.32000 0.32000 -0.39849],[0.08960 0.08960 0.08960 0.12133],0.2784
1900,[0.48000 0.48000 0.48000 -0.48000],[0.21760 0.21760 0.21760 0.21760],0.2772
2000,[0.00000 0.00000 0.00000 -0.04555],[0.00000 0.00000 0.00000 0.00830],0.276
2100,[0.24000 0.24000 0.24000 -0.40874],[0.10240 0.10240 0.10240 0.36638],0.2748
2200,[0.24000 0.24000 0.24000 -0.27451],[0.23040 0.23040 0.23040 0.21860],0.2736
2300,[0.00000 0.00000 0.00000 -0.04603],[0.00000 0.00000 0.00000 0.00848],0.2724
2400,[0.16000 0.16000 0.16000 -0.21244],[0.03840 0.03840 0.03840 0.02797],0.2712
2500,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.27
2600,[0.16000 0.16000 0.16000 -0.16786],[0.03840 0.03840 0.03840 0.03941],0.2688
2700,[0.00000 0.00000 0.00000 -0.20496],[0.00000 0.00000 0.00000 0.06731],0.2676
2800,[0.08000 0.08000 0.08000 -0.23695],[0.02560 0.02560 0.02560 0.09902],0.26639999999999997
2900,[0.32000 0.32000 0.32000 -0.33794],[0.21760 0.21760 0.21760 0.20740],0.2652
3000,[0.40000 0.40000 0.40000 -0.40446],[0.12800 0.12800 0.12800 0.12808],0.264
3100,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.2628
3200,[0.16000 0.16000 0.16000 -0.22725],[0.03840 0.03840 0.03840 0.03497],0.2616
3300,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.26039999999999996
3400,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.2592
3500,[0.16000 0.16000 0.16000 -0.17049],[0.03840 0.03840 0.03840 0.03548],0.258
3600,[0.08000 0.08000 0.08000 -0.28362],[0.02560 0.02560 0.02560 0.07405],0.2568
3700,[0.40000 0.40000 0.40000 -0.41893],[0.64000 0.64000 0.64000 0.65407],0.2556
3800,[0.08000 0.08000 0.08000 -0.15057],[0.02560 0.02560 0.02560 0.03347],0.25439999999999996
3900,[0.16000 0.16000 0.16000 -0.18862],[0.10240 0.10240 0.10240 0.09539],0.2532
4000,[0.16000 0.16000 0.16000 -0.30670],[0.03840 0.03840 0.03840 0.03227],0.252
4100,[0.24000 0.24000 0.24000 -0.24509],[0.10240 0.10240 0.10240 0.10006],0.25079999999999997
4200,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.2496
4300,[0.00000 0.00000 0.00000 -0.10027],[0.00000 0.00000 0.00000 0.04022],0.24839999999999998
4400,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.24719999999999998
4500,[0.00000 0.00000 0.00000 -0.00042],[0.00000 0.00000 0.00000 0.00000],0.24599999999999997
4600,[0.48000 0.48000 0.48000 -0.49041],[0.08960 0.08960 0.08960 0.08837],0.24479999999999996
4700,[0.80000 0.80000 0.80000 -0.84177],[1.21600 1.21600 1.21600 1.15615],0.2436
4800,[0.32000 0.32000 0.32000 -0.34055],[0.21760 0.21760 0.21760 0.20613],0.2424
4900,[0.24000 0.24000 0.24000 -0.24492],[0.10240 0.10240 0.10240 0.10014],0.2412
5000,[0.24000 0.24000 0.24000 -0.26319],[0.10240 0.10240 0.10240 0.09420],0.24
5100,[0.24000 0.24000 0.24000 -0.26193],[0.10240 0.10240 0.10240 0.09380],0.2388
5200,[0.08000 0.08000 0.08000 -0.10730],[0.02560 0.02560 0.02560 0.03263],0.2376
5300,[0.00000 0.00000 0.00000 -0.02881],[0.00000 0.00000 0.00000 0.00257],0.2364
5400,[0.16000 0.16000 0.16000 -0.16378],[0.03840 0.03840 0.03840 0.03725],0.2352
5500,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.23399999999999999
5600,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.2328
5700,[0.00000 0.00000 0.00000 -0.02845],[0.00000 0.00000 0.00000 0.00324],0.2316
5800,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.2304
5900,[0.40000 0.40000 0.40000 -0.40000],[0.12800 0.12800 0.12800 0.12800],0.2292
6000,[0.16000 0.16000 0.16000 -0.16442],[0.03840 0.03840 0.03840 0.03706],0.22799999999999998
6100,[0.08000 0.08000 0.08000 -0.12650],[0.02560 0.02560 0.02560 0.02681],0.2268
6200,[0.24000 0.24000 0.24000 -0.38915],[0.10240 0.10240 0.10240 0.19123],0.2256
6300,[0.08000 0.08000 0.08000 -0.09801],[0.02560 0.02560 0.02560 0.02394],0.2244
6400,[0.80000 0.80000 0.80000 -0.80000],[1.47200 1.47200 1.47200 1.47200],0.22319999999999998
6500,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.222
6600,[0.40000 0.40000 0.40000 -0.61109],[0.12800 0.12800 0.12800 0.24232],0.2208
6700,[0.00000 0.00000 0.00000 -0.23029],[0.00000 0.00000 0.00000 0.21213],0.2196
6800,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.21839999999999998
6900,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.21719999999999998
7000,[0.08000 0.08000 0.08000 -0.27337],[0.02560 0.02560 0.02560 0.14423],0.216
7100,[0.00000 0.00000 0.00000 -0.02195],[0.00000 0.00000 0.00000 0.00121],0.2148
7200,[0.00000 0.00000 0.00000 -0.01775],[0.00000 0.00000 0.00000 0.00093],0.21359999999999998
7300,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.21239999999999998
7400,[0.00000 0.00000 0.00000 -0.04817],[0.00000 0.00000 0.00000 0.00386],0.21119999999999997
7500,[0.24000 0.24000 0.24000 -0.50437],[0.23040 0.23040 0.23040 0.38307],0.21
7600,[0.00000 0.00000 0.00000 -0.00953],[0.00000 0.00000 0.00000 0.00036],0.20879999999999999
7700,[0.16000 0.16000 0.16000 -0.26787],[0.03840 0.03840 0.03840 0.04986],0.20759999999999998
7800,[0.56000 0.56000 0.56000 -0.56150],[1.25440 1.25440 1.25440 1.25273],0.20639999999999997
7900,[0.00000 0.00000 0.00000 -0.07174],[0.00000 0.00000 0.00000 0.00931],0.20520000000000002
8000,[0.16000 0.16000 0.16000 -0.40636],[0.10240 0.10240 0.10240 0.13616],0.20400000000000001
8100,[0.08000 0.08000 0.08000 -0.27216],[0.02560 0.02560 0.02560 0.11862],0.2028
8200,[0.24000 0.24000 0.24000 -0.24743],[0.10240 0.10240 0.10240 0.10043],0.2016
8300,[0.08000 0.08000 0.08000 -0.10136],[0.02560 0.02560 0.02560 0.02557],0.2004
8400,[0.32000 0.32000 0.32000 -0.32037],[0.15360 0.15360 0.15360 0.15337],0.19920000000000002
8500,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.198
8600,[0.56000 0.56000 0.56000 -0.70105],[0.23040 0.23040 0.23040 0.27141],0.1968
8700,[0.32000 0.32000 0.32000 -0.48758],[0.15360 0.15360 0.15360 0.13379],0.1956
8800,[0.24000 0.24000 0.24000 -0.25974],[0.23040 0.23040 0.23040 0.22248],0.1944
8900,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.1932
9000,[0.56000 0.56000 0.56000 -0.67232],[0.87040 0.87040 0.87040 1.25959],0.192
9100,[0.16000 0.16000 0.16000 -0.30476],[0.10240 0.10240 0.10240 0.13990],0.1908
9200,[0.00000 0.00000 0.00000 -0.40820],[0.00000 0.00000 0.00000 0.34979],0.1896
9300,[0.08000 0.08000 0.08000 -0.28979],[0.02560 0.02560 0.02560 0.05557],0.18839999999999998
9400,[0.08000 0.08000 0.08000 -0.13372],[0.02560 0.02560 0.02560 0.03006],0.1872
9500,[0.08000 0.08000 0.08000 -0.20409],[0.02560 0.02560 0.02560 0.03575],0.186
9600,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.1848
9700,[0.16000 0.16000 0.16000 -0.27944],[0.10240 0.10240 0.10240 0.09480],0.18359999999999999
9800,[0.16000 0.16000 0.16000 -0.42463],[0.10240 0.10240 0.10240 0.19030],0.18239999999999998
9900,[0.32000 0.32000 0.32000 -0.40816],[0.15360 0.15360 0.15360 0.17974],0.1812
10000,[0.16000 0.16000 0.16000 -0.46480],[0.10240 0.10240 0.10240 0.11033],0.18
10100,[0.08000 0.08000 0.08000 -0.08501],[0.02560 0.02560 0.02560 0.02490],0.1788
10200,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.17759999999999998
10300,[0.24000 0.24000 0.24000 -0.28531],[0.10240 0.10240 0.10240 0.08928],0.17639999999999997
10400,[0.16000 0.16000 0.16000 -0.55553],[0.10240 0.10240 0.10240 0.30638],0.1752
10500,[0.08000 0.08000 0.08000 -0.26148],[0.02560 0.02560 0.02560 0.07759],0.174
10600,[0.00000 0.00000 0.00000 -0.15766],[0.00000 0.00000 0.00000 0.08773],0.17279999999999998
10700,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.17159999999999997
10800,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.17039999999999997
