iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
0,100,4.23528,0.31735,3.36658,0.28516,2.83678,0.26448
1,200,1.59868,0.23352,1.85923,0.22776,1.81701,0.22134
2,300,1.65757,0.22891,1.78541,0.22358,1.76310,0.22020
3,400,1.64236,0.22304,1.63874,0.21997,1.64671,0.21945
4,500,1.62042,0.22041,1.64766,0.21709,1.64157,0.21652
5,600,1.55790,0.21993,1.67028,0.21717,1.60805,0.21535
6,700,1.67889,0.21625,1.65732,0.21796,1.58541,0.21336
7,800,1.75048,0.21699,1.65266,0.21442,1.60829,0.21194
8,900,1.65832,0.21396,1.71212,0.21501,1.68545,0.21355
9,1000,1.68180,0.21428,1.72152,0.21501,1.67666,0.21285
10,1100,1.74319,0.21641,1.75237,0.21591,1.71297,0.21204
11,1200,1.72575,0.21569,1.75512,0.21463,1.77147,0.21261
12,1300,1.73360,0.21487,1.72938,0.21472,1.69584,0.21161
13,1400,1.78920,0.21539,1.72350,0.21510,1.74562,0.21309
14,1500,1.80537,0.21592,1.70927,0.21583,1.74969,0.21626
15,1600,1.83761,0.21388,1.69519,0.21435,1.75317,0.21182
16,1700,1.84239,0.21167,1.66215,0.21253,1.71157,0.21157
17,1800,1.87474,0.21395,1.66821,0.21164,1.67995,0.20992
18,1900,1.93848,0.21130,1.72076,0.21113,1.73575,0.20895
19,2000,1.94202,0.21148,1.69176,0.21059,1.77070,0.21046
20,2100,1.95778,0.21469,1.78728,0.21106,1.82457,0.21179
21,2200,1.93985,0.20963,1.84798,0.21229,1.82856,0.21022
22,2300,1.93361,0.21036,1.80663,0.21022,1.86386,0.21196
23,2400,1.98290,0.21187,1.80525,0.21154,1.92289,0.21146
24,2500,2.06568,0.21188,1.79357,0.21157,1.86492,0.20933
25,2600,2.03672,0.21084,1.77446,0.20895,1.89000,0.21045
26,2700,2.09000,0.21032,1.86161,0.21022,1.90251,0.21046
27,2800,2.11976,0.21081,1.87906,0.21222,1.91697,0.20899
28,2900,2.12936,0.21295,1.94239,0.21064,1.99082,0.21181
29,3000,2.25400,0.21213,1.86268,0.20837,1.96102,0.21029
30,3100,2.20784,0.21340,1.90743,0.20943,2.00379,0.21225
31,3200,2.16340,0.21326,1.92148,0.21077,1.97495,0.20925
32,3300,2.18133,0.21096,1.96810,0.21169,2.06153,0.21400
33,3400,2.18991,0.21342,1.95109,0.21184,2.04249,0.21175
34,3500,2.16573,0.21255,1.97622,0.21139,2.08809,0.21227
35,3600,2.24445,0.21130,2.07617,0.21340,2.10852,0.21166
36,3700,2.27516,0.21335,2.02717,0.20963,2.08998,0.21184
37,3800,2.28240,0.21102,2.11389,0.21075,2.07060,0.21044
38,3900,2.29217,0.21211,2.05891,0.20948,2.05507,0.20957
39,4000,2.28278,0.21108,2.06006,0.21017,2.14878,0.21167
40,4100,2.38589,0.21090,2.08959,0.21061,2.15541,0.21169
41,4200,2.31923,0.21213,2.11395,0.21180,2.07843,0.20952
