number,rewards,variances,exploration_value
0,[-10.43782 2.40750 2.40750],[21.01372 0.68219 0.68219],0.9988953697090716
100,[-0.57235 -0.45070 -0.45070],[0.19054 0.84474 0.84474],0.9797606658876263
200,[-1.71375 -0.04838 -0.04838],[1.01943 0.14327 0.14327],0.9609925038496699
300,[-2.56769 0.76565 0.76565],[10.50960 0.78801 0.78801],0.9425838621706605
400,[-2.36740 0.63040 0.63040],[7.97280 0.91440 0.91440],0.9245278539275122
500,[-2.07229 0.26628 0.26628],[2.46867 0.65558 0.65558],0.9068177241220878
600,[-3.31934 0.97035 0.97035],[14.67382 0.32814 0.32814],0.889446847154093
700,[-4.02791 0.86108 0.86108],[24.90941 1.86164 1.86164],0.8724087243423219
800,[-0.97687 -0.02664 -0.02664],[0.88034 0.48236 0.48236],0.8556969814934174
900,[-3.05866 0.55279 0.55279],[5.45058 0.71054 0.71054],0.8393053665172148
1000,[-3.16910 0.66626 0.66626],[24.08428 1.10425 1.10425],0.8232277470877281
1100,[-1.34661 0.12711 0.12711],[0.16357 0.17698 0.17698],0.8074581083489812
1200,[-0.75362 0.10451 0.10451],[0.14661 0.60847 0.60847],0.7919905506647517
1300,[-2.11326 0.50745 0.50745],[1.74503 0.29000 0.29000],0.7768192874114557
1400,[-1.06314 0.13017 0.13017],[0.60679 0.51724 0.51724],0.7619386428132808
1500,[-2.68475 0.74976 0.74976],[11.83302 0.51979 0.51979],0.7473430498187978
1600,[-3.31720 1.05756 1.05756],[18.08103 1.15878 1.15878],0.7330270480182665
1700,[-2.80635 0.51236 0.51236],[18.65861 0.82060 0.82060],0.7189852816008054
1800,[-1.98701 0.60206 0.60206],[0.52267 0.09489 0.09489],0.705212497350724
1900,[-1.01157 -0.28134 -0.28134],[0.98101 2.00880 2.00880],0.6917035426822101
2000,[-4.38515 0.98446 0.98446],[30.95489 1.52416 1.52416],0.6784533637116886
2100,[-3.02533 0.61627 0.61627],[11.64677 1.49144 1.49144],0.6654570033670938
2200,[-3.34482 0.79145 0.79145],[30.61101 0.88150 0.88150],0.6527095995333525
2300,[-2.02893 0.57968 0.57968],[5.98452 0.52250 0.52250],0.6402063832334086
2400,[-1.13020 0.30201 0.30201],[0.64786 0.10669 0.10669],0.6279426768440843
2500,[-1.21231 0.36147 0.36147],[1.13220 0.10116 0.10116],0.6159138923461105
2600,[-0.94455 0.11301 0.11301],[0.89586 0.50840 0.50840],0.6041155296076918
2700,[-3.30952 -0.16431 -0.16431],[21.57421 1.04485 1.04485],0.5925431747009424
2800,[-0.31448 -0.09182 -0.09182],[0.02639 0.09583 0.09583],0.5811924982505915
2900,[-3.10720 0.86554 0.86554],[21.94726 1.18144 1.18144],0.5700592538142826
3000,[-1.72686 -0.16420 -0.16420],[2.60053 1.63002 1.63002],0.5591392762939287
3100,[-0.93575 0.20520 0.20520],[0.23925 0.06977 0.06977],0.5484284803774964
3200,[-2.70378 0.36577 0.36577],[12.83714 0.08129 0.08129],0.5379228590106419
3300,[-4.84081 1.18448 1.18448],[26.26082 0.95654 0.95654],0.5276184818975981
3400,[-0.63148 -0.51455 -0.51455],[0.27050 1.02164 1.02164],0.5175114940308205
3500,[-3.77220 0.80688 0.80688],[14.44323 0.73325 0.73325],0.5075981142487541
3600,[-1.47546 0.58692 0.58692],[3.12842 0.43678 0.43678],0.4978746338212661
3700,[-2.65576 0.67673 0.67673],[20.89939 0.89520 0.89520],0.48833741506215295
3800,[-0.40700 -0.07863 -0.07863],[0.10829 0.11323 0.11323],0.47898288996823385
3900,[-1.65366 0.52417 0.52417],[1.24918 0.27182 0.27182],0.46980755888450715
4000,[-0.75247 0.30808 0.30808],[0.32551 0.08233 0.08233],0.4608079891948918
4100,[-0.92091 0.34239 0.34239],[0.46842 0.06628 0.06628],0.45198081403803075
4200,[-0.96394 0.55873 0.55873],[0.70854 0.13933 0.13933],0.4433227310477052
4300,[-0.55823 0.15740 0.15740],[0.05334 0.03972 0.03972],0.43483050111737453
4400,[-3.91633 1.11345 1.11345],[14.11470 0.94477 0.94477],0.42650094718838294
4500,[-1.49261 0.22505 0.22505],[1.30392 0.08226 0.08226],0.4183309530613763
4600,[-1.63929 0.54069 0.54069],[2.46559 0.24763 0.24763],0.41031746223049576
4700,[-0.66845 0.24399 0.24399],[0.19186 0.13909 0.13909],0.4024574767398885
4800,[-0.37423 0.29887 0.29887],[0.02106 0.02930 0.02930],0.39474805606213775
4900,[-1.65535 0.69613 0.69613],[2.49978 0.35691 0.35691],0.3871863159981707
5000,[-0.25509 0.01794 0.01794],[0.01548 0.01338 0.01338],0.37976942759823823
5100,[-2.85762 0.56460 0.56460],[17.80210 1.31596 1.31596],0.37249461610356654
5200,[-1.47412 0.25582 0.25582],[0.96269 0.04736 0.04736],0.36535915990828843
5300,[-0.49414 0.20983 0.20983],[0.13415 0.00269 0.00269],0.3583603895412437
5400,[-0.66904 0.24474 0.24474],[0.12982 0.05113 0.05113],0.35149568666730197
5500,[-0.48989 0.30782 0.30782],[0.02221 0.02256 0.02256],0.34476248310780105
5600,[-3.90190 0.99732 0.99732],[27.44104 1.46616 1.46616],0.33815825987976045
5700,[-0.73582 0.15097 0.15097],[0.33676 0.15721 0.15721],0.33168054625349885
5800,[-4.21782 1.23585 1.23585],[28.82318 1.17428 1.17428],0.32532691882829134
5900,[-0.61146 0.32512 0.32512],[0.41953 0.07805 0.07805],0.3190950006257518
6000,[-0.98607 -0.10598 -0.10598],[1.30490 1.95905 1.95905],0.312982460200566
6100,[-0.75830 0.12904 0.12904],[0.56416 0.02969 0.02969],0.3069870107682693
6200,[-0.56597 -0.18778 -0.18778],[0.60616 0.89148 0.89148],0.30110640934973165
6300,[-1.77562 0.37044 0.37044],[4.18257 0.52454 0.52454],0.29533845593202374
6400,[-1.63339 0.69017 0.69017],[2.71840 0.33156 0.33156],0.2896809926453638
6500,[-0.61556 0.28725 0.28725],[0.06766 0.05154 0.05154],0.2841319029558341
6600,[-1.02212 0.53542 0.53542],[0.35276 0.13199 0.13199],0.27868911087355025
6700,[-0.55646 0.32317 0.32317],[0.02970 0.00191 0.00191],0.27335058017600533
6800,[-3.50301 0.99587 0.99587],[24.52087 1.33683 1.33683],0.26811431364629784
6900,[-0.80616 0.08538 0.08538],[0.21242 0.03400 0.03400],0.26297835232593786
7000,[-1.52051 0.56741 0.56741],[2.31991 0.41959 0.41959],0.25794077478198096
7100,[-2.26663 0.74421 0.74421],[3.13161 0.39046 0.39046],0.2529996963881896
7200,[-1.54739 0.45620 0.45620],[2.56441 0.38163 0.38163],0.24815326861997006
7300,[-0.57595 -0.06726 -0.06726],[0.21152 0.37416 0.37416],0.2433996783628142
7400,[-0.57038 -0.07923 -0.07923],[0.28466 0.83969 0.83969],0.23873714723398948
7500,[-0.35460 0.14643 0.14643],[0.01454 0.02341 0.02341],0.23416393091721965
7600,[-1.50745 0.70699 0.70699],[2.17787 0.37001 0.37001],0.2296783185101154
7700,[-0.45126 0.24564 0.24564],[0.09349 0.00772 0.00772],0.2252786318840993
7800,[-1.17789 0.62612 0.62612],[0.86269 0.15268 0.15268],0.2209632250565976
7900,[-0.34001 0.23344 0.23344],[0.01076 0.00510 0.00510],0.2167304835752537
8000,[-1.27884 0.58336 0.58336],[0.78961 0.23125 0.23125],0.21257882391394362
8100,[-0.67221 -0.06619 -0.06619],[0.57250 0.51790 0.51790],0.208506692880351
8200,[-2.44139 0.50650 0.50650],[2.90649 0.26849 0.26849],0.20451256703490245
8300,[-1.38781 0.31568 0.31568],[2.10253 0.59391 0.59391],0.20059495212082465
8400,[-1.19165 0.30998 0.30998],[2.19367 0.00560 0.00560],0.196752382505123
8500,[-0.42718 0.17510 0.17510],[0.03348 0.01390 0.01390],0.19298342063027152
8600,[-1.63275 0.79484 0.79484],[2.12459 0.39786 0.39786],0.18928665647639956
8700,[-0.51918 0.34645 0.34645],[0.00304 0.00131 0.00131],0.18566070703378476
8800,[-0.80241 0.41162 0.41162],[0.60471 0.17198 0.17198],0.18210421578545158
8900,[-2.28643 1.04168 1.04168],[1.84990 0.23004 0.23004],0.17861585219967707
9000,[-1.69251 0.72523 0.72523],[2.96800 0.43952 0.43952],0.17519431123222665
9100,[-0.89929 0.40454 0.40454],[0.27642 0.06999 0.06999],0.17183831283811357
9200,[-2.50357 0.98017 0.98017],[8.04877 0.70056 0.70056],0.1685466014927179
9300,[-2.93360 1.32943 1.32943],[1.81844 0.30713 0.30713],0.16531794572208017
9400,[-0.96338 0.49757 0.49757],[0.76772 0.13407 0.13407],0.16215113764218753
9500,[-0.82886 0.24352 0.24352],[0.56054 0.20676 0.20676],0.15904499250708942
9600,[-1.39950 0.63460 0.63460],[0.86706 0.19084 0.19084],0.15599834826566805
9700,[-0.74351 0.16692 0.16692],[0.36663 0.03311 0.03311],0.1530100651268971
9800,[-1.73365 0.37053 0.37053],[2.80930 0.59780 0.59780],0.15007902513343338
9900,[-1.09209 0.49379 0.49379],[0.36530 0.06595 0.06595],0.14720413174337166
10000,[-1.12644 0.31367 0.31367],[1.52537 0.01971 0.01971],0.14438430942001573
