iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
0,100,5.01429,0.35099,4.31244,0.30487,4.25532,0.28926
1,200,1.96007,0.23942,2.12380,0.24260,2.19303,0.23747
2,300,1.93160,0.21504,2.06457,0.23230,1.94356,0.21471
3,400,1.85822,0.20013,1.90776,0.21282,1.93035,0.20461
4,500,1.86672,0.19478,1.99747,0.21234,1.99210,0.20511
5,600,1.76212,0.18687,1.95452,0.19986,2.01389,0.20159
6,700,1.87427,0.18121,1.91460,0.19818,1.97748,0.19538
7,800,1.97911,0.17851,1.92784,0.19516,1.88753,0.18748
8,900,1.99461,0.17690,1.95028,0.19077,2.00147,0.18899
9,1000,2.08912,0.17799,2.06260,0.19200,2.06006,0.18760
10,1100,2.17034,0.17642,2.01714,0.19007,2.04859,0.18449
11,1200,2.16096,0.17463,2.06297,0.18827,2.15572,0.18692
12,1300,2.25059,0.17579,2.06717,0.18750,2.12789,0.18607
13,1400,2.22911,0.17393,2.11285,0.19060,2.15065,0.18275
14,1500,2.33010,0.17119,2.09876,0.18906,2.15323,0.18268
15,1600,2.37994,0.17197,2.03990,0.18563,2.22743,0.17926
16,1700,2.50112,0.17413,2.05194,0.18459,2.17085,0.17886
17,1800,2.47922,0.17290,2.10954,0.17851,2.23834,0.17954
18,1900,2.57653,0.16974,2.14391,0.17725,2.22571,0.18165
19,2000,2.61029,0.17293,2.14920,0.17995,2.30441,0.18146
20,2100,2.65792,0.17125,2.22928,0.17884,2.27551,0.18202
21,2200,2.78009,0.17400,2.27359,0.17558,2.34894,0.18062
22,2300,2.73084,0.17081,2.25466,0.17674,2.34313,0.17704
23,2400,2.83834,0.17234,2.32518,0.18014,2.41367,0.17796
24,2500,2.94376,0.17297,2.39664,0.18365,2.43251,0.17762
25,2600,2.92920,0.17439,2.35491,0.18000,2.41726,0.17792
26,2700,3.05353,0.17263,2.44282,0.17948,2.49568,0.17659
27,2800,3.15280,0.17610,2.50193,0.18304,2.50298,0.17568
28,2900,3.19823,0.17704,2.60346,0.18171,2.58288,0.17799
29,3000,3.27985,0.17448,2.51034,0.18149,2.60369,0.17912
30,3100,3.21512,0.17672,2.59504,0.18123,2.65617,0.18148
31,3200,3.41133,0.17677,2.63419,0.18248,2.69174,0.18123
32,3300,3.34922,0.17543,2.72271,0.18286,2.65131,0.17974
33,3400,3.51355,0.17599,2.70385,0.18512,2.71460,0.18130
34,3500,3.40671,0.17713,2.73168,0.18379,2.74663,0.18065
35,3600,3.41844,0.17598,2.73665,0.18852,2.67362,0.18090
36,3700,3.56527,0.17836,2.74270,0.18632,2.79452,0.18465
37,3800,3.69307,0.17653,2.79742,0.18389,2.76549,0.18322
38,3900,3.68760,0.17577,2.87072,0.18371,2.81215,0.18298
39,4000,3.56352,0.17426,2.84390,0.18518,2.85811,0.18220
40,4100,3.63377,0.17582,2.89925,0.18849,2.92475,0.18412
41,4200,3.75864,0.17493,2.98773,0.18767,2.86628,0.18172
42,4300,3.72833,0.17617,2.89636,0.18650,2.81696,0.18147
43,4400,3.67718,0.17398,2.86201,0.18359,2.90117,0.18306
44,4500,3.77968,0.17467,2.96170,0.18712,2.91474,0.18361
45,4600,3.86247,0.17559,2.97923,0.18933,2.93255,0.18430
46,4700,3.79699,0.17716,2.95323,0.18470,2.88346,0.18380
47,4800,3.87860,0.17439,2.96951,0.18681,2.84794,0.18504
48,4900,4.07006,0.17656,3.00841,0.18800,2.94076,0.18262
49,5000,3.94257,0.17610,3.05867,0.18748,2.97805,0.18297
50,5100,3.94013,0.17492,3.00897,0.18914,2.97460,0.18483
51,5200,4.01735,0.17559,2.98410,0.18834,3.10355,0.18752
52,5300,3.92430,0.17385,2.96617,0.18665,3.04796,0.18593
53,5400,4.00642,0.17622,2.91814,0.18930,3.08166,0.18352
54,5500,4.02219,0.17511,3.04924,0.18814,3.00234,0.18430
55,5600,3.98253,0.17416,3.17327,0.18785,3.06831,0.18544
56,5700,4.00210,0.17455,3.08271,0.18809,3.09695,0.18566
57,5800,4.07617,0.17278,3.17954,0.18883,3.09973,0.18653
58,5900,4.05356,0.17221,3.05858,0.18714,3.16606,0.18381
59,6000,4.00109,0.17034,3.15129,0.18916,3.18298,0.18564
60,6100,4.23923,0.17131,3.04082,0.18668,3.28694,0.18766
61,6200,4.28566,0.17189,3.01136,0.18742,3.13558,0.18553
62,6300,4.05056,0.16922,3.06719,0.18864,3.17650,0.18581
63,6400,4.15269,0.17149,3.16257,0.18815,3.05314,0.18417
64,6500,4.13133,0.16922,3.12326,0.19143,3.12716,0.18651
65,6600,4.16602,0.17050,3.09544,0.18624,3.14739,0.18586
66,6700,4.07279,0.17176,3.00440,0.18578,3.18234,0.18692
67,6800,4.16009,0.17253,3.00341,0.18388,3.19431,0.18423
68,6900,4.08273,0.17096,3.02290,0.18413,3.22398,0.18678
69,7000,4.01675,0.16939,3.06459,0.18272,3.11080,0.18921
70,7100,4.13681,0.17230,3.11119,0.18407,3.14744,0.18590
71,7200,4.19620,0.17104,3.04167,0.18558,3.11708,0.18718
72,7300,4.25558,0.17063,3.12229,0.18470,3.24166,0.18613
73,7400,4.24867,0.17116,3.08974,0.18422,3.13017,0.18598
74,7500,4.21479,0.17146,3.14801,0.18435,3.20075,0.18668
75,7600,4.35458,0.17021,3.12227,0.18379,3.12969,0.18537
76,7700,4.12974,0.17118,3.14550,0.18489,3.06748,0.18641
77,7800,4.43412,0.16806,3.11271,0.18333,3.28863,0.18588
78,7900,4.24978,0.16638,3.09279,0.18171,3.15446,0.18246
79,8000,4.38883,0.16796,3.13053,0.18157,3.17450,0.18276
80,8100,4.22987,0.16838,3.17869,0.18209,3.27449,0.18351
81,8200,4.46762,0.16557,3.03404,0.18282,3.17895,0.18251
82,8300,4.49529,0.16686,3.12997,0.18222,3.21446,0.18442
83,8400,4.38576,0.16449,3.14807,0.18448,3.20279,0.18507
84,8500,4.33053,0.16625,3.19970,0.18296,3.16364,0.18456
85,8600,4.36087,0.16738,3.12154,0.18176,3.16729,0.18333
86,8700,4.47612,0.17014,3.06865,0.18369,3.28194,0.18181
87,8800,4.25802,0.16499,3.16436,0.18469,3.30615,0.18284
88,8900,4.29935,0.16697,3.10397,0.18330,3.27133,0.18198
89,9000,4.50183,0.16354,3.10318,0.18141,3.19035,0.17916
90,9100,4.42132,0.16648,3.09442,0.18196,3.19679,0.17912
91,9200,4.46206,0.16452,3.11917,0.17975,3.23871,0.18122
92,9300,4.28986,0.16297,3.03003,0.18032,3.21683,0.18245
93,9400,4.35827,0.16317,3.19253,0.18059,3.21361,0.17995
94,9500,4.29351,0.16317,3.16736,0.18034,3.15514,0.18046
95,9600,4.35511,0.16357,3.18540,0.17925,3.26429,0.18072
96,9700,4.50911,0.16226,3.15514,0.18041,3.28423,0.17992
97,9800,4.53981,0.16129,3.19067,0.17940,3.21755,0.17903
98,9900,4.33256,0.16173,3.20111,0.17743,3.27925,0.17802
99,10000,4.52599,0.16183,3.23193,0.17690,3.22035,0.18004
100,10100,4.48779,0.16291,3.14616,0.17924,3.23379,0.17927
101,10200,4.59716,0.16065,3.06914,0.17709,3.23013,0.17955
102,10300,4.59638,0.15822,3.16472,0.17766,3.31599,0.17801
103,10400,4.11531,0.16245,3.11645,0.17834,3.29096,0.17949
104,10500,4.50652,0.16132,3.21040,0.17801,3.33987,0.17890
