iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,4.90663,0.45510,1.61026,8.88577,0.61025,1.61113,8.94911,0.60944,1.60854
1,200,2.01656,0.45269,1.61011,4.31833,0.60753,1.61048,4.32235,0.60619,1.60905
2,300,1.12034,0.44921,1.61003,1.82168,0.60318,1.61059,1.74974,0.60214,1.60875
3,400,1.01284,0.44566,1.60986,1.07352,0.59854,1.61018,1.08423,0.59771,1.60968
4,500,1.01282,0.44219,1.61001,1.06692,0.59439,1.61003,1.06850,0.59373,1.60976
5,600,0.98900,0.43855,1.61036,1.05671,0.59025,1.60942,1.08934,0.58966,1.60919
6,700,1.04648,0.43548,1.61033,1.05893,0.58639,1.60954,1.09274,0.58534,1.61002
7,800,1.04776,0.43193,1.61023,1.05999,0.58218,1.60963,1.09960,0.58133,1.61067
8,900,1.05896,0.42871,1.60990,1.08258,0.57797,1.60888,1.11314,0.57787,1.61064
9,1000,1.04122,0.42529,1.61051,1.09144,0.57431,1.60990,1.11969,0.57407,1.61062
10,1100,1.09460,0.42209,1.61045,1.07112,0.57045,1.60963,1.11432,0.56995,1.61018
11,1200,1.08479,0.41884,1.60976,1.07230,0.56668,1.60918,1.14481,0.56614,1.61100
12,1300,1.09530,0.41543,1.61028,1.08663,0.56256,1.60944,1.12674,0.56241,1.61117
13,1400,1.10792,0.41227,1.61019,1.10150,0.55897,1.60912,1.10972,0.55863,1.61109
14,1500,1.10541,0.40881,1.61026,1.11713,0.55488,1.60874,1.13823,0.55492,1.61107
15,1600,1.13513,0.40585,1.61000,1.12194,0.55114,1.60882,1.12770,0.55121,1.61100
16,1700,1.11470,0.40258,1.61019,1.11483,0.54707,1.60895,1.13620,0.54760,1.61113
17,1800,1.13676,0.39944,1.60996,1.13988,0.54352,1.60926,1.15490,0.54353,1.61102
18,1900,1.16090,0.39641,1.60942,1.15119,0.53996,1.60913,1.13307,0.54011,1.61090
19,2000,1.14449,0.39331,1.60953,1.15397,0.53601,1.60913,1.17003,0.53650,1.61115
20,2100,1.16631,0.39029,1.60993,1.15697,0.53237,1.60897,1.14652,0.53287,1.61130
21,2200,1.16466,0.38737,1.60946,1.15104,0.52876,1.60918,1.16652,0.52909,1.61070
22,2300,1.17144,0.38413,1.60984,1.16290,0.52492,1.60918,1.19100,0.52536,1.61127
23,2400,1.19483,0.38091,1.60979,1.14476,0.52169,1.60955,1.18927,0.52143,1.61112
24,2500,1.17315,0.37796,1.60908,1.16302,0.51806,1.60924,1.18826,0.51824,1.61078
