number,rewards,variances,exploration_value
0,[-10.89849 2.43330 2.43330],[22.37503 0.79207 0.79207],0.9988953697090716
100,[-0.57235 -0.87312 -0.87312],[0.19054 0.43571 0.43571],0.9797606658876263
200,[-5.29656 0.31524 0.31524],[7.55837 0.74921 0.74921],0.9609925038496699
300,[-6.11337 0.95367 0.95367],[19.20517 0.10454 0.10454],0.9425838621706605
400,[-1.09281 -0.15953 -0.15953],[0.79293 1.28443 1.28443],0.9245278539275122
500,[-4.81833 -0.11518 -0.11518],[8.93880 0.44415 0.44415],0.9068177241220878
600,[-5.89826 0.17183 0.17183],[25.07897 0.59226 0.59226],0.889446847154093
700,[-3.39549 0.69258 0.69258],[16.70640 1.26617 1.26617],0.8724087243423219
800,[-6.31580 1.00581 1.00581],[25.31076 1.58327 1.58327],0.8556969814934174
900,[-1.96025 0.02101 0.02101],[3.41243 0.42211 0.42211],0.8393053665172148
1000,[-5.26374 1.08520 1.08520],[22.35631 1.27979 1.27979],0.8232277470877281
1100,[-5.40929 0.93144 0.93144],[7.99076 0.28061 0.28061],0.8074581083489812
1200,[-3.37442 0.80323 0.80323],[4.70163 0.15868 0.15868],0.7919905506647517
1300,[-5.51838 -0.01531 -0.01531],[25.78930 2.90030 2.90030],0.7768192874114557
1400,[-5.13763 0.35798 0.35798],[5.32923 1.61309 1.61309],0.7619386428132808
1500,[-5.39066 0.10298 0.10298],[33.45338 0.14930 0.14930],0.7473430498187978
1600,[-5.62733 1.10592 1.10592],[9.80740 0.35592 0.35592],0.7330270480182665
1700,[-6.12264 0.76000 0.76000],[15.58261 0.88774 0.88774],0.7189852816008054
1800,[-7.26343 0.99464 0.99464],[23.97609 0.77700 0.77700],0.705212497350724
1900,[-4.71338 0.52377 0.52377],[15.58345 0.46829 0.46829],0.6917035426822101
2000,[-1.33605 0.07931 0.07931],[1.51189 0.36286 0.36286],0.6784533637116886
2100,[-6.25726 0.86922 0.86922],[6.42470 0.62890 0.62890],0.6654570033670938
2200,[-5.86223 1.41159 1.41159],[3.41370 0.17296 0.17296],0.6527095995333525
2300,[-0.91308 0.35245 0.35245],[0.27868 0.09420 0.09420],0.6402063832334086
2400,[-5.85539 0.56054 0.56054],[17.24609 0.27326 0.27326],0.6279426768440843
2500,[-1.69837 -0.39218 -0.39218],[0.60124 1.55723 1.55723],0.6159138923461105
2600,[-2.84422 0.22585 0.22585],[11.95140 0.25566 0.25566],0.6041155296076918
2700,[-2.13393 0.45090 0.45090],[4.53244 0.73568 0.73568],0.5925431747009424
2800,[-3.34784 0.24665 0.24665],[8.80666 1.61259 1.61259],0.5811924982505915
2900,[-1.43096 -0.15179 -0.15179],[1.70470 0.42471 0.42471],0.5700592538142826
3000,[-1.41064 -0.06221 -0.06221],[0.53422 0.15342 0.15342],0.5591392762939287
