number,rewards,variances,exploration_value
0,[-1.53668 -0.46988 -0.46988],[0.82355 0.58582 0.58582],0.9988953697090716
100,[-5.44692 0.13103 0.13103],[14.86915 1.16808 1.16808],0.9797606658876263
200,[-3.79593 0.62036 0.62036],[34.94659 1.21564 1.21564],0.9609925038496699
300,[-0.79098 -0.21068 -0.21068],[1.23402 0.12282 0.12282],0.9425838621706605
400,[-3.53466 0.64367 0.64367],[2.77597 0.13702 0.13702],0.9245278539275122
500,[-2.53236 0.69647 0.69647],[11.58516 0.96867 0.96867],0.9068177241220878
600,[-1.66573 0.40358 0.40358],[1.73080 0.33800 0.33800],0.889446847154093
700,[-2.18400 0.51472 0.51472],[3.76504 0.15103 0.15103],0.8724087243423219
800,[-4.17207 0.88616 0.88616],[10.24757 0.35482 0.35482],0.8556969814934174
900,[-1.76525 0.20000 0.20000],[2.42082 0.76406 0.76406],0.8393053665172148
1000,[-3.56854 0.08580 0.08580],[10.08314 0.77197 0.77197],0.8232277470877281
1100,[-2.29650 0.76140 0.76140],[6.01227 0.55008 0.55008],0.8074581083489812
1200,[-1.59014 0.24127 0.24127],[2.40400 0.72433 0.72433],0.7919905506647517
1300,[-1.51735 0.13016 0.13016],[0.41290 0.30511 0.30511],0.7768192874114557
1400,[-1.89942 0.56542 0.56542],[1.80408 0.62534 0.62534],0.7619386428132808
1500,[-0.91112 0.09592 0.09592],[0.25563 0.04871 0.04871],0.7473430498187978
1600,[-0.84269 0.09645 0.09645],[0.21643 0.40087 0.40087],0.7330270480182665
1700,[-1.66211 0.28370 0.28370],[0.84542 0.16977 0.16977],0.7189852816008054
1800,[-2.40792 0.44113 0.44113],[3.08664 0.23745 0.23745],0.705212497350724
1900,[-0.74875 -0.03196 -0.03196],[0.46977 0.29815 0.29815],0.6917035426822101
2000,[-1.42697 0.06595 0.06595],[1.09973 0.07300 0.07300],0.6784533637116886
2100,[-3.75342 -0.23552 -0.23552],[44.61172 0.28932 0.28932],0.6654570033670938
2200,[-2.06515 0.08420 0.08420],[4.49626 1.21392 1.21392],0.6527095995333525
2300,[-3.20831 0.07723 0.07723],[13.57749 1.51059 1.51059],0.6402063832334086
2400,[-1.63946 0.12004 0.12004],[1.24651 0.25509 0.25509],0.6279426768440843
2500,[-0.53122 0.24827 0.24827],[0.02229 0.01490 0.01490],0.6159138923461105
2600,[-1.65815 0.04815 0.04815],[1.56755 0.23481 0.23481],0.6041155296076918
2700,[-5.76480 1.20546 1.20546],[38.07512 1.98545 1.98545],0.5925431747009424
2800,[-2.48249 0.55189 0.55189],[8.58975 0.85006 0.85006],0.5811924982505915
2900,[-0.46434 -0.03422 -0.03422],[0.02566 0.14386 0.14386],0.5700592538142826
3000,[-1.20752 0.08030 0.08030],[1.03031 0.92224 0.92224],0.5591392762939287
3100,[-1.81278 0.38711 0.38711],[1.24692 0.14422 0.14422],0.5484284803774964
3200,[-0.42940 -0.36384 -0.36384],[0.07231 1.10916 1.10916],0.5379228590106419
3300,[-2.62243 0.48436 0.48436],[13.12079 1.22984 1.22984],0.5276184818975981
3400,[-6.09518 0.66522 0.66522],[20.31862 0.69496 0.69496],0.5175114940308205
3500,[-3.51909 0.89048 0.89048],[16.04555 0.70671 0.70671],0.5075981142487541
3600,[-0.70814 0.26243 0.26243],[0.13706 0.07559 0.07559],0.4978746338212661
3700,[-1.30568 0.37817 0.37817],[0.73868 0.07071 0.07071],0.48833741506215295
3800,[-4.69012 0.88312 0.88312],[34.60293 0.20818 0.20818],0.47898288996823385
3900,[-4.23967 0.84579 0.84579],[30.29485 1.51871 1.51871],0.46980755888450715
4000,[-1.15787 0.10298 0.10298],[1.61264 0.00722 0.00722],0.4608079891948918
4100,[-1.15220 0.04224 0.04224],[0.99784 0.45857 0.45857],0.45198081403803075
4200,[-1.06779 0.35611 0.35611],[1.30100 0.01991 0.01991],0.4433227310477052
4300,[-1.16603 0.18006 0.18006],[1.03163 0.50467 0.50467],0.43483050111737453
4400,[-1.56007 0.23869 0.23869],[2.72580 0.04079 0.04079],0.42650094718838294
4500,[-4.11883 0.92773 0.92773],[42.60696 1.51546 1.51546],0.4183309530613763
