number,rewards,variances,exploration_value
0,[-1.08772 -1.10938 -1.10938],[0.84143 0.52973 0.52973],0.9988953697090716
100,[-5.88071 -0.00684 -0.00684],[14.06597 1.41003 1.41003],0.9797606658876263
200,[-5.21409 0.89369 0.89369],[10.40708 1.17795 1.17795],0.9609925038496699
300,[-4.02917 -0.13993 -0.13993],[8.28674 1.29152 1.29152],0.9425838621706605
400,[-5.42446 0.28276 0.28276],[14.95337 0.44047 0.44047],0.9245278539275122
500,[-4.27784 0.66958 0.66958],[52.85006 2.27865 2.27865],0.9068177241220878
600,[-5.07869 1.15028 1.15028],[8.94735 0.92760 0.92760],0.889446847154093
700,[-1.77062 0.37127 0.37127],[1.51936 0.14474 0.14474],0.8724087243423219
800,[-1.34333 -0.13780 -0.13780],[1.83455 0.77625 0.77625],0.8556969814934174
900,[-1.13475 -0.58329 -0.58329],[0.70813 0.30007 0.30007],0.8393053665172148
1000,[-3.67335 0.07028 0.07028],[14.49413 1.76732 1.76732],0.8232277470877281
1100,[-4.25451 0.46061 0.46061],[18.68770 0.51286 0.51286],0.8074581083489812
1200,[-3.05692 0.33681 0.33681],[9.47038 2.48408 2.48408],0.7919905506647517
1300,[-1.59749 -0.70680 -0.70680],[0.30201 0.87675 0.87675],0.7768192874114557
1400,[-6.75128 1.20537 1.20537],[54.76735 2.03105 2.03105],0.7619386428132808
1500,[-2.45744 0.59067 0.59067],[0.36356 0.18513 0.18513],0.7473430498187978
1600,[-3.46429 0.73412 0.73412],[9.99955 1.29488 1.29488],0.7330270480182665
1700,[-0.87962 -0.64689 -0.64689],[0.72552 0.35291 0.35291],0.7189852816008054
1800,[-5.04928 0.65563 0.65563],[24.98787 1.84179 1.84179],0.705212497350724
1900,[-2.73277 0.21131 0.21131],[5.55615 1.15711 1.15711],0.6917035426822101
2000,[-1.55607 -0.06358 -0.06358],[1.14668 0.33213 0.33213],0.6784533637116886
2100,[-2.62181 -0.01471 -0.01471],[4.19927 2.17281 2.17281],0.6654570033670938
2200,[-4.92020 0.55783 0.55783],[29.75260 1.82081 1.82081],0.6527095995333525
2300,[-1.10162 -0.74101 -0.74101],[0.40099 1.52108 1.52108],0.6402063832334086
2400,[-1.42567 -0.18449 -0.18449],[1.63548 1.06932 1.06932],0.6279426768440843
2500,[-0.67799 -0.01238 -0.01238],[0.09743 0.02844 0.02844],0.6159138923461105
2600,[-2.32491 0.52524 0.52524],[1.76009 0.34185 0.34185],0.6041155296076918
2700,[-1.46362 0.28980 0.28980],[1.65981 0.52130 0.52130],0.5925431747009424
2800,[-6.36620 0.98632 0.98632],[26.32777 2.74060 2.74060],0.5811924982505915
2900,[-0.93337 -0.43157 -0.43157],[0.14199 1.19939 1.19939],0.5700592538142826
3000,[-7.73911 0.81887 0.81887],[11.57064 1.53792 1.53792],0.5591392762939287
3100,[-1.85316 0.09025 0.09025],[2.26609 0.35563 0.35563],0.5484284803774964
3200,[-0.48291 -0.32018 -0.32018],[0.28910 0.57074 0.57074],0.5379228590106419
3300,[-8.32519 1.66571 1.66571],[23.52456 1.48289 1.48289],0.5276184818975981
3400,[-3.96694 0.59854 0.59854],[19.27149 1.33998 1.33998],0.5175114940308205
3500,[-1.57230 0.50984 0.50984],[0.24929 0.05981 0.05981],0.5075981142487541
3600,[-1.18860 -0.48073 -0.48073],[0.56566 0.18666 0.18666],0.4978746338212661
3700,[-1.23276 -0.26913 -0.26913],[0.66484 0.84329 0.84329],0.48833741506215295
3800,[-3.28059 0.89791 0.89791],[0.32437 0.43585 0.43585],0.47898288996823385
3900,[-2.20381 0.47551 0.47551],[1.30622 0.64084 0.64084],0.46980755888450715
4000,[-2.43400 0.27067 0.27067],[5.42131 0.41788 0.41788],0.4608079891948918
4100,[-3.37489 0.51592 0.51592],[8.37753 0.39790 0.39790],0.45198081403803075
4200,[-2.45501 0.64640 0.64640],[5.56656 0.24936 0.24936],0.4433227310477052
4300,[-1.40753 -0.95295 -0.95295],[0.41465 1.57431 1.57431],0.43483050111737453
4400,[-5.37219 1.21873 1.21873],[16.26365 0.96287 0.96287],0.42650094718838294
4500,[-3.10656 0.39604 0.39604],[26.52906 1.96023 1.96023],0.4183309530613763
4600,[-1.55652 0.19980 0.19980],[2.05773 0.19548 0.19548],0.41031746223049576
4700,[-1.59102 0.82235 0.82235],[1.10314 0.15093 0.15093],0.4024574767398885
