iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss
0,100,0.88442,0.93921,0.89360
1,200,0.69190,0.80017,0.77418
2,300,0.39323,0.50089,0.52301
3,400,0.32729,0.27313,0.30962
4,500,0.29575,0.16049,0.17674
5,600,0.28905,0.13646,0.13930
6,700,0.29486,0.12573,0.12963
7,800,0.29585,0.12072,0.12846
8,900,0.29779,0.12133,0.12340
9,1000,0.30019,0.12039,0.11901
10,1100,0.30151,0.12100,0.12070
11,1200,0.30441,0.12149,0.11926
12,1300,0.31915,0.12069,0.12118
13,1400,0.30900,0.12379,0.11732
14,1500,0.31027,0.12903,0.12326
15,1600,0.31371,0.13241,0.12352
16,1700,0.31418,0.13684,0.12594
17,1800,0.31815,0.14208,0.12634
18,1900,0.33211,0.14598,0.12976
19,2000,0.31846,0.15538,0.13624
20,2100,0.33728,0.16096,0.14746
21,2200,0.34004,0.16903,0.15649
22,2300,0.34521,0.18013,0.16260
23,2400,0.34983,0.18941,0.17164
24,2500,0.35895,0.19446,0.18730
25,2600,0.36239,0.21963,0.19871
26,2700,0.36099,0.22007,0.20403
27,2800,0.36361,0.23586,0.22172
28,2900,0.35250,0.24258,0.23034
29,3000,0.36337,0.25485,0.24131
30,3100,0.37053,0.27156,0.25272
31,3200,0.35630,0.28425,0.26898
32,3300,0.37319,0.29393,0.28091
33,3400,0.37486,0.31436,0.30022
34,3500,0.38025,0.31944,0.30779
35,3600,0.38824,0.33439,0.32511
36,3700,0.39624,0.34610,0.33886
37,3800,0.39954,0.36167,0.35415
38,3900,0.40537,0.37370,0.37165
39,4000,0.42150,0.38515,0.37640
40,4100,0.40724,0.39598,0.40804
41,4200,0.40678,0.41893,0.40979
42,4300,0.41560,0.42143,0.43284
43,4400,0.41656,0.44352,0.44321
44,4500,0.42676,0.45820,0.44575
45,4600,0.41965,0.46950,0.46957
46,4700,0.42672,0.47329,0.47732
47,4800,0.44048,0.50725,0.48927
48,4900,0.43250,0.52202,0.50411
49,5000,0.43005,0.53047,0.51924
50,5100,0.43017,0.54996,0.52465
51,5200,0.43963,0.53917,0.53563
52,5300,0.44890,0.56843,0.54896
53,5400,0.46150,0.58050,0.55894
54,5500,0.45106,0.60016,0.57727
55,5600,0.43973,0.59558,0.57934
56,5700,0.45380,0.61006,0.61652
57,5800,0.46177,0.62783,0.60610
58,5900,0.46821,0.63872,0.60528
59,6000,0.46925,0.62853,0.61365
60,6100,0.46281,0.65116,0.63736
61,6200,0.48250,0.65716,0.64007
62,6300,0.47357,0.66403,0.64541
63,6400,0.47589,0.67756,0.67063
64,6500,0.47856,0.68213,0.66695
65,6600,0.47343,0.70076,0.66000
66,6700,0.47425,0.70319,0.68386
67,6800,0.47289,0.72012,0.68279
68,6900,0.48575,0.72638,0.68672
69,7000,0.47658,0.73472,0.68147
70,7100,0.49028,0.73509,0.70202
71,7200,0.49171,0.72938,0.69120
72,7300,0.50097,0.75209,0.71529
73,7400,0.49839,0.76582,0.71502
74,7500,0.50865,0.75053,0.75021
75,7600,0.50852,0.76102,0.71272
76,7700,0.50970,0.77100,0.74838
77,7800,0.50899,0.76212,0.72094
78,7900,0.50561,0.79694,0.73548
79,8000,0.51597,0.78508,0.73504
80,8100,0.51465,0.79259,0.72584
81,8200,0.52277,0.78846,0.75069
82,8300,0.53315,0.78561,0.74665
83,8400,0.49465,0.79028,0.75183
84,8500,0.52281,0.79899,0.78089
85,8600,0.54687,0.81034,0.74996
86,8700,0.52918,0.81221,0.75835
87,8800,0.53673,0.81409,0.76731
88,8900,0.53817,0.79853,0.77474
89,9000,0.51819,0.80905,0.76865
90,9100,0.53425,0.82524,0.74708
91,9200,0.53853,0.83289,0.77791
92,9300,0.54811,0.83237,0.76780
93,9400,0.53303,0.81661,0.75357
94,9500,0.54901,0.81294,0.77036
95,9600,0.54436,0.84030,0.77637
96,9700,0.53137,0.82850,0.79253
97,9800,0.55337,0.83820,0.76257
98,9900,0.51079,0.84586,0.76622
99,10000,0.54693,0.84379,0.78588
100,10100,0.53780,0.83690,0.77010
101,10200,0.55339,0.85027,0.79496
102,10300,0.53931,0.84382,0.78911
103,10400,0.55453,0.84686,0.77731
104,10500,0.55271,0.84846,0.78819
105,10600,0.54957,0.84234,0.77295
106,10700,0.55331,0.83823,0.77801
107,10800,0.54692,0.85828,0.76373
108,10900,0.56015,0.84814,0.77629
109,11000,0.53903,0.84416,0.75913
110,11100,0.55316,0.83905,0.79380
111,11200,0.55708,0.84140,0.77677
112,11300,0.55365,0.85232,0.75071
113,11400,0.54650,0.85521,0.77636
114,11500,0.55341,0.84217,0.77289
115,11600,0.54552,0.87503,0.79224
116,11700,0.58028,0.86073,0.79055
117,11800,0.56493,0.84581,0.73800
118,11900,0.55123,0.84106,0.74235
119,12000,0.54845,0.82690,0.77864
120,12100,0.57460,0.86084,0.76395
121,12200,0.59816,0.84908,0.77469
122,12300,0.55130,0.84912,0.79148
123,12400,0.58035,0.84181,0.72943
124,12500,0.55083,0.84662,0.77510
125,12600,0.56852,0.86370,0.77789
126,12700,0.56469,0.83442,0.75758
127,12800,0.59103,0.84453,0.75305
128,12900,0.57642,0.83517,0.74797
129,13000,0.59367,0.84077,0.75368
130,13100,0.57086,0.83768,0.76748
131,13200,0.57068,0.82485,0.74662
132,13300,0.57540,0.87905,0.74863
133,13400,0.58401,0.86409,0.75685
134,13500,0.59964,0.86474,0.74776
135,13600,0.58582,0.86640,0.73319
136,13700,0.57147,0.86987,0.74334
137,13800,0.58124,0.82013,0.75999
138,13900,0.57368,0.84656,0.74517
139,14000,0.59533,0.84660,0.72721
140,14100,0.58292,0.86440,0.76354
141,14200,0.57111,0.84916,0.73141
142,14300,0.60263,0.84408,0.75539
143,14400,0.59735,0.84300,0.75148
144,14500,0.59130,0.84601,0.76575
145,14600,0.59168,0.84944,0.73906
146,14700,0.56640,0.85643,0.75804
147,14800,0.62817,0.85876,0.72088
148,14900,0.58789,0.84748,0.72735
149,15000,0.58105,0.85596,0.73089
150,15100,0.59278,0.85230,0.73442
151,15200,0.59921,0.85422,0.75239
152,15300,0.60053,0.84206,0.72628
153,15400,0.59984,0.87623,0.72012
154,15500,0.59594,0.85924,0.71316
155,15600,0.58918,0.86104,0.72745
156,15700,0.58549,0.82896,0.72642
157,15800,0.61202,0.82300,0.71609
158,15900,0.61817,0.83744,0.71329
159,16000,0.59839,0.83965,0.72969
160,16100,0.61776,0.85319,0.72591
161,16200,0.60794,0.85889,0.74511
162,16300,0.59378,0.82587,0.70665
163,16400,0.62000,0.82453,0.71692
164,16500,0.61338,0.83151,0.70848
165,16600,0.59824,0.85885,0.72444
166,16700,0.67654,0.83494,0.70780
167,16800,0.61540,0.84815,0.72518
168,16900,0.60302,0.84830,0.73424
169,17000,0.60347,0.86147,0.78127
170,17100,0.59815,0.85131,0.71804
