iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss
0,100,0.93738,0.97971,0.98162
1,200,0.82227,0.95152,0.90493
2,300,0.72548,0.90839,0.87333
3,400,0.70717,0.87722,0.85634
4,500,0.70089,0.85920,0.84526
5,600,0.69561,0.86913,0.81033
6,700,0.69757,0.84276,0.81526
7,800,0.74260,0.86815,0.82580
8,900,0.74814,0.86906,0.82786
9,1000,0.77347,0.87182,0.84579
10,1100,0.77869,0.87983,0.87416
11,1200,0.82243,0.88698,0.86960
12,1300,0.83144,0.88916,0.86743
13,1400,0.83793,0.91423,0.88767
14,1500,0.85032,0.91261,0.90820
15,1600,0.88818,0.92375,0.92637
16,1700,0.89319,0.93464,0.93122
17,1800,0.93718,0.94193,0.95463
18,1900,0.91692,0.96744,0.96303
19,2000,0.93225,0.98683,0.99379
20,2100,0.98775,0.98036,0.99099
21,2200,0.97559,1.00817,0.99068
22,2300,1.02490,1.04562,1.01594
23,2400,1.00606,1.04701,1.03928
24,2500,1.01516,1.06222,1.04342
25,2600,1.04385,1.07457,1.07601
26,2700,1.03232,1.06798,1.06066
27,2800,1.02745,1.10194,1.10259
28,2900,1.10847,1.15578,1.11730
29,3000,1.08339,1.13515,1.12038
30,3100,1.14225,1.14670,1.14026
31,3200,1.07505,1.20297,1.14927
32,3300,1.12558,1.18576,1.16607
33,3400,1.15277,1.20158,1.14822
34,3500,1.21273,1.19498,1.19144
35,3600,1.19065,1.21486,1.17501
36,3700,1.19588,1.26363,1.21703
37,3800,1.19443,1.24401,1.22542
38,3900,1.19681,1.25604,1.20985
39,4000,1.20965,1.30285,1.26107
40,4100,1.21876,1.29247,1.29801
41,4200,1.20973,1.31317,1.25807
42,4300,1.22261,1.30446,1.29932
43,4400,1.22954,1.33164,1.29807
44,4500,1.24801,1.28098,1.32885
45,4600,1.25434,1.34845,1.37489
46,4700,1.26248,1.36349,1.30788
47,4800,1.21171,1.35135,1.36882
48,4900,1.27396,1.37318,1.35546
49,5000,1.29334,1.36967,1.36500
50,5100,1.25686,1.36503,1.35649
51,5200,1.29624,1.36619,1.39982
52,5300,1.33170,1.40137,1.38012
53,5400,1.34045,1.39690,1.41512
54,5500,1.29220,1.40808,1.41362
55,5600,1.30294,1.44194,1.43187
56,5700,1.38067,1.46691,1.42922
57,5800,1.38676,1.43089,1.42613
58,5900,1.41316,1.43880,1.44639
59,6000,1.36892,1.42642,1.47530
60,6100,1.37847,1.44857,1.46276
61,6200,1.40278,1.47743,1.50641
62,6300,1.39462,1.46833,1.44156
63,6400,1.40867,1.45822,1.48728
64,6500,1.43838,1.45692,1.47557
65,6600,1.39909,1.45117,1.48644
66,6700,1.42731,1.50571,1.51863
67,6800,1.36597,1.52836,1.49548
68,6900,1.37881,1.51644,1.49538
69,7000,1.43639,1.50070,1.51329
70,7100,1.38879,1.48516,1.55913
71,7200,1.48062,1.45686,1.52632
72,7300,1.45830,1.53416,1.48182
73,7400,1.45532,1.48150,1.55659
74,7500,1.40923,1.52561,1.55627
75,7600,1.44439,1.48977,1.53351
76,7700,1.42988,1.48387,1.53804
77,7800,1.52725,1.55809,1.55571
78,7900,1.38917,1.58773,1.56416
79,8000,1.41830,1.57142,1.62506
80,8100,1.47230,1.52240,1.54039
81,8200,1.43821,1.53963,1.59253
82,8300,1.38728,1.56969,1.56321
83,8400,1.44482,1.52894,1.55063
84,8500,1.39102,1.57088,1.61479
85,8600,1.42358,1.59143,1.61203
86,8700,1.35023,1.54630,1.57614
87,8800,1.44390,1.58089,1.62836
88,8900,1.44629,1.55210,1.53988
89,9000,1.45518,1.61995,1.59794
90,9100,1.36161,1.63845,1.57607
91,9200,1.45713,1.58117,1.63584
92,9300,1.46721,1.58162,1.58014
93,9400,1.45192,1.62917,1.59025
94,9500,1.52231,1.61275,1.62755
95,9600,1.46050,1.59838,1.61642
96,9700,1.47080,1.59213,1.64169
97,9800,1.41139,1.58948,1.65844
98,9900,1.49473,1.60445,1.62246
99,10000,1.49057,1.63891,1.64107
100,10100,1.44051,1.67937,1.59838
101,10200,1.50414,1.65510,1.63573
102,10300,1.41898,1.62056,1.65087
103,10400,1.46619,1.68244,1.59596
104,10500,1.45446,1.66834,1.65052
105,10600,1.47874,1.66533,1.62960
106,10700,1.46507,1.62963,1.62560
107,10800,1.54496,1.71704,1.67165
108,10900,1.49059,1.69747,1.67617
109,11000,1.55887,1.65522,1.62708
110,11100,1.47576,1.76474,1.70800
111,11200,1.49465,1.68185,1.64265
112,11300,1.48854,1.67165,1.68407
113,11400,1.51987,1.66112,1.63971
114,11500,1.50398,1.74140,1.67703
115,11600,1.46774,1.65378,1.66487
116,11700,1.48557,1.72952,1.68086
117,11800,1.54611,1.75032,1.65358
118,11900,1.48560,1.71386,1.70481
119,12000,1.49434,1.69175,1.66146
120,12100,1.40778,1.70884,1.65837
121,12200,1.53325,1.69641,1.74257
122,12300,1.59604,1.72854,1.68799
123,12400,1.50581,1.72263,1.66717
124,12500,1.51950,1.74486,1.64880
125,12600,1.41418,1.76573,1.67972
126,12700,1.49044,1.72377,1.70647
127,12800,1.41171,1.71407,1.69572
128,12900,1.46242,1.81803,1.71130
129,13000,1.44597,1.73837,1.75377
130,13100,1.47235,1.75971,1.73340
131,13200,1.45307,1.76401,1.70044
132,13300,1.46202,1.77010,1.75423
133,13400,1.51405,1.81845,1.70929
134,13500,1.50432,1.69565,1.70832
135,13600,1.48560,1.75700,1.66762
136,13700,1.56811,1.76724,1.70806
137,13800,1.55634,1.70932,1.68361
138,13900,1.48067,1.77466,1.74097
139,14000,1.50841,1.71897,1.75588
140,14100,1.54678,1.78191,1.73403
141,14200,1.51061,1.76628,1.75609
142,14300,1.62069,1.75162,1.78814
143,14400,1.52826,1.75669,1.74784
144,14500,1.57078,1.79079,1.76887
145,14600,1.55276,1.77449,1.73593
146,14700,1.48193,1.76979,1.74243
147,14800,1.48038,1.79292,1.76525
148,14900,1.54407,1.77137,1.79072
149,15000,1.56543,1.77406,1.80578
150,15100,1.60751,1.75563,1.77779
151,15200,1.55655,1.77827,1.74690
152,15300,1.50756,1.74997,1.81942
153,15400,1.49582,1.76989,1.80543
154,15500,1.55310,1.83338,1.75607
155,15600,1.45327,1.77581,1.74270
156,15700,1.50690,1.85856,1.76791
157,15800,1.48196,1.78118,1.84615
