iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,3.27301,0.34098,2.71539,3.61095,0.34124,2.71485,3.71445,0.34080,2.71528
1,200,1.48130,0.33457,2.71510,1.87091,0.33461,2.71540,1.91210,0.33426,2.71468
2,300,1.01788,0.32647,2.71320,1.11864,0.32634,2.71349,1.11101,0.32612,2.71332
3,400,0.95929,0.31814,2.71212,1.00435,0.31806,2.71144,0.97602,0.31749,2.71152
4,500,0.95940,0.31006,2.71248,0.99978,0.31001,2.71175,0.96755,0.30973,2.71321
5,600,0.97296,0.30243,2.71196,1.00847,0.30224,2.71098,0.99637,0.30233,2.71236
6,700,0.99187,0.29475,2.71017,1.02558,0.29455,2.71163,0.98982,0.29435,2.71034
7,800,1.01284,0.28714,2.70919,0.98378,0.28692,2.70882,0.98769,0.28705,2.70923
8,900,0.99876,0.27971,2.70873,0.99271,0.27940,2.70761,1.01724,0.27922,2.70822
9,1000,0.99644,0.27237,2.70647,1.01152,0.27232,2.70740,1.02041,0.27237,2.70851
10,1100,1.00402,0.26519,2.70685,1.00468,0.26493,2.70526,1.02283,0.26498,2.70696
11,1200,1.02569,0.25809,2.70501,1.03159,0.25780,2.70485,1.01629,0.25787,2.70503
12,1300,1.00349,0.25102,2.70469,1.01860,0.25107,2.70431,1.01365,0.25101,2.70427
13,1400,1.06195,0.24419,2.70423,1.03210,0.24397,2.70423,1.04892,0.24399,2.70481
14,1500,1.04976,0.23774,2.70306,1.04590,0.23742,2.70371,1.02382,0.23724,2.70460
15,1600,1.06529,0.23111,2.70272,1.06669,0.23104,2.70228,1.06027,0.23073,2.70262
16,1700,1.10244,0.22479,2.70195,1.06033,0.22472,2.70208,1.05836,0.22446,2.70231
17,1800,1.07376,0.21795,2.70153,1.08306,0.21820,2.70016,1.05739,0.21813,2.70201
18,1900,1.09188,0.21205,2.69943,1.09555,0.21202,2.70009,1.07268,0.21185,2.69920
19,2000,1.12404,0.20611,2.70019,1.06610,0.20558,2.69879,1.05736,0.20571,2.69846
20,2100,1.11903,0.20000,2.69841,1.08750,0.19959,2.69807,1.06831,0.19974,2.69675
21,2200,1.12230,0.19404,2.69699,1.09612,0.19391,2.69640,1.09524,0.19386,2.69636
22,2300,1.14229,0.18822,2.69480,1.07649,0.18812,2.69682,1.10628,0.18805,2.69481
23,2400,1.14032,0.18237,2.69292,1.10048,0.18243,2.69415,1.13011,0.18262,2.69463
24,2500,1.15083,0.17686,2.69265,1.11294,0.17672,2.69241,1.10843,0.17687,2.69342
25,2600,1.15233,0.17148,2.69242,1.13232,0.17158,2.69262,1.11483,0.17135,2.69302
26,2700,1.12423,0.16624,2.69121,1.13136,0.16612,2.69160,1.12311,0.16612,2.69049
27,2800,1.15108,0.16073,2.68937,1.14078,0.16070,2.68988,1.12086,0.16094,2.68996
28,2900,1.15246,0.15612,2.68918,1.14646,0.15612,2.68868,1.13652,0.15615,2.68848
29,3000,1.22001,0.15145,2.68828,1.14258,0.15105,2.68811,1.12288,0.15120,2.68661
30,3100,1.19326,0.14650,2.68560,1.13610,0.14606,2.68618,1.15094,0.14624,2.68567
31,3200,1.23082,0.14163,2.68517,1.14163,0.14132,2.68404,1.13157,0.14145,2.68472
32,3300,1.21107,0.13690,2.68125,1.16206,0.13678,2.68239,1.15012,0.13657,2.68230
33,3400,1.20246,0.13226,2.67968,1.14477,0.13246,2.68079,1.15920,0.13220,2.68025
34,3500,1.24437,0.12794,2.67870,1.16826,0.12783,2.67875,1.14137,0.12804,2.67917
35,3600,1.24061,0.12340,2.67691,1.18044,0.12350,2.67631,1.16987,0.12332,2.67614
36,3700,1.22693,0.11939,2.67571,1.15333,0.11912,2.67536,1.17164,0.11931,2.67476
37,3800,1.21243,0.11538,2.67251,1.20005,0.11533,2.67401,1.19540,0.11542,2.67260
38,3900,1.23292,0.11145,2.67258,1.19578,0.11151,2.67246,1.18079,0.11115,2.67123
39,4000,1.25339,0.10736,2.67051,1.19117,0.10750,2.67043,1.20305,0.10734,2.67068
40,4100,1.28279,0.10370,2.66897,1.17374,0.10372,2.66971,1.19664,0.10372,2.67015
41,4200,1.27378,0.10006,2.66735,1.22833,0.10008,2.66668,1.19598,0.10018,2.66660
42,4300,1.24693,0.09665,2.66518,1.22994,0.09653,2.66530,1.23480,0.09644,2.66532
43,4400,1.23128,0.09297,2.66213,1.23025,0.09292,2.66236,1.23831,0.09302,2.66297
44,4500,1.26436,0.08993,2.66172,1.23135,0.08972,2.66216,1.24155,0.08979,2.66019
45,4600,1.28800,0.08648,2.65993,1.22574,0.08639,2.65946,1.20869,0.08663,2.65885
46,4700,1.26825,0.08342,2.65796,1.23867,0.08369,2.65694,1.25522,0.08336,2.65690
47,4800,1.29572,0.08042,2.65434,1.25254,0.08065,2.65640,1.25566,0.08042,2.65490
48,4900,1.33004,0.07801,2.65388,1.22985,0.07768,2.65253,1.28074,0.07763,2.65318
49,5000,1.33012,0.07504,2.65103,1.24367,0.07498,2.65194,1.29320,0.07493,2.65113
50,5100,1.31204,0.07244,2.64850,1.24953,0.07235,2.65079,1.28482,0.07222,2.64944
51,5200,1.27953,0.06976,2.64815,1.25781,0.06969,2.64717,1.29327,0.06972,2.64770
52,5300,1.31595,0.06740,2.64330,1.26920,0.06767,2.64508,1.30508,0.06739,2.64537
53,5400,1.32611,0.06514,2.64295,1.29989,0.06514,2.64290,1.28028,0.06517,2.64352
54,5500,1.33205,0.06292,2.64061,1.31801,0.06296,2.64053,1.26552,0.06282,2.64128
55,5600,1.32789,0.06091,2.63816,1.31321,0.06097,2.63928,1.27090,0.06098,2.63952
56,5700,1.32875,0.05900,2.63649,1.31692,0.05903,2.63543,1.28934,0.05894,2.63647
57,5800,1.31520,0.05704,2.63382,1.30348,0.05705,2.63433,1.29049,0.05697,2.63303
58,5900,1.27804,0.05536,2.63101,1.33161,0.05545,2.63202,1.31366,0.05521,2.62986
59,6000,1.35333,0.05368,2.62911,1.31763,0.05371,2.62857,1.32299,0.05358,2.62961
60,6100,1.34783,0.05209,2.62737,1.30318,0.05205,2.62718,1.29753,0.05206,2.62791
61,6200,1.33014,0.05058,2.62536,1.33765,0.05067,2.62409,1.37465,0.05049,2.62548
62,6300,1.38211,0.04916,2.62278,1.33103,0.04908,2.62278,1.36079,0.04912,2.62237
63,6400,1.38519,0.04783,2.62046,1.34864,0.04785,2.61989,1.33855,0.04784,2.61905
64,6500,1.32227,0.04658,2.61775,1.34016,0.04669,2.61881,1.34718,0.04661,2.61850
65,6600,1.37265,0.04537,2.61473,1.39455,0.04547,2.61604,1.32197,0.04537,2.61420
66,6700,1.36204,0.04434,2.61342,1.36224,0.04434,2.61244,1.37172,0.04435,2.61268
67,6800,1.39270,0.04316,2.61076,1.34436,0.04324,2.61024,1.36090,0.04315,2.61090
68,6900,1.36143,0.04241,2.60746,1.31602,0.04223,2.60693,1.34280,0.04235,2.60677
69,7000,1.45691,0.04157,2.60584,1.36310,0.04156,2.60552,1.36772,0.04140,2.60489
70,7100,1.39835,0.04076,2.60150,1.39253,0.04071,2.60229,1.35081,0.04062,2.60333
71,7200,1.38904,0.03990,2.60054,1.40683,0.03982,2.59919,1.38461,0.03983,2.59930
72,7300,1.44245,0.03924,2.59535,1.31972,0.03912,2.59662,1.41481,0.03900,2.59707
73,7400,1.38697,0.03840,2.59518,1.34268,0.03841,2.59384,1.40431,0.03835,2.59343
74,7500,1.36065,0.03771,2.59191,1.35763,0.03780,2.59199,1.35743,0.03771,2.59088
75,7600,1.39422,0.03723,2.58897,1.39138,0.03716,2.58962,1.38947,0.03720,2.58806
76,7700,1.36456,0.03673,2.58618,1.37478,0.03662,2.58558,1.38637,0.03664,2.58486
77,7800,1.44280,0.03605,2.58369,1.42929,0.03605,2.58266,1.34877,0.03597,2.58172
78,7900,1.43895,0.03554,2.57946,1.43438,0.03553,2.57870,1.36659,0.03550,2.57822
79,8000,1.38323,0.03518,2.57703,1.37497,0.03512,2.57637,1.37902,0.03511,2.57695
80,8100,1.45317,0.03466,2.57287,1.40559,0.03470,2.57491,1.41211,0.03467,2.57460
81,8200,1.39908,0.03420,2.56938,1.37860,0.03420,2.56863,1.42076,0.03422,2.57008
82,8300,1.43963,0.03387,2.56624,1.45212,0.03384,2.56772,1.42819,0.03374,2.56564
83,8400,1.44210,0.03344,2.56384,1.38412,0.03342,2.56423,1.43656,0.03333,2.56278
84,8500,1.40757,0.03304,2.56015,1.41305,0.03307,2.55871,1.41792,0.03310,2.55921
85,8600,1.39970,0.03274,2.55865,1.46958,0.03272,2.55806,1.41922,0.03264,2.55502
86,8700,1.48858,0.03240,2.55236,1.37551,0.03245,2.55427,1.42980,0.03231,2.55168
87,8800,1.42709,0.03204,2.54894,1.46179,0.03209,2.54843,1.42055,0.03213,2.54782
88,8900,1.41964,0.03186,2.54541,1.41785,0.03182,2.54395,1.40270,0.03183,2.54632
89,9000,1.40417,0.03149,2.54037,1.43903,0.03150,2.54172,1.43306,0.03160,2.54369
90,9100,1.43986,0.03125,2.53968,1.40166,0.03128,2.53784,1.44094,0.03128,2.53862
91,9200,1.43827,0.03102,2.53304,1.43536,0.03108,2.53594,1.47156,0.03100,2.53447
92,9300,1.45493,0.03088,2.53510,1.42190,0.03085,2.53327,1.49058,0.03085,2.52998
93,9400,1.43321,0.03046,2.52605,1.43777,0.03054,2.52859,1.42003,0.03060,2.52845
94,9500,1.41412,0.03035,2.52278,1.48666,0.03036,2.52199,1.48241,0.03039,2.52379
95,9600,1.39381,0.03015,2.51889,1.44459,0.03011,2.51850,1.49298,0.03023,2.51970
96,9700,1.44383,0.02993,2.51472,1.41921,0.02998,2.51365,1.42992,0.02996,2.51671
97,9800,1.48307,0.02979,2.51047,1.41927,0.02970,2.51043,1.47700,0.02973,2.51172
98,9900,1.41637,0.02952,2.50781,1.48685,0.02955,2.50590,1.44043,0.02954,2.50710
99,10000,1.46222,0.02936,2.50204,1.49497,0.02934,2.50328,1.49415,0.02939,2.50186
100,10100,1.48828,0.02919,2.49671,1.42452,0.02921,2.50008,1.46285,0.02919,2.49701
101,10200,1.47651,0.02901,2.49445,1.47914,0.02895,2.49324,1.44495,0.02899,2.49497
102,10300,1.43582,0.02874,2.48854,1.48123,0.02881,2.49039,1.42397,0.02879,2.48990
103,10400,1.43209,0.02874,2.48593,1.47388,0.02866,2.48441,1.45499,0.02869,2.48389
104,10500,1.45182,0.02853,2.48088,1.50154,0.02855,2.48117,1.47721,0.02850,2.48038
105,10600,1.41948,0.02835,2.47594,1.53051,0.02830,2.47703,1.42930,0.02821,2.47484
106,10700,1.44563,0.02808,2.46945,1.47796,0.02804,2.46945,1.46070,0.02823,2.47360
107,10800,1.49639,0.02802,2.46711,1.48194,0.02803,2.46703,1.46829,0.02797,2.46718
108,10900,1.45386,0.02781,2.46212,1.52295,0.02783,2.46165,1.43757,0.02784,2.46170
109,11000,1.42537,0.02771,2.45960,1.44863,0.02765,2.45373,1.43441,0.02773,2.45828
110,11100,1.49923,0.02754,2.45366,1.46775,0.02748,2.45275,1.49785,0.02753,2.45127
111,11200,1.44086,0.02738,2.44594,1.45114,0.02745,2.44705,1.47126,0.02749,2.44762
112,11300,1.48542,0.02727,2.44487,1.49696,0.02724,2.44347,1.44205,0.02715,2.44142
113,11400,1.48419,0.02707,2.43554,1.50925,0.02711,2.43891,1.46645,0.02717,2.43581
114,11500,1.41655,0.02708,2.43437,1.44803,0.02700,2.43191,1.51835,0.02702,2.43364
115,11600,1.42395,0.02680,2.42835,1.49003,0.02689,2.42952,1.48279,0.02677,2.42631
116,11700,1.53950,0.02663,2.42163,1.46470,0.02668,2.42183,1.44689,0.02673,2.42244
117,11800,1.46383,0.02656,2.41578,1.48513,0.02658,2.41533,1.47963,0.02660,2.41738
118,11900,1.42700,0.02649,2.40796,1.46116,0.02646,2.40713,1.44312,0.02640,2.40826
119,12000,1.43308,0.02635,2.40461,1.45138,0.02631,2.40559,1.48435,0.02645,2.40313
120,12100,1.54851,0.02627,2.39966,1.44764,0.02625,2.40310,1.45342,0.02623,2.39965
121,12200,1.38303,0.02608,2.39199,1.51480,0.02600,2.39208,1.45745,0.02600,2.39343
122,12300,1.44868,0.02598,2.38978,1.49035,0.02592,2.39003,1.40432,0.02601,2.38971
123,12400,1.51721,0.02588,2.38775,1.49947,0.02584,2.38541,1.42426,0.02575,2.38152
124,12500,1.39276,0.02572,2.38192,1.54912,0.02574,2.37583,1.49028,0.02580,2.37889
125,12600,1.42114,0.02553,2.37011,1.49608,0.02564,2.37299,1.50072,0.02555,2.37197
126,12700,1.41604,0.02550,2.36416,1.44770,0.02547,2.36585,1.50076,0.02530,2.36257
127,12800,1.47914,0.02524,2.36124,1.47456,0.02533,2.36071,1.48028,0.02534,2.36260
128,12900,1.46317,0.02511,2.35741,1.51472,0.02506,2.35523,1.46956,0.02521,2.35727
129,13000,1.37909,0.02494,2.34421,1.46679,0.02496,2.34798,1.44204,0.02495,2.34494
130,13100,1.46929,0.02487,2.33727,1.50936,0.02499,2.34364,1.46660,0.02490,2.34209
131,13200,1.42507,0.02471,2.33591,1.48914,0.02468,2.33694,1.43410,0.02465,2.33815
132,13300,1.46730,0.02457,2.32992,1.48608,0.02456,2.32688,1.45828,0.02462,2.33043
133,13400,1.40342,0.02439,2.32007,1.49122,0.02443,2.32335,1.45221,0.02435,2.32098
134,13500,1.46749,0.02428,2.31780,1.47549,0.02426,2.31823,1.44159,0.02427,2.31770
135,13600,1.33507,0.02420,2.30911,1.57073,0.02425,2.30783,1.48024,0.02416,2.31287
136,13700,1.45706,0.02392,2.30392,1.48124,0.02404,2.30237,1.48039,0.02402,2.30349
137,13800,1.48869,0.02391,2.29540,1.55267,0.02395,2.29905,1.44379,0.02379,2.29094
138,13900,1.42076,0.02367,2.28599,1.49637,0.02368,2.28402,1.47175,0.02371,2.28683
139,14000,1.42306,0.02363,2.28181,1.47027,0.02358,2.28081,1.45951,0.02372,2.28034
140,14100,1.38255,0.02331,2.26990,1.50168,0.02344,2.27478,1.50222,0.02329,2.26958
