number,rewards,variances,exploration_value
0,[-9.48911 2.21099 2.21099],[25.33525 0.49665 0.49665],0.9988953697090716
100,[-6.33617 1.29712 1.29712],[21.74071 1.11034 1.11034],0.9797606658876263
200,[-2.07441 -0.08530 -0.08530],[0.93888 0.12441 0.12441],0.9609925038496699
300,[-2.69227 0.46864 0.46864],[3.79259 0.20267 0.20267],0.9425838621706605
400,[-3.64508 0.70057 0.70057],[30.29160 0.94270 0.94270],0.9245278539275122
500,[-2.89595 0.49517 0.49517],[16.87614 1.74432 1.74432],0.9068177241220878
600,[-2.02353 0.57755 0.57755],[7.37996 0.64473 0.64473],0.889446847154093
700,[-1.36509 -0.26534 -0.26534],[2.47728 0.52644 0.52644],0.8724087243423219
800,[-3.16402 0.74364 0.74364],[19.72739 1.29105 1.29105],0.8556969814934174
900,[-0.60546 0.08782 0.08782],[0.06224 0.02233 0.02233],0.8393053665172148
1000,[-2.30424 0.84712 0.84712],[1.50706 0.26586 0.26586],0.8232277470877281
1100,[-1.94763 0.34122 0.34122],[3.29933 0.09965 0.09965],0.8074581083489812
1200,[-6.04036 1.06001 1.06001],[39.07334 1.90080 1.90080],0.7919905506647517
1300,[-3.99850 0.89268 0.89268],[18.33371 2.40350 2.40350],0.7768192874114557
1400,[-1.14898 0.50005 0.50005],[0.39584 0.13475 0.13475],0.7619386428132808
1500,[-2.11233 0.53832 0.53832],[4.00021 0.28868 0.28868],0.7473430498187978
1600,[-3.97518 0.95989 0.95989],[21.65962 1.55483 1.55483],0.7330270480182665
1700,[-5.13793 1.00223 1.00223],[23.46119 1.16403 1.16403],0.7189852816008054
1800,[-0.56083 -0.33839 -0.33839],[0.26046 1.24489 1.24489],0.705212497350724
1900,[-0.59143 0.24086 0.24086],[0.08047 0.03356 0.03356],0.6917035426822101
2000,[-2.71462 0.75539 0.75539],[7.28475 0.23632 0.23632],0.6784533637116886
2100,[-1.06645 0.03971 0.03971],[0.44201 0.25365 0.25365],0.6654570033670938
2200,[-0.53286 -0.12475 -0.12475],[0.05741 0.50473 0.50473],0.6527095995333525
2300,[-2.23899 0.27421 0.27421],[12.93316 1.34656 1.34656],0.6402063832334086
2400,[-1.23995 0.39337 0.39337],[0.81863 0.31464 0.31464],0.6279426768440843
2500,[-1.94833 0.28141 0.28141],[5.34273 0.07569 0.07569],0.6159138923461105
2600,[-0.29500 -0.35435 -0.35435],[0.02611 0.13439 0.13439],0.6041155296076918
2700,[-0.42286 0.12224 0.12224],[0.07672 0.05156 0.05156],0.5925431747009424
2800,[-3.08186 0.39558 0.39558],[12.41224 0.42607 0.42607],0.5811924982505915
2900,[-2.47728 0.59322 0.59322],[5.28712 0.30937 0.30937],0.5700592538142826
3000,[-0.45734 -0.25868 -0.25868],[0.01076 0.13401 0.13401],0.5591392762939287
3100,[-0.67721 -0.02634 -0.02634],[0.19437 0.24635 0.24635],0.5484284803774964
3200,[-4.15756 0.58286 0.58286],[21.25986 2.62428 2.62428],0.5379228590106419
3300,[-0.94264 0.63754 0.63754],[0.59693 0.13405 0.13405],0.5276184818975981
