number,rewards,variances,exploration_value
0,[-9.48911 2.20801 2.20801],[25.33525 0.50025 0.50025],0.9988953697090716
100,[-2.44296 0.60221 0.60221],[2.15940 0.18809 0.18809],0.9797606658876263
200,[-0.75170 -1.59638 -1.59638],[0.16331 0.05654 0.05654],0.9609925038496699
300,[-4.62198 -0.08917 -0.08917],[19.62279 0.02327 0.02327],0.9425838621706605
400,[-5.46781 0.77616 0.77616],[22.83714 1.83244 1.83244],0.9245278539275122
500,[-6.16716 0.70067 0.70067],[27.43111 1.59978 1.59978],0.9068177241220878
600,[-1.49258 0.01691 0.01691],[0.61198 0.72133 0.72133],0.889446847154093
700,[-3.52868 0.53874 0.53874],[6.48342 0.30634 0.30634],0.8724087243423219
800,[-4.54794 0.25635 0.25635],[15.55968 1.53350 1.53350],0.8556969814934174
900,[-3.08334 0.65827 0.65827],[1.90227 0.80590 0.80590],0.8393053665172148
1000,[-8.83619 1.65495 1.65495],[39.35653 1.50150 1.50150],0.8232277470877281
1100,[-6.44542 0.96350 0.96350],[29.13496 0.83028 0.83028],0.8074581083489812
1200,[-2.66019 0.52964 0.52964],[2.81478 0.21555 0.21555],0.7919905506647517
1300,[-5.06035 1.31526 1.31526],[17.73236 1.51610 1.51610],0.7768192874114557
1400,[-2.74582 0.13243 0.13243],[18.34207 2.29269 2.29269],0.7619386428132808
1500,[-3.59075 0.26240 0.26240],[28.69316 1.80593 1.80593],0.7473430498187978
1600,[-1.39032 0.39400 0.39400],[0.40426 0.10478 0.10478],0.7330270480182665
1700,[-3.16472 -0.21502 -0.21502],[5.20177 0.57643 0.57643],0.7189852816008054
1800,[-0.42164 -0.43242 -0.43242],[0.08907 0.67424 0.67424],0.705212497350724
1900,[-5.06455 1.08540 1.08540],[15.21522 0.68370 0.68370],0.6917035426822101
2000,[-7.66196 1.24152 1.24152],[39.67342 1.11428 1.11428],0.6784533637116886
2100,[-1.11318 -0.27070 -0.27070],[0.41252 1.00132 1.00132],0.6654570033670938
2200,[-5.24332 0.27907 0.27907],[10.81841 1.52118 1.52118],0.6527095995333525
2300,[-0.87197 -0.20774 -0.20774],[0.26482 0.55275 0.55275],0.6402063832334086
2400,[-1.97428 0.36128 0.36128],[2.12829 0.28477 0.28477],0.6279426768440843
2500,[-8.62116 1.00710 1.00710],[16.68975 0.34545 0.34545],0.6159138923461105
2600,[-0.70090 -0.66146 -0.66146],[0.09339 1.04827 1.04827],0.6041155296076918
2700,[-5.04537 0.72499 0.72499],[31.45347 1.16061 1.16061],0.5925431747009424
2800,[-1.42613 -0.21720 -0.21720],[1.88926 0.73105 0.73105],0.5811924982505915
2900,[-1.65866 0.71889 0.71889],[1.75042 0.28852 0.28852],0.5700592538142826
3000,[-1.04143 -0.27296 -0.27296],[0.31995 0.10622 0.10622],0.5591392762939287
3100,[-3.88136 -0.14899 -0.14899],[14.54235 0.21240 0.21240],0.5484284803774964
3200,[-6.58878 0.77619 0.77619],[15.89160 0.90355 0.90355],0.5379228590106419
3300,[-2.50742 0.42573 0.42573],[9.30081 0.27777 0.27777],0.5276184818975981
3400,[-0.78090 -0.36154 -0.36154],[0.57426 0.81361 0.81361],0.5175114940308205
3500,[-6.65912 1.60373 1.60373],[43.04369 2.14574 2.14574],0.5075981142487541
3600,[-1.98996 -0.05613 -0.05613],[2.15158 0.59636 0.59636],0.4978746338212661
3700,[-1.84037 0.44097 0.44097],[3.32110 0.11130 0.11130],0.48833741506215295
3800,[-5.31048 0.50979 0.50979],[30.83266 0.84877 0.84877],0.47898288996823385
3900,[-1.04761 -0.56660 -0.56660],[0.55545 0.89156 0.89156],0.46980755888450715
