iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
0,100,15.84628,0.81147,16.64467,0.81142,16.87290,0.81126
1,200,7.53987,0.80479,9.08675,0.80470,9.33681,0.80450
2,300,2.90365,0.79685,3.99286,0.79700,4.20526,0.79678
3,400,1.18978,0.78862,1.54951,0.78889,1.45153,0.78864
4,500,1.11569,0.78145,1.19171,0.78131,1.13332,0.78135
5,600,1.10604,0.77412,1.17899,0.77379,1.17439,0.77389
6,700,1.14173,0.76677,1.19553,0.76656,1.16870,0.76646
7,800,1.16369,0.75932,1.14640,0.75942,1.14595,0.75934
8,900,1.14292,0.75235,1.15157,0.75216,1.19197,0.75208
9,1000,1.13780,0.74461,1.17045,0.74454,1.19441,0.74467
10,1100,1.15762,0.73754,1.13555,0.73761,1.18426,0.73728
11,1200,1.16530,0.73064,1.17505,0.73014,1.17649,0.73041
12,1300,1.14624,0.72329,1.16996,0.72320,1.16479,0.72325
13,1400,1.20144,0.71620,1.16029,0.71628,1.18505,0.71623
14,1500,1.19062,0.70937,1.17438,0.70918,1.17899,0.70918
15,1600,1.19364,0.70225,1.15818,0.70214,1.18199,0.70188
16,1700,1.21527,0.69518,1.16696,0.69504,1.16603,0.69523
17,1800,1.19788,0.68849,1.20193,0.68834,1.16094,0.68819
18,1900,1.21470,0.68145,1.19203,0.68119,1.18564,0.68111
19,2000,1.21351,0.67448,1.16330,0.67434,1.15946,0.67411
20,2100,1.24062,0.66732,1.17222,0.66722,1.15981,0.66712
21,2200,1.19961,0.66092,1.16986,0.66033,1.19412,0.66041
22,2300,1.24808,0.65374,1.14420,0.65341,1.16666,0.65354
23,2400,1.26290,0.64668,1.19658,0.64686,1.19976,0.64661
24,2500,1.24083,0.63990,1.18727,0.63976,1.20827,0.63970
25,2600,1.29120,0.63291,1.17599,0.63290,1.19778,0.63288
26,2700,1.23960,0.62611,1.19340,0.62614,1.18266,0.62613
27,2800,1.26369,0.61953,1.20999,0.61937,1.18034,0.61913
28,2900,1.25320,0.61267,1.18909,0.61259,1.19859,0.61234
29,3000,1.28419,0.60574,1.17363,0.60572,1.19734,0.60557
30,3100,1.27320,0.59935,1.19257,0.59883,1.19148,0.59880
31,3200,1.29540,0.59233,1.18289,0.59225,1.19336,0.59206
32,3300,1.29826,0.58568,1.18287,0.58571,1.20667,0.58543
33,3400,1.27093,0.57887,1.20166,0.57869,1.21680,0.57871
34,3500,1.32251,0.57213,1.19833,0.57205,1.20215,0.57199
35,3600,1.30717,0.56533,1.21585,0.56534,1.24954,0.56529
36,3700,1.25632,0.55857,1.20138,0.55841,1.21735,0.55860
37,3800,1.28798,0.55190,1.21883,0.55195,1.21885,0.55184
38,3900,1.29483,0.54528,1.21820,0.54480,1.20439,0.54486
39,4000,1.30115,0.53853,1.22480,0.53827,1.23575,0.53820
40,4100,1.30992,0.53173,1.20991,0.53178,1.21152,0.53176
41,4200,1.33228,0.52502,1.25549,0.52503,1.26362,0.52495
42,4300,1.31464,0.51839,1.22376,0.51844,1.24261,0.51824
43,4400,1.29936,0.51187,1.22973,0.51177,1.24973,0.51161
44,4500,1.32166,0.50507,1.24080,0.50504,1.23167,0.50495
45,4600,1.37439,0.49840,1.24752,0.49830,1.23361,0.49821
46,4700,1.35089,0.49184,1.25997,0.49148,1.25080,0.49159
47,4800,1.35208,0.48501,1.23700,0.48487,1.26013,0.48481
48,4900,1.35656,0.47844,1.26891,0.47821,1.24356,0.47828
49,5000,1.37249,0.47168,1.27355,0.47167,1.31244,0.47147
50,5100,1.35643,0.46536,1.26651,0.46498,1.30352,0.46505
51,5200,1.37542,0.45894,1.26650,0.45876,1.28398,0.45859
52,5300,1.32111,0.45222,1.25789,0.45194,1.27192,0.45224
53,5400,1.34247,0.44569,1.28325,0.44572,1.29538,0.44564
54,5500,1.37801,0.43924,1.32209,0.43913,1.24282,0.43896
55,5600,1.39236,0.43305,1.29441,0.43272,1.28271,0.43265
56,5700,1.39781,0.42654,1.32281,0.42630,1.30468,0.42640
57,5800,1.38815,0.42015,1.29071,0.42000,1.27648,0.41996
58,5900,1.32653,0.41378,1.29720,0.41362,1.34595,0.41350
59,6000,1.40259,0.40732,1.30027,0.40740,1.31880,0.40741
60,6100,1.41862,0.40106,1.31855,0.40107,1.32172,0.40092
61,6200,1.34695,0.39477,1.32554,0.39497,1.29235,0.39452
62,6300,1.41692,0.38850,1.34664,0.38855,1.36430,0.38836
63,6400,1.44425,0.38253,1.30669,0.38226,1.32448,0.38220
64,6500,1.33412,0.37608,1.33675,0.37613,1.32380,0.37622
65,6600,1.41519,0.36995,1.34706,0.36987,1.32993,0.36984
66,6700,1.35605,0.36358,1.33543,0.36341,1.34103,0.36352
67,6800,1.44235,0.35752,1.34599,0.35726,1.33160,0.35740
68,6900,1.35523,0.35126,1.35563,0.35132,1.33960,0.35111
69,7000,1.40884,0.34484,1.35068,0.34503,1.32855,0.34492
70,7100,1.35777,0.33891,1.38932,0.33896,1.34322,0.33860
71,7200,1.47890,0.33284,1.36249,0.33285,1.40363,0.33247
72,7300,1.43386,0.32665,1.34698,0.32650,1.37430,0.32667
73,7400,1.41009,0.32074,1.36837,0.32056,1.34684,0.32053
74,7500,1.34089,0.31456,1.37284,0.31446,1.35776,0.31444
75,7600,1.38664,0.30857,1.34622,0.30854,1.33368,0.30827
76,7700,1.35543,0.30261,1.36378,0.30249,1.34601,0.30230
77,7800,1.41931,0.29671,1.38071,0.29664,1.36747,0.29656
78,7900,1.45352,0.29096,1.40046,0.29080,1.35505,0.29055
79,8000,1.37130,0.28502,1.37857,0.28500,1.38487,0.28485
80,8100,1.45045,0.27920,1.39168,0.27909,1.32939,0.27906
81,8200,1.47456,0.27366,1.38117,0.27345,1.37699,0.27342
82,8300,1.43118,0.26764,1.42939,0.26767,1.35133,0.26778
83,8400,1.41501,0.26236,1.40116,0.26213,1.41285,0.26199
84,8500,1.44224,0.25677,1.40588,0.25667,1.35072,0.25670
85,8600,1.38734,0.25099,1.42064,0.25114,1.39453,0.25100
86,8700,1.45019,0.24569,1.37444,0.24570,1.34764,0.24567
87,8800,1.40394,0.24023,1.39075,0.24038,1.37456,0.24027
88,8900,1.36633,0.23510,1.40082,0.23491,1.39171,0.23494
89,9000,1.37364,0.22968,1.45843,0.22953,1.39596,0.22970
90,9100,1.31332,0.22451,1.41670,0.22426,1.38860,0.22428
91,9200,1.44031,0.21922,1.41124,0.21920,1.42238,0.21926
92,9300,1.47458,0.21409,1.42336,0.21406,1.42764,0.21405
93,9400,1.39692,0.20897,1.42430,0.20884,1.39612,0.20882
94,9500,1.39284,0.20377,1.43379,0.20383,1.39626,0.20375
95,9600,1.40902,0.19877,1.45736,0.19878,1.37174,0.19883
96,9700,1.35457,0.19401,1.47470,0.19394,1.38873,0.19400
97,9800,1.40569,0.18902,1.45239,0.18880,1.39003,0.18898
