iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
0,100,16.43147,0.82666,19.31379,0.87640,19.54377,0.87587
1,200,7.97728,0.82486,10.86938,0.87355,11.15699,0.87286
2,300,3.09865,0.82064,4.82280,0.87056,5.14086,0.86960
3,400,1.22474,0.81635,1.78766,0.86756,1.69100,0.86626
4,500,1.12704,0.81281,1.24097,0.86411,1.17216,0.86328
5,600,1.12063,0.80929,1.21696,0.86077,1.22053,0.86003
6,700,1.15001,0.80644,1.23652,0.85761,1.21020,0.85680
7,800,1.18034,0.80289,1.19617,0.85422,1.19888,0.85393
8,900,1.16139,0.79950,1.18977,0.85105,1.24930,0.85070
9,1000,1.14588,0.79556,1.21594,0.84800,1.24557,0.84762
10,1100,1.16597,0.79216,1.17659,0.84486,1.23943,0.84433
11,1200,1.18013,0.78917,1.21973,0.84196,1.23228,0.84144
12,1300,1.16260,0.78568,1.18747,0.83872,1.20622,0.83793
13,1400,1.21606,0.78244,1.19227,0.83545,1.21731,0.83490
14,1500,1.20040,0.77960,1.19531,0.83238,1.21936,0.83175
15,1600,1.21365,0.77608,1.18797,0.82936,1.22606,0.82866
16,1700,1.23992,0.77260,1.19037,0.82649,1.20922,0.82556
17,1800,1.22326,0.76962,1.20710,0.82317,1.20812,0.82271
18,1900,1.21518,0.76642,1.19103,0.81987,1.21579,0.81962
19,2000,1.23401,0.76330,1.15937,0.81713,1.20338,0.81625
20,2100,1.25524,0.76004,1.20357,0.81364,1.19588,0.81330
21,2200,1.24161,0.75681,1.20171,0.81112,1.22132,0.81017
22,2300,1.24830,0.75358,1.16409,0.80772,1.20597,0.80723
23,2400,1.27184,0.75036,1.20176,0.80466,1.23846,0.80415
24,2500,1.24804,0.74698,1.19061,0.80181,1.22819,0.80122
25,2600,1.26377,0.74379,1.19296,0.79867,1.21155,0.79816
26,2700,1.23308,0.74091,1.21570,0.79542,1.22971,0.79498
27,2800,1.26660,0.73777,1.19295,0.79254,1.22430,0.79192
28,2900,1.24868,0.73447,1.20614,0.78931,1.21119,0.78882
29,3000,1.30506,0.73073,1.17138,0.78651,1.21387,0.78577
30,3100,1.25906,0.72794,1.17993,0.78369,1.20460,0.78289
31,3200,1.27034,0.72468,1.19011,0.78046,1.21172,0.77983
32,3300,1.30320,0.72147,1.19745,0.77755,1.22548,0.77668
33,3400,1.28508,0.71841,1.19887,0.77457,1.20909,0.77374
34,3500,1.31581,0.71515,1.22641,0.77138,1.21793,0.77043
35,3600,1.33701,0.71202,1.24350,0.76833,1.23405,0.76742
36,3700,1.25640,0.70893,1.21896,0.76556,1.20822,0.76465
37,3800,1.30209,0.70575,1.24712,0.76236,1.23929,0.76163
38,3900,1.33723,0.70274,1.23450,0.75920,1.23779,0.75844
39,4000,1.29482,0.69981,1.24903,0.75634,1.23963,0.75544
40,4100,1.34778,0.69677,1.22430,0.75318,1.22513,0.75229
41,4200,1.31124,0.69368,1.25272,0.75011,1.26740,0.74920
42,4300,1.32646,0.69067,1.23693,0.74708,1.21532,0.74592
43,4400,1.28767,0.68732,1.27788,0.74413,1.24210,0.74297
44,4500,1.32675,0.68472,1.29026,0.74081,1.24425,0.74008
45,4600,1.35888,0.68180,1.25435,0.73780,1.24327,0.73652
46,4700,1.34165,0.67843,1.26588,0.73499,1.29363,0.73383
47,4800,1.34098,0.67544,1.26377,0.73162,1.29982,0.73059
48,4900,1.33612,0.67218,1.27864,0.72868,1.27103,0.72744
49,5000,1.34686,0.66965,1.29023,0.72529,1.29837,0.72429
50,5100,1.33805,0.66658,1.27018,0.72237,1.31298,0.72141
51,5200,1.37732,0.66304,1.27482,0.71917,1.33219,0.71831
52,5300,1.32413,0.66045,1.30872,0.71608,1.30333,0.71540
53,5400,1.35623,0.65713,1.30910,0.71316,1.32185,0.71224
54,5500,1.41467,0.65404,1.34764,0.70992,1.29543,0.70903
55,5600,1.37238,0.65135,1.30408,0.70681,1.29086,0.70599
56,5700,1.37725,0.64823,1.31304,0.70398,1.32075,0.70288
57,5800,1.32550,0.64540,1.29222,0.70083,1.33220,0.70008
58,5900,1.32988,0.64226,1.30743,0.69768,1.35402,0.69687
59,6000,1.35540,0.63955,1.35022,0.69466,1.35546,0.69380
60,6100,1.36539,0.63636,1.34563,0.69170,1.32710,0.69063
61,6200,1.35791,0.63372,1.33447,0.68864,1.34895,0.68751
62,6300,1.38087,0.63069,1.32117,0.68544,1.38598,0.68463
63,6400,1.39552,0.62775,1.29377,0.68252,1.38535,0.68174
64,6500,1.39109,0.62475,1.33747,0.67943,1.37067,0.67860
65,6600,1.36713,0.62167,1.33139,0.67632,1.36732,0.67573
66,6700,1.39949,0.61859,1.34032,0.67346,1.38550,0.67254
67,6800,1.36921,0.61600,1.33366,0.67022,1.36468,0.66953
68,6900,1.37889,0.61311,1.30701,0.66711,1.38224,0.66640
69,7000,1.46407,0.61016,1.33107,0.66424,1.39690,0.66324
70,7100,1.28808,0.60713,1.35376,0.66097,1.41057,0.66006
71,7200,1.41957,0.60409,1.36640,0.65788,1.39000,0.65681
72,7300,1.42537,0.60140,1.35947,0.65453,1.39035,0.65379
73,7400,1.39951,0.59866,1.35575,0.65137,1.41758,0.65069
74,7500,1.34748,0.59555,1.34805,0.64840,1.41031,0.64732
75,7600,1.32891,0.59285,1.39192,0.64541,1.38241,0.64434
76,7700,1.36519,0.58983,1.35986,0.64216,1.40712,0.64116
77,7800,1.43311,0.58715,1.40285,0.63911,1.40640,0.63808
