iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
0,100,1.00773,0.02311,7.49527,0.48662
1,200,0.97510,0.01049,2.40315,0.33025
2,300,0.98217,0.00748,2.29798,0.31105
3,400,0.98369,0.00615,2.12282,0.30544
4,500,1.00307,0.00534,2.07491,0.29398
5,600,0.99286,0.00479,2.11186,0.29115
6,700,0.99984,0.00438,2.03201,0.28479
7,800,1.00369,0.00406,2.02345,0.27819
8,900,1.02643,0.00380,2.03992,0.27414
9,1000,0.97805,0.00359,2.07951,0.26933
10,1100,0.99354,0.00340,2.10552,0.26164
11,1200,0.99201,0.00325,2.16422,0.25734
12,1300,1.02724,0.00311,2.30446,0.25781
13,1400,0.96576,0.00299,2.33228,0.25526
14,1500,1.00068,0.00288,2.47125,0.25131
15,1600,1.02439,0.00279,2.43665,0.24639
16,1700,1.02397,0.00270,2.52723,0.24186
17,1800,1.01312,0.00262,2.59174,0.23843
18,1900,0.97726,0.00254,2.73260,0.23571
19,2000,0.98416,0.00248,2.73682,0.23569
20,2100,0.99841,0.00241,2.79455,0.23511
21,2200,1.00801,0.00236,2.88223,0.23580
22,2300,1.00971,0.00230,3.09987,0.23480
23,2400,0.98905,0.00225,3.15984,0.23347
24,2500,0.99172,0.00220,3.11453,0.22885
25,2600,0.99531,0.00216,3.24826,0.23316
26,2700,0.98903,0.00212,3.31710,0.23106
27,2800,1.01109,0.00208,3.35648,0.22884
28,2900,0.98749,0.00204,3.53949,0.22775
29,3000,0.99626,0.00200,3.39854,0.22535
30,3100,0.99384,0.00197,3.57742,0.22580
31,3200,1.00883,0.00194,3.58080,0.22398
32,3300,1.00642,0.00191,3.59523,0.22439
33,3400,1.01481,0.00188,3.73941,0.22285
34,3500,0.99433,0.00185,3.73293,0.22117
35,3600,0.99222,0.00183,3.71243,0.22022
36,3700,0.97340,0.00180,3.62796,0.21986
37,3800,0.98379,0.00178,3.93828,0.21729
38,3900,1.00128,0.00175,3.83135,0.22046
39,4000,0.97096,0.00173,3.85265,0.21615
40,4100,0.98329,0.00171,3.84052,0.21336
41,4200,1.02335,0.00169,3.73441,0.21259
42,4300,1.01794,0.00167,3.97983,0.21124
43,4400,0.99067,0.00165,3.98797,0.21115
44,4500,0.98045,0.00163,4.13596,0.21220
45,4600,1.01350,0.00161,3.98835,0.21242
46,4700,0.98426,0.00159,4.02174,0.20887
47,4800,1.01083,0.00158,4.07014,0.20960
48,4900,0.97452,0.00156,4.19849,0.20916
49,5000,1.02129,0.00154,4.20381,0.20699
50,5100,0.99664,0.00153,4.35836,0.20887
51,5200,1.01739,0.00151,4.42242,0.20721
52,5300,1.01037,0.00150,4.28113,0.20596
53,5400,1.02277,0.00149,4.19450,0.20414
54,5500,1.00197,0.00147,4.36631,0.20498
55,5600,1.01916,0.00146,4.38516,0.20275
56,5700,0.98766,0.00144,4.28864,0.20408
57,5800,1.01113,0.00143,4.23476,0.20238
58,5900,0.98936,0.00142,4.48642,0.20118
59,6000,1.00806,0.00141,4.43697,0.19936
60,6100,1.00790,0.00140,4.31352,0.19931
61,6200,0.98788,0.00139,4.37722,0.19556
62,6300,1.00320,0.00137,4.33051,0.19561
63,6400,1.00529,0.00136,4.29057,0.19644
64,6500,0.99451,0.00135,4.28923,0.19690
65,6600,0.98948,0.00134,4.30785,0.19294
66,6700,1.00271,0.00133,4.27726,0.19364
67,6800,0.97620,0.00132,4.40384,0.19286
68,6900,0.97951,0.00131,4.30904,0.18882
69,7000,1.02511,0.00130,4.33417,0.19097
70,7100,1.02218,0.00129,4.53685,0.19092
71,7200,1.00452,0.00128,4.28042,0.18753
72,7300,1.00420,0.00127,4.29132,0.18773
73,7400,0.96205,0.00127,4.38667,0.18628
74,7500,1.00576,0.00126,4.21181,0.18683
75,7600,1.01279,0.00125,4.33513,0.18366
76,7700,0.97289,0.00124,4.44535,0.18329
77,7800,1.02278,0.00123,4.30456,0.18103
78,7900,0.99050,0.00122,4.35719,0.18173
79,8000,0.99743,0.00122,4.51951,0.18246
80,8100,0.96942,0.00121,4.40083,0.18149
81,8200,0.98747,0.00120,4.60246,0.18217
82,8300,1.01649,0.00119,4.33213,0.18086
83,8400,0.99796,0.00119,4.30424,0.18311
84,8500,0.98281,0.00118,4.54654,0.17788
85,8600,0.96895,0.00117,4.43864,0.17596
86,8700,0.99216,0.00117,4.48917,0.17647
87,8800,0.98383,0.00116,4.58409,0.17530
88,8900,1.00494,0.00115,4.39437,0.17656
89,9000,0.98386,0.00115,4.21051,0.17388
90,9100,0.97352,0.00114,4.52416,0.17331
91,9200,0.98799,0.00113,4.55834,0.17603
92,9300,0.99955,0.00113,4.60309,0.17346
93,9400,1.02522,0.00112,4.44414,0.17330
94,9500,1.04478,0.00112,4.26736,0.17421
95,9600,0.98905,0.00111,4.38380,0.17251
96,9700,0.97933,0.00110,4.41935,0.17352
97,9800,0.98571,0.00110,4.51695,0.17112
98,9900,1.01167,0.00109,4.30018,0.17320
99,10000,1.01315,0.00109,4.54878,0.17035
100,10100,0.97581,0.00108,4.25006,0.16813
101,10200,1.00640,0.00108,4.27478,0.17021
102,10300,1.02806,0.00107,4.65723,0.16848
103,10400,1.01132,0.00107,4.26258,0.16638
104,10500,1.01635,0.00106,4.30130,0.16708
105,10600,1.02706,0.00106,4.39023,0.16786
106,10700,1.00839,0.00105,4.44631,0.16787
107,10800,0.97743,0.00105,4.34129,0.16544
108,10900,0.99378,0.00104,4.61401,0.16757
109,11000,0.97984,0.00104,4.58862,0.16489
110,11100,0.98209,0.00103,4.38967,0.16361
111,11200,0.99701,0.00103,4.50943,0.16366
112,11300,0.99243,0.00102,4.32878,0.16432
113,11400,1.01447,0.00102,4.31488,0.16339
114,11500,1.00524,0.00101,4.38589,0.16115
115,11600,1.01270,0.00101,4.48635,0.16040
116,11700,1.06122,0.00101,4.30316,0.16185
117,11800,0.98700,0.00100,4.53736,0.16149
118,11900,1.01611,0.00100,4.57088,0.15933
119,12000,0.94288,0.00099,4.50031,0.15974
