number,rewards,variances,exploration_value
0,[-5.63066 -5.63066],[49.74174 49.74174],0.9988953697090716
100,[-9.82261 -9.82261],[43.42637 43.42637],0.9797606658876263
200,[-1.62165 -1.62165],[1.67527 1.67527],0.9609925038496699
300,[-5.22157 -5.22157],[2.26066 2.26066],0.9425838621706605
400,[-9.38969 -9.38969],[42.89317 42.89317],0.9245278539275122
500,[-4.02796 -4.02796],[16.54014 16.54014],0.9068177241220878
600,[-5.04744 -5.04744],[28.92609 28.92609],0.889446847154093
700,[-5.91308 -5.91308],[29.55775 29.55775],0.8724087243423219
800,[-3.17666 -3.17666],[10.73644 10.73644],0.8556969814934174
900,[-2.83397 -2.83397],[3.75099 3.75099],0.8393053665172148
1000,[-2.00392 -2.00392],[6.18150 6.18150],0.8232277470877281
1100,[-2.70526 -2.70526],[3.66236 3.66236],0.8074581083489812
1200,[-4.04280 -4.04280],[16.32139 16.32139],0.7919905506647517
1300,[-1.41712 -1.41712],[0.97110 0.97110],0.7768192874114557
1400,[-2.22525 -2.22525],[2.65245 2.65245],0.7619386428132808
1500,[-3.89699 -3.89699],[6.04790 6.04790],0.7473430498187978
1600,[-2.56626 -2.56626],[3.15337 3.15337],0.7330270480182665
1700,[-2.30137 -2.30137],[3.76018 3.76018],0.7189852816008054
1800,[-2.56248 -2.56248],[1.77154 1.77154],0.705212497350724
1900,[-0.64947 -0.64947],[0.18364 0.18364],0.6917035426822101
2000,[-1.35269 -1.35269],[1.85856 1.85856],0.6784533637116886
2100,[-3.93935 -3.93935],[15.20685 15.20685],0.6654570033670938
2200,[-2.21503 -2.21503],[3.52461 3.52461],0.6527095995333525
2300,[-2.02793 -2.02793],[2.14808 2.14808],0.6402063832334086
2400,[-5.54803 -5.54803],[9.48477 9.48477],0.6279426768440843
2500,[-2.91364 -2.91364],[2.57258 2.57258],0.6159138923461105
2600,[-1.97444 -1.97444],[1.85813 1.85813],0.6041155296076918
2700,[-2.87393 -2.87393],[4.36131 4.36131],0.5925431747009424
2800,[-1.96750 -1.96750],[3.52632 3.52632],0.5811924982505915
2900,[-1.16894 -1.16894],[1.07112 1.07112],0.5700592538142826
3000,[-2.08193 -2.08193],[5.58576 5.58576],0.5591392762939287
3100,[-2.15837 -2.15837],[1.73428 1.73428],0.5484284803774964
3200,[-1.91181 -1.91181],[4.39954 4.39954],0.5379228590106419
3300,[-3.96657 -3.96657],[8.52870 8.52870],0.5276184818975981
3400,[-3.37591 -3.37591],[3.32499 3.32499],0.5175114940308205
3500,[-2.74468 -2.74468],[8.34666 8.34666],0.5075981142487541
3600,[-2.18337 -2.18337],[3.48220 3.48220],0.4978746338212661
3700,[-3.02745 -3.02745],[10.15702 10.15702],0.48833741506215295
3800,[-1.63042 -1.63042],[1.21606 1.21606],0.47898288996823385
3900,[-0.78069 -0.78069],[0.34384 0.34384],0.46980755888450715
4000,[-2.14010 -2.14010],[5.00918 5.00918],0.4608079891948918
4100,[-1.40816 -1.40816],[1.56516 1.56516],0.45198081403803075
4200,[-2.38366 -2.38366],[2.15511 2.15511],0.4433227310477052
4300,[-2.59273 -2.59273],[6.85394 6.85394],0.43483050111737453
4400,[-1.47405 -1.47405],[1.27481 1.27481],0.42650094718838294
4500,[-2.16738 -2.16738],[8.45915 8.45915],0.4183309530613763
4600,[-4.54285 -4.54285],[26.22195 26.22195],0.41031746223049576
4700,[-2.27885 -2.27885],[6.25864 6.25864],0.4024574767398885
4800,[-2.04046 -2.04046],[3.76244 3.76244],0.39474805606213775
4900,[-1.39147 -1.39147],[1.52655 1.52655],0.3871863159981707
5000,[-1.08015 -1.08015],[0.64286 0.64286],0.37976942759823823
5100,[-2.05377 -2.05377],[5.05117 5.05117],0.37249461610356654
5200,[-4.63921 -4.63921],[20.17605 20.17605],0.36535915990828843
5300,[-1.85114 -1.85114],[2.12125 2.12125],0.3583603895412437
