number,rewards,variances,exploration_value
0,[-1.97416 -1.97416],[0.54151 0.54151],0.9988953697090716
100,[-7.47803 -7.47803],[23.93554 23.93554],0.9797606658876263
200,[-6.07550 -6.07550],[17.14145 17.14145],0.9609925038496699
300,[-8.60536 -8.60536],[59.55804 59.55804],0.9425838621706605
400,[-2.81240 -2.81240],[8.14413 8.14413],0.9245278539275122
500,[-12.00339 -12.00339],[18.89474 18.89474],0.9068177241220878
600,[-11.87499 -11.87499],[13.99816 13.99816],0.889446847154093
700,[-6.08034 -6.08034],[15.14299 15.14299],0.8724087243423219
800,[-13.73786 -13.73786],[71.08408 71.08408],0.8556969814934174
900,[-9.78649 -9.78649],[18.74656 18.74656],0.8393053665172148
1000,[-5.64474 -5.64474],[19.17481 19.17481],0.8232277470877281
1100,[-12.10282 -12.10282],[34.84168 34.84168],0.8074581083489812
1200,[-12.56168 -12.56168],[20.57039 20.57039],0.7919905506647517
1300,[-11.43004 -11.43004],[26.92591 26.92591],0.7768192874114557
1400,[-5.75460 -5.75460],[16.40990 16.40990],0.7619386428132808
1500,[-3.96244 -3.96244],[10.18985 10.18985],0.7473430498187978
1600,[-16.25296 -16.25296],[10.30424 10.30424],0.7330270480182665
1700,[-8.45629 -8.45629],[41.62449 41.62449],0.7189852816008054
1800,[-7.66517 -7.66517],[35.22966 35.22966],0.705212497350724
1900,[-3.50564 -3.50564],[11.76249 11.76249],0.6917035426822101
2000,[-3.56516 -3.56516],[3.70208 3.70208],0.6784533637116886
2100,[-4.26454 -4.26454],[5.54152 5.54152],0.6654570033670938
2200,[-2.63228 -2.63228],[3.07650 3.07650],0.6527095995333525
2300,[-5.19605 -5.19605],[27.50402 27.50402],0.6402063832334086
2400,[-4.78629 -4.78629],[7.08116 7.08116],0.6279426768440843
2500,[-6.98199 -6.98199],[22.32175 22.32175],0.6159138923461105
2600,[-2.87831 -2.87831],[4.60178 4.60178],0.6041155296076918
2700,[-3.59076 -3.59076],[5.23171 5.23171],0.5925431747009424
2800,[-5.01842 -5.01842],[19.84238 19.84238],0.5811924982505915
2900,[-3.31184 -3.31184],[4.61714 4.61714],0.5700592538142826
3000,[-6.08011 -6.08011],[40.94051 40.94051],0.5591392762939287
3100,[-2.35448 -2.35448],[2.93840 2.93840],0.5484284803774964
3200,[-4.09900 -4.09900],[15.46394 15.46394],0.5379228590106419
3300,[-4.07788 -4.07788],[6.02742 6.02742],0.5276184818975981
3400,[-2.89847 -2.89847],[1.47766 1.47766],0.5175114940308205
3500,[-3.54441 -3.54441],[4.60186 4.60186],0.5075981142487541
3600,[-2.21429 -2.21429],[1.41858 1.41858],0.4978746338212661
3700,[-2.05348 -2.05348],[1.22720 1.22720],0.48833741506215295
3800,[-2.27815 -2.27815],[3.29672 3.29672],0.47898288996823385
3900,[-1.48197 -1.48197],[2.02001 2.02001],0.46980755888450715
4000,[-5.19672 -5.19672],[15.38611 15.38611],0.4608079891948918
4100,[-2.64652 -2.64652],[4.58127 4.58127],0.45198081403803075
4200,[-3.43686 -3.43686],[7.27632 7.27632],0.4433227310477052
4300,[-3.13012 -3.13012],[6.46650 6.46650],0.43483050111737453
4400,[-4.31365 -4.31365],[9.27607 9.27607],0.42650094718838294
4500,[-2.69973 -2.69973],[3.89762 3.89762],0.4183309530613763
4600,[-6.09222 -6.09222],[21.42724 21.42724],0.41031746223049576
4700,[-2.18760 -2.18760],[3.86997 3.86997],0.4024574767398885
4800,[-3.22040 -3.22040],[5.21281 5.21281],0.39474805606213775
4900,[-1.81137 -1.81137],[1.94512 1.94512],0.3871863159981707
5000,[-2.21210 -2.21210],[2.57881 2.57881],0.37976942759823823
5100,[-2.82680 -2.82680],[3.41488 3.41488],0.37249461610356654
5200,[-2.99158 -2.99158],[4.89707 4.89707],0.36535915990828843
5300,[-2.68597 -2.68597],[3.13393 3.13393],0.3583603895412437
5400,[-1.70676 -1.70676],[2.77548 2.77548],0.35149568666730197
5500,[-1.42935 -1.42935],[1.45556 1.45556],0.34476248310780105
5600,[-3.77096 -3.77096],[6.60672 6.60672],0.33815825987976045
5700,[-2.90420 -2.90420],[5.91413 5.91413],0.33168054625349885
5800,[-3.59716 -3.59716],[11.63924 11.63924],0.32532691882829134
5900,[-1.66086 -1.66086],[1.90994 1.90994],0.3190950006257518
6000,[-1.76036 -1.76036],[2.15601 2.15601],0.312982460200566
6100,[-4.49448 -4.49448],[6.74827 6.74827],0.3069870107682693
6200,[-3.62269 -3.62269],[7.06000 7.06000],0.30110640934973165
6300,[-3.20964 -3.20964],[3.68093 3.68093],0.29533845593202374
6400,[-1.98776 -1.98776],[2.49599 2.49599],0.2896809926453638
6500,[-2.71635 -2.71635],[2.66298 2.66298],0.2841319029558341
6600,[-3.96202 -3.96202],[17.65363 17.65363],0.27868911087355025
6700,[-1.46913 -1.46913],[1.27021 1.27021],0.27335058017600533
6800,[-3.69578 -3.69578],[4.85689 4.85689],0.26811431364629784
6900,[-3.90684 -3.90684],[9.98123 9.98123],0.26297835232593786
7000,[-0.49568 -0.49568],[0.30511 0.30511],0.25794077478198096
7100,[-4.59124 -4.59124],[1.58058 1.58058],0.2529996963881896
7200,[-2.32807 -2.32807],[1.19582 1.19582],0.24815326861997006
7300,[-1.46012 -1.46012],[4.17793 4.17793],0.2433996783628142
7400,[-2.15779 -2.15779],[1.58788 1.58788],0.23873714723398948
7500,[-0.98252 -0.98252],[1.03353 1.03353],0.23416393091721965
