iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss
0,100,34.51890,1.24131,28.21037,1.10572
1,200,12.91429,1.22852,10.64587,1.09979
2,300,1.23396,1.22456,2.75526,1.09690
3,400,1.02470,1.22052,1.47896,1.08926
4,500,1.03181,1.21263,1.21538,1.08467
5,600,1.01243,1.20621,1.17862,1.08044
6,700,1.02088,1.19850,1.16762,1.07742
7,800,1.03934,1.19271,1.18828,1.07385
8,900,1.03627,1.18586,1.23563,1.06912
9,1000,1.00474,1.17984,1.25671,1.06755
10,1100,1.00065,1.17277,1.27633,1.06397
11,1200,1.01031,1.16657,1.28746,1.06117
12,1300,1.06708,1.16025,1.30554,1.05620
13,1400,0.99070,1.15455,1.37519,1.05320
14,1500,1.02483,1.14764,1.33292,1.04831
15,1600,1.05427,1.14187,1.31278,1.04540
16,1700,1.02388,1.13487,1.38229,1.04141
17,1800,1.05010,1.12931,1.40983,1.03678
18,1900,1.01859,1.12255,1.42462,1.03185
19,2000,1.00931,1.11639,1.46986,1.02635
20,2100,1.00128,1.10976,1.53222,1.02067
21,2200,1.02801,1.10339,1.49103,1.01590
22,2300,1.05494,1.09809,1.47714,1.01061
23,2400,1.01067,1.09129,1.56422,1.00539
24,2500,1.00087,1.08499,1.55624,1.00026
25,2600,1.03418,1.07883,1.51901,0.99407
26,2700,1.02229,1.07237,1.57449,0.98882
27,2800,1.02982,1.06641,1.55637,0.98357
28,2900,1.00875,1.06065,1.59545,0.97954
29,3000,1.04224,1.05365,1.59067,0.97362
30,3100,1.01448,1.04805,1.56354,0.96730
31,3200,1.00933,1.04162,1.67604,0.96396
32,3300,1.02643,1.03661,1.58147,0.95890
33,3400,1.02937,1.03097,1.67489,0.95264
34,3500,1.00502,1.02540,1.59338,0.94830
35,3600,1.03578,1.01948,1.59708,0.94338
36,3700,1.01160,1.01382,1.61118,0.93881
37,3800,1.02911,1.00769,1.62959,0.93429
38,3900,1.02908,1.00183,1.74755,0.92937
39,4000,0.99088,0.99685,1.65280,0.92337
40,4100,1.01745,0.99101,1.71228,0.91868
41,4200,1.00890,0.98570,1.63482,0.91508
42,4300,1.42359,0.98071,1.76117,0.91012
43,4400,1.30484,0.97469,1.72385,0.90636
44,4500,1.36317,0.96941,1.85417,0.90171
45,4600,1.33458,0.96402,1.71879,0.89719
46,4700,1.43722,0.95805,1.72348,0.89247
47,4800,1.35948,0.95299,1.73041,0.88924
48,4900,1.45327,0.94759,1.66922,0.88402
49,5000,1.40153,0.94237,1.65924,0.87929
50,5100,1.23882,0.93659,1.60598,0.87459
51,5200,1.24191,0.93158,1.65235,0.87158
52,5300,1.43896,0.92584,1.75811,0.86649
53,5400,1.31026,0.92106,1.70699,0.86241
54,5500,1.30660,0.91580,1.67268,0.85885
55,5600,1.26278,0.91059,1.61853,0.85374
56,5700,1.37305,0.90570,1.67665,0.85051
57,5800,1.43778,0.90052,1.55069,0.84562
58,5900,1.32913,0.89549,1.69002,0.84091
59,6000,1.34115,0.89033,1.66676,0.83759
60,6100,1.30959,0.88574,1.58537,0.83387
61,6200,1.35508,0.88073,1.60683,0.83040
62,6300,1.24840,0.87569,1.63290,0.82496
63,6400,1.30115,0.87026,1.54636,0.82149
64,6500,1.22847,0.86576,1.58245,0.81742
65,6600,1.08181,0.86039,1.56855,0.81278
66,6700,1.27353,0.85581,1.62700,0.80850
67,6800,1.29486,0.85096,1.63729,0.80428
68,6900,1.45380,0.84626,1.58456,0.80017
69,7000,1.38553,0.84119,1.60333,0.79628
70,7100,1.37900,0.83592,1.56084,0.79257
71,7200,1.50418,0.83165,1.55351,0.78784
72,7300,1.29753,0.82661,1.52391,0.78449
73,7400,1.52530,0.82176,1.68551,0.78046
74,7500,1.49286,0.81687,1.61175,0.77700
75,7600,1.35903,0.81210,1.54034,0.77264
76,7700,1.26182,0.80789,1.56877,0.76870
77,7800,1.38196,0.80297,1.59668,0.76539
78,7900,1.40949,0.79798,1.56751,0.76094
79,8000,1.23220,0.79391,1.53999,0.75765
80,8100,1.02916,0.78895,1.69103,0.75263
81,8200,1.24604,0.78452,1.57420,0.74964
82,8300,1.32303,0.77992,1.53894,0.74525
83,8400,1.33727,0.77514,1.52610,0.74133
84,8500,1.12303,0.77043,1.66645,0.73742
85,8600,1.24451,0.76630,1.55281,0.73371
86,8700,1.26467,0.76194,1.57307,0.73014
87,8800,1.14238,0.75738,1.54038,0.72621
88,8900,1.23450,0.75315,1.51111,0.72255
89,9000,1.20018,0.74910,1.53540,0.71939
90,9100,1.18306,0.74432,1.57815,0.71489
91,9200,1.20720,0.73992,1.51417,0.71108
92,9300,1.19252,0.73586,1.51121,0.70736
93,9400,1.07234,0.73164,1.57078,0.70402
94,9500,1.02412,0.72733,1.49786,0.69885
95,9600,1.27801,0.72311,1.48743,0.69614
96,9700,1.05565,0.71910,1.51431,0.69181
97,9800,1.36313,0.71474,1.58286,0.68772
98,9900,1.23564,0.71030,1.55567,0.68436
99,10000,1.43293,0.70634,1.43917,0.68102
100,10100,1.30062,0.70230,1.59274,0.67756
101,10200,1.18900,0.69816,1.57864,0.67308
102,10300,1.13918,0.69348,1.53791,0.67014
103,10400,1.04965,0.68960,1.52256,0.66646
104,10500,1.09663,0.68525,1.48818,0.66203
105,10600,1.15394,0.68146,1.51529,0.65818
106,10700,1.16635,0.67747,1.57174,0.65501
107,10800,1.09291,0.67357,1.53834,0.65133
108,10900,1.17930,0.66982,1.46539,0.64759
109,11000,1.02188,0.66563,1.46859,0.64378
110,11100,1.15861,0.66187,1.52964,0.64056
111,11200,1.15948,0.65795,1.57058,0.63640
112,11300,1.04055,0.65404,1.56358,0.63250
113,11400,1.17288,0.65019,1.54218,0.62896
114,11500,1.22536,0.64619,1.48359,0.62525
115,11600,1.09116,0.64271,1.56006,0.62150
116,11700,1.10518,0.63885,1.50378,0.61788
117,11800,1.10504,0.63489,1.52014,0.61421
118,11900,1.28009,0.63128,1.47139,0.61047
119,12000,1.21110,0.62742,1.45985,0.60688
120,12100,1.03614,0.62386,1.46678,0.60336
121,12200,1.15113,0.61990,1.49087,0.60037
122,12300,1.09582,0.61636,1.53086,0.59642
123,12400,1.03100,0.61282,1.47855,0.59268
124,12500,1.09909,0.60895,1.48615,0.58928
125,12600,1.12287,0.60566,1.43358,0.58595
126,12700,1.25919,0.60161,1.48514,0.58207
127,12800,1.16705,0.59799,1.51839,0.57830
128,12900,1.08446,0.59474,1.57099,0.57526
129,13000,1.13993,0.59118,1.48375,0.57180
130,13100,1.08017,0.58717,1.48032,0.56822
131,13200,1.30860,0.58397,1.49642,0.56470
132,13300,1.06730,0.58029,1.45781,0.56083
133,13400,1.12360,0.57679,1.45976,0.55735
134,13500,1.04984,0.57308,1.50195,0.55376
135,13600,1.07249,0.56983,1.44340,0.55080
136,13700,1.09467,0.56605,1.48545,0.54727
137,13800,1.02910,0.56243,1.44772,0.54331
138,13900,1.00796,0.55894,1.44235,0.54062
139,14000,1.03195,0.55543,1.45669,0.53686
140,14100,1.01048,0.55218,1.41951,0.53375
141,14200,0.99411,0.54836,1.50028,0.52998
142,14300,1.14016,0.54537,1.48505,0.52619
143,14400,1.14403,0.54171,1.41929,0.52293
144,14500,1.06650,0.53818,1.47148,0.51936
145,14600,1.05875,0.53488,1.44006,0.51629
146,14700,1.00927,0.53143,1.50506,0.51264
147,14800,1.16181,0.52821,1.49397,0.50919
148,14900,1.20936,0.52485,1.43089,0.50600
149,15000,1.07290,0.52147,1.42698,0.50259
150,15100,1.18130,0.51812,1.49432,0.49888
151,15200,1.04031,0.51483,1.44152,0.49602
152,15300,1.23760,0.51155,1.42877,0.49287
153,15400,1.12503,0.50847,1.40662,0.48924
154,15500,1.13172,0.50487,1.39790,0.48606
155,15600,1.08524,0.50182,1.50781,0.48313
156,15700,1.02713,0.49829,1.41976,0.48008
157,15800,1.04958,0.49530,1.36367,0.47657
158,15900,1.02730,0.49193,1.43015,0.47328
159,16000,1.02669,0.48864,1.41338,0.47029
160,16100,1.10430,0.48550,1.48123,0.46645
161,16200,1.01168,0.48237,1.39704,0.46358
162,16300,1.09192,0.47920,1.43086,0.45992
163,16400,0.97843,0.47592,1.41287,0.45697
164,16500,1.06658,0.47278,1.39126,0.45347
165,16600,1.04168,0.46965,1.45867,0.45059
166,16700,1.13347,0.46662,1.40815,0.44703
167,16800,1.05373,0.46347,1.42030,0.44406
168,16900,1.10220,0.46022,1.43215,0.44090
169,17000,1.02467,0.45705,1.38129,0.43745
170,17100,1.04327,0.45414,1.38850,0.43475
171,17200,1.11467,0.45095,1.43585,0.43155
172,17300,1.08344,0.44804,1.43161,0.42818
173,17400,1.05875,0.44478,1.40850,0.42487
174,17500,1.06153,0.44189,1.40702,0.42232
175,17600,1.09184,0.43880,1.41336,0.41915
176,17700,1.09236,0.43581,1.44866,0.41593
177,17800,1.02941,0.43287,1.39703,0.41257
178,17900,1.06541,0.42996,1.41224,0.40958
179,18000,1.05952,0.42682,1.40862,0.40631
180,18100,1.07737,0.42406,1.39186,0.40360
181,18200,1.01463,0.42095,1.37627,0.40068
182,18300,1.06080,0.41797,1.44447,0.39756
183,18400,1.03234,0.41522,1.45236,0.39482
184,18500,1.00958,0.41214,1.42254,0.39197
185,18600,1.03121,0.40937,1.40937,0.38841
186,18700,1.10225,0.40643,1.33908,0.38557
187,18800,1.07047,0.40342,1.31342,0.38244
188,18900,1.05777,0.40060,1.40277,0.37936
189,19000,1.10583,0.39776,1.38497,0.37678
190,19100,1.07765,0.39492,1.43526,0.37365
191,19200,1.08767,0.39209,1.38641,0.37071
192,19300,1.02037,0.38914,1.39530,0.36758
193,19400,1.07506,0.38643,1.40045,0.36472
194,19500,1.13649,0.38353,1.38151,0.36135
195,19600,1.08946,0.38078,1.37504,0.35878
196,19700,1.06257,0.37800,1.39005,0.35597
197,19800,1.02477,0.37515,1.41403,0.35316
198,19900,1.02702,0.37234,1.39602,0.35044
199,20000,1.03772,0.36961,1.37297,0.34758
200,20100,1.08119,0.36681,1.39892,0.34459
201,20200,1.03406,0.36414,1.41042,0.34170
202,20300,0.99542,0.36132,1.38705,0.33948
203,20400,1.02959,0.35866,1.36261,0.33632
204,20500,1.05259,0.35598,1.36884,0.33284
205,20600,1.07333,0.35323,1.37142,0.33034
206,20700,1.06458,0.35064,1.39912,0.32750
207,20800,1.09424,0.34790,1.42174,0.32440
208,20900,1.04938,0.34516,1.33044,0.32145
209,21000,1.08576,0.34258,1.36811,0.31926
210,21100,1.09825,0.34000,1.40707,0.31682
211,21200,1.02902,0.33731,1.37183,0.31407
212,21300,1.04293,0.33466,1.38123,0.31081
213,21400,1.07161,0.33202,1.36553,0.30819
214,21500,1.01917,0.32938,1.38038,0.30526
215,21600,1.00635,0.32677,1.37281,0.30294
216,21700,1.07840,0.32425,1.39085,0.29992
217,21800,0.98115,0.32165,1.36014,0.29730
218,21900,1.06346,0.31906,1.36471,0.29511
219,22000,1.05184,0.31658,1.38979,0.29204
220,22100,1.03942,0.31405,1.39222,0.28939
221,22200,1.01187,0.31147,1.37900,0.28661
222,22300,1.01303,0.30896,1.42512,0.28390
223,22400,1.05379,0.30640,1.32903,0.28120
224,22500,1.02608,0.30376,1.35920,0.27884
225,22600,1.02673,0.30125,1.39244,0.27640
226,22700,1.00041,0.29868,1.30545,0.27345
227,22800,1.02709,0.29620,1.34954,0.27121
228,22900,1.01442,0.29359,1.32960,0.26853
