number,rewards,variances,exploration_value
0,[-2.50951 -2.50951],[6.08031 6.08031],0.9988953697090716
100,[-11.68130 -11.68130],[74.79298 74.79298],0.9797606658876263
200,[-11.32341 -11.32341],[19.23495 19.23495],0.9609925038496699
300,[-3.99651 -3.99651],[3.98176 3.98176],0.9425838621706605
400,[-7.36095 -7.36095],[16.61640 16.61640],0.9245278539275122
500,[-8.83635 -8.83635],[23.07957 23.07957],0.9068177241220878
600,[-10.62197 -10.62197],[20.27240 20.27240],0.889446847154093
700,[-13.30905 -13.30905],[10.52475 10.52475],0.8724087243423219
800,[-10.77561 -10.77561],[27.04485 27.04485],0.8556969814934174
900,[-9.58959 -9.58959],[47.30925 47.30925],0.8393053665172148
1000,[-8.82077 -8.82077],[63.59846 63.59846],0.8232277470877281
1100,[-16.67397 -16.67397],[24.02067 24.02067],0.8074581083489812
1200,[-8.01397 -8.01397],[73.76354 73.76354],0.7919905506647517
1300,[-6.88527 -6.88527],[25.93751 25.93751],0.7768192874114557
1400,[-7.13322 -7.13322],[117.34721 117.34721],0.7619386428132808
1500,[-7.07826 -7.07826],[129.98102 129.98102],0.7473430498187978
1600,[-6.80217 -6.80217],[37.92499 37.92499],0.7330270480182665
1700,[-3.02219 -3.02219],[5.64742 5.64742],0.7189852816008054
1800,[-16.38552 -16.38552],[160.46139 160.46139],0.705212497350724
1900,[-5.84530 -5.84530],[44.52398 44.52398],0.6917035426822101
2000,[-2.02702 -2.02702],[6.41982 6.41982],0.6784533637116886
2100,[-8.47134 -8.47134],[120.09027 120.09027],0.6654570033670938
2200,[-3.46855 -3.46855],[3.54899 3.54899],0.6527095995333525
2300,[-4.91322 -4.91322],[13.19539 13.19539],0.6402063832334086
2400,[-1.02593 -1.02593],[0.11299 0.11299],0.6279426768440843
2500,[-2.13910 -2.13910],[1.74365 1.74365],0.6159138923461105
2600,[-8.74947 -8.74947],[119.82586 119.82586],0.6041155296076918
2700,[-4.47078 -4.47078],[11.00272 11.00272],0.5925431747009424
2800,[-2.35965 -2.35965],[5.59963 5.59963],0.5811924982505915
2900,[-5.85087 -5.85087],[32.08736 32.08736],0.5700592538142826
3000,[-3.11234 -3.11234],[9.61982 9.61982],0.5591392762939287
3100,[-8.33462 -8.33462],[28.14010 28.14010],0.5484284803774964
3200,[-3.94276 -3.94276],[14.36927 14.36927],0.5379228590106419
3300,[-3.04016 -3.04016],[4.36079 4.36079],0.5276184818975981
3400,[-4.07717 -4.07717],[9.47399 9.47399],0.5175114940308205
3500,[-4.67027 -4.67027],[38.97960 38.97960],0.5075981142487541
3600,[-2.25848 -2.25848],[1.20562 1.20562],0.4978746338212661
3700,[-7.18085 -7.18085],[40.01012 40.01012],0.48833741506215295
3800,[-1.93578 -1.93578],[2.73748 2.73748],0.47898288996823385
3900,[-3.29753 -3.29753],[18.04824 18.04824],0.46980755888450715
4000,[-5.70476 -5.70476],[24.05366 24.05366],0.4608079891948918
4100,[-5.69734 -5.69734],[32.29359 32.29359],0.45198081403803075
4200,[-6.86852 -6.86852],[39.03452 39.03452],0.4433227310477052
4300,[-2.98897 -2.98897],[8.07753 8.07753],0.43483050111737453
4400,[-3.26242 -3.26242],[1.01974 1.01974],0.42650094718838294
4500,[-3.46509 -3.46509],[15.97120 15.97120],0.4183309530613763
4600,[-1.42197 -1.42197],[1.07787 1.07787],0.41031746223049576
4700,[-2.50706 -2.50706],[2.41347 2.41347],0.4024574767398885
4800,[-3.89904 -3.89904],[14.22196 14.22196],0.39474805606213775
4900,[-3.06838 -3.06838],[5.07708 5.07708],0.3871863159981707
5000,[-3.50968 -3.50968],[4.46591 4.46591],0.37976942759823823
5100,[-4.06334 -4.06334],[18.45189 18.45189],0.37249461610356654
5200,[-1.27804 -1.27804],[0.88165 0.88165],0.36535915990828843
5300,[-2.46065 -2.46065],[6.28370 6.28370],0.3583603895412437
5400,[-3.04172 -3.04172],[7.28205 7.28205],0.35149568666730197
5500,[-3.35813 -3.35813],[8.16196 8.16196],0.34476248310780105
5600,[-3.58594 -3.58594],[13.01794 13.01794],0.33815825987976045
5700,[-2.36898 -2.36898],[4.23988 4.23988],0.33168054625349885
5800,[-1.80478 -1.80478],[1.34021 1.34021],0.32532691882829134
5900,[-5.09854 -5.09854],[8.57832 8.57832],0.3190950006257518
6000,[-2.66773 -2.66773],[3.04158 3.04158],0.312982460200566
6100,[-1.88315 -1.88315],[4.71636 4.71636],0.3069870107682693
6200,[-2.16000 -2.16000],[1.48464 1.48464],0.30110640934973165
6300,[-2.13901 -2.13901],[2.65835 2.65835],0.29533845593202374
6400,[-2.58410 -2.58410],[7.40126 7.40126],0.2896809926453638
6500,[-5.20706 -5.20706],[4.80473 4.80473],0.2841319029558341
6600,[-1.76520 -1.76520],[2.36233 2.36233],0.27868911087355025
6700,[-3.69260 -3.69260],[20.60746 20.60746],0.27335058017600533
6800,[-2.08476 -2.08476],[3.77016 3.77016],0.26811431364629784
6900,[-3.70247 -3.70247],[8.27196 8.27196],0.26297835232593786
7000,[-2.43821 -2.43821],[2.17552 2.17552],0.25794077478198096
7100,[-4.61679 -4.61679],[18.68387 18.68387],0.2529996963881896
7200,[-4.81907 -4.81907],[29.04099 29.04099],0.24815326861997006
7300,[-1.69472 -1.69472],[2.93623 2.93623],0.2433996783628142
7400,[-2.81280 -2.81280],[20.54019 20.54019],0.23873714723398948
7500,[-3.54997 -3.54997],[6.38816 6.38816],0.23416393091721965
7600,[-2.57892 -2.57892],[6.63626 6.63626],0.2296783185101154
7700,[-2.81193 -2.81193],[3.56593 3.56593],0.2252786318840993
7800,[-2.80149 -2.80149],[2.83177 2.83177],0.2209632250565976
7900,[-3.14037 -3.14037],[7.48312 7.48312],0.2167304835752537
8000,[-3.03062 -3.03062],[2.30543 2.30543],0.21257882391394362
8100,[-3.42031 -3.42031],[4.55447 4.55447],0.208506692880351
8200,[-1.88929 -1.88929],[1.59812 1.59812],0.20451256703490245
8300,[-1.31024 -1.31024],[0.84607 0.84607],0.20059495212082465
8400,[-2.86406 -2.86406],[0.83415 0.83415],0.196752382505123
8500,[-2.12519 -2.12519],[4.76769 4.76769],0.19298342063027152
8600,[-1.41134 -1.41134],[0.45032 0.45032],0.18928665647639956
8700,[-1.85171 -1.85171],[2.97030 2.97030],0.18566070703378476
8800,[-1.42728 -1.42728],[2.18475 2.18475],0.18210421578545158
8900,[-3.06405 -3.06405],[4.06849 4.06849],0.17861585219967707
9000,[-3.87152 -3.87152],[4.53636 4.53636],0.17519431123222665
9100,[-5.50700 -5.50700],[26.59806 26.59806],0.17183831283811357
9200,[-2.23218 -2.23218],[3.33459 3.33459],0.1685466014927179
9300,[-1.91376 -1.91376],[4.00759 4.00759],0.16531794572208017
9400,[-3.36609 -3.36609],[6.84385 6.84385],0.16215113764218753
9500,[-0.84960 -0.84960],[0.19338 0.19338],0.15904499250708942
9600,[-4.06824 -4.06824],[10.12838 10.12838],0.15599834826566805
9700,[-4.71953 -4.71953],[12.75815 12.75815],0.1530100651268971
9800,[-6.87806 -6.87806],[28.41077 28.41077],0.15007902513343338
9900,[-2.29731 -2.29731],[14.33307 14.33307],0.14720413174337166
10000,[-3.96197 -3.96197],[11.56712 11.56712],0.14438430942001573
10100,[-1.28080 -1.28080],[0.90660 0.90660],0.14161850322950267
10200,[-2.12000 -2.12000],[3.44480 3.44480],0.13890567844613977
10300,[-0.56039 -0.56039],[0.04775 0.04775],0.13624482016529874
10400,[-2.68775 -2.68775],[6.17328 6.17328],0.1336349329237267
10500,[-4.17433 -4.17433],[16.40918 16.40918],0.13107504032712913
10600,[-2.09444 -2.09444],[4.13802 4.13802],0.1285641846848873
10700,[-3.80041 -3.80041],[3.04004 3.04004],0.1261014266517737
10800,[-2.00244 -2.00244],[2.35985 2.35985],0.12368584487653073
10900,[-1.33036 -1.33036],[1.03185 1.03185],0.12131653565718102
11000,[-0.65325 -0.65325],[0.05384 0.05384],0.11899261260293736
11100,[-1.66114 -1.66114],[2.29109 2.29109],0.1167132063025952
11200,[-5.51987 -5.51987],[6.30182 6.30182],0.11447746399927272
11300,[-0.70554 -0.70554],[0.01521 0.01521],0.11228454927138284
11400,[-1.83549 -1.83549],[2.11280 2.11280],0.11013364171971564
11500,[-3.02076 -3.02076],[4.61925 4.61925],0.10802393666051861
11600,[-1.82145 -1.82145],[2.11589 2.11589],0.1059546448244499
11700,[-3.93921 -3.93921],[19.41718 19.41718],0.1039249920613054
11800,[-2.46755 -2.46755],[4.58854 4.58854],0.10193421905039614
11900,[-2.66566 -2.66566],[4.84253 4.84253],0.09998158101647696
12000,[-0.98247 -0.98247],[0.30307 0.30307],0.09806634745111607
12100,[-2.59508 -2.59508],[4.33959 4.33959],0.09618780183940234
12200,[-2.95533 -2.95533],[3.56715 3.56715],0.09434524139188641
12300,[-3.04625 -3.04625],[1.79263 1.79263],0.09253797678165741
12400,[-2.09995 -2.09995],[3.68054 3.68054],0.09076533188645854
12500,[-3.24466 -3.24466],[27.92022 27.92022],0.08902664353573696
12600,[-1.53469 -1.53469],[2.01007 2.01007],0.08732126126254666
12700,[-3.28652 -3.28652],[2.52599 2.52599],0.08564854706019692
12800,[-0.72367 -0.72367],[0.04716 0.04716],0.08400787514356634
12900,[-0.78193 -0.78193],[0.29283 0.29283],0.08239863171498804
13000,[-2.10844 -2.10844],[4.33760 4.33760],0.08082021473462091
13100,[-2.92974 -2.92974],[5.52763 5.52763],0.07927203369521665
