iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,3.23773,0.37159,2.05719,3.59682,0.37130,2.05729
1,200,1.10040,0.36720,2.05590,1.27665,0.36689,2.05614
2,300,0.96470,0.36060,2.05447,1.00639,0.36048,2.05472
3,400,1.00130,0.35495,2.05310,0.98663,0.35458,2.05310
4,500,0.98416,0.34882,2.05259,0.98625,0.34910,2.05196
5,600,0.98874,0.34297,2.05141,0.99397,0.34302,2.05127
6,700,0.99135,0.33709,2.05040,1.01629,0.33727,2.04984
7,800,0.99446,0.33150,2.04885,1.02649,0.33155,2.04876
8,900,1.00021,0.32558,2.04763,1.00055,0.32577,2.04760
9,1000,0.99279,0.32020,2.04653,1.05088,0.32013,2.04590
10,1100,0.99755,0.31461,2.04563,1.06323,0.31499,2.04514
11,1200,1.00294,0.30952,2.04372,1.07068,0.30922,2.04354
12,1300,0.99665,0.30420,2.04292,1.10149,0.30369,2.04330
13,1400,1.00772,0.29883,2.04218,1.10186,0.29835,2.04228
14,1500,0.97794,0.29358,2.04051,1.09958,0.29337,2.04073
15,1600,0.99376,0.28847,2.04052,1.15662,0.28846,2.04006
16,1700,1.01008,0.28312,2.03869,1.13302,0.28301,2.03872
17,1800,0.98026,0.27836,2.03788,1.17785,0.27824,2.03698
18,1900,0.98780,0.27355,2.03580,1.14407,0.27336,2.03572
19,2000,1.01180,0.26845,2.03480,1.20080,0.26834,2.03522
20,2100,0.98091,0.26378,2.03387,1.19564,0.26338,2.03379
21,2200,0.98440,0.25884,2.03371,1.19752,0.25871,2.03243
22,2300,0.99335,0.25403,2.03195,1.23517,0.25390,2.03178
23,2400,1.00566,0.24947,2.02960,1.23024,0.24921,2.03046
24,2500,0.97065,0.24482,2.02932,1.24404,0.24478,2.02926
25,2600,0.99392,0.24038,2.02795,1.21813,0.24021,2.02836
26,2700,0.99221,0.23577,2.02687,1.24297,0.23573,2.02695
27,2800,1.01317,0.23134,2.02560,1.25916,0.23121,2.02489
28,2900,0.97984,0.22670,2.02538,1.25301,0.22687,2.02457
29,3000,0.97722,0.22261,2.02422,1.26244,0.22237,2.02330
30,3100,1.00210,0.21823,2.02196,1.27186,0.21811,2.02218
31,3200,0.98992,0.21389,2.02052,1.27103,0.21404,2.02037
32,3300,0.99975,0.20959,2.01876,1.29786,0.20958,2.01918
33,3400,0.99299,0.20542,2.01846,1.32149,0.20530,2.01867
34,3500,1.01669,0.20137,2.01759,1.27933,0.20136,2.01708
35,3600,1.00227,0.19708,2.01543,1.26373,0.19698,2.01559
36,3700,1.01676,0.19290,2.01394,1.31504,0.19284,2.01417
37,3800,1.00932,0.18894,2.01322,1.36206,0.18891,2.01219
38,3900,0.99576,0.18518,2.01093,1.33105,0.18507,2.01064
39,4000,0.99302,0.18125,2.00983,1.29713,0.18104,2.01026
40,4100,1.00338,0.17726,2.00750,1.27669,0.17705,2.00831
41,4200,0.99024,0.17343,2.00631,1.31269,0.17344,2.00678
42,4300,1.00143,0.16961,2.00465,1.28937,0.16959,2.00592
43,4400,1.00601,0.16595,2.00346,1.30588,0.16596,2.00420
44,4500,1.00638,0.16227,2.00160,1.31039,0.16232,2.00240
45,4600,0.99676,0.15876,2.00044,1.32941,0.15850,2.00058
46,4700,1.00273,0.15518,1.99965,1.30627,0.15516,1.99933
47,4800,1.02865,0.15159,1.99716,1.33033,0.15157,1.99750
48,4900,0.98339,0.14804,1.99603,1.34403,0.14793,1.99521
49,5000,1.03699,0.14470,1.99518,1.29812,0.14469,1.99428
50,5100,0.99331,0.14128,1.99202,1.31141,0.14131,1.99223
51,5200,1.03977,0.13811,1.99121,1.31019,0.13802,1.99081
52,5300,0.98862,0.13474,1.98868,1.29870,0.13464,1.99021
53,5400,0.99796,0.13163,1.98666,1.31217,0.13151,1.98814
54,5500,1.03734,0.12833,1.98631,1.29548,0.12834,1.98682
55,5600,0.99247,0.12532,1.98352,1.31473,0.12508,1.98344
56,5700,1.00192,0.12212,1.98120,1.33558,0.12230,1.98168
57,5800,0.99211,0.11933,1.98095,1.30981,0.11930,1.98073
58,5900,1.00622,0.11622,1.97859,1.31859,0.11623,1.97808
59,6000,0.98222,0.11347,1.97789,1.35002,0.11346,1.97618
60,6100,1.01237,0.11067,1.97515,1.34247,0.11064,1.97466
61,6200,1.01993,0.10780,1.97352,1.33010,0.10769,1.97321
62,6300,0.99515,0.10532,1.97205,1.28199,0.10521,1.97048
63,6400,1.00673,0.10258,1.96964,1.29774,0.10241,1.96997
64,6500,1.02112,0.09986,1.96794,1.34121,0.09990,1.96798
65,6600,1.01730,0.09726,1.96508,1.35528,0.09731,1.96552
66,6700,0.98540,0.09476,1.96294,1.35399,0.09486,1.96341
67,6800,0.99331,0.09247,1.96119,1.35196,0.09234,1.96204
68,6900,1.00700,0.08998,1.95898,1.37249,0.08990,1.95881
69,7000,0.99825,0.08750,1.95732,1.36644,0.08765,1.95719
70,7100,1.02638,0.08544,1.95615,1.35570,0.08506,1.95535
71,7200,1.00732,0.08314,1.95333,1.32373,0.08303,1.95267
72,7300,0.98524,0.08097,1.95065,1.41699,0.08085,1.94984
73,7400,0.98891,0.07884,1.94815,1.37383,0.07880,1.94888
74,7500,0.99288,0.07684,1.94753,1.37584,0.07678,1.94683
75,7600,1.02199,0.07488,1.94560,1.35199,0.07471,1.94532
76,7700,1.00616,0.07291,1.94272,1.42158,0.07286,1.94390
77,7800,1.00149,0.07088,1.94188,1.36434,0.07085,1.94121
78,7900,1.01485,0.06923,1.93996,1.37383,0.06917,1.93897
79,8000,0.99116,0.06748,1.93680,1.40764,0.06739,1.93768
80,8100,0.98749,0.06567,1.93569,1.41544,0.06552,1.93444
81,8200,1.00369,0.06400,1.93333,1.44738,0.06394,1.93271
82,8300,1.01416,0.06251,1.93178,1.36271,0.06230,1.93086
83,8400,0.99812,0.06091,1.92949,1.40378,0.06084,1.92837
84,8500,1.00708,0.05923,1.92674,1.38288,0.05944,1.92757
85,8600,0.99956,0.05777,1.92330,1.44058,0.05789,1.92513
86,8700,1.01752,0.05624,1.92219,1.44095,0.05630,1.92150
87,8800,1.01217,0.05502,1.92068,1.42815,0.05492,1.91905
88,8900,1.01262,0.05360,1.91803,1.37522,0.05364,1.91808
89,9000,0.99745,0.05231,1.91323,1.43318,0.05235,1.91435
90,9100,0.97954,0.05109,1.91067,1.42770,0.05105,1.91198
91,9200,1.00888,0.04981,1.90918,1.38449,0.04976,1.90947
92,9300,1.02661,0.04861,1.90630,1.41032,0.04863,1.90773
93,9400,0.98138,0.04760,1.90374,1.46865,0.04751,1.90341
94,9500,1.02148,0.04658,1.90287,1.42309,0.04654,1.90021
95,9600,1.01116,0.04551,1.89865,1.46405,0.04558,1.89753
96,9700,0.99710,0.04456,1.89694,1.47846,0.04457,1.89691
97,9800,1.02136,0.04368,1.89426,1.43420,0.04376,1.89272
98,9900,1.00591,0.04272,1.89226,1.43330,0.04273,1.89054
99,10000,0.99153,0.04181,1.88853,1.46483,0.04189,1.88753
100,10100,0.99988,0.04114,1.88615,1.41377,0.04102,1.88551
101,10200,1.00285,0.04026,1.88451,1.41465,0.04032,1.88462
102,10300,0.98713,0.03949,1.88131,1.39981,0.03955,1.88170
103,10400,0.99264,0.03896,1.87743,1.45370,0.03881,1.87668
104,10500,0.99597,0.03804,1.87520,1.44957,0.03810,1.87563
105,10600,0.99145,0.03757,1.87467,1.45074,0.03749,1.87105
106,10700,1.00289,0.03680,1.86985,1.49599,0.03683,1.87159
107,10800,0.99483,0.03627,1.86793,1.41665,0.03620,1.86751
108,10900,1.00948,0.03582,1.86530,1.44435,0.03559,1.86520
