number,rewards,variances,exploration_value
0,[-2.50951 -2.50951],[6.08031 6.08031],0.9988953697090716
100,[-4.23215 -4.23215],[9.80147 9.80147],0.9797606658876263
200,[-4.66437 -4.66437],[4.31865 4.31865],0.9609925038496699
300,[-1.10889 -1.10889],[1.04832 1.04832],0.9425838621706605
400,[-8.56073 -8.56073],[44.14062 44.14062],0.9245278539275122
500,[-12.13540 -12.13540],[38.19057 38.19057],0.9068177241220878
600,[-17.45936 -17.45936],[27.18209 27.18209],0.889446847154093
700,[-15.16039 -15.16039],[130.39809 130.39809],0.8724087243423219
800,[-11.03276 -11.03276],[82.36667 82.36667],0.8556969814934174
900,[-20.00987 -20.00987],[146.70492 146.70492],0.8393053665172148
1000,[-7.37858 -7.37858],[25.83715 25.83715],0.8232277470877281
1100,[-9.98720 -9.98720],[70.98823 70.98823],0.8074581083489812
1200,[-3.26518 -3.26518],[1.85037 1.85037],0.7919905506647517
1300,[-3.16518 -3.16518],[6.30576 6.30576],0.7768192874114557
1400,[-8.97622 -8.97622],[23.50579 23.50579],0.7619386428132808
1500,[-3.47683 -3.47683],[6.87047 6.87047],0.7473430498187978
1600,[-3.11306 -3.11306],[1.24360 1.24360],0.7330270480182665
1700,[-4.70844 -4.70844],[19.28920 19.28920],0.7189852816008054
1800,[-3.14188 -3.14188],[3.59668 3.59668],0.705212497350724
1900,[-1.19564 -1.19564],[0.56197 0.56197],0.6917035426822101
2000,[-1.82388 -1.82388],[1.18008 1.18008],0.6784533637116886
2100,[-2.35871 -2.35871],[3.55767 3.55767],0.6654570033670938
2200,[-1.75509 -1.75509],[1.45371 1.45371],0.6527095995333525
2300,[-3.19519 -3.19519],[2.15442 2.15442],0.6402063832334086
2400,[-1.71045 -1.71045],[2.18064 2.18064],0.6279426768440843
2500,[-2.88263 -2.88263],[4.12817 4.12817],0.6159138923461105
2600,[-5.19809 -5.19809],[15.96799 15.96799],0.6041155296076918
2700,[-2.45641 -2.45641],[2.38320 2.38320],0.5925431747009424
2800,[-2.94600 -2.94600],[2.28220 2.28220],0.5811924982505915
2900,[-3.40872 -3.40872],[5.46008 5.46008],0.5700592538142826
3000,[-2.73164 -2.73164],[8.97629 8.97629],0.5591392762939287
3100,[-4.42365 -4.42365],[5.18743 5.18743],0.5484284803774964
3200,[-1.93430 -1.93430],[1.98031 1.98031],0.5379228590106419
3300,[-4.09324 -4.09324],[19.38555 19.38555],0.5276184818975981
3400,[-4.11941 -4.11941],[3.37745 3.37745],0.5175114940308205
3500,[-1.35529 -1.35529],[1.18624 1.18624],0.5075981142487541
3600,[-1.65453 -1.65453],[1.70641 1.70641],0.4978746338212661
3700,[-3.04575 -3.04575],[4.35188 4.35188],0.48833741506215295
3800,[-3.81749 -3.81749],[1.94193 1.94193],0.47898288996823385
3900,[-1.20128 -1.20128],[0.82364 0.82364],0.46980755888450715
4000,[-3.64376 -3.64376],[6.51189 6.51189],0.4608079891948918
4100,[-3.47468 -3.47468],[5.83167 5.83167],0.45198081403803075
4200,[-3.13029 -3.13029],[3.92219 3.92219],0.4433227310477052
4300,[-4.33751 -4.33751],[14.52370 14.52370],0.43483050111737453
4400,[-3.25927 -3.25927],[1.61018 1.61018],0.42650094718838294
4500,[-4.26702 -4.26702],[12.98163 12.98163],0.4183309530613763
4600,[-1.33155 -1.33155],[0.72455 0.72455],0.41031746223049576
4700,[-2.10093 -2.10093],[2.85374 2.85374],0.4024574767398885
4800,[-2.64779 -2.64779],[4.36373 4.36373],0.39474805606213775
4900,[-3.35537 -3.35537],[5.28921 5.28921],0.3871863159981707
5000,[-4.33850 -4.33850],[3.43495 3.43495],0.37976942759823823
5100,[-3.43585 -3.43585],[14.13632 14.13632],0.37249461610356654
5200,[-0.74770 -0.74770],[0.63182 0.63182],0.36535915990828843
5300,[-2.88365 -2.88365],[6.14998 6.14998],0.3583603895412437
5400,[-5.32381 -5.32381],[13.68247 13.68247],0.35149568666730197
5500,[-3.14855 -3.14855],[11.55310 11.55310],0.34476248310780105
5600,[-4.35005 -4.35005],[23.05079 23.05079],0.33815825987976045
5700,[-2.52594 -2.52594],[2.49273 2.49273],0.33168054625349885
5800,[-2.11482 -2.11482],[2.83618 2.83618],0.32532691882829134
5900,[-5.22854 -5.22854],[11.91899 11.91899],0.3190950006257518
6000,[-2.91610 -2.91610],[2.16514 2.16514],0.312982460200566
6100,[-3.04230 -3.04230],[2.89073 2.89073],0.3069870107682693
6200,[-2.63126 -2.63126],[2.52353 2.52353],0.30110640934973165
6300,[-2.23864 -2.23864],[2.44487 2.44487],0.29533845593202374
6400,[-3.27338 -3.27338],[10.81820 10.81820],0.2896809926453638
6500,[-5.80770 -5.80770],[11.08010 11.08010],0.2841319029558341
6600,[-1.89032 -1.89032],[2.63957 2.63957],0.27868911087355025
6700,[-2.21242 -2.21242],[4.09282 4.09282],0.27335058017600533
6800,[-2.47524 -2.47524],[0.83586 0.83586],0.26811431364629784
6900,[-3.52776 -3.52776],[5.03681 5.03681],0.26297835232593786
7000,[-2.34469 -2.34469],[4.12189 4.12189],0.25794077478198096
7100,[-2.35847 -2.35847],[1.34815 1.34815],0.2529996963881896
7200,[-4.02832 -4.02832],[15.33545 15.33545],0.24815326861997006
7300,[-1.74185 -1.74185],[2.63208 2.63208],0.2433996783628142
7400,[-2.37392 -2.37392],[4.09994 4.09994],0.23873714723398948
7500,[-3.75336 -3.75336],[8.41598 8.41598],0.23416393091721965
7600,[-4.41479 -4.41479],[10.89778 10.89778],0.2296783185101154
7700,[-2.94911 -2.94911],[4.83637 4.83637],0.2252786318840993
7800,[-2.01870 -2.01870],[1.20876 1.20876],0.2209632250565976
7900,[-3.18196 -3.18196],[11.86918 11.86918],0.2167304835752537
8000,[-3.63748 -3.63748],[6.78742 6.78742],0.21257882391394362
8100,[-4.56165 -4.56165],[19.21002 19.21002],0.208506692880351
8200,[-5.72239 -5.72239],[27.30892 27.30892],0.20451256703490245
8300,[-2.13920 -2.13920],[0.61892 0.61892],0.20059495212082465
8400,[-3.01702 -3.01702],[2.23584 2.23584],0.196752382505123
8500,[-3.00008 -3.00008],[5.66928 5.66928],0.19298342063027152
8600,[-2.60068 -2.60068],[6.31008 6.31008],0.18928665647639956
8700,[-2.41579 -2.41579],[4.20029 4.20029],0.18566070703378476
8800,[-1.69198 -1.69198],[2.20324 2.20324],0.18210421578545158
8900,[-4.40633 -4.40633],[16.15752 16.15752],0.17861585219967707
9000,[-4.19551 -4.19551],[3.95802 3.95802],0.17519431123222665
9100,[-4.34928 -4.34928],[9.72976 9.72976],0.17183831283811357
9200,[-2.62902 -2.62902],[1.11980 1.11980],0.1685466014927179
9300,[-2.87112 -2.87112],[4.04401 4.04401],0.16531794572208017
9400,[-2.81358 -2.81358],[3.31247 3.31247],0.16215113764218753
9500,[-1.31950 -1.31950],[1.64980 1.64980],0.15904499250708942
9600,[-4.73018 -4.73018],[3.96218 3.96218],0.15599834826566805
9700,[-2.42253 -2.42253],[2.57645 2.57645],0.1530100651268971
9800,[-6.84642 -6.84642],[19.34833 19.34833],0.15007902513343338
9900,[-2.50616 -2.50616],[6.88974 6.88974],0.14720413174337166
10000,[-3.98698 -3.98698],[5.27870 5.27870],0.14438430942001573
10100,[-1.66591 -1.66591],[2.74471 2.74471],0.14161850322950267
10200,[-2.10470 -2.10470],[4.03807 4.03807],0.13890567844613977
10300,[-1.22923 -1.22923],[0.56220 0.56220],0.13624482016529874
10400,[-2.88092 -2.88092],[4.90260 4.90260],0.1336349329237267
10500,[-3.27469 -3.27469],[2.82173 2.82173],0.13107504032712913
10600,[-1.66750 -1.66750],[1.28734 1.28734],0.1285641846848873
10700,[-3.98430 -3.98430],[3.48874 3.48874],0.1261014266517737
10800,[-4.17642 -4.17642],[12.33967 12.33967],0.12368584487653073
10900,[-3.21114 -3.21114],[4.53440 4.53440],0.12131653565718102
11000,[-1.00823 -1.00823],[0.40956 0.40956],0.11899261260293736
11100,[-1.79756 -1.79756],[1.02691 1.02691],0.1167132063025952
11200,[-6.08685 -6.08685],[9.68402 9.68402],0.11447746399927272
11300,[-1.10672 -1.10672],[0.08246 0.08246],0.11228454927138284
11400,[-3.21442 -3.21442],[5.36952 5.36952],0.11013364171971564
11500,[-2.94109 -2.94109],[2.38086 2.38086],0.10802393666051861
11600,[-2.00735 -2.00735],[5.42890 5.42890],0.1059546448244499
11700,[-3.94494 -3.94494],[8.88487 8.88487],0.1039249920613054
11800,[-2.45472 -2.45472],[4.58068 4.58068],0.10193421905039614
11900,[-4.05552 -4.05552],[8.69666 8.69666],0.09998158101647696
12000,[-1.94253 -1.94253],[3.62036 3.62036],0.09806634745111607
12100,[-2.40588 -2.40588],[2.74819 2.74819],0.09618780183940234
12200,[-3.99116 -3.99116],[5.63231 5.63231],0.09434524139188641
12300,[-3.08859 -3.08859],[1.54577 1.54577],0.09253797678165741
12400,[-3.19484 -3.19484],[13.85095 13.85095],0.09076533188645854
12500,[-2.31909 -2.31909],[10.80917 10.80917],0.08902664353573696
12600,[-2.88068 -2.88068],[5.29933 5.29933],0.08732126126254666
12700,[-2.68446 -2.68446],[1.41560 1.41560],0.08564854706019692
12800,[-0.87062 -0.87062],[0.32530 0.32530],0.08400787514356634
12900,[-1.84747 -1.84747],[1.65939 1.65939],0.08239863171498804
13000,[-2.67460 -2.67460],[6.38090 6.38090],0.08082021473462091
13100,[-3.21729 -3.21729],[2.71220 2.71220],0.07927203369521665
13200,[-2.26659 -2.26659],[2.50875 2.50875],0.07775350940120238
13300,[-1.21030 -1.21030],[0.54414 0.54414],0.07626407375199792
13400,[-3.09704 -3.09704],[9.35416 9.35416],0.07480316952948014
