iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,4.90232,0.47017,1.09873,6.28949,0.51249,1.61159
1,200,1.31489,0.46706,1.09907,1.82966,0.50971,1.61205
2,300,0.96720,0.46265,1.09832,1.11246,0.50562,1.61073
3,400,1.00460,0.45780,1.09875,1.02670,0.50141,1.61104
4,500,0.98449,0.45347,1.09859,1.01667,0.49733,1.61063
5,600,0.99103,0.44970,1.09880,1.02522,0.49281,1.61030
6,700,0.99108,0.44529,1.09881,1.04245,0.48874,1.61181
7,800,1.00075,0.44131,1.09889,1.05600,0.48406,1.61146
8,900,1.00021,0.43763,1.09818,1.02839,0.48048,1.61136
9,1000,0.99620,0.43369,1.09872,1.08696,0.47657,1.60998
10,1100,0.99676,0.42968,1.09853,1.10163,0.47235,1.61038
11,1200,1.00748,0.42591,1.09807,1.09644,0.46823,1.61034
12,1300,0.99735,0.42200,1.09822,1.12847,0.46436,1.61057
13,1400,1.00270,0.41777,1.09825,1.15065,0.46029,1.60981
14,1500,0.97623,0.41350,1.09774,1.13076,0.45625,1.61087
15,1600,0.99285,0.40952,1.09833,1.19350,0.45211,1.61069
16,1700,1.01988,0.40566,1.09818,1.18350,0.44856,1.61022
17,1800,0.98591,0.40227,1.09793,1.22832,0.44504,1.60950
18,1900,1.00701,0.39875,1.09736,1.19253,0.44114,1.61051
19,2000,1.01072,0.39459,1.09736,1.24278,0.43708,1.60998
20,2100,0.98851,0.39103,1.09770,1.22880,0.43359,1.61009
21,2200,0.98743,0.38699,1.09779,1.24198,0.42972,1.60996
22,2300,0.99358,0.38335,1.09767,1.29172,0.42607,1.61011
23,2400,1.00438,0.37968,1.09766,1.25945,0.42274,1.60984
24,2500,0.97878,0.37608,1.09778,1.29079,0.41906,1.60964
25,2600,1.00364,0.37232,1.09827,1.26291,0.41493,1.60965
26,2700,0.98978,0.36921,1.09757,1.28202,0.41120,1.61045
27,2800,1.00277,0.36509,1.09789,1.30789,0.40786,1.61013
28,2900,0.98576,0.36122,1.09824,1.29564,0.40397,1.61048
29,3000,0.98144,0.35766,1.09861,1.30490,0.40033,1.61003
30,3100,1.00597,0.35436,1.09841,1.34113,0.39672,1.61048
31,3200,0.99017,0.35100,1.09801,1.32509,0.39341,1.61001
32,3300,1.00280,0.34754,1.09824,1.34436,0.39014,1.61042
33,3400,1.00479,0.34386,1.09828,1.35421,0.38644,1.61047
34,3500,1.01923,0.34053,1.09804,1.30850,0.38331,1.61038
35,3600,1.00939,0.33736,1.09792,1.28512,0.37970,1.61064
36,3700,1.01736,0.33410,1.09798,1.33997,0.37639,1.61037
37,3800,1.00410,0.33048,1.09758,1.41515,0.37331,1.60996
38,3900,0.99840,0.32723,1.09803,1.38337,0.36984,1.61039
39,4000,1.00802,0.32401,1.09782,1.37344,0.36646,1.61038
40,4100,1.00321,0.32085,1.09713,1.35596,0.36343,1.61084
41,4200,1.00431,0.31741,1.09753,1.37602,0.36017,1.60955
42,4300,1.01689,0.31428,1.09728,1.32789,0.35702,1.61024
43,4400,1.02653,0.31096,1.09759,1.35485,0.35383,1.60969
44,4500,1.01508,0.30795,1.09681,1.33886,0.35047,1.61002
45,4600,0.98781,0.30481,1.09707,1.37071,0.34737,1.60993
46,4700,1.00668,0.30161,1.09684,1.33776,0.34417,1.60990
47,4800,1.01609,0.29902,1.09635,1.32756,0.34107,1.60957
48,4900,0.99506,0.29577,1.09634,1.36051,0.33807,1.60998
49,5000,1.05267,0.29308,1.09573,1.34442,0.33463,1.60943
50,5100,1.01490,0.29042,1.09566,1.34714,0.33190,1.60974
51,5200,1.03914,0.28704,1.09622,1.34724,0.32864,1.60965
52,5300,0.99254,0.28395,1.09651,1.34219,0.32534,1.60955
53,5400,0.99542,0.28139,1.09580,1.35444,0.32240,1.60954
54,5500,1.02903,0.27842,1.09621,1.33311,0.31939,1.60909
55,5600,0.98544,0.27533,1.09644,1.34159,0.31662,1.60881
56,5700,0.99422,0.27278,1.09592,1.39028,0.31313,1.60881
57,5800,0.99159,0.26973,1.09629,1.35131,0.31036,1.60839
58,5900,0.99321,0.26701,1.09625,1.36854,0.30702,1.60922
59,6000,0.99309,0.26383,1.09651,1.38414,0.30413,1.60879
60,6100,1.01635,0.26131,1.09641,1.35724,0.30076,1.60882
61,6200,1.01409,0.25868,1.09642,1.33547,0.29761,1.60956
62,6300,1.00889,0.25572,1.09642,1.33930,0.29490,1.60865
