iteration,episode,1_iql_loss,2_iql_loss
0,100,1.02722,0.97093
1,200,0.99205,0.80211
2,300,0.96079,0.54221
3,400,1.00228,0.46171
4,500,0.98199,0.45705
5,600,0.98659,0.44129
6,700,0.98811,0.44917
7,800,0.99102,0.44054
8,900,0.99499,0.44442
9,1000,0.99361,0.45506
10,1100,0.98885,0.45230
11,1200,1.00053,0.45520
12,1300,0.98848,0.45107
13,1400,0.99640,0.45080
14,1500,0.96777,0.44799
15,1600,1.00112,0.45724
16,1700,0.98590,0.45014
17,1800,0.98791,0.45796
18,1900,1.00087,0.44330
19,2000,1.02034,0.45394
20,2100,0.99940,0.45109
21,2200,0.99405,0.45628
22,2300,0.97766,0.44935
23,2400,0.97326,0.45892
24,2500,0.96334,0.46235
25,2600,0.99276,0.45938
26,2700,0.97572,0.48069
27,2800,0.99828,0.47242
28,2900,0.98129,0.46095
29,3000,0.96438,0.45650
30,3100,1.00056,0.47033
31,3200,0.96698,0.45811
32,3300,0.96154,0.48029
33,3400,1.00215,0.47813
34,3500,0.98829,0.46660
35,3600,0.97242,0.48630
36,3700,1.02636,0.48361
37,3800,0.99932,0.48610
38,3900,0.98488,0.48806
39,4000,0.99019,0.49232
40,4100,0.98779,0.48347
41,4200,0.97869,0.48697
42,4300,0.99289,0.48340
43,4400,1.00032,0.49909
44,4500,0.98851,0.48233
45,4600,0.96460,0.48706
46,4700,0.95535,0.49839
47,4800,0.98355,0.50337
48,4900,0.96129,0.48956
49,5000,1.01446,0.49324
50,5100,0.99193,0.50250
51,5200,1.02414,0.48377
52,5300,0.96631,0.49444
53,5400,0.98705,0.49389
54,5500,1.01363,0.49903
55,5600,0.98344,0.49588
56,5700,0.99100,0.49219
57,5800,0.97981,0.51785
58,5900,1.00934,0.49117
59,6000,0.95356,0.49836
60,6100,0.99737,0.50812
61,6200,1.00262,0.52144
62,6300,0.99243,0.48808
63,6400,1.00843,0.50212
64,6500,0.98886,0.52132
65,6600,1.00765,0.49244
66,6700,0.97160,0.51654
67,6800,1.00048,0.53202
68,6900,0.99123,0.50012
69,7000,1.00503,0.51746
70,7100,1.01223,0.51945
71,7200,1.00236,0.51987
72,7300,0.99695,0.52225
73,7400,0.95361,0.52792
74,7500,0.96862,0.51461
75,7600,1.00011,0.50438
76,7700,0.97504,0.51596
77,7800,1.00327,0.51970
78,7900,1.01700,0.53155
79,8000,0.97823,0.50108
80,8100,0.95491,0.49329
81,8200,0.97737,0.52220
82,8300,0.99959,0.49942
83,8400,0.98207,0.52347
84,8500,0.95712,0.53110
85,8600,0.99576,0.53032
86,8700,1.00652,0.51754
87,8800,0.99844,0.51562
88,8900,1.00345,0.50251
89,9000,0.99272,0.51473
90,9100,0.96905,0.51645
91,9200,0.99959,0.51728
92,9300,1.00102,0.54089
93,9400,0.96307,0.52371
94,9500,0.99520,0.54167
95,9600,0.99899,0.54388
96,9700,0.97706,0.52500
97,9800,0.95879,0.53039
98,9900,0.98861,0.53648
99,10000,0.97793,0.52456
100,10100,0.98023,0.52708
101,10200,0.97850,0.52021
102,10300,0.95648,0.50390
103,10400,0.98809,0.50925
104,10500,0.98648,0.51316
105,10600,0.98609,0.53008
106,10700,0.97245,0.53085
107,10800,0.98463,0.52377
108,10900,0.98602,0.51366
109,11000,0.99964,0.52039
110,11100,1.00930,0.53864
111,11200,0.97559,0.52341
112,11300,0.99992,0.51940
113,11400,1.00631,0.52379
114,11500,1.00232,0.52090
