iteration,episode,1_iql_loss,2_iql_loss
0,100,1.02578,1.01295
1,200,0.98731,0.88196
2,300,0.96116,0.80202
3,400,1.00328,0.79040
4,500,0.98933,0.78416
5,600,0.98646,0.78132
6,700,0.98110,0.79681
7,800,0.98540,0.80385
8,900,1.00683,0.78346
9,1000,0.98719,0.82312
10,1100,0.98842,0.83716
11,1200,0.99319,0.83109
12,1300,0.98856,0.83164
13,1400,1.00729,0.83781
14,1500,0.97742,0.83618
15,1600,0.99538,0.88430
16,1700,0.99255,0.87451
17,1800,0.97052,0.89197
18,1900,0.99647,0.85972
19,2000,1.00605,0.91275
20,2100,0.99015,0.95001
21,2200,0.99130,0.93612
22,2300,0.97668,0.95123
23,2400,0.97833,1.01114
24,2500,0.97296,0.98624
25,2600,0.98410,0.97858
26,2700,0.97829,1.02527
27,2800,0.99717,1.00788
28,2900,0.97141,1.04587
29,3000,0.96785,1.04625
30,3100,0.99203,1.06031
31,3200,0.98288,1.06997
32,3300,0.99485,1.08389
33,3400,0.98081,1.14326
34,3500,1.00367,1.11643
35,3600,1.00784,1.07637
36,3700,1.02137,1.13686
37,3800,1.01311,1.14985
38,3900,0.99670,1.15381
39,4000,0.99344,1.14184
40,4100,1.00373,1.14547
41,4200,0.99125,1.17845
42,4300,0.98453,1.14385
43,4400,0.99417,1.22508
44,4500,1.01214,1.16891
45,4600,0.99335,1.24622
46,4700,0.98153,1.22183
47,4800,1.00255,1.24183
48,4900,0.96821,1.24221
49,5000,1.00749,1.27473
50,5100,0.98636,1.26666
51,5200,1.00391,1.25220
52,5300,0.99235,1.28026
53,5400,0.98857,1.23359
54,5500,1.00427,1.31207
55,5600,0.99071,1.32335
56,5700,0.99417,1.37562
57,5800,0.97819,1.29568
58,5900,1.00294,1.25954
59,6000,0.96250,1.31162
60,6100,1.00797,1.29038
61,6200,1.00493,1.34276
62,6300,0.99235,1.32084
63,6400,1.00387,1.34587
64,6500,1.00424,1.36771
65,6600,1.03327,1.31850
66,6700,0.98137,1.33987
67,6800,0.99800,1.34172
68,6900,1.01732,1.35048
69,7000,0.99041,1.36532
70,7100,1.00295,1.34238
71,7200,0.98080,1.34890
72,7300,0.97647,1.36245
73,7400,0.95702,1.43008
74,7500,0.96043,1.35769
75,7600,0.99231,1.37479
76,7700,0.99764,1.44181
77,7800,1.03528,1.35842
78,7900,1.04873,1.45314
79,8000,1.00063,1.37285
80,8100,0.96833,1.41114
81,8200,1.01095,1.45231
82,8300,0.99659,1.40365
83,8400,1.00296,1.39448
84,8500,0.99560,1.47475
85,8600,0.98600,1.42197
86,8700,1.01581,1.50805
87,8800,1.02649,1.45944
88,8900,1.02729,1.39089
89,9000,1.00619,1.46326
90,9100,1.00288,1.49766
91,9200,0.99594,1.46907
92,9300,0.97515,1.41434
93,9400,1.00291,1.45735
94,9500,1.00427,1.44780
95,9600,0.99218,1.40201
96,9700,1.00681,1.42028
97,9800,0.98766,1.42363
98,9900,0.98232,1.49477
99,10000,0.99717,1.44346
100,10100,0.98032,1.41346
101,10200,1.03637,1.43770
102,10300,0.99655,1.44595
103,10400,0.97466,1.50111
104,10500,1.02587,1.49999
105,10600,0.99369,1.48448
106,10700,0.99669,1.50352
107,10800,0.98566,1.45183
108,10900,1.00128,1.55541
109,11000,1.02097,1.51565
