number,rewards,variances,exploration_value
0,[-13.09786 -13.09786],[25.83782 25.83782],0.9988953697090716
100,[-11.30873 -11.30873],[4.34142 4.34142],0.9797606658876263
200,[-13.63789 -13.63789],[91.41497 91.41497],0.9609925038496699
300,[-2.53509 -2.53509],[4.77966 4.77966],0.9425838621706605
400,[-2.85597 -2.85597],[6.15659 6.15659],0.9245278539275122
500,[-7.53037 -7.53037],[6.43986 6.43986],0.9068177241220878
600,[-8.11493 -8.11493],[39.43049 39.43049],0.889446847154093
700,[-4.42727 -4.42727],[9.74118 9.74118],0.8724087243423219
800,[-10.10359 -10.10359],[71.99430 71.99430],0.8556969814934174
900,[-6.08274 -6.08274],[17.49368 17.49368],0.8393053665172148
1000,[-11.91031 -11.91031],[14.57665 14.57665],0.8232277470877281
1100,[-7.13145 -7.13145],[49.19080 49.19080],0.8074581083489812
1200,[-6.90936 -6.90936],[53.54831 53.54831],0.7919905506647517
1300,[-5.19052 -5.19052],[10.84537 10.84537],0.7768192874114557
1400,[-3.89794 -3.89794],[6.91339 6.91339],0.7619386428132808
1500,[-12.95916 -12.95916],[138.70327 138.70327],0.7473430498187978
1600,[-3.48305 -3.48305],[12.15309 12.15309],0.7330270480182665
1700,[-12.53021 -12.53021],[28.65722 28.65722],0.7189852816008054
1800,[-9.87007 -9.87007],[89.50107 89.50107],0.705212497350724
1900,[-1.35353 -1.35353],[1.79287 1.79287],0.6917035426822101
2000,[-0.51084 -0.51084],[0.18350 0.18350],0.6784533637116886
2100,[-3.12632 -3.12632],[20.97228 20.97228],0.6654570033670938
2200,[-1.73698 -1.73698],[2.94512 2.94512],0.6527095995333525
2300,[-4.23907 -4.23907],[27.25241 27.25241],0.6402063832334086
2400,[-4.90369 -4.90369],[34.05817 34.05817],0.6279426768440843
2500,[-2.95133 -2.95133],[10.39950 10.39950],0.6159138923461105
2600,[-2.20505 -2.20505],[4.89541 4.89541],0.6041155296076918
2700,[-6.90845 -6.90845],[39.86934 39.86934],0.5925431747009424
2800,[-8.37253 -8.37253],[97.23017 97.23017],0.5811924982505915
2900,[-5.31537 -5.31537],[55.57076 55.57076],0.5700592538142826
3000,[-9.09166 -9.09166],[78.03886 78.03886],0.5591392762939287
3100,[-0.90593 -0.90593],[1.20593 1.20593],0.5484284803774964
3200,[-0.81428 -0.81428],[0.29433 0.29433],0.5379228590106419
3300,[-3.11891 -3.11891],[9.10632 9.10632],0.5276184818975981
3400,[-1.38584 -1.38584],[0.70033 0.70033],0.5175114940308205
3500,[-3.20282 -3.20282],[5.47092 5.47092],0.5075981142487541
3600,[-1.53698 -1.53698],[1.44683 1.44683],0.4978746338212661
3700,[-3.20182 -3.20182],[2.40872 2.40872],0.48833741506215295
3800,[-2.78379 -2.78379],[8.09791 8.09791],0.47898288996823385
3900,[-4.57639 -4.57639],[36.78002 36.78002],0.46980755888450715
4000,[-2.76928 -2.76928],[13.93769 13.93769],0.4608079891948918
4100,[-4.33944 -4.33944],[11.86254 11.86254],0.45198081403803075
4200,[-1.34583 -1.34583],[2.29790 2.29790],0.4433227310477052
4300,[-1.52429 -1.52429],[1.52532 1.52532],0.43483050111737453
4400,[-0.74126 -0.74126],[0.18276 0.18276],0.42650094718838294
4500,[-11.20427 -11.20427],[128.45213 128.45213],0.4183309530613763
4600,[-2.26727 -2.26727],[4.51924 4.51924],0.41031746223049576
4700,[-5.26588 -5.26588],[9.74099 9.74099],0.4024574767398885
4800,[-2.03615 -2.03615],[3.59697 3.59697],0.39474805606213775
4900,[-1.59930 -1.59930],[4.05468 4.05468],0.3871863159981707
5000,[-1.68565 -1.68565],[1.76812 1.76812],0.37976942759823823
5100,[-3.98560 -3.98560],[6.23824 6.23824],0.37249461610356654
5200,[-2.85180 -2.85180],[6.71761 6.71761],0.36535915990828843
5300,[-4.03970 -4.03970],[20.59456 20.59456],0.3583603895412437
5400,[-4.27080 -4.27080],[4.46006 4.46006],0.35149568666730197
5500,[-1.30363 -1.30363],[1.23885 1.23885],0.34476248310780105
5600,[-3.84097 -3.84097],[3.29472 3.29472],0.33815825987976045
5700,[-0.67049 -0.67049],[0.38166 0.38166],0.33168054625349885
5800,[-1.29731 -1.29731],[1.44990 1.44990],0.32532691882829134
5900,[-2.18462 -2.18462],[4.65060 4.65060],0.3190950006257518
6000,[-1.92878 -1.92878],[0.84279 0.84279],0.312982460200566
6100,[-1.51504 -1.51504],[0.68744 0.68744],0.3069870107682693
6200,[-3.54119 -3.54119],[6.31259 6.31259],0.30110640934973165
6300,[-3.91672 -3.91672],[18.20266 18.20266],0.29533845593202374
6400,[-1.56248 -1.56248],[2.46261 2.46261],0.2896809926453638
6500,[-3.86959 -3.86959],[11.33882 11.33882],0.2841319029558341
6600,[-2.00644 -2.00644],[3.36193 3.36193],0.27868911087355025
6700,[-6.67867 -6.67867],[12.01169 12.01169],0.27335058017600533
6800,[-3.24852 -3.24852],[9.15256 9.15256],0.26811431364629784
6900,[-2.25408 -2.25408],[2.47278 2.47278],0.26297835232593786
7000,[-2.84256 -2.84256],[13.42051 13.42051],0.25794077478198096
7100,[-2.37827 -2.37827],[5.07659 5.07659],0.2529996963881896
7200,[-3.26434 -3.26434],[7.10786 7.10786],0.24815326861997006
7300,[-2.28227 -2.28227],[4.09093 4.09093],0.2433996783628142
7400,[-2.17663 -2.17663],[2.26136 2.26136],0.23873714723398948
7500,[-3.15989 -3.15989],[23.41432 23.41432],0.23416393091721965
