iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
0,100,5.50619,0.37520,4.42465,0.33494
1,200,2.31143,0.25260,1.88900,0.24681
2,300,2.31679,0.23640,1.73828,0.23181
3,400,2.28755,0.22945,1.68320,0.22643
4,500,2.30985,0.21883,1.63989,0.21649
5,600,2.30874,0.21305,1.62927,0.20915
6,700,2.32802,0.20548,1.61663,0.20127
7,800,2.33001,0.20123,1.69152,0.19887
8,900,2.31827,0.19673,1.73920,0.19732
9,1000,2.39779,0.19741,1.77981,0.19547
10,1100,2.38160,0.19574,1.83987,0.19456
11,1200,2.32786,0.19232,1.86328,0.19224
12,1300,2.33736,0.19141,1.87567,0.18935
13,1400,2.26244,0.19044,1.93301,0.19083
14,1500,2.27017,0.18713,1.90553,0.18494
15,1600,2.32885,0.18552,2.03171,0.18582
16,1700,2.31657,0.18876,2.04634,0.18746
17,1800,2.30089,0.18404,2.07483,0.18502
18,1900,2.23037,0.18350,2.09150,0.18156
19,2000,2.27418,0.17932,2.15735,0.18124
20,2100,2.27335,0.18080,2.28211,0.17949
21,2200,2.28456,0.18017,2.26735,0.17917
22,2300,2.29146,0.17737,2.29484,0.17831
23,2400,2.32441,0.17961,2.42197,0.17688
24,2500,2.29452,0.17608,2.43365,0.17808
25,2600,2.27321,0.17752,2.47286,0.18032
26,2700,2.26441,0.17465,2.50675,0.17459
27,2800,2.27386,0.17683,2.63414,0.17598
28,2900,2.31943,0.17464,2.57962,0.17315
29,3000,2.28716,0.17476,2.57804,0.17490
30,3100,2.19668,0.17340,2.57552,0.17356
31,3200,2.30421,0.17347,2.76385,0.17520
32,3300,2.28085,0.17344,2.78818,0.17336
33,3400,2.31886,0.17331,2.83200,0.17237
34,3500,2.29318,0.17439,2.78353,0.17212
35,3600,2.31923,0.17206,2.90301,0.17279
36,3700,2.25456,0.17060,2.91109,0.17190
37,3800,2.20831,0.16979,2.91910,0.16974
38,3900,2.27028,0.17147,3.02105,0.16970
39,4000,2.18342,0.16865,2.92353,0.16976
40,4100,2.17376,0.16729,3.09269,0.16818
41,4200,2.18620,0.16732,3.05952,0.16975
42,4300,2.23588,0.16811,3.09329,0.16726
43,4400,2.22959,0.16781,3.03478,0.16536
44,4500,2.23724,0.16761,3.10871,0.16730
45,4600,2.22656,0.16610,3.14559,0.16604
46,4700,2.22676,0.16646,3.15558,0.16499
47,4800,2.22042,0.16381,3.11473,0.16298
48,4900,2.20043,0.16210,3.08999,0.16407
49,5000,2.18807,0.16437,3.22612,0.16333
50,5100,2.14117,0.16254,3.26046,0.16346
51,5200,2.18150,0.16163,3.20774,0.16273
52,5300,2.20275,0.16152,3.36930,0.15971
53,5400,2.13671,0.16026,3.37874,0.16017
54,5500,2.18845,0.16162,3.31380,0.15850
55,5600,2.14454,0.15828,3.34557,0.16050
56,5700,2.09895,0.15621,3.38939,0.15714
57,5800,2.05654,0.15794,3.30379,0.15553
58,5900,2.14473,0.15667,3.32449,0.15479
59,6000,2.09990,0.15457,3.43967,0.15682
60,6100,2.11522,0.15403,3.58722,0.15479
61,6200,2.06886,0.15500,3.52023,0.15713
62,6300,2.01704,0.15189,3.40768,0.15184
63,6400,2.08386,0.15088,3.36789,0.15172
64,6500,2.04860,0.15028,3.45814,0.15082
65,6600,2.00744,0.14802,3.46554,0.15041
66,6700,2.06100,0.14939,3.60495,0.15076
67,6800,2.03450,0.14866,3.57626,0.14905
68,6900,1.98791,0.14807,3.69965,0.14863
69,7000,2.02934,0.14728,3.80591,0.14845
70,7100,2.01540,0.14673,3.47687,0.14765
71,7200,2.01241,0.14792,3.63182,0.14832
72,7300,2.02263,0.14674,3.64476,0.14580
73,7400,1.98219,0.14456,3.65301,0.14456
74,7500,2.03379,0.14418,3.72837,0.14574
75,7600,2.06585,0.14572,3.55193,0.14614
76,7700,1.95702,0.14521,3.56592,0.14542
77,7800,2.02395,0.14254,3.53688,0.14271
78,7900,1.95791,0.14446,3.56210,0.14382
79,8000,1.96138,0.14407,3.81285,0.14304
80,8100,2.05534,0.14274,3.83907,0.14301
81,8200,2.00914,0.14285,3.66851,0.14470
82,8300,1.99864,0.14276,3.77781,0.14255
83,8400,2.01524,0.13945,3.78665,0.14118
84,8500,2.02369,0.14079,3.56234,0.14057
85,8600,2.03994,0.14080,3.78860,0.14116
86,8700,1.99556,0.14023,3.72646,0.13963
87,8800,2.01625,0.14042,3.60643,0.13950
88,8900,1.93389,0.13913,3.84627,0.13992
89,9000,2.02025,0.13983,3.81395,0.13981
90,9100,1.95159,0.13876,4.03429,0.13772
91,9200,1.94263,0.13691,3.82897,0.13992
92,9300,1.94283,0.13682,3.71444,0.13739
93,9400,1.94004,0.13825,3.73459,0.13619
94,9500,1.93252,0.13637,3.62083,0.13797
95,9600,1.98385,0.13679,3.71264,0.13687
96,9700,2.01425,0.13717,3.98256,0.13644
97,9800,1.95629,0.13633,3.87545,0.13431
98,9900,1.87086,0.13563,3.81618,0.13397
99,10000,1.98730,0.13393,3.75922,0.13532
100,10100,1.90398,0.13454,3.83299,0.13461
101,10200,1.92999,0.13437,3.84486,0.13524
102,10300,1.84121,0.13329,3.88843,0.13241
103,10400,1.88283,0.13238,3.81196,0.13357
104,10500,1.89121,0.13238,3.77215,0.13355
105,10600,1.90601,0.13334,3.86878,0.13126
106,10700,1.90867,0.13253,3.73870,0.13226
107,10800,1.92586,0.13210,3.81806,0.13090
108,10900,1.89848,0.13172,3.66221,0.13161
109,11000,1.87086,0.13076,3.87513,0.13187
110,11100,1.90100,0.12991,3.71730,0.13254
111,11200,1.92459,0.13110,3.62217,0.12980
112,11300,1.86451,0.12895,3.86874,0.12975
113,11400,1.92985,0.13016,3.77592,0.13063
114,11500,1.89259,0.12878,3.75381,0.12953
115,11600,1.88686,0.12953,3.69513,0.12804
116,11700,1.88227,0.12975,3.82144,0.12880
117,11800,1.81795,0.12676,3.92373,0.13072
118,11900,1.84867,0.12672,3.87534,0.12675
119,12000,1.83495,0.12636,3.74054,0.12798
120,12100,1.89904,0.12734,3.82314,0.12655
121,12200,1.86795,0.12629,3.76888,0.12686
122,12300,1.80465,0.12654,3.69252,0.12539
123,12400,1.85613,0.12651,3.73408,0.12637
124,12500,1.89183,0.12594,3.66972,0.12588
125,12600,1.82538,0.12598,3.74683,0.12589
126,12700,1.87567,0.12468,3.72493,0.12467
127,12800,1.83843,0.12529,3.70511,0.12664
128,12900,1.84562,0.12429,3.79696,0.12518
129,13000,1.82773,0.12566,3.81986,0.12421
130,13100,1.85537,0.12473,3.81527,0.12341
131,13200,1.84232,0.12455,3.84204,0.12489
132,13300,1.88076,0.12499,3.82969,0.12342
133,13400,1.78723,0.12265,3.97458,0.12189
134,13500,1.82094,0.12202,3.64543,0.12098
135,13600,1.80075,0.12240,3.62810,0.12213
