iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss
0,100,17.81319,0.88686,18.71005,0.88683
1,200,5.80718,0.88406,7.09917,0.88491
2,300,1.10039,0.87843,2.02357,0.87756
3,400,0.99109,0.87130,1.20136,0.87016
4,500,1.02506,0.85886,1.07374,0.85984
5,600,1.02407,0.85203,1.07798,0.85151
6,700,1.03535,0.84346,1.09815,0.84398
7,800,1.00240,0.83609,1.11899,0.83608
8,900,1.00414,0.82843,1.18004,0.82759
9,1000,1.03397,0.82108,1.15050,0.82110
10,1100,1.02399,0.81452,1.17941,0.81350
11,1200,1.03126,0.80717,1.18975,0.80736
12,1300,1.02364,0.79918,1.26933,0.80031
13,1400,0.98524,0.79241,1.25061,0.79298
14,1500,1.01223,0.78569,1.28337,0.78590
15,1600,1.04369,0.77805,1.32586,0.78020
16,1700,1.00195,0.77111,1.33983,0.77053
17,1800,1.00635,0.76425,1.33915,0.76384
18,1900,0.98078,0.75660,1.34123,0.75710
19,2000,1.01237,0.74893,1.37416,0.74935
20,2100,1.02466,0.74212,1.37720,0.74291
21,2200,1.00869,0.73582,1.40240,0.73417
22,2300,1.01853,0.72727,1.39103,0.72927
23,2400,1.00283,0.72020,1.40645,0.72046
24,2500,1.02424,0.71344,1.38981,0.71345
25,2600,1.01541,0.70574,1.41639,0.70583
26,2700,1.02030,0.70067,1.50846,0.69939
27,2800,0.99125,0.69410,1.46280,0.69169
28,2900,1.00319,0.68664,1.45500,0.68663
29,3000,0.99581,0.67970,1.43330,0.68060
30,3100,0.99124,0.67259,1.42496,0.67257
31,3200,1.02763,0.66632,1.51038,0.66708
32,3300,1.00308,0.66031,1.46610,0.65927
33,3400,1.01126,0.65398,1.44324,0.65316
34,3500,1.00877,0.64693,1.46424,0.64641
35,3600,1.01737,0.64166,1.52673,0.64009
36,3700,1.04200,0.63405,1.48208,0.63460
37,3800,0.98711,0.62873,1.45025,0.62848
38,3900,1.00980,0.62197,1.50235,0.62261
39,4000,1.03061,0.61593,1.53239,0.61698
40,4100,1.02298,0.60881,1.52087,0.60979
41,4200,1.02163,0.60411,1.50222,0.60341
42,4300,1.03309,0.59702,1.49589,0.59692
43,4400,1.03798,0.59085,1.51568,0.59116
44,4500,1.02475,0.58396,1.53322,0.58544
45,4600,1.03494,0.57826,1.47743,0.57816
46,4700,1.01216,0.57218,1.52612,0.57169
47,4800,1.01319,0.56647,1.48150,0.56613
48,4900,1.01555,0.55969,1.49310,0.56020
49,5000,1.01638,0.55283,1.55077,0.55384
50,5100,1.01248,0.54763,1.51775,0.54735
51,5200,0.99870,0.54055,1.48524,0.54136
52,5300,0.99867,0.53544,1.53922,0.53560
53,5400,0.99869,0.52913,1.52472,0.52877
54,5500,1.01261,0.52355,1.53068,0.52315
55,5600,1.02379,0.51777,1.54198,0.51703
56,5700,1.02386,0.51129,1.52398,0.51148
57,5800,0.99473,0.50543,1.50948,0.50584
58,5900,1.02004,0.49988,1.54854,0.49902
59,6000,1.01148,0.49357,1.49029,0.49402
60,6100,1.01804,0.48849,1.52343,0.48801
61,6200,1.01617,0.48152,1.51136,0.48099
62,6300,1.02173,0.47653,1.49755,0.47509
63,6400,1.01211,0.47049,1.49123,0.47024
64,6500,1.01549,0.46426,1.51381,0.46402
65,6600,0.99016,0.45834,1.51981,0.45878
66,6700,1.03934,0.45354,1.49995,0.45333
67,6800,0.99812,0.44736,1.45634,0.44788
68,6900,1.00294,0.44282,1.50935,0.44114
69,7000,0.99351,0.43636,1.46898,0.43643
70,7100,1.00672,0.43084,1.50374,0.42970
71,7200,0.98933,0.42450,1.48996,0.42530
72,7300,0.99726,0.41950,1.38864,0.41961
73,7400,1.02959,0.41405,1.42321,0.41405
74,7500,1.01842,0.40826,1.49990,0.40830
75,7600,1.03103,0.40335,1.46003,0.40352
76,7700,1.00567,0.39729,1.45189,0.39664
77,7800,1.01175,0.39160,1.38584,0.39117
78,7900,0.98185,0.38663,1.41696,0.38623
79,8000,0.98474,0.38118,1.47848,0.38063
80,8100,1.01410,0.37567,1.48100,0.37546
81,8200,1.03000,0.37029,1.49135,0.36995
82,8300,1.02537,0.36494,1.42607,0.36512
83,8400,1.06823,0.35960,1.41914,0.35955
84,8500,1.03421,0.35400,1.44483,0.35427
85,8600,1.02125,0.34883,1.46936,0.34905
86,8700,1.03304,0.34386,1.45831,0.34338
87,8800,1.01816,0.33847,1.41566,0.33843
88,8900,1.00795,0.33431,1.46364,0.33301
89,9000,1.02777,0.32966,1.47192,0.32893
90,9100,1.03534,0.32363,1.43878,0.32344
91,9200,1.04831,0.31845,1.42643,0.31749
92,9300,0.96885,0.31303,1.45533,0.31290
93,9400,0.99169,0.30818,1.43793,0.30817
94,9500,1.04108,0.30339,1.43893,0.30330
95,9600,1.00842,0.29818,1.40113,0.29920
96,9700,1.03895,0.29360,1.45722,0.29342
