iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
0,100,6.05889,0.39374,4.67613,0.35626,4.03099,0.33179
1,200,2.02730,0.28462,1.98050,0.27803,1.82941,0.27124
2,300,1.90365,0.27451,1.90620,0.27157,1.82853,0.26649
3,400,1.87917,0.27378,1.84246,0.26946,1.73469,0.26673
4,500,1.82818,0.27179,1.84226,0.26988,1.74548,0.26601
5,600,1.81787,0.27011,1.80154,0.26824,1.78668,0.26825
6,700,1.88620,0.27016,1.91626,0.26964,1.79234,0.26508
7,800,1.86725,0.26996,1.85329,0.26826,1.78738,0.26468
8,900,1.84657,0.26908,1.87945,0.27087,1.79583,0.26525
9,1000,1.82172,0.26754,1.84721,0.26961,1.84279,0.26737
10,1100,1.79956,0.26985,1.76443,0.26726,1.76263,0.26650
11,1200,1.80429,0.27034,1.70742,0.26744,1.76269,0.26596
12,1300,1.81532,0.26807,1.76716,0.26797,1.80839,0.26814
13,1400,1.85796,0.26962,1.79647,0.26573,1.81591,0.26730
14,1500,1.92586,0.27008,1.85956,0.26784,1.83139,0.26893
15,1600,1.90629,0.26778,1.89075,0.26740,1.89090,0.26697
16,1700,1.95040,0.26757,1.89085,0.26721,1.87347,0.26616
17,1800,1.93379,0.26664,1.91677,0.26921,1.91454,0.26690
18,1900,1.96090,0.26712,1.93629,0.26681,1.91556,0.26656
19,2000,1.98918,0.26913,1.94557,0.26752,1.96192,0.26600
20,2100,1.98842,0.26776,2.01418,0.27048,1.93847,0.26745
21,2200,1.98125,0.26747,1.96764,0.26808,1.93298,0.26751
22,2300,1.98037,0.26808,1.95847,0.26847,1.93181,0.26602
23,2400,2.00629,0.26828,1.97399,0.26430,2.01118,0.26786
24,2500,2.00456,0.26737,2.00619,0.26751,1.99889,0.26566
25,2600,2.06579,0.26552,2.05934,0.26654,2.04023,0.26919
26,2700,2.08900,0.26561,2.08383,0.26711,2.05293,0.26728
27,2800,2.07273,0.26565,2.06002,0.26734,1.99213,0.26476
28,2900,2.08192,0.26649,2.03246,0.26636,2.06527,0.26690
29,3000,2.06296,0.26767,2.07419,0.26857,2.04441,0.26627
30,3100,2.08535,0.26693,2.10885,0.26813,2.08341,0.26754
31,3200,2.02584,0.26698,2.04063,0.26710,2.04229,0.26629
