number,rewards,variances,exploration_value
0,[-21.60642 -21.60642 -21.60642],[3.85446 3.85446 3.85446],0.9988953697090716
100,[-20.29575 -20.29575 -20.29575],[14.40106 14.40106 14.40106],0.9797606658876263
200,[-12.19669 -12.19669 -12.19669],[9.54820 9.54820 9.54820],0.9609925038496699
300,[-9.55600 -9.55600 -9.55600],[2.36042 2.36042 2.36042],0.9425838621706605
400,[-12.08652 -12.08652 -12.08652],[1.54792 1.54792 1.54792],0.9245278539275122
500,[-9.71740 -9.71740 -9.71740],[2.43474 2.43474 2.43474],0.9068177241220878
600,[-16.12189 -16.12189 -16.12189],[23.94394 23.94394 23.94394],0.889446847154093
700,[-9.95993 -9.95993 -9.95993],[3.31040 3.31040 3.31040],0.8724087243423219
800,[-12.32438 -12.32438 -12.32438],[14.76902 14.76902 14.76902],0.8556969814934174
900,[-12.15686 -12.15686 -12.15686],[6.39280 6.39280 6.39280],0.8393053665172148
1000,[-15.52072 -15.52072 -15.52072],[20.93306 20.93306 20.93306],0.8232277470877281
1100,[-12.87459 -12.87459 -12.87459],[3.25675 3.25675 3.25675],0.8074581083489812
1200,[-9.79584 -9.79584 -9.79584],[2.61872 2.61872 2.61872],0.7919905506647517
1300,[-10.49609 -10.49609 -10.49609],[9.33968 9.33968 9.33968],0.7768192874114557
1400,[-9.80160 -9.80160 -9.80160],[1.11041 1.11041 1.11041],0.7619386428132808
1500,[-9.38395 -9.38395 -9.38395],[0.92049 0.92049 0.92049],0.7473430498187978
1600,[-9.61123 -9.61123 -9.61123],[2.28453 2.28453 2.28453],0.7330270480182665
1700,[-9.66328 -9.66328 -9.66328],[0.68721 0.68721 0.68721],0.7189852816008054
1800,[-9.53644 -9.53644 -9.53644],[0.26524 0.26524 0.26524],0.705212497350724
1900,[-8.32591 -8.32591 -8.32591],[0.18355 0.18355 0.18355],0.6917035426822101
2000,[-9.76583 -9.76583 -9.76583],[3.71629 3.71629 3.71629],0.6784533637116886
2100,[-8.53183 -8.53183 -8.53183],[0.95048 0.95048 0.95048],0.6654570033670938
2200,[-8.18370 -8.18370 -8.18370],[0.33891 0.33891 0.33891],0.6527095995333525
2300,[-8.78248 -8.78248 -8.78248],[0.10932 0.10932 0.10932],0.6402063832334086
2400,[-7.88031 -7.88031 -7.88031],[0.53479 0.53479 0.53479],0.6279426768440843
2500,[-8.92714 -8.92714 -8.92714],[2.66206 2.66206 2.66206],0.6159138923461105
2600,[-7.83501 -7.83501 -7.83501],[1.29278 1.29278 1.29278],0.6041155296076918
2700,[-8.56114 -8.56114 -8.56114],[0.49440 0.49440 0.49440],0.5925431747009424
2800,[-7.88023 -7.88023 -7.88023],[0.84671 0.84671 0.84671],0.5811924982505915
2900,[-9.17126 -9.17126 -9.17126],[0.97968 0.97968 0.97968],0.5700592538142826
3000,[-8.12733 -8.12733 -8.12733],[0.59186 0.59186 0.59186],0.5591392762939287
3100,[-8.24106 -8.24106 -8.24106],[1.85433 1.85433 1.85433],0.5484284803774964
3200,[-8.38780 -8.38780 -8.38780],[1.01040 1.01040 1.01040],0.5379228590106419
3300,[-7.92024 -7.92024 -7.92024],[0.65452 0.65452 0.65452],0.5276184818975981
3400,[-8.30058 -8.30058 -8.30058],[0.66353 0.66353 0.66353],0.5175114940308205
3500,[-7.91562 -7.91562 -7.91562],[1.49639 1.49639 1.49639],0.5075981142487541
3600,[-8.34056 -8.34056 -8.34056],[0.80652 0.80652 0.80652],0.4978746338212661
3700,[-8.68499 -8.68499 -8.68499],[0.47138 0.47138 0.47138],0.48833741506215295
3800,[-8.39123 -8.39123 -8.39123],[1.03373 1.03373 1.03373],0.47898288996823385
3900,[-8.03871 -8.03871 -8.03871],[0.54101 0.54101 0.54101],0.46980755888450715
4000,[-8.61886 -8.61886 -8.61886],[0.76048 0.76048 0.76048],0.4608079891948918
4100,[-8.87782 -8.87782 -8.87782],[0.90684 0.90684 0.90684],0.45198081403803075
4200,[-8.22320 -8.22320 -8.22320],[2.32182 2.32182 2.32182],0.4433227310477052
4300,[-9.58847 -9.58847 -9.58847],[0.47843 0.47843 0.47843],0.43483050111737453
4400,[-8.97407 -8.97407 -8.97407],[3.35452 3.35452 3.35452],0.42650094718838294
4500,[-8.40193 -8.40193 -8.40193],[0.51492 0.51492 0.51492],0.4183309530613763
4600,[-7.87610 -7.87610 -7.87610],[1.04699 1.04699 1.04699],0.41031746223049576
4700,[-8.39827 -8.39827 -8.39827],[0.75204 0.75204 0.75204],0.4024574767398885
4800,[-8.09908 -8.09908 -8.09908],[0.19585 0.19585 0.19585],0.39474805606213775
4900,[-8.11982 -8.11982 -8.11982],[1.80687 1.80687 1.80687],0.3871863159981707
5000,[-8.58475 -8.58475 -8.58475],[1.43025 1.43025 1.43025],0.37976942759823823
5100,[-8.19391 -8.19391 -8.19391],[0.38486 0.38486 0.38486],0.37249461610356654
5200,[-8.09558 -8.09558 -8.09558],[0.82744 0.82744 0.82744],0.36535915990828843
5300,[-8.61290 -8.61290 -8.61290],[3.02340 3.02340 3.02340],0.3583603895412437
5400,[-8.85030 -8.85030 -8.85030],[0.51655 0.51655 0.51655],0.35149568666730197
