number,rewards,variances,exploration_value
0,[-22.52413 -22.52413 -22.52413],[4.59392 4.59392 4.59392],0.9988953697090716
100,[-20.57015 -20.57015 -20.57015],[13.45387 13.45387 13.45387],0.9797606658876263
200,[-11.58564 -11.58564 -11.58564],[9.73115 9.73115 9.73115],0.9609925038496699
300,[-10.52870 -10.52870 -10.52870],[9.44738 9.44738 9.44738],0.9425838621706605
400,[-12.13753 -12.13753 -12.13753],[8.30545 8.30545 8.30545],0.9245278539275122
500,[-10.57795 -10.57795 -10.57795],[5.83128 5.83128 5.83128],0.9068177241220878
600,[-13.82530 -13.82530 -13.82530],[10.20821 10.20821 10.20821],0.889446847154093
700,[-9.75282 -9.75282 -9.75282],[1.67383 1.67383 1.67383],0.8724087243423219
800,[-10.23637 -10.23637 -10.23637],[11.14940 11.14940 11.14940],0.8556969814934174
900,[-9.23193 -9.23193 -9.23193],[1.92360 1.92360 1.92360],0.8393053665172148
1000,[-7.60530 -7.60530 -7.60530],[1.25386 1.25386 1.25386],0.8232277470877281
1100,[-8.57864 -8.57864 -8.57864],[2.41590 2.41590 2.41590],0.8074581083489812
1200,[-8.50816 -8.50816 -8.50816],[0.73945 0.73945 0.73945],0.7919905506647517
1300,[-8.38143 -8.38143 -8.38143],[1.18827 1.18827 1.18827],0.7768192874114557
1400,[-9.16809 -9.16809 -9.16809],[1.20548 1.20548 1.20548],0.7619386428132808
1500,[-9.75719 -9.75719 -9.75719],[3.27550 3.27550 3.27550],0.7473430498187978
1600,[-7.70640 -7.70640 -7.70640],[1.04420 1.04420 1.04420],0.7330270480182665
1700,[-8.85617 -8.85617 -8.85617],[0.99690 0.99690 0.99690],0.7189852816008054
1800,[-8.20269 -8.20269 -8.20269],[6.30465 6.30465 6.30465],0.705212497350724
1900,[-8.08703 -8.08703 -8.08703],[5.38648 5.38648 5.38648],0.6917035426822101
2000,[-8.10882 -8.10882 -8.10882],[1.61394 1.61394 1.61394],0.6784533637116886
2100,[-7.82817 -7.82817 -7.82817],[0.94353 0.94353 0.94353],0.6654570033670938
2200,[-7.89900 -7.89900 -7.89900],[1.62496 1.62496 1.62496],0.6527095995333525
2300,[-8.06194 -8.06194 -8.06194],[0.29000 0.29000 0.29000],0.6402063832334086
2400,[-7.27073 -7.27073 -7.27073],[1.19059 1.19059 1.19059],0.6279426768440843
2500,[-8.29714 -8.29714 -8.29714],[1.22343 1.22343 1.22343],0.6159138923461105
2600,[-7.71527 -7.71527 -7.71527],[2.95371 2.95371 2.95371],0.6041155296076918
2700,[-7.19662 -7.19662 -7.19662],[1.40670 1.40670 1.40670],0.5925431747009424
2800,[-6.83402 -6.83402 -6.83402],[0.50621 0.50621 0.50621],0.5811924982505915
2900,[-7.75627 -7.75627 -7.75627],[0.82089 0.82089 0.82089],0.5700592538142826
3000,[-7.11157 -7.11157 -7.11157],[3.43715 3.43715 3.43715],0.5591392762939287
3100,[-7.27702 -7.27702 -7.27702],[2.40446 2.40446 2.40446],0.5484284803774964
3200,[-8.90746 -8.90746 -8.90746],[4.97446 4.97446 4.97446],0.5379228590106419
