iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,4.37073,0.39183,2.72388,4.36569,0.39203,2.72374,4.44650,0.39199,2.72419
1,200,1.73492,0.38321,2.72181,1.71019,0.38318,2.72269,1.73647,0.38360,2.72292
2,300,1.17063,0.37467,2.72236,1.12946,0.37485,2.72194,1.12843,0.37446,2.72216
3,400,0.98947,0.36601,2.72250,0.98709,0.36598,2.72270,0.97758,0.36578,2.72302
4,500,0.91732,0.35765,2.72250,0.94657,0.35716,2.72250,0.93152,0.35787,2.72199
5,600,0.91227,0.34972,2.72177,0.93060,0.35027,2.72236,0.90645,0.34960,2.72063
6,700,0.91277,0.34170,2.72113,0.94651,0.34192,2.71993,0.90603,0.34185,2.72057
7,800,0.90273,0.33412,2.71989,0.92852,0.33370,2.72101,0.94578,0.33404,2.72023
8,900,0.91168,0.32626,2.71901,0.94616,0.32648,2.71875,0.94384,0.32618,2.71886
9,1000,0.94659,0.31897,2.71833,0.94752,0.31866,2.71761,0.96720,0.31943,2.71777
10,1100,0.95465,0.31170,2.71722,0.96296,0.31170,2.71693,0.97036,0.31171,2.71734
11,1200,0.99175,0.30501,2.71623,0.97026,0.30504,2.71584,0.99942,0.30480,2.71662
12,1300,1.00946,0.29783,2.71508,1.00104,0.29825,2.71513,1.01905,0.29809,2.71496
13,1400,0.99338,0.29109,2.71370,1.02347,0.29097,2.71466,1.00815,0.29107,2.71377
14,1500,1.03338,0.28502,2.71255,1.02079,0.28457,2.71415,1.02010,0.28440,2.71370
15,1600,1.02316,0.27789,2.71288,1.00251,0.27775,2.71195,1.06459,0.27759,2.71184
16,1700,1.02786,0.27131,2.71107,1.03559,0.27121,2.71150,1.05173,0.27091,2.71157
17,1800,1.04790,0.26494,2.70930,1.05938,0.26496,2.70990,1.06333,0.26472,2.71080
18,1900,1.05169,0.25878,2.70942,1.06905,0.25915,2.70945,1.07730,0.25854,2.70843
19,2000,1.06211,0.25273,2.70804,1.08048,0.25270,2.70839,1.08606,0.25252,2.70769
