number,rewards,variances,exploration_value
0,[-22.41520 -22.41520 -22.41520],[4.04800 4.04800 4.04800],0.9988953697090716
100,[-9.66871 -9.66871 -9.66871],[4.14138 4.14138 4.14138],0.9797606658876263
200,[-10.13246 -10.13246 -10.13246],[4.33027 4.33027 4.33027],0.9609925038496699
300,[-11.11249 -11.11249 -11.11249],[4.37937 4.37937 4.37937],0.9425838621706605
400,[-9.39259 -9.39259 -9.39259],[1.30188 1.30188 1.30188],0.9245278539275122
500,[-12.23488 -12.23488 -12.23488],[19.50874 19.50874 19.50874],0.9068177241220878
600,[-12.47506 -12.47506 -12.47506],[20.82718 20.82718 20.82718],0.889446847154093
700,[-9.76396 -9.76396 -9.76396],[3.41855 3.41855 3.41855],0.8724087243423219
800,[-9.54968 -9.54968 -9.54968],[0.15254 0.15254 0.15254],0.8556969814934174
900,[-9.92772 -9.92772 -9.92772],[0.04266 0.04266 0.04266],0.8393053665172148
1000,[-8.06748 -8.06748 -8.06748],[2.40171 2.40171 2.40171],0.8232277470877281
1100,[-8.45560 -8.45560 -8.45560],[1.94106 1.94106 1.94106],0.8074581083489812
1200,[-7.66561 -7.66561 -7.66561],[0.86708 0.86708 0.86708],0.7919905506647517
1300,[-7.89108 -7.89108 -7.89108],[0.78567 0.78567 0.78567],0.7768192874114557
1400,[-8.99020 -8.99020 -8.99020],[0.35517 0.35517 0.35517],0.7619386428132808
1500,[-8.53537 -8.53537 -8.53537],[1.85418 1.85418 1.85418],0.7473430498187978
1600,[-8.78984 -8.78984 -8.78984],[3.50088 3.50088 3.50088],0.7330270480182665
1700,[-8.09375 -8.09375 -8.09375],[1.84882 1.84882 1.84882],0.7189852816008054
1800,[-7.03906 -7.03906 -7.03906],[0.35402 0.35402 0.35402],0.705212497350724
1900,[-7.08587 -7.08587 -7.08587],[1.09852 1.09852 1.09852],0.6917035426822101
2000,[-7.58685 -7.58685 -7.58685],[0.83145 0.83145 0.83145],0.6784533637116886
2100,[-7.24908 -7.24908 -7.24908],[1.14043 1.14043 1.14043],0.6654570033670938
2200,[-8.02627 -8.02627 -8.02627],[0.98192 0.98192 0.98192],0.6527095995333525
2300,[-8.16912 -8.16912 -8.16912],[0.63185 0.63185 0.63185],0.6402063832334086
2400,[-7.17242 -7.17242 -7.17242],[0.79505 0.79505 0.79505],0.6279426768440843
2500,[-8.38833 -8.38833 -8.38833],[0.84909 0.84909 0.84909],0.6159138923461105
2600,[-8.01384 -8.01384 -8.01384],[3.76248 3.76248 3.76248],0.6041155296076918
2700,[-7.56654 -7.56654 -7.56654],[1.53589 1.53589 1.53589],0.5925431747009424
2800,[-7.09524 -7.09524 -7.09524],[1.84485 1.84485 1.84485],0.5811924982505915
2900,[-8.24751 -8.24751 -8.24751],[1.74348 1.74348 1.74348],0.5700592538142826
3000,[-7.16458 -7.16458 -7.16458],[2.33011 2.33011 2.33011],0.5591392762939287
3100,[-7.38722 -7.38722 -7.38722],[1.03704 1.03704 1.03704],0.5484284803774964
3200,[-7.53373 -7.53373 -7.53373],[0.22343 0.22343 0.22343],0.5379228590106419
3300,[-7.36907 -7.36907 -7.36907],[2.31286 2.31286 2.31286],0.5276184818975981
3400,[-8.30914 -8.30914 -8.30914],[1.55244 1.55244 1.55244],0.5175114940308205
3500,[-7.33298 -7.33298 -7.33298],[1.70253 1.70253 1.70253],0.5075981142487541
