number,rewards,variances,exploration_value
0,[-22.52413 -22.52413 -22.52413],[4.59392 4.59392 4.59392],0.9988953697090716
100,[-20.57015 -20.57015 -20.57015],[13.45387 13.45387 13.45387],0.9797606658876263
200,[-10.51329 -10.51329 -10.51329],[8.78236 8.78236 8.78236],0.9609925038496699
300,[-12.28426 -12.28426 -12.28426],[14.13100 14.13100 14.13100],0.9425838621706605
400,[-15.47157 -15.47157 -15.47157],[15.34248 15.34248 15.34248],0.9245278539275122
500,[-14.45032 -14.45032 -14.45032],[22.93293 22.93293 22.93293],0.9068177241220878
600,[-14.51486 -14.51486 -14.51486],[3.97174 3.97174 3.97174],0.889446847154093
700,[-13.11505 -13.11505 -13.11505],[3.93365 3.93365 3.93365],0.8724087243423219
800,[-13.50925 -13.50925 -13.50925],[5.64943 5.64943 5.64943],0.8556969814934174
900,[-13.66476 -13.66476 -13.66476],[8.77929 8.77929 8.77929],0.8393053665172148
1000,[-12.01463 -12.01463 -12.01463],[5.70179 5.70179 5.70179],0.8232277470877281
1100,[-9.62969 -9.62969 -9.62969],[3.90562 3.90562 3.90562],0.8074581083489812
1200,[-10.21072 -10.21072 -10.21072],[4.84423 4.84423 4.84423],0.7919905506647517
1300,[-12.97969 -12.97969 -12.97969],[13.26414 13.26414 13.26414],0.7768192874114557
1400,[-10.93477 -10.93477 -10.93477],[3.25497 3.25497 3.25497],0.7619386428132808
1500,[-10.49205 -10.49205 -10.49205],[8.48460 8.48460 8.48460],0.7473430498187978
1600,[-8.43012 -8.43012 -8.43012],[1.08164 1.08164 1.08164],0.7330270480182665
1700,[-8.42212 -8.42212 -8.42212],[4.57275 4.57275 4.57275],0.7189852816008054
1800,[-9.10936 -9.10936 -9.10936],[0.78133 0.78133 0.78133],0.705212497350724
1900,[-8.37677 -8.37677 -8.37677],[0.25763 0.25763 0.25763],0.6917035426822101
2000,[-8.44777 -8.44777 -8.44777],[1.26122 1.26122 1.26122],0.6784533637116886
2100,[-8.27304 -8.27304 -8.27304],[1.74446 1.74446 1.74446],0.6654570033670938
2200,[-7.68197 -7.68197 -7.68197],[2.13536 2.13536 2.13536],0.6527095995333525
2300,[-8.81499 -8.81499 -8.81499],[0.45606 0.45606 0.45606],0.6402063832334086
2400,[-8.02422 -8.02422 -8.02422],[0.47640 0.47640 0.47640],0.6279426768440843
2500,[-7.99075 -7.99075 -7.99075],[0.80178 0.80178 0.80178],0.6159138923461105
2600,[-7.77864 -7.77864 -7.77864],[3.38751 3.38751 3.38751],0.6041155296076918
2700,[-7.90484 -7.90484 -7.90484],[0.26956 0.26956 0.26956],0.5925431747009424
2800,[-7.05849 -7.05849 -7.05849],[0.95120 0.95120 0.95120],0.5811924982505915
2900,[-8.13390 -8.13390 -8.13390],[1.62815 1.62815 1.62815],0.5700592538142826
3000,[-8.16272 -8.16272 -8.16272],[3.70384 3.70384 3.70384],0.5591392762939287
3100,[-7.68342 -7.68342 -7.68342],[2.01986 2.01986 2.01986],0.5484284803774964
3200,[-7.76800 -7.76800 -7.76800],[1.00500 1.00500 1.00500],0.5379228590106419
