number,rewards,variances,exploration_value
0,[-13.98551 -13.98551 -13.98551],[15.28829 15.28829 15.28829],0.9988953697090716
100,[-11.80869 -11.80869 -11.80869],[5.82110 5.82110 5.82110],0.9797606658876263
200,[-8.18045 -8.18045 -8.18045],[2.94127 2.94127 2.94127],0.9609925038496699
300,[-9.11181 -9.11181 -9.11181],[7.45310 7.45310 7.45310],0.9425838621706605
400,[-10.44642 -10.44642 -10.44642],[10.09109 10.09109 10.09109],0.9245278539275122
500,[-13.07361 -13.07361 -13.07361],[0.75600 0.75600 0.75600],0.9068177241220878
600,[-12.65679 -12.65679 -12.65679],[16.51030 16.51030 16.51030],0.889446847154093
700,[-13.60662 -13.60662 -13.60662],[1.23086 1.23086 1.23086],0.8724087243423219
800,[-12.74413 -12.74413 -12.74413],[5.94452 5.94452 5.94452],0.8556969814934174
900,[-10.54115 -10.54115 -10.54115],[5.51767 5.51767 5.51767],0.8393053665172148
1000,[-8.90055 -8.90055 -8.90055],[2.78146 2.78146 2.78146],0.8232277470877281
1100,[-9.66682 -9.66682 -9.66682],[0.77305 0.77305 0.77305],0.8074581083489812
1200,[-9.40537 -9.40537 -9.40537],[0.80464 0.80464 0.80464],0.7919905506647517
1300,[-10.12411 -10.12411 -10.12411],[1.41597 1.41597 1.41597],0.7768192874114557
1400,[-9.32336 -9.32336 -9.32336],[0.96755 0.96755 0.96755],0.7619386428132808
1500,[-7.26256 -7.26256 -7.26256],[0.47023 0.47023 0.47023],0.7473430498187978
1600,[-8.46429 -8.46429 -8.46429],[3.69130 3.69130 3.69130],0.7330270480182665
1700,[-8.80104 -8.80104 -8.80104],[1.46261 1.46261 1.46261],0.7189852816008054
1800,[-7.61608 -7.61608 -7.61608],[0.71800 0.71800 0.71800],0.705212497350724
1900,[-7.77993 -7.77993 -7.77993],[0.73126 0.73126 0.73126],0.6917035426822101
2000,[-8.45144 -8.45144 -8.45144],[0.57835 0.57835 0.57835],0.6784533637116886
2100,[-7.40478 -7.40478 -7.40478],[0.77058 0.77058 0.77058],0.6654570033670938
2200,[-6.53146 -6.53146 -6.53146],[0.23881 0.23881 0.23881],0.6527095995333525
2300,[-7.21518 -7.21518 -7.21518],[1.81188 1.81188 1.81188],0.6402063832334086
2400,[-8.18524 -8.18524 -8.18524],[2.08543 2.08543 2.08543],0.6279426768440843
