iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,3.58924,0.37316,1.61128,3.58479,0.37508,1.61227,3.48185,0.37150,1.61072
1,200,1.54645,0.37138,1.61092,1.40336,0.37251,1.61185,1.39258,0.37057,1.61092
2,300,1.13945,0.36907,1.61080,1.09168,0.36959,1.61212,1.09383,0.36783,1.61114
3,400,1.00431,0.36614,1.61185,0.96047,0.36679,1.61241,0.98074,0.36506,1.61157
4,500,0.93281,0.36388,1.61098,0.92889,0.36340,1.61183,0.94073,0.36270,1.61049
5,600,0.93086,0.36066,1.61113,0.93142,0.36047,1.61163,0.92033,0.35986,1.61053
6,700,0.93963,0.35768,1.61108,0.91496,0.35801,1.61165,0.93326,0.35727,1.61033
7,800,0.91201,0.35439,1.61070,0.93321,0.35452,1.61161,0.95765,0.35467,1.61044
8,900,0.92651,0.35200,1.61078,0.94024,0.35211,1.61151,0.95630,0.35222,1.61016
9,1000,0.95100,0.34876,1.61085,0.98526,0.34911,1.61162,0.96924,0.34975,1.61024
10,1100,0.95385,0.34605,1.61098,0.98440,0.34625,1.61130,0.98200,0.34658,1.61003
11,1200,0.96891,0.34332,1.61070,0.98663,0.34337,1.61082,1.00221,0.34383,1.61043
12,1300,0.96822,0.34055,1.61071,1.00727,0.34043,1.61092,1.01946,0.34126,1.61035
13,1400,0.99295,0.33784,1.61082,1.02553,0.33759,1.61072,1.02017,0.33860,1.61026
14,1500,1.01022,0.33507,1.61097,1.03615,0.33491,1.61038,1.05927,0.33580,1.61004
15,1600,1.02015,0.33182,1.61097,1.05607,0.33237,1.61080,1.03078,0.33334,1.61040
16,1700,1.04755,0.32937,1.61122,1.08486,0.32920,1.61061,1.05927,0.33046,1.61033
17,1800,1.05562,0.32662,1.61111,1.06873,0.32676,1.61055,1.08068,0.32788,1.60976
18,1900,1.08136,0.32373,1.61142,1.09958,0.32378,1.61045,1.07106,0.32505,1.61017
19,2000,1.07078,0.32137,1.61064,1.09746,0.32119,1.61027,1.09393,0.32258,1.60996
20,2100,1.11313,0.31832,1.61109,1.08920,0.31868,1.61007,1.10450,0.31969,1.61005
21,2200,1.10642,0.31607,1.61051,1.12091,0.31604,1.60977,1.11589,0.31714,1.60999
22,2300,1.11846,0.31322,1.61049,1.13905,0.31316,1.60974,1.12238,0.31429,1.60952
23,2400,1.13362,0.31054,1.61087,1.16329,0.31061,1.60950,1.11236,0.31185,1.60965
24,2500,1.14394,0.30820,1.61056,1.15583,0.30793,1.60977,1.13215,0.30945,1.60946
25,2600,1.13070,0.30602,1.61023,1.16110,0.30557,1.60948,1.15680,0.30662,1.60999
26,2700,1.15853,0.30325,1.60979,1.16582,0.30317,1.60932,1.16175,0.30398,1.60969
27,2800,1.15540,0.30043,1.61039,1.14671,0.30040,1.60978,1.13793,0.30159,1.60930
28,2900,1.15909,0.29818,1.61016,1.16266,0.29812,1.60944,1.15438,0.29896,1.60922
29,3000,1.18312,0.29603,1.60976,1.18111,0.29587,1.60905,1.18369,0.29669,1.60898
30,3100,1.18319,0.29349,1.60976,1.19107,0.29296,1.60902,1.16250,0.29410,1.60906
31,3200,1.17723,0.29109,1.60963,1.19565,0.29032,1.60874,1.18815,0.29142,1.60951
32,3300,1.18364,0.28861,1.60982,1.20672,0.28809,1.60902,1.18429,0.28924,1.60890
33,3400,1.22397,0.28613,1.60959,1.18393,0.28576,1.60845,1.20105,0.28671,1.60898
34,3500,1.19409,0.28371,1.60965,1.19931,0.28327,1.60931,1.19025,0.28410,1.60890
35,3600,1.20087,0.28116,1.60956,1.18713,0.28072,1.60886,1.19860,0.28181,1.60855
36,3700,1.17621,0.27918,1.60948,1.20451,0.27825,1.60863,1.21077,0.27963,1.60838
37,3800,1.20007,0.27652,1.60907,1.20904,0.27627,1.60836,1.17436,0.27725,1.60835
38,3900,1.20127,0.27402,1.60955,1.19260,0.27339,1.60814,1.18868,0.27483,1.60849
39,4000,1.20916,0.27193,1.60923,1.18776,0.27149,1.60843,1.17234,0.27248,1.60862
40,4100,1.19190,0.26983,1.60933,1.21016,0.26936,1.60797,1.19307,0.27007,1.60843
41,4200,1.19564,0.26704,1.60927,1.21064,0.26660,1.60829,1.20176,0.26759,1.60823
42,4300,1.22139,0.26512,1.60874,1.20857,0.26450,1.60775,1.18894,0.26561,1.60801
43,4400,1.21595,0.26269,1.60862,1.20098,0.26237,1.60782,1.21150,0.26337,1.60753
44,4500,1.19238,0.26049,1.60895,1.22184,0.26001,1.60751,1.20683,0.26100,1.60754
45,4600,1.20293,0.25843,1.60850,1.23357,0.25796,1.60774,1.20564,0.25877,1.60762
46,4700,1.21931,0.25602,1.60860,1.22001,0.25537,1.60801,1.20656,0.25664,1.60822
47,4800,1.20465,0.25362,1.60840,1.20267,0.25331,1.60742,1.20026,0.25452,1.60729
48,4900,1.22543,0.25165,1.60813,1.21450,0.25099,1.60769,1.19302,0.25213,1.60778
49,5000,1.20214,0.24932,1.60835,1.19928,0.24908,1.60743,1.20102,0.24975,1.60694
50,5100,1.19961,0.24715,1.60806,1.23268,0.24677,1.60757,1.21879,0.24776,1.60705
51,5200,1.23292,0.24499,1.60762,1.23583,0.24483,1.60718,1.20656,0.24561,1.60715
52,5300,1.22504,0.24303,1.60777,1.22466,0.24241,1.60725,1.23127,0.24342,1.60696
53,5400,1.23330,0.24089,1.60756,1.21686,0.24049,1.60670,1.24032,0.24138,1.60731
54,5500,1.19758,0.23840,1.60766,1.25074,0.23830,1.60686,1.21966,0.23932,1.60687
55,5600,1.21687,0.23649,1.60767,1.24105,0.23614,1.60680,1.24220,0.23718,1.60701
56,5700,1.21929,0.23443,1.60728,1.24250,0.23416,1.60701,1.23931,0.23513,1.60665
57,5800,1.25967,0.23226,1.60765,1.23499,0.23190,1.60674,1.22018,0.23283,1.60669
58,5900,1.24839,0.23033,1.60699,1.23562,0.23008,1.60619,1.24259,0.23073,1.60679
59,6000,1.24355,0.22808,1.60723,1.24728,0.22802,1.60640,1.22365,0.22867,1.60648
60,6100,1.26755,0.22624,1.60721,1.25262,0.22598,1.60648,1.25532,0.22685,1.60622
61,6200,1.24553,0.22407,1.60736,1.26441,0.22379,1.60591,1.23450,0.22487,1.60612
62,6300,1.25027,0.22220,1.60695,1.25534,0.22163,1.60640,1.25159,0.22270,1.60648
63,6400,1.25554,0.22007,1.60706,1.25344,0.21968,1.60601,1.25136,0.22094,1.60612
64,6500,1.26401,0.21813,1.60697,1.28375,0.21792,1.60631,1.23898,0.21892,1.60571
65,6600,1.27547,0.21608,1.60654,1.30826,0.21583,1.60599,1.26856,0.21668,1.60614
66,6700,1.27052,0.21417,1.60659,1.29742,0.21398,1.60629,1.28043,0.21483,1.60575
67,6800,1.27388,0.21203,1.60673,1.29588,0.21207,1.60525,1.27423,0.21257,1.60649
68,6900,1.29853,0.21022,1.60677,1.33955,0.21003,1.60555,1.27760,0.21080,1.60608
69,7000,1.29705,0.20823,1.60650,1.30247,0.20828,1.60558,1.27426,0.20889,1.60553
70,7100,1.27437,0.20636,1.60641,1.35123,0.20631,1.60511,1.29704,0.20684,1.60640
71,7200,1.30839,0.20453,1.60618,1.32737,0.20434,1.60565,1.28217,0.20508,1.60604
72,7300,1.31181,0.20282,1.60619,1.35270,0.20253,1.60586,1.26907,0.20299,1.60558
73,7400,1.28283,0.20085,1.60630,1.38050,0.20047,1.60535,1.27546,0.20122,1.60578
74,7500,1.29399,0.19867,1.60587,1.34297,0.19857,1.60520,1.29630,0.19931,1.60588
75,7600,1.32375,0.19718,1.60587,1.33188,0.19671,1.60502,1.30604,0.19729,1.60581
76,7700,1.30319,0.19527,1.60537,1.36920,0.19486,1.60519,1.32568,0.19560,1.60564
77,7800,1.32830,0.19328,1.60556,1.33335,0.19309,1.60497,1.30300,0.19355,1.60602
78,7900,1.35096,0.19159,1.60569,1.34928,0.19128,1.60445,1.32050,0.19178,1.60580
79,8000,1.31785,0.18966,1.60555,1.36847,0.18931,1.60463,1.31981,0.18982,1.60551
80,8100,1.33454,0.18788,1.60559,1.37269,0.18736,1.60477,1.30941,0.18807,1.60546
81,8200,1.33963,0.18614,1.60551,1.36905,0.18556,1.60436,1.32381,0.18632,1.60531
82,8300,1.32965,0.18420,1.60558,1.42255,0.18389,1.60482,1.29658,0.18448,1.60584
