iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss
0,100,0.95079,0.95888,0.96433
1,200,0.93615,0.87644,0.91804
2,300,0.88605,0.82389,0.85887
3,400,0.86092,0.82598,0.84263
4,500,0.84913,0.81614,0.84335
5,600,0.84707,0.82819,0.83738
6,700,0.84489,0.82008,0.83835
7,800,0.83121,0.82373,0.83032
8,900,0.83636,0.82008,0.83192
9,1000,0.84192,0.84086,0.82543
10,1100,0.83778,0.87079,0.83648
11,1200,0.85574,0.84760,0.85172
12,1300,0.85154,0.85831,0.87276
13,1400,0.87457,0.87655,0.88593
14,1500,0.87785,0.88763,0.89523
15,1600,0.88507,0.89622,0.88977
16,1700,0.91297,0.89258,0.91237
17,1800,0.91222,0.90810,0.92724
18,1900,0.93434,0.92314,0.93233
19,2000,0.92447,0.92068,0.93034
20,2100,0.94659,0.93229,0.93716
21,2200,0.94118,0.94521,0.95711
22,2300,0.95313,0.94010,0.96073
23,2400,0.95917,0.96891,0.96533
24,2500,0.98245,1.00489,0.99950
25,2600,0.99252,1.01163,0.99250
26,2700,0.99428,1.01637,1.01110
27,2800,1.00597,0.99689,1.02081
28,2900,1.00477,1.02596,1.00793
29,3000,1.03377,1.01224,1.02302
30,3100,1.01976,1.05317,1.06498
31,3200,1.03429,1.03575,1.04453
32,3300,1.02814,1.05541,1.06243
33,3400,1.05345,1.05575,1.08091
34,3500,1.05563,1.06831,1.06547
35,3600,1.03781,1.06496,1.05002
36,3700,1.06952,1.08557,1.09607
37,3800,1.06801,1.10693,1.07280
38,3900,1.09848,1.08480,1.08344
39,4000,1.08978,1.08308,1.11741
40,4100,1.08286,1.10978,1.09821
41,4200,1.10578,1.10273,1.10049
42,4300,1.10804,1.12336,1.10023
43,4400,1.13155,1.13823,1.11716
44,4500,1.13062,1.14366,1.13008
45,4600,1.12530,1.12607,1.12963
46,4700,1.14334,1.13246,1.12490
47,4800,1.15920,1.17198,1.15139
48,4900,1.15394,1.15288,1.14483
49,5000,1.16038,1.16484,1.15785
50,5100,1.15956,1.18917,1.14421
51,5200,1.17143,1.17810,1.15706
52,5300,1.15235,1.17778,1.17842
53,5400,1.18498,1.18716,1.15442
54,5500,1.13482,1.16036,1.16955
55,5600,1.14517,1.21045,1.15423
56,5700,1.17706,1.19359,1.18873
57,5800,1.18433,1.17132,1.19237
58,5900,1.21540,1.20686,1.16970
59,6000,1.18832,1.22894,1.18529
60,6100,1.22283,1.19743,1.20555
61,6200,1.18993,1.21507,1.18152
62,6300,1.19197,1.20077,1.21619
63,6400,1.21074,1.23466,1.22732
64,6500,1.20959,1.21280,1.19984
65,6600,1.19407,1.21177,1.21126
66,6700,1.24221,1.20545,1.21630
67,6800,1.20440,1.21225,1.21001
68,6900,1.22639,1.21474,1.22117
69,7000,1.18273,1.26558,1.22429
70,7100,1.23594,1.24275,1.23016
71,7200,1.20097,1.22935,1.23829
72,7300,1.21902,1.22541,1.23475
73,7400,1.22770,1.26231,1.20703
74,7500,1.25939,1.26543,1.24252
75,7600,1.22783,1.20326,1.26011
76,7700,1.23783,1.23151,1.24267
77,7800,1.24347,1.26478,1.25364
78,7900,1.23806,1.26394,1.23263
79,8000,1.24345,1.26436,1.23986
80,8100,1.24973,1.20019,1.23867
81,8200,1.23126,1.24762,1.28725
82,8300,1.25211,1.24564,1.23957
83,8400,1.23395,1.28383,1.27706
84,8500,1.24564,1.28897,1.29168
