number,rewards,variances,exploration_value
0,[-13.98551 -13.98551 -13.98551],[15.28829 15.28829 15.28829],0.9988953697090716
100,[-11.41597 -11.41597 -11.41597],[5.96209 5.96209 5.96209],0.9797606658876263
200,[-8.48385 -8.48385 -8.48385],[6.59766 6.59766 6.59766],0.9609925038496699
300,[-14.11354 -14.11354 -14.11354],[8.19911 8.19911 8.19911],0.9425838621706605
400,[-17.09786 -17.09786 -17.09786],[12.61195 12.61195 12.61195],0.9245278539275122
500,[-18.17694 -18.17694 -18.17694],[13.30330 13.30330 13.30330],0.9068177241220878
600,[-18.83677 -18.83677 -18.83677],[2.34094 2.34094 2.34094],0.889446847154093
700,[-17.63984 -17.63984 -17.63984],[5.74779 5.74779 5.74779],0.8724087243423219
800,[-16.95492 -16.95492 -16.95492],[3.15879 3.15879 3.15879],0.8556969814934174
900,[-14.28345 -14.28345 -14.28345],[7.59011 7.59011 7.59011],0.8393053665172148
1000,[-13.53849 -13.53849 -13.53849],[9.15096 9.15096 9.15096],0.8232277470877281
1100,[-14.40194 -14.40194 -14.40194],[7.57812 7.57812 7.57812],0.8074581083489812
1200,[-12.31981 -12.31981 -12.31981],[4.66152 4.66152 4.66152],0.7919905506647517
1300,[-13.59756 -13.59756 -13.59756],[4.36742 4.36742 4.36742],0.7768192874114557
1400,[-10.68753 -10.68753 -10.68753],[2.59066 2.59066 2.59066],0.7619386428132808
1500,[-8.83879 -8.83879 -8.83879],[2.06464 2.06464 2.06464],0.7473430498187978
1600,[-10.41226 -10.41226 -10.41226],[5.67973 5.67973 5.67973],0.7330270480182665
1700,[-11.84557 -11.84557 -11.84557],[2.16272 2.16272 2.16272],0.7189852816008054
1800,[-9.20658 -9.20658 -9.20658],[0.69145 0.69145 0.69145],0.705212497350724
1900,[-8.18088 -8.18088 -8.18088],[1.05176 1.05176 1.05176],0.6917035426822101
2000,[-9.00092 -9.00092 -9.00092],[2.58279 2.58279 2.58279],0.6784533637116886
2100,[-8.74778 -8.74778 -8.74778],[1.85660 1.85660 1.85660],0.6654570033670938
2200,[-7.12390 -7.12390 -7.12390],[1.09855 1.09855 1.09855],0.6527095995333525
2300,[-6.88605 -6.88605 -6.88605],[0.71516 0.71516 0.71516],0.6402063832334086
2400,[-8.12347 -8.12347 -8.12347],[2.83008 2.83008 2.83008],0.6279426768440843
2500,[-7.23937 -7.23937 -7.23937],[1.59146 1.59146 1.59146],0.6159138923461105
2600,[-7.35282 -7.35282 -7.35282],[1.35292 1.35292 1.35292],0.6041155296076918
