iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
0,100,18.16466,0.88396,18.08540,0.88327,18.09409,0.88554
1,200,6.99655,0.88039,6.79296,0.87695,6.55134,0.87744
2,300,2.61433,0.87560,2.62842,0.87219,2.48253,0.87420
3,400,1.58344,0.87267,1.55213,0.87260,1.59309,0.87169
4,500,1.16685,0.87226,1.16683,0.86854,1.19943,0.87161
5,600,1.06508,0.86913,1.07555,0.86418,1.07073,0.87078
6,700,1.06524,0.86721,1.04933,0.86384,1.07517,0.86792
7,800,1.02843,0.86496,1.06462,0.86208,1.08894,0.86590
8,900,1.05686,0.86291,1.08096,0.85764,1.06949,0.86410
9,1000,1.07396,0.86095,1.12769,0.85623,1.09242,0.86062
10,1100,1.07205,0.85777,1.12768,0.85410,1.10167,0.85673
11,1200,1.07934,0.85526,1.13251,0.85250,1.10149,0.85601
12,1300,1.09662,0.85411,1.14287,0.84991,1.12979,0.85105
13,1400,1.10390,0.85005,1.14536,0.84761,1.14774,0.84882
14,1500,1.14464,0.84708,1.15605,0.84525,1.15878,0.84455
15,1600,1.12634,0.84514,1.16270,0.84179,1.13918,0.84197
16,1700,1.15035,0.84314,1.18463,0.83883,1.17344,0.83800
17,1800,1.14682,0.84033,1.16784,0.83560,1.17188,0.83567
18,1900,1.16849,0.83716,1.17280,0.83270,1.17622,0.83122
19,2000,1.13824,0.83415,1.17574,0.83020,1.17550,0.82792
20,2100,1.18305,0.83224,1.14537,0.82649,1.17836,0.82502
21,2200,1.16957,0.82931,1.16696,0.82268,1.18713,0.82184
22,2300,1.18543,0.82536,1.20754,0.81985,1.19500,0.81778
23,2400,1.20312,0.82176,1.22411,0.81469,1.19783,0.81381
24,2500,1.20088,0.81795,1.22008,0.81213,1.20493,0.81118
25,2600,1.20393,0.81523,1.23995,0.80894,1.18971,0.80758
26,2700,1.21986,0.81214,1.20913,0.80552,1.22322,0.80337
27,2800,1.22356,0.80781,1.23771,0.80208,1.17595,0.80028
28,2900,1.23314,0.80502,1.24753,0.79835,1.18484,0.79726
29,3000,1.22018,0.80146,1.23097,0.79423,1.21696,0.79259
30,3100,1.19512,0.79797,1.23546,0.79082,1.20863,0.78913
31,3200,1.18935,0.79386,1.23460,0.78762,1.22993,0.78615
32,3300,1.21035,0.79039,1.24808,0.78275,1.22771,0.78223
