iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
0,100,18.34740,0.88069,18.33980,0.88165,18.41811,0.88146
1,200,6.91155,0.86950,6.94640,0.86987,6.93399,0.86909
2,300,2.53445,0.85943,2.56571,0.85897,2.48006,0.85901
3,400,1.49991,0.84611,1.49483,0.84618,1.45514,0.84573
4,500,1.12853,0.83566,1.10786,0.83442,1.13065,0.83523
5,600,1.04870,0.82326,1.01953,0.82302,1.05266,0.82312
6,700,1.00707,0.81292,1.02875,0.81266,1.03873,0.81250
7,800,1.01469,0.80457,1.02921,0.80476,1.02956,0.80433
8,900,0.99955,0.79565,1.02944,0.79607,1.03455,0.79613
9,1000,1.02294,0.78772,1.03149,0.78643,1.04098,0.78725
10,1100,1.03432,0.77945,1.04101,0.77912,1.03831,0.77879
11,1200,1.03649,0.77107,1.06413,0.77057,1.06592,0.77044
12,1300,1.07480,0.76243,1.09012,0.76318,1.07036,0.76217
13,1400,1.06395,0.75456,1.10146,0.75261,1.08565,0.75324
14,1500,1.06623,0.74580,1.11713,0.74454,1.09185,0.74555
15,1600,1.07733,0.73702,1.10820,0.73596,1.13727,0.73724
16,1700,1.11191,0.72856,1.11470,0.72893,1.12887,0.72813
17,1800,1.13274,0.72085,1.15090,0.72041,1.12807,0.71961
18,1900,1.11453,0.71168,1.14749,0.71183,1.13602,0.71180
19,2000,1.10681,0.70349,1.16849,0.70396,1.16102,0.70385
20,2100,1.11764,0.69634,1.19337,0.69513,1.16399,0.69537
21,2200,1.13256,0.68707,1.18988,0.68715,1.12980,0.68697
22,2300,1.13417,0.67982,1.20198,0.67992,1.15719,0.67887
23,2400,1.13812,0.67213,1.20347,0.67161,1.17999,0.67102
24,2500,1.13455,0.66418,1.19809,0.66412,1.18459,0.66407
25,2600,1.13803,0.65629,1.22364,0.65656,1.18036,0.65605
26,2700,1.13040,0.64770,1.21671,0.64813,1.18136,0.64768
27,2800,1.14371,0.64062,1.20876,0.64034,1.17455,0.64081
28,2900,1.15897,0.63316,1.23401,0.63351,1.18756,0.63329
29,3000,1.16267,0.62576,1.21201,0.62555,1.17656,0.62554
30,3100,1.16234,0.61864,1.22137,0.61901,1.19932,0.61867
31,3200,1.14794,0.61164,1.22664,0.61117,1.18509,0.61057
32,3300,1.16516,0.60397,1.21600,0.60412,1.20942,0.60384
33,3400,1.16153,0.59607,1.25227,0.59702,1.20118,0.59678
34,3500,1.16859,0.58938,1.22042,0.58952,1.19198,0.58930
35,3600,1.15774,0.58214,1.22699,0.58253,1.22727,0.58214
36,3700,1.17123,0.57500,1.23566,0.57541,1.22311,0.57524
37,3800,1.15263,0.56803,1.21116,0.56787,1.20238,0.56829
38,3900,1.17575,0.56168,1.20214,0.56160,1.20457,0.56119
39,4000,1.19287,0.55440,1.23488,0.55463,1.19602,0.55400
40,4100,1.16327,0.54793,1.21700,0.54766,1.21266,0.54681
41,4200,1.18336,0.54061,1.21064,0.54058,1.21358,0.54033
